expocode: 316420180426
vessel name: CB-06_125W_43N
"PIs: Sutton, A.; Hales, B."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
CB-06_125W_43N,43.293,-124.538,4/26/2018,18:47,330.1,2,2.17,412.7,2,2.1,1018.5,12.4,100.45,11.256,32.187,330.8,413.6,327,408.8,-81.8,328.2,410.4,-82.2,-999,5
CB-06_125W_43N,43.293,-124.538,4/26/2018,21:17,330,2,2.21,412.4,2,2.1,1018,12.5,100.76,11.294,32.215,330.7,413.3,326.7,408.3,-81.6,328,409.9,-81.9,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,0:17,328.7,2,2.2,411.7,2,2.09,1016.9,12.4,101.02,11.244,32.215,329.5,412.5,325.2,407.1,-82,326.4,408.7,-82.3,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,3:17,327.9,2,2.13,412.2,2,2.01,1016.2,12.3,101.15,11.205,32.217,328.6,413,324.1,407.3,-83.2,325.3,408.9,-83.6,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,6:17,328.2,2,2.13,412.4,2,2.01,1016.2,12.2,101.24,11.309,32.196,328.9,413.2,324.4,407.5,-83.1,325.6,409,-83.4,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,9:17,331.6,2,2.15,412.3,2,1.98,1015.9,12.2,101.26,11.294,32.183,332.4,413.1,327.7,407.3,-79.6,328.9,408.8,-79.9,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,12:17,328.6,2,2.15,412.3,2,2,1016.5,12.1,101.28,11.225,32.196,329.3,413.1,324.9,407.5,-82.7,326.1,409.1,-83,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,15:17,327.3,2,2.17,412.5,2,2.06,1016.8,12.1,101.3,11.117,32.228,328,413.4,323.7,407.9,-84.3,324.9,409.5,-84.6,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,18:17,328.8,2,2.18,414.4,2,2.07,1017.9,12.2,101.3,11.154,32.259,329.5,415.2,325.5,410.2,-84.7,326.8,411.8,-85,-999,5
CB-06_125W_43N,43.293,-124.538,4/27/2018,21:17,329.2,2,2.3,412.7,2,2.15,1018.7,12.2,101.3,11.158,32.274,330,413.6,326.2,408.9,-82.7,327.5,410.5,-83,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,0:17,330,2,2.38,416,2,2.23,1017.7,12.4,101.29,11.362,32.296,330.7,416.9,326.7,411.7,-85.1,327.9,413.3,-85.4,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,3:17,330.7,2,2.18,412.9,2,2.1,1017.1,12.5,101.25,11.389,32.287,331.4,413.8,327.1,408.4,-81.3,328.3,409.9,-81.6,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,6:17,324.1,2,2.15,412.8,2,2.08,1017.3,12.3,101.34,11.122,32.305,324.8,413.7,320.7,408.5,-87.8,321.9,410,-88.1,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,9:17,320.9,2,2.07,418.7,2,2.02,1016.3,12.1,101.37,11.057,32.246,321.6,419.6,317.2,413.9,-96.6,318.4,415.4,-97,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,12:17,329,2,2.02,417.7,2,1.96,1016.2,12,101.28,11.088,32.302,329.6,418.5,325.1,412.8,-87.7,326.4,414.4,-88,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,15:17,328.6,2,1.99,420.5,2,1.96,1016.1,12,101.17,11.125,32.289,329.2,421.3,324.7,415.5,-90.8,325.9,417.1,-91.2,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,18:17,331.2,2,2.2,413.4,2,2.06,1016.5,12.1,101.23,11.179,32.324,331.9,414.3,327.4,408.7,-81.3,328.7,410.2,-81.6,-999,5
CB-06_125W_43N,43.293,-124.538,4/28/2018,21:17,327.8,2,2.27,413.5,2,2.13,1016.2,12.2,101.45,11.289,32.263,328.6,414.4,324,408.7,-84.7,325.3,410.3,-85,-999,5
CB-06_125W_43N,43.293,-124.538,4/29/2018,0:17,336.9,2,2.4,414,2,2.24,1016.2,12.4,101.36,11.563,32.301,337.7,414.9,333,409.1,-76.1,334.2,410.7,-76.4,-999,5
CB-06_125W_43N,43.293,-124.538,4/29/2018,3:17,336.3,2,2.18,413.5,2,2.09,1016.6,12.6,101.21,11.533,32.265,337,414.4,332.4,408.7,-76.3,333.7,410.3,-76.6,-999,5
CB-06_125W_43N,43.293,-124.538,4/29/2018,6:17,335.4,2,2.17,413.2,2,2.11,1017.4,12.5,101.17,11.491,32.323,336.2,414.1,331.9,408.8,-76.9,333.1,410.3,-77.2,-999,5
CB-06_125W_43N,43.293,-124.538,4/29/2018,9:17,338.6,2,2.17,412.8,2,2.12,1018.1,12.4,101.29,11.338,32.164,339.3,413.7,335.2,408.7,-73.5,336.5,410.3,-73.8,-999,5
