expocode: 316420170610
vessel name: CB-06_125W_43N
"PIs: Sutton, A.; Hales, B."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
CB-06_125W_43N,43.301,-124.535,6/10/2017,5:17:00,304,2,3.85,407.7,2,4.51,1013.8,14.2,100.89,13.258,30.936,305.1,409.6,299.7,402.3,-102.6,300.8,403.7,-102.9,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,5:47:00,305.2,2,3.83,409.6,2,4.42,1013.6,14.6,101.16,13.176,30.92,306.4,411.4,300.9,404,-103.1,302,405.5,-103.5,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,6:17:00,303.7,2,3.71,408.6,2,4.22,1013.6,14.9,101.32,13.159,30.895,304.9,410.3,299.4,402.9,-103.5,300.5,404.4,-103.9,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,6:47:00,304.1,2,3.88,408.7,2,4.29,1013.5,15.1,101.37,13.141,30.886,305.3,410.5,299.8,403.1,-103.3,300.9,404.6,-103.7,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,7:17:00,303.6,2,3.95,408.6,2,4.33,1013,15.2,101.69,13.116,30.915,304.8,410.4,299.2,402.8,-103.6,300.3,404.3,-104,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,7:47:00,303.4,2,4.05,408.6,2,4.39,1012.9,15.3,101.82,13.085,30.915,304.6,410.4,299,402.7,-103.8,300.1,404.2,-104.2,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,8:17:00,302.6,2,4.15,408.9,2,4.46,1012.8,15.4,101.98,13.056,30.909,303.9,410.7,298.2,403,-104.8,299.3,404.5,-105.2,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,9:17:00,301.4,2,4.27,407.5,2,4.56,1012.6,14.8,102,13.035,30.896,302.6,409.4,296.9,401.7,-104.7,298.1,403.2,-105.1,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,12:17:00,301.5,2,4.15,407.3,2,4.59,1012.8,14,101.94,13.004,30.903,302.8,409.1,297.1,401.5,-104.4,298.2,403,-104.8,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,15:17:00,307.8,2,4.36,407.4,2,4.75,1013.4,13.7,101.61,12.834,31.043,309.2,409.3,303.7,402,-98.3,304.8,403.5,-98.7,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,18:17:00,305.1,2,4.58,407.5,2,4.94,1013.8,13.7,101.63,13.025,30.994,306.5,409.6,301,402.3,-101.3,302.2,403.8,-101.7,-999,5
CB-06_125W_43N,43.301,-124.535,6/10/2017,21:17:00,305.9,2,4.66,407.4,2,5.03,1014.7,14.1,101.66,13.309,30.995,307.3,409.4,302.1,402.5,-100.3,303.2,403.9,-100.7,-999,5
CB-06_125W_43N,43.301,-124.535,6/11/2017,0:17:00,-999,4,4.78,-999,4,5.16,1015.5,14.5,101.93,13.513,31.063,-999,-999,-999,-999,-999,-999,-999,-999,-999,5
CB-06_125W_43N,43.301,-124.535,6/11/2017,3:17:00,-999,4,4.73,-999,4,5.16,1016.1,14.5,102.04,13.51,30.969,-999,-999,-999,-999,-999,-999,-999,-999,-999,5
CB-06_125W_43N,43.301,-124.535,6/11/2017,6:17:00,294.9,2,4.34,407.4,2,4.83,1017.1,14.3,102.04,13.493,30.878,296.2,409.4,291.8,403.3,-111.5,292.9,404.8,-111.9,-999,5
CB-06_125W_43N,43.301,-124.535,6/11/2017,9:17:00,284.5,2,4.4,414.8,2,4.73,1017.7,14,102.11,13.29,30.988,285.8,416.8,281.7,410.9,-129.2,282.8,412.5,-129.7,-999,5
CB-06_125W_43N,43.301,-124.535,6/11/2017,12:17:00,277,2,4.23,420.2,2,4.53,1018.5,13.7,102.32,13.139,31.051,278.2,422.1,274.5,416.6,-142.1,275.5,418.1,-142.6,-999,5
CB-06_125W_43N,43.301,-124.535,6/11/2017,15:17:00,294.9,2,4.92,420.3,2,5.13,1019.8,13.7,102.4,13.259,30.82,296.4,422.4,292.8,417.4,-124.5,293.9,418.9,-125,-999,5
CB-06_125W_43N,43.301,-124.535,6/11/2017,18:17:00,305,2,5.13,417.3,2,5.31,1019.4,14.4,101.4,13.463,30.88,306.6,419.5,302.7,414.2,-111.5,303.9,415.8,-111.9,-999,5
