expocode: 316420190309
vessel name: CB-06_125W_43N
PIs:  Sutton_A.; Hales_B.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/09/2019,23:17,266.2,2,1.56,414.0,2,1.44,1013.3,10.6,101.90,-999,-999,266.6,414.6,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,2,-999,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/09/2019,23:47,264.4,2,1.36,413.5,2,1.23,1013.4,11.3,103.11,10.176,31.783,264.7,414.0,260.6,407.5,-146.9,261.6,409.0,-147.5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,00:17,272.3,2,1.01,415.2,2,0.88,1013.2,11.7,104.03,10.282,31.880,272.5,415.6,268.2,409.0,-140.8,269.2,410.5,-141.3,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,00:47,271.2,2,0.76,415.0,2,0.64,1013.3,12.0,104.63,10.268,31.862,271.4,415.3,267.1,408.7,-141.6,268.1,410.2,-142.1,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,01:17,272.2,2,0.77,414.5,2,0.77,1013.3,12.1,105.13,10.263,31.880,272.4,414.8,268.1,408.3,-140.2,269.1,409.8,-140.7,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,01:47,273.4,2,0.90,414.8,2,0.77,1013.4,12.2,105.36,10.345,31.885,273.6,415.1,269.3,408.5,-139.2,270.3,410.1,-139.8,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,02:17,272.6,2,0.77,415.2,2,0.65,1013.8,12.3,105.59,10.305,31.835,272.8,415.5,268.6,409.1,-140.5,269.6,410.7,-141.1,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,02:47,272.5,2,0.78,414.4,2,0.65,1014.1,12.3,105.72,10.292,31.762,272.8,414.6,268.6,408.4,-139.7,269.7,409.9,-140.3,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,03:17,277.7,2,0.78,413.9,2,0.65,1014.5,12.3,105.49,10.226,31.787,277.9,414.1,273.8,408.1,-134.2,274.9,409.6,-134.8,8.161,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,06:17,286.1,2,1.22,416.2,2,1.22,1016.1,11.2,104.88,10.082,31.565,286.4,416.7,282.7,411.3,-128.6,283.8,412.9,-129.1,8.156,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,09:17,297.3,2,1.32,416.4,2,1.20,1016.7,10.9,104.33,10.005,31.613,297.7,416.9,294.0,411.8,-117.8,295.1,413.4,-118.3,8.139,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,12:17,302.8,2,1.20,418.5,2,1.20,1017.5,11.0,103.82,9.991,31.674,303.1,419.0,299.6,414.1,-114.5,300.8,415.7,-114.9,8.131,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,15:17,284.1,2,1.19,420.8,2,1.19,1019.5,10.9,103.49,9.861,31.687,284.4,421.3,281.7,417.3,-135.6,282.8,418.9,-136.1,8.156,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.292,-124.539,03/10/2019,18:17,282.6,2,1.43,420.7,2,1.43,1020.5,10.8,103.53,9.975,31.558,283.0,421.3,280.6,417.7,-137.1,281.7,419.3,-137.7,8.159,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
