expocode: 316420200305
vessel name: CB-06_125W_43N
PIs:  Sutton_A.; Hales_B.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CB-06_125W_43N,43.297,-124.531,03/05/2020,02:17,345.8,2,1.23,417.1,2,1.16,1019.4,12.4,101.44,10.016,31.647,346.3,417.6,342.9,413.5,-70.6,344.2,415.1,-70.9,-999,5,-999,5,0.582,2,303,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,02:47,343.9,2,0.88,416.9,2,0.8,1019.1,12.6,101.91,10.013,31.649,344.2,417.2,340.8,413,-72.3,342.1,414.7,-72.5,-999,5,-999,5,0.602,2,302.7,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,03:17,344.9,2,0.8,416.8,2,0.72,1018.9,12.6,102.25,9.992,31.647,345.2,417.1,341.6,412.9,-71.2,343,414.5,-71.5,8.087,2,-999,5,0.591,2,302.3,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,03:47,346.3,2,0.78,416.9,2,0.7,1018.9,12.7,102.46,9.974,31.652,346.6,417.2,343.1,413,-69.9,344.4,414.6,-70.2,-999,5,-999,5,0.596,2,301.6,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,04:17,347.1,2,0.77,416.6,2,0.69,1018.7,12.7,102.58,9.975,31.662,347.3,416.9,343.7,412.5,-68.8,345.1,414.1,-69.1,-999,5,-999,5,0.591,2,301.2,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,04:47,331.6,2,0.78,416.5,2,0.69,1018.5,12.7,102.94,10.138,31.613,331.9,416.8,328.4,412.3,-84,329.6,413.9,-84.3,-999,5,-999,5,0.635,2,306.3,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,05:17,333.9,2,0.78,416.6,2,0.69,1018.5,12.8,103.22,10.128,31.623,334.1,416.9,330.6,412.5,-81.9,331.9,414.1,-82.2,-999,5,1.048,2,0.63,2,306.2,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,06:17,330.8,2,0.95,414.6,2,0.88,1018.2,12.3,103.39,10.094,31.642,331.1,415,327.5,410.5,-82.9,328.8,412.1,-83.3,8.098,2,1.09,2,0.63,2,305.7,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,09:17,307.6,2,1.22,416.9,2,1.15,1018.4,11.3,104.04,10.104,31.587,308,417.4,304.7,412.9,-108.2,305.9,414.5,-108.6,8.126,2,1.602,2,0.747,2,318.5,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,12:17,327.8,2,1.23,418.1,2,1.16,1018.5,11,103.94,9.813,31.207,328.2,418.6,324.8,414.2,-89.4,326.1,415.8,-89.8,8.107,2,-999,5,0.632,2,307.9,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,15:17,310,2,1.26,417.5,2,1.18,1018.7,10.6,104.09,9.81,30.815,310.4,418,307.2,413.7,-106.5,308.4,415.4,-107,8.124,2,-999,5,0.716,2,314.8,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,18:17,253.2,2,1.44,417.3,2,1.35,1019.8,10.7,105.02,9.769,29.968,253.6,417.9,251.3,414.1,-162.8,252.3,415.7,-163.4,8.21,2,-999,5,0.848,2,336.6,2
CB-06_125W_43N,43.297,-124.531,03/05/2020,21:17,238.5,2,1.34,418.2,2,1.25,1019.4,11,106.33,9.908,30.158,238.8,418.8,236.5,414.7,-178.2,237.4,416.3,-178.9,8.219,2,-999,5,0.93,2,348.5,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,00:17,240,2,1.31,417.8,2,1.22,1018.5,11,107.19,9.799,30.454,240.3,418.4,237.8,414,-176.2,238.8,415.6,-176.9,8.216,2,-999,5,0.898,2,348.4,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,03:17,258,2,1.3,416.7,2,1.22,1017.7,10.8,105.93,9.716,30.148,258.4,417.2,255.5,412.5,-157,256.5,414.2,-157.6,8.19,2,-999,5,0.772,2,333,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,06:17,324.6,2,1.29,417.3,2,1.22,1017.4,10.7,105.19,9.628,30.836,325,417.8,321.3,413,-91.7,322.5,414.6,-92.1,8.105,2,0.919,2,0.608,2,306.3,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,09:17,299.5,2,1.31,418.3,2,1.23,1016.4,10.7,104.75,9.804,30.615,299.9,418.8,296.2,413.6,-117.4,297.3,415.2,-117.9,8.132,2,0.648,2,0.578,2,306.1,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,12:17,314.3,2,1.32,418.6,2,1.24,1015,10.7,104.21,9.766,30.83,314.7,419.2,310.4,413.4,-103,311.6,415,-103.4,8.114,2,-999,5,0.554,2,302.5,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,15:17,301.2,2,1.2,418.2,2,1.13,1015.3,10.7,103.91,9.688,30.513,301.6,418.7,297.5,413.1,-115.6,298.6,414.7,-116,8.138,2,-999,5,0.645,2,305.7,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,18:17,288.5,2,1.16,418.3,2,1.08,1016.3,10.6,103.85,9.65,30.279,288.8,418.7,285.2,413.5,-128.3,286.3,415.1,-128.8,8.154,2,-999,5,0.686,2,311.6,2
CB-06_125W_43N,43.297,-124.531,03/06/2020,21:17,271.8,2,1.21,418.2,2,1.13,1015.4,10.5,104.33,9.622,29.462,272.2,418.7,268.5,413.1,-144.6,269.6,414.7,-145.2,8.178,2,-999,5,0.716,2,324.1,2
CB-06_125W_43N,43.297,-124.531,03/07/2020,00:17,235.3,2,1.14,418.2,2,1.06,1014.6,10.3,105.24,9.676,28.931,235.5,418.6,232.2,412.7,-180.5,233.1,414.3,-181.2,8.226,2,-999,5,0.826,2,340.4,2
CB-06_125W_43N,43.297,-124.531,03/07/2020,03:17,222,2,1.12,418.9,2,1.04,1013.4,9.8,106.16,9.606,28.867,222.2,419.3,218.8,412.9,-194.1,219.7,414.5,-194.8,-999,4,-999,5,0.833,2,345,2
CB-06_125W_43N,43.297,-124.531,03/07/2020,06:17,238.7,2,1.13,419.8,2,1.05,1012.6,9.7,106.45,9.509,28.972,239,420.2,235.2,413.5,-178.4,236.1,415.1,-179.1,8.218,2,1.645,2,0.775,2,335.8,2
CB-06_125W_43N,43.297,-124.531,03/07/2020,09:17,277.9,2,1.18,419,2,1.09,1011.7,9.7,106.02,9.508,30.376,278.2,419.5,273.5,412.4,-138.8,274.6,414,-139.4,8.17,2,1.04,2,0.631,2,315,2
CB-06_125W_43N,43.297,-124.531,03/07/2020,12:17,290.6,2,1.18,425.2,2,1.1,1010.8,9.9,105.39,9.484,30.636,291,425.7,285.8,418.1,-132.3,286.9,419.7,-132.8,8.162,2,-999,5,0.605,2,308.8,2
CB-06_125W_43N,43.297,-124.531,03/07/2020,15:17,233.8,2,1.01,418.7,2,0.94,1011.1,9.7,105.45,9.376,29.395,234,419.1,229.9,411.8,-181.9,230.8,413.4,-182.6,8.232,2,-999,5,0.826,2,327.5,2
