expocode: 316420091215
vessel name: CCE1_122W_33N
"PIs: Sutton, A.; Send, U."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CCE1_122W_33N,33.43,-122.48,12/15/2009,4:58:00,350.4,2,4.07,389.4,2,3.79,1026.3,15.2,99.32,14.826,33.204,351.8,390.9,349.3,388.1,-38.8,350.6,389.6,-39
CCE1_122W_33N,33.43,-122.48,12/15/2009,5:28:00,349.4,2,2.61,390,2,2.47,1026.6,15.6,99.41,14.813,33.204,350.3,390.9,348,388.3,-40.3,349.2,389.7,-40.5
CCE1_122W_33N,33.43,-122.48,12/15/2009,5:58:00,349.3,2,2.46,390.2,2,2.14,1026.9,15.8,99.61,14.805,33.203,350.2,391,347.9,388.5,-40.6,349.2,389.9,-40.7
CCE1_122W_33N,33.43,-122.48,12/15/2009,6:28:00,348.9,2,2.48,390.1,2,2.15,1026.6,15.9,99.71,14.778,33.203,349.8,391,347.4,388.3,-40.9,348.7,389.8,-41.1
CCE1_122W_33N,33.43,-122.48,12/15/2009,6:58:00,348.6,2,2.31,390.2,2,1.98,1026.8,16,99.85,14.774,33.201,349.4,391,347.1,388.4,-41.3,348.4,389.9,-41.5
CCE1_122W_33N,33.43,-122.48,12/15/2009,7:28:00,348.3,2,2.32,390.2,2,1.99,1026.6,16,99.9,14.771,33.201,349.1,391,346.8,388.3,-41.6,348,389.8,-41.8
CCE1_122W_33N,33.43,-122.48,12/15/2009,9:17:00,346.8,2,3.54,389.3,2,3.26,1026.7,15.1,100,14.726,33.195,348,390.5,345.7,388,-42.2,347,389.3,-42.4
CCE1_122W_33N,33.43,-122.48,12/15/2009,12:17:00,347.7,2,3.63,389,2,3.53,1026.8,14.8,99.95,14.625,33.174,348.9,390.4,346.7,387.9,-41.2,347.9,389.3,-41.4
CCE1_122W_33N,33.43,-122.48,12/15/2009,15:17:00,349.4,2,3.65,389.1,2,3.54,1027.4,14.9,99.95,14.669,33.174,350.7,390.5,348.6,388.2,-39.5,349.9,389.6,-39.7
CCE1_122W_33N,33.43,-122.48,12/15/2009,18:17:00,349.5,2,3.7,389.2,2,3.6,1029,15.1,99.9,14.726,33.183,350.8,390.6,349.2,388.9,-39.6,350.6,390.3,-39.8
CCE1_122W_33N,33.43,-122.48,12/15/2009,21:17:00,348.1,2,3.86,388.7,2,3.58,1027,15.8,100,14.925,33.169,349.4,390,347.2,387.5,-40.3,348.4,388.9,-40.5
CCE1_122W_33N,33.43,-122.48,12/16/2009,0:17:00,346.4,2,3.91,388.8,2,3.8,1026.8,16,100,15.223,33.155,347.8,390.3,345.3,387.5,-42.2,346.6,389,-42.4
CCE1_122W_33N,33.43,-122.48,12/16/2009,3:17:00,347.1,2,3.87,388.3,2,3.76,1027.7,15.9,100.05,15.13,33.164,348.5,389.7,346.4,387.4,-41,347.7,388.8,-41.1
CCE1_122W_33N,33.43,-122.48,12/16/2009,6:17:00,347.1,2,4.02,387.9,2,3.73,1027.9,15.7,100,15.166,33.168,348.5,389.4,346.5,387.1,-40.6,347.7,388.5,-40.8
CCE1_122W_33N,33.43,-122.48,12/16/2009,9:17:00,347.5,2,4.05,387.9,2,3.76,1027.6,15.9,99.95,15.256,33.159,349,389.4,346.8,386.9,-40.1,348.1,388.4,-40.3
CCE1_122W_33N,33.43,-122.48,12/16/2009,12:17:00,348,2,4.09,387.8,2,3.81,1027.5,16,99.9,15.24,33.153,349.4,389.3,347.2,386.8,-39.6,348.5,388.2,-39.8
CCE1_122W_33N,33.43,-122.48,12/16/2009,15:17:00,348.2,2,4.09,387.9,2,3.98,1028,16,99.9,15.113,33.146,349.6,389.4,347.6,387.2,-39.6,348.9,388.6,-39.7
CCE1_122W_33N,33.43,-122.48,12/16/2009,18:17:00,346.6,2,4.14,387.4,2,4.03,1029,16.3,99.95,15.065,33.148,348,389,346.4,387.2,-40.8,347.6,388.6,-41
CCE1_122W_33N,33.43,-122.48,12/16/2009,21:17:00,352.1,2,4.12,387.3,2,4,1027.4,16.9,99.95,15.497,33.144,353.5,388.9,351.2,386.3,-35.1,352.4,387.7,-35.3
CCE1_122W_33N,33.43,-122.48,12/17/2009,0:17:00,348.2,3,4.08,387.4,3,4.15,1027.4,16.7,100,14.862,33.14,349.6,389,347.5,386.7,-39.2,348.8,388.1,-39.3
CCE1_122W_33N,33.43,-122.48,12/17/2009,3:17:00,345.2,2,4.05,387.1,2,3.95,1027.7,15.9,100.15,14.288,33.167,346.6,388.6,344.8,386.6,-41.8,346.1,388,-41.9
CCE1_122W_33N,33.43,-122.48,12/17/2009,6:17:00,344.9,2,3.79,386.9,2,3.86,1027.4,15.5,100.19,14.597,33.184,346.2,388.4,344.2,386.1,-42,345.5,387.6,-42.1
CCE1_122W_33N,33.43,-122.48,12/17/2009,9:17:00,343.2,2,3.8,386.7,2,3.87,1026.9,15.5,100.24,14.663,33.193,344.5,388.2,342.3,385.7,-43.4,343.6,387.2,-43.6
CCE1_122W_33N,33.43,-122.48,12/17/2009,12:17:00,343.6,2,3.99,386.5,2,3.88,1026.2,15.6,100.29,14.69,33.191,345,388,342.6,385.2,-42.6,343.8,386.7,-42.9
CCE1_122W_33N,33.43,-122.48,12/17/2009,15:17:00,344.7,2,4,386.3,2,3.89,1026.5,15.6,100.29,14.731,33.193,346.1,387.8,343.8,385.2,-41.4,345,386.6,-41.6
CCE1_122W_33N,33.43,-122.48,12/17/2009,18:17:00,344.8,2,3.85,385.9,2,3.91,1027,15.7,100.29,14.788,33.2,346.1,387.4,343.9,384.9,-41,345.2,386.3,-41.2
CCE1_122W_33N,33.43,-122.48,12/17/2009,21:17:00,344.2,2,4.05,386.2,2,3.94,1025.2,15.8,100.34,14.867,33.2,345.5,387.7,342.7,384.5,-41.8,343.9,385.9,-42
CCE1_122W_33N,33.43,-122.48,12/18/2009,0:17:00,344.3,2,4.05,388.9,2,3.94,1025.6,15.8,100.39,14.752,33.163,345.7,390.4,343.1,387.4,-44.4,344.3,388.8,-44.5
CCE1_122W_33N,33.43,-122.48,12/18/2009,3:17:00,343.8,2,4.04,386.9,2,3.93,1025.9,15.8,100.39,14.804,33.193,345.2,388.4,342.6,385.5,-42.9,343.9,386.9,-43
