expocode: 316420110307
vessel name: CCE1_122W_33N
"PIs: Sutton, A.; Send, U."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CCE1_122W_33N,33.491,-122.519,3/7/2011,0:28,358.4,2,2.31,395.3,2,2.27,1016.2,16,100.56,13.526,32.962,359.2,396.2,353.6,390,-36.4,354.9,391.4,-36.6
CCE1_122W_33N,33.491,-122.519,3/7/2011,0:58,358.6,2,2.32,395.5,2,2.26,1016.2,16,100.59,13.515,32.968,359.5,396.4,353.8,390.1,-36.3,355.1,391.6,-36.5
CCE1_122W_33N,33.491,-122.519,3/7/2011,1:28,358.6,2,2.31,395.7,2,2.25,1016.4,16,100.59,13.491,32.974,359.5,396.6,353.9,390.5,-36.6,355.2,391.9,-36.7
CCE1_122W_33N,33.491,-122.519,3/7/2011,3:17,358.6,2,2.95,394.6,2,2.93,1017,14.9,100.63,13.414,32.986,359.7,395.7,354.3,389.8,-35.5,355.6,391.3,-35.7
CCE1_122W_33N,33.491,-122.519,3/7/2011,6:17,353.1,2,2.98,394.2,2,2.96,1018.7,14.3,100.79,13.399,33.005,354.2,395.4,349.5,390.2,-40.7,350.8,391.6,-40.8
CCE1_122W_33N,33.491,-122.519,3/7/2011,9:17,355.5,2,2.92,394.7,2,2.93,1018.7,14,100.69,13.314,33.005,356.6,395.9,351.9,390.7,-38.8,353.2,392.1,-38.9
CCE1_122W_33N,33.491,-122.519,3/7/2011,12:17,356.6,2,2.92,394.5,2,2.93,1018.4,13.9,100.73,13.283,33.008,357.7,395.7,352.9,390.4,-37.5,354.2,391.9,-37.6
CCE1_122W_33N,33.491,-122.519,3/7/2011,15:17,359.1,2,2.91,395.4,2,2.91,1020,13.9,100.71,13.221,33.004,360.1,396.5,355.9,391.9,-36,357.2,393.4,-36.2
CCE1_122W_33N,33.491,-122.519,3/7/2011,18:17,358.3,2,2.92,395.8,2,2.91,1022.4,13.8,100.6,13.293,32.989,359.3,396.9,355.9,393.2,-37.3,357.3,394.7,-37.4
CCE1_122W_33N,33.491,-122.519,3/7/2011,21:17,357.8,2,2.91,395.9,2,2.89,1022.4,13.8,100.53,13.403,32.967,358.8,397.1,355.4,393.3,-37.9,356.8,394.8,-38
CCE1_122W_33N,33.491,-122.519,3/8/2011,0:17,356.7,2,2.93,395.6,2,2.92,1022.9,13.9,100.57,13.423,32.975,357.7,396.8,354.5,393.1,-38.6,355.8,394.6,-38.8
CCE1_122W_33N,33.491,-122.519,3/8/2011,3:17,357.5,2,2.85,395.9,2,2.78,1023.2,13.9,100.5,13.301,32.992,358.6,397,355.5,393.6,-38.1,356.8,395,-38.2
CCE1_122W_33N,33.491,-122.519,3/8/2011,6:17,358.7,2,2.92,395.8,2,2.86,1024.2,13.8,100.46,13.194,33.01,359.8,397,357,393.9,-36.9,358.3,395.4,-37.1
CCE1_122W_33N,33.491,-122.519,3/8/2011,9:17,358.1,2,2.98,395.8,2,2.92,1024.1,13.7,100.47,13.279,32.99,359.2,397,356.4,393.9,-37.5,357.7,395.3,-37.7
CCE1_122W_33N,33.491,-122.519,3/8/2011,12:17,358.6,2,3.03,395.6,2,2.97,1023.6,13.8,100.45,13.39,32.976,359.6,396.8,356.6,393.5,-36.8,358,394.9,-37
CCE1_122W_33N,33.491,-122.519,3/8/2011,15:17,357.2,2,3.04,395.5,2,2.99,1024.7,14,100.4,13.376,32.971,358.3,396.7,355.7,393.8,-38.1,357,395.2,-38.2
CCE1_122W_33N,33.491,-122.519,3/8/2011,18:17,356,2,3.12,395.2,2,3.1,1026.4,14.2,100.43,13.347,32.979,357.1,396.5,355.1,394.3,-39.1,356.4,395.7,-39.3
CCE1_122W_33N,33.491,-122.519,3/8/2011,21:17,356.2,2,3.11,395.1,2,3.12,1025.2,14.1,100.46,13.393,32.982,357.3,396.4,354.9,393.7,-38.8,356.2,395.2,-38.9
CCE1_122W_33N,33.491,-122.519,3/9/2011,0:17,355.3,2,3.03,395,2,3,1025,14.1,100.49,13.378,32.984,356.4,396.2,353.9,393.4,-39.5,355.2,394.9,-39.7
CCE1_122W_33N,33.491,-122.519,3/9/2011,3:17,355.5,2,3,395.5,2,2.94,1025.4,14.1,100.47,13.352,32.983,356.6,396.7,354.3,394,-39.8,355.6,395.5,-39.9
CCE1_122W_33N,33.491,-122.519,3/9/2011,6:17,356,2,3.07,395.4,2,3.01,1025.6,14,100.52,13.346,32.984,357.1,396.6,354.9,394.1,-39.2,356.2,395.6,-39.4
CCE1_122W_33N,33.491,-122.519,3/9/2011,9:17,357.4,2,3.04,395.4,2,2.98,1025.4,13.9,100.49,13.312,32.993,358.4,396.6,356.1,394,-37.9,357.4,395.4,-38
CCE1_122W_33N,33.491,-122.519,3/9/2011,12:17,360.9,2,3.02,395.6,2,2.96,1024.1,13.8,100.5,13.211,33.014,362,396.8,359.2,393.7,-34.6,360.5,395.2,-34.7
CCE1_122W_33N,33.491,-122.519,3/9/2011,15:17,359.8,2,3.07,395.7,2,3.02,1024.7,13.9,100.45,13.209,33.021,360.9,396.9,358.3,394,-35.7,359.6,395.5,-35.9
CCE1_122W_33N,33.491,-122.519,3/9/2011,18:17,358.2,2,3.14,395.4,2,3.14,1025.8,14,100.5,13.249,33.011,359.3,396.7,357.1,394.3,-37.1,358.5,395.7,-37.3
CCE1_122W_33N,33.491,-122.519,3/9/2011,21:17,358.3,2,3.08,395.8,2,3.06,1025.1,14.1,100.48,13.343,33.006,359.4,397,356.9,394.3,-37.3,358.2,395.7,-37.5
CCE1_122W_33N,33.491,-122.519,3/10/2011,0:17,358.6,2,3.19,395.8,2,3.2,1024.4,14,100.55,13.346,33.012,359.7,397.1,357,394.1,-37.1,358.3,395.6,-37.2
CCE1_122W_33N,33.491,-122.519,3/10/2011,3:17,358,2,3.06,395.7,2,2.97,1024,14,100.51,13.308,33.022,359.1,396.9,356.2,393.7,-37.5,357.5,395.2,-37.6
CCE1_122W_33N,33.491,-122.519,3/10/2011,6:17,358.8,2,3.08,395.6,2,2.99,1024.2,14,100.45,13.281,33.027,359.9,396.8,357.1,393.8,-36.6,358.5,395.2,-36.8
CCE1_122W_33N,33.491,-122.519,3/10/2011,9:17,359.5,2,3.06,395.8,2,2.99,1025,13.9,100.43,13.25,33.022,360.6,396.9,358.1,394.2,-36.1,359.5,395.7,-36.2
CCE1_122W_33N,33.491,-122.519,3/10/2011,12:17,359,2,3.1,395.5,2,3.02,1023.9,13.9,100.49,13.263,33.012,360.1,396.7,357.2,393.5,-36.3,358.6,395,-36.4
CCE1_122W_33N,33.491,-122.519,3/10/2011,15:17,358.9,2,3.11,395.4,2,3.03,1025.1,13.9,100.4,13.251,33.012,360,396.6,357.6,393.9,-36.4,358.9,395.4,-36.5
CCE1_122W_33N,33.491,-122.519,3/10/2011,18:17,360.2,2,3.23,395.5,2,3.22,1025.9,14,100.46,13.278,33.024,361.3,396.8,359.2,394.4,-35.2,360.5,395.8,-35.3
CCE1_122W_33N,33.491,-122.519,3/10/2011,21:17,361.4,2,3.29,395.3,2,3.24,1024.7,14.1,100.49,13.543,33.008,362.6,396.6,360,393.7,-33.7,361.3,395.2,-33.9
CCE1_122W_33N,33.491,-122.519,3/11/2011,0:17,361.5,2,3.45,395.1,2,3.48,1023.6,14.5,100.58,13.554,33.02,362.7,396.5,359.6,393.1,-33.4,361,394.5,-33.6
CCE1_122W_33N,33.491,-122.519,3/11/2011,3:17,360.4,2,3.27,395.1,2,3.18,1023.7,14.7,100.68,13.525,33.01,361.6,396.3,358.6,393,-34.4,359.9,394.4,-34.5
CCE1_122W_33N,33.491,-122.519,3/11/2011,6:17,360.1,2,3.25,395.1,2,3.16,1024,14.6,100.86,13.499,33.01,361.3,396.3,358.4,393.1,-34.8,359.7,394.6,-34.9
CCE1_122W_33N,33.491,-122.519,3/11/2011,9:17,361.2,2,3.13,395.2,2,3.05,1023.2,14.4,100.53,13.429,33.017,362.4,396.4,359.2,392.9,-33.7,360.5,394.4,-33.9
CCE1_122W_33N,33.491,-122.519,3/11/2011,12:17,360.9,2,3.08,395.4,2,3,1022.6,14.1,100.6,13.394,33.018,362,396.6,358.6,392.9,-34.3,360,394.4,-34.4
CCE1_122W_33N,33.491,-122.519,3/11/2011,15:17,361.6,2,3.14,395.4,2,3.06,1023,14,100.46,13.391,33.018,362.7,396.6,359.5,393,-33.6,360.8,394.5,-33.7
CCE1_122W_33N,33.491,-122.519,3/11/2011,18:17,361,2,3.32,395.3,2,3.31,1024.5,14.1,100.62,13.446,33.023,362.2,396.6,359.4,393.6,-34.2,360.8,395.1,-34.3
CCE1_122W_33N,33.491,-122.519,3/11/2011,21:17,360.6,2,3.25,395.6,2,3.21,1023.5,14,100.68,13.516,33.022,361.8,396.9,358.7,393.5,-34.8,360,395,-34.9
CCE1_122W_33N,33.491,-122.519,3/12/2011,0:17,360.6,2,3.33,395.4,2,3.34,1022.6,14.1,100.79,13.6,33.018,361.8,396.8,358.4,393,-34.6,359.7,394.4,-34.7
CCE1_122W_33N,33.491,-122.519,3/12/2011,3:17,360.6,2,3.13,395.9,2,3.04,1022.3,14.2,100.83,13.553,33.02,361.8,397.1,358.2,393.2,-35,359.6,394.7,-35.2
CCE1_122W_33N,33.491,-122.519,3/12/2011,6:17,360.3,2,3.16,395.9,2,3.06,1022.8,14.1,100.83,13.497,33.022,361.5,397.1,358.1,393.4,-35.3,359.5,394.9,-35.4
CCE1_122W_33N,33.491,-122.519,3/12/2011,9:17,358,2,3.14,395.8,2,3.04,1023.1,14,100.89,13.417,33.022,359.1,397,356,393.5,-37.5,357.3,395,-37.7
CCE1_122W_33N,33.491,-122.519,3/12/2011,12:17,358.5,2,3.15,395.8,2,3.06,1022.1,13.9,100.84,13.391,33.021,359.6,397,356.1,393.1,-37,357.4,394.5,-37.1
CCE1_122W_33N,33.491,-122.519,3/12/2011,15:17,358.1,2,3.25,395.7,2,3.13,1023.1,13.9,100.75,13.373,33.022,359.3,396.9,356.1,393.4,-37.3,357.5,394.9,-37.4
CCE1_122W_33N,33.491,-122.519,3/12/2011,18:17,356.5,2,3.32,395.3,2,3.27,1024.9,14,100.83,13.411,33.018,357.7,396.6,355.1,393.8,-38.7,356.4,395.3,-38.8
CCE1_122W_33N,33.491,-122.519,3/12/2011,21:17,358.1,2,3.33,395.5,2,3.25,1023.5,14.2,100.91,13.552,33.02,359.3,396.8,356.2,393.4,-37.2,357.5,394.8,-37.4
CCE1_122W_33N,33.491,-122.519,3/13/2011,0:17,357.3,2,3.33,395.3,2,3.26,1022.5,14.4,100.92,13.627,33.022,358.5,396.6,355.1,392.7,-37.7,356.4,394.2,-37.8
CCE1_122W_33N,33.491,-122.519,3/13/2011,3:17,356.1,2,3.25,395.5,2,3.13,1023.2,14.5,100.99,13.732,32.995,357.2,396.8,354,393.2,-39.2,355.3,394.6,-39.3
CCE1_122W_33N,33.491,-122.519,3/13/2011,6:17,357.9,2,3.31,395.4,2,3.18,1023.6,14.6,100.91,13.817,32.991,359.1,396.6,355.9,393.1,-37.2,357.2,394.6,-37.4
CCE1_122W_33N,33.491,-122.519,3/13/2011,9:17,357.2,2,3.35,395.5,2,3.22,1023.2,14.4,100.97,13.553,33.021,358.4,396.8,355.2,393.2,-38.1,356.5,394.7,-38.2
CCE1_122W_33N,33.491,-122.519,3/13/2011,12:17,356.2,2,3.37,395.4,2,3.24,1023.4,14.4,101,13.536,33.014,357.4,396.7,354.3,393.3,-39,355.6,394.8,-39.1
CCE1_122W_33N,33.491,-122.519,3/13/2011,15:17,356.6,2,3.41,395.4,2,3.29,1025.1,14.4,100.91,13.522,33.018,357.8,396.7,355.3,393.9,-38.6,356.6,395.4,-38.8
CCE1_122W_33N,33.491,-122.519,3/13/2011,18:17,357,2,3.6,394.3,2,3.52,1024.6,14.5,101.06,13.584,33.023,358.3,395.7,355.6,392.7,-37.1,357,394.2,-37.2
CCE1_122W_33N,33.491,-122.519,3/13/2011,21:17,361.8,2,3.72,394.1,2,3.71,1025.4,15,101.05,13.957,33.027,363.1,395.5,360.5,392.7,-32.2,361.9,394.2,-32.3
CCE1_122W_33N,33.491,-122.519,3/14/2011,0:17,366.5,2,3.89,392.7,2,3.84,1025.3,15.6,101.24,14.367,33.033,367.9,394.2,365.1,391.2,-26.1,366.5,392.7,-26.2
