expocode: 316420090519
vessel name: CCE1_122W_33N
"PIs: Sutton, A.; Send, U. "
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW,pH QF
CCE1_122W_33N,33.48,-122.53,5/19/2009,1:00:00,389.5,2,6.27,387,2,6.38,1013.1,16.4,99.76,15.59,33.146,392,389.5,383.8,381.4,2.4,385.2,382.8,2.5,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,1:30:00,385.2,2,5.56,389,2,5.46,1012.9,17,100.05,15.501,33.141,387.3,391.1,379.2,383,-3.7,380.6,384.3,-3.7,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,2:00:00,394,2,5.49,389.3,2,5.38,1012.7,17.4,100.19,15.51,33.141,396.2,391.4,387.8,383.1,4.7,389.2,384.5,4.7,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,2:30:00,397.8,2,5.57,389.3,2,5.25,1013,17.6,100.29,15.467,33.142,400.1,391.3,391.7,383.2,8.5,393.2,384.5,8.6,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,3:00:00,391.1,2,5.63,389.4,2,5.31,1013.3,17.8,100.48,15.437,33.143,393.4,391.5,385.3,383.5,1.8,386.7,384.9,1.9,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,3:30:00,388.5,2,5.68,389.4,2,5.35,1013.4,18,100.53,15.419,33.143,390.7,391.5,382.7,383.5,-0.8,384.1,384.9,-0.8,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,4:00:00,388.2,2,5.72,389.6,2,5.39,1013.4,18.1,100.53,15.383,33.142,390.4,391.7,382.5,383.7,-1.2,383.9,385.1,-1.3,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,4:31:00,386,2,5.75,390,2,5.42,1013.6,18.2,100.53,15.416,33.148,388.2,392.1,380.4,384.2,-3.9,381.8,385.6,-3.8,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,6:17:00,382.9,2,6.45,389.2,2,6.16,1014.5,17.4,100.53,15.41,33.166,385.4,391.6,378,384,-6.1,379.3,385.4,-6.1,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,9:17:00,382,2,6.47,388.7,2,6.39,1013.5,16.9,100.53,15.399,33.185,384.5,391.2,376.8,383.2,-6.5,378.1,384.7,-6.6,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,12:17:00,381.8,2,6.36,388.1,2,6.09,1013.4,16.6,100.53,15.336,33.165,384.2,390.5,376.4,382.6,-6.1,377.8,384,-6.2,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,15:17:00,376.5,2,6.06,389.8,2,5.79,1014.4,16.3,100.48,15.142,33.117,378.8,392,371.6,384.5,-13,372.9,385.9,-13,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,18:17:00,373.3,2,6.29,389,2,6.23,1015.7,16,100.63,14.993,33.082,375.7,391.5,369.1,384.6,-15.5,370.4,386,-15.6,,
CCE1_122W_33N,33.48,-122.53,5/19/2009,21:17:00,374.8,2,6.08,388.3,2,5.82,1015.2,15.9,100.58,15.14,33.117,377,390.5,370.1,383.4,-13.2,371.4,384.7,-13.3,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,0:17:00,374.9,2,6.05,389.1,2,5.98,1014,15.8,100.63,15.157,33.115,377.2,391.4,369.8,383.8,-13.9,371.2,385.2,-14,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,3:17:00,370.2,2,6.02,388.7,2,5.94,1013.8,15.7,100.63,14.834,33.064,372.4,391,365.2,383.4,-18.2,366.5,384.8,-18.3,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,6:17:00,367.1,2,5.78,389.1,2,5.7,1014.8,15.6,100.63,14.648,33.028,369.3,391.4,362.5,384.2,-21.7,363.9,385.7,-21.8,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,9:17:00,363.7,2,5.72,389.5,2,5.64,1014.4,15.4,100.72,14.408,33.018,365.8,391.7,359.1,384.5,-25.4,360.4,385.9,-25.5,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,12:17:00,366.2,2,5.65,389.9,2,5.57,1014.9,15.2,100.68,14.224,33.053,368.2,392,361.7,385.1,-23.4,363,386.5,-23.5,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,15:17:00,363.2,2,5.74,389.8,2,5.67,1015.1,15,100.77,13.316,33.071,365.3,392,359.2,385.5,-26.2,360.6,386.9,-26.4,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,18:17:00,370.9,2,5.65,390.1,2,5.58,1015.9,14.7,100.96,13.253,33.104,373,392.2,367.2,386,-18.9,368.5,387.4,-19,,
CCE1_122W_33N,33.48,-122.53,5/20/2009,21:17:00,387.2,2,5.93,389.3,2,5.87,1015.6,14.6,101.21,13.274,33.189,389.5,391.6,383.3,385.3,-2,384.7,386.7,-2.1,,
CCE1_122W_33N,33.48,-122.53,5/21/2009,0:17:00,390.2,2,5.93,389.2,2,5.87,1014.6,14.6,101.55,13.496,33.273,392.5,391.5,385.8,384.8,1,387.1,386.2,1,,
CCE1_122W_33N,33.48,-122.53,5/21/2009,3:17:00,391.9,2,5.6,389.4,2,5.53,1014.3,14.5,101.84,13.64,33.321,394.1,391.6,387.1,384.6,2.5,388.5,386.1,2.5,,
