expocode: 316420190510
vessel name: CCE1_122W_33N
PIs:   Sutton A.; Send U.; Ohman M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CCE1_122W_33N,33.463,-122.528,05/10/2019,03:47,425.1,2,2.42,413.2,2,2.28,1009.1,17.7,100.4,-999,-999,426.1,414.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,4,245.6,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,04:17,425.1,2,2.36,413.3,2,2.26,1009.4,17.9,100.5,-999,-999,426.1,414.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,4,244.5,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,04:47,424.7,2,2.39,413.5,2,2.27,1009.5,18,100.57,-999,-999,425.7,414.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,4,244.3,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,05:17,420.1,2,2.42,413.7,2,2.27,1009.7,17.9,100.57,-999,-999,421.1,414.7,-999,-999,-999,-999,-999,-999,-999,5,0.076,2,-999,4,244.6,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,05:47,419.5,2,2.46,413.7,2,2.29,1009.8,17.9,100.59,16.363,33.333,420.6,414.7,410.1,404.3,5.8,411.6,405.8,5.8,-999,5,0.076,2,-999,4,245.5,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,06:17,418.1,2,2.57,413.6,2,2.38,1010,17.9,100.61,16.363,33.333,419.2,414.6,408.8,404.4,4.4,410.3,405.8,4.4,-999,5,0.074,2,-999,4,244.7,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,09:17,413.5,2,3.39,411.4,2,3.24,1009.4,16.6,100.59,16.476,33.377,414.9,412.8,404.3,402.3,2.1,405.8,403.7,2.1,-999,5,0.074,2,-999,4,244.3,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,12:17,412,2,3.3,411.1,2,3.03,1009.2,16.3,100.52,16.366,33.378,413.4,412.3,402.9,401.8,1,404.3,403.2,1,-999,5,-999,5,-999,4,244.1,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,15:17,411.2,2,3.37,410.5,2,3.14,1010.2,16.2,100.44,16.3,33.378,412.6,411.8,402.5,401.7,0.8,403.9,403.1,0.8,-999,5,-999,5,-999,4,244.1,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,18:17,410.5,2,3.3,409.6,2,3.22,1010.8,16.3,100.46,16.283,33.384,411.9,410.9,402.1,401.1,1,403.5,402.5,1,-999,5,-999,5,-999,4,244.2,2
CCE1_122W_33N,33.463,-122.528,05/10/2019,21:17,410,2,3.46,409.8,2,3.25,1011,16.2,100.45,16.339,33.381,411.4,411.1,401.7,401.4,0.3,403.1,402.8,0.3,-999,5,-999,5,-999,4,244.6,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,00:17,409.4,2,3.38,409.8,2,3.26,1011.4,16.4,100.39,16.345,33.374,410.8,411.2,401.2,401.6,-0.4,402.6,403,-0.4,-999,5,-999,5,-999,4,244.9,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,03:17,410.1,2,3.4,409.9,2,3.25,1012,16.5,100.39,16.375,33.376,411.5,411.3,402.2,401.9,0.3,403.6,403.3,0.3,-999,5,-999,5,-999,4,244.5,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,06:17,409.1,2,3.52,410.6,2,3.31,1013.2,16.6,100.4,16.346,33.38,410.6,412,401.7,403.1,-1.4,403.2,404.6,-1.4,-999,5,0.093,2,-999,4,244.4,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,09:17,408.9,2,3.48,411.1,2,3.22,1013.6,16.6,100.33,16.341,33.385,410.3,412.4,401.7,403.7,-2,403.1,405.1,-2,-999,5,0.093,2,-999,4,244.1,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,12:17,405.7,2,3.53,410.9,2,3.36,1014,16.6,100.35,16.333,33.391,407.2,412.3,398.7,403.7,-5,400.1,405.2,-5,-999,5,-999,5,-999,4,243.9,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,15:17,404.7,2,3.61,410.4,2,3.38,1015.5,16.6,100.3,16.325,33.406,406.2,411.8,398.4,403.8,-5.4,399.8,405.3,-5.5,-999,5,-999,5,-999,4,243.6,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,18:17,407.5,2,3.69,410.2,2,3.4,1016.2,17,100.27,16.474,33.414,409.1,411.6,401.4,403.9,-2.5,402.8,405.3,-2.5,-999,5,-999,5,-999,4,243.3,2
CCE1_122W_33N,33.463,-122.528,05/11/2019,21:17,409.7,2,3.67,410,2,3.36,1016,17.1,100.23,16.652,33.418,411.2,411.4,403.4,403.5,-0.2,404.8,405,-0.2,-999,5,-999,5,-999,4,243.2,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,00:17,410.3,2,3.47,410.1,2,3.28,1015.3,17.1,100.26,16.696,33.419,411.7,411.4,403.5,403.2,0.3,405,404.7,0.3,-999,5,-999,5,-999,4,243,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,03:17,408.9,2,3.41,410.1,2,3.23,1015.3,16.9,100.27,16.629,33.417,410.3,411.5,402.2,403.3,-1.1,403.7,404.8,-1.1,-999,5,-999,5,-999,4,243.2,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,06:17,408.9,2,3.44,410.3,2,3.29,1016.4,16.8,100.24,16.534,33.41,410.3,411.7,402.7,404,-1.3,404.1,405.5,-1.3,-999,5,0.097,2,-999,4,243.1,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,09:17,407.5,2,3.36,410.6,2,3.26,1016.2,16.7,100.24,16.464,33.405,408.8,411.9,401.2,404.2,-3,402.6,405.7,-3.1,-999,5,0.104,2,-999,4,243.3,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,12:17,407.6,2,3.36,410.5,2,3.2,1015.7,16.4,100.21,16.428,33.405,409,411.8,401.1,403.9,-2.8,402.6,405.4,-2.8,-999,5,-999,5,0.133,2,243.2,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,15:17,407.5,2,3.38,410.3,2,3.19,1016.6,16.3,100.14,16.392,33.404,408.9,411.6,401.5,404.1,-2.6,402.9,405.5,-2.6,-999,5,-999,5,0.125,2,243.4,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,18:17,407.8,2,3.48,410.9,2,3.22,1017.8,16.5,100.13,16.383,33.399,409.2,412.2,402.3,405.2,-2.9,403.7,406.7,-2.9,-999,5,-999,5,0.137,2,243.8,2
CCE1_122W_33N,33.463,-122.528,05/12/2019,21:17,409.5,2,3.51,411.6,2,3.27,1017.6,16.7,100.12,16.413,33.389,410.9,412.9,403.8,405.7,-2,405.2,407.2,-2,-999,5,-999,5,0.09,2,244.2,2
CCE1_122W_33N,33.463,-122.528,05/13/2019,00:17,410,2,3.49,411.1,2,3.28,1016.7,16.7,100.15,16.432,33.393,411.4,412.5,403.9,405,-1,405.4,406.4,-1,-999,5,-999,5,0.109,2,244.1,2
CCE1_122W_33N,33.463,-122.528,05/13/2019,03:17,409,2,3.43,411.3,2,3.25,1016.5,16.5,100.19,16.373,33.391,410.4,412.7,402.9,405.1,-2.2,404.3,406.6,-2.3,-999,5,-999,5,0.137,2,244.5,2
CCE1_122W_33N,33.463,-122.528,05/13/2019,06:17,408.9,2,3.45,409,2,3.28,1017.6,16.6,100.2,16.395,33.398,410.3,410.4,403.3,403.3,,404.7,404.8,,-999,5,0.095,2,0.082,2,244.2,2
CCE1_122W_33N,33.463,-122.528,05/13/2019,09:17,409.3,2,3.41,409.2,2,3.23,1017.7,16.5,100.13,16.402,33.406,410.7,410.5,403.6,403.4,0.2,405.1,404.9,0.2,-999,5,0.094,2,0.101,2,243.9,2
CCE1_122W_33N,33.463,-122.528,05/13/2019,12:17,408.8,2,3.39,408.8,2,3.16,1017.8,16.3,100.1,16.39,33.407,410.2,410.1,403.2,403.1,0.1,404.6,404.6,0.1,-999,5,-999,5,0.133,2,243.7,2
CCE1_122W_33N,33.463,-122.528,05/13/2019,15:17,409.2,2,3.35,408.7,2,3.11,1018.8,16.2,100.1,16.458,33.413,410.5,410,403.9,403.4,0.5,405.3,404.8,0.6,-999,5,-999,5,0.148,2,243.1,2
