expocode: 316420171104
vessel name: CCE1_122W_33N
PIs:   Sutton A.; Send U.; Ohman M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CCE1_122W_33N,33.457,-122.515,11/04/2017,03:17,399,2,2.85,404.6,2,2.65,1015.8,18.7,100.05,17.564,33.42,400.2,405.6,392,397.4,-5.4,393.4,398.8,-5.4,-999,4,-999,5,0.749,2,243.5,2
CCE1_122W_33N,33.457,-122.515,11/04/2017,06:17,398.1,2,2.84,404.4,2,2.63,1015.9,18.5,100.1,17.617,33.446,399.2,405.5,391.1,397.2,-6.1,392.5,398.6,-6.1,-999,4,0.068,2,0.73,2,243.1,2
CCE1_122W_33N,33.457,-122.515,11/04/2017,09:17,399.5,2,2.82,403.9,2,2.63,1015.8,18.5,100.1,17.516,33.39,400.7,405,392.5,396.7,-4.2,393.9,398.1,-4.2,-999,4,0.063,2,0.697,2,243.4,2
CCE1_122W_33N,33.457,-122.515,11/04/2017,12:17,403.4,2,2.77,404.1,2,2.37,1015.2,18.4,100.1,17.962,33.459,404.5,405,395.9,396.4,-0.5,397.3,397.7,-0.5,-999,4,-999,5,0.684,2,240.2,2
CCE1_122W_33N,33.457,-122.515,11/04/2017,15:17,402,2,2.71,404.7,2,2.52,1015.9,18.1,100.15,17.918,33.475,403.1,405.7,394.8,397.3,-2.6,396.1,398.7,-2.6,-999,4,-999,5,0.694,2,240.5,2
CCE1_122W_33N,33.457,-122.515,11/04/2017,18:17,400.8,2,2.55,404.3,2,2.55,1017.1,18.3,100.1,17.932,33.465,401.8,405.4,394,397.4,-3.5,395.4,398.8,-3.5,-999,4,-999,5,0.7,2,241.1,2
CCE1_122W_33N,33.457,-122.515,11/04/2017,21:17,403.6,2,2.7,404.2,2,2.7,1015.4,18.2,100.15,18.001,33.456,404.7,405.3,396.1,396.7,-0.6,397.5,398.1,-0.6,-999,4,-999,5,0.699,2,241.1,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,00:17,402.6,2,2.75,404.3,2,2.55,1016.1,18.2,100.19,17.906,33.44,403.7,405.3,395.4,397,-1.6,396.8,398.4,-1.6,-999,4,-999,5,0.696,2,242.4,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,03:17,401.7,2,2.69,404.4,2,2.5,1017.2,18,100.14,17.861,33.44,402.8,405.5,395,397.6,-2.6,396.4,399,-2.6,-999,4,-999,5,0.71,2,242.4,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,06:17,400.6,2,2.69,406.1,2,2.5,1018.3,17.9,100.14,17.814,33.442,401.7,407.1,394.4,399.7,-5.3,395.7,401.1,-5.3,-999,4,0.048,2,0.717,2,242.4,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,09:17,400.8,2,2.65,407.1,2,2.46,1019.1,17.9,100.1,18.006,33.485,401.9,408.1,394.8,400.9,-6.1,396.2,402.3,-6.1,-999,4,0.044,2,0.709,2,240.3,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,12:17,400,2,2.39,406.3,2,2.2,1019.2,17.6,100.05,18.003,33.512,401,407.2,394,400,-6.1,395.3,401.4,-6.1,-999,4,-999,5,0.711,2,240.1,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,15:17,399.8,2,2.54,406.2,2,2.17,1020.5,17.3,100,17.975,33.512,400.8,407.1,394.3,400.4,-6.1,395.7,401.8,-6.1,-999,4,-999,5,0.714,2,240.2,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,18:17,400.2,2,2.77,406,2,2.4,1021.3,17.4,100.05,18.002,33.502,401.3,407,395.1,400.7,-5.6,396.5,402.1,-5.6,-999,4,-999,5,0.713,2,240.3,2
CCE1_122W_33N,33.457,-122.515,11/05/2017,21:17,397.9,2,2.79,405.9,2,2.42,1019.5,17.6,99.95,18.132,33.493,399,406.9,392.1,399.8,-7.7,393.4,401.2,-7.8,-999,4,-999,5,0.719,2,240.2,2
CCE1_122W_33N,33.457,-122.515,11/06/2017,00:17,395.9,2,2.6,406,2,2.42,1019.3,17.6,100,18.109,33.493,396.9,407,390,399.8,-9.9,391.3,401.2,-9.9,-999,4,-999,5,0.718,2,240.5,2
CCE1_122W_33N,33.457,-122.515,11/06/2017,03:17,397.4,2,2.54,406,2,2.17,1019.8,17.3,100,17.879,33.466,398.4,406.9,391.7,400.1,-8.4,393.1,401.5,-8.4,-999,4,-999,5,0.741,2,242.1,2
CCE1_122W_33N,33.457,-122.515,11/06/2017,06:17,399,2,2.52,406.4,2,2.16,1020.1,17,100,17.856,33.475,400,407.3,393.4,400.5,-7.2,394.7,402,-7.2,-999,4,0.054,2,0.735,2,242.2,2
CCE1_122W_33N,33.457,-122.515,11/06/2017,09:17,398,2,2.52,406.4,2,2.16,1020.1,17.2,100.05,17.69,33.437,399,407.3,392.5,400.7,-8.2,393.9,402.1,-8.2,-999,4,0.055,2,0.738,2,242.8,2
