expocode: 316420181114
vessel name: CCE1_122W_33N
PIs:   Sutton A.; Send U.; Ohman M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CCE1_122W_33N,33.474,-122.525,11/14/2018,06:47,381.6,2,1.77,411.3,2,1.56,1027.2,17.8,99.76,16.376,33.371,382.3,411.9,379.3,408.7,-29.4,380.7,410.2,-29.5,8.044,2,0.181,2,0.318,2,244.5,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,07:17,381.2,2,1.67,411.4,2,1.44,1027.2,18,99.81,16.375,33.376,381.9,412,378.9,408.8,-29.9,380.3,410.2,-30,8.045,2,0.197,2,0.27,2,244.4,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,07:47,380.7,2,1.63,411.4,2,1.41,1027.3,18.2,99.88,16.35,33.377,381.3,412,378.3,408.8,-30.5,379.7,410.3,-30.6,8.045,2,0.204,2,0.339,2,244.6,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,08:17,380.4,2,1.62,411.9,2,1.4,1027.1,18.3,99.94,16.259,33.36,381.1,412.5,378.1,409.3,-31.2,379.5,410.8,-31.3,8.046,2,0.187,2,0.271,2,244.9,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,08:47,380.9,2,1.61,411.3,2,1.38,1026.7,18.3,99.99,16.269,33.342,381.5,411.9,378.4,408.5,-30.1,379.7,410,-30.2,8.045,2,0.157,2,0.274,2,244.6,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,09:17,382.2,2,1.6,411.5,2,1.38,1026.4,18.3,100.01,16.296,33.347,382.8,412,379.6,408.5,-28.9,380.9,410,-29,8.045,2,0.156,2,0.261,2,244.5,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,09:47,382.1,2,1.6,411.5,2,1.37,1026.4,18.4,100.03,16.394,33.374,382.7,412.1,379.4,408.5,-29.1,380.8,410,-29.2,8.045,2,0.187,2,0.31,2,243.9,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,12:17,383.2,2,2.54,410.5,2,2.34,1025.7,17.4,100.01,16.556,33.353,384.1,411.5,380.5,407.6,-27.1,381.9,409.1,-27.2,8.045,2,-999,5,0.263,2,242.6,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,15:17,386.3,2,2.55,410,2,2.3,1026.5,17.1,99.99,16.766,33.37,387.3,411,383.8,407.3,-23.4,385.2,408.8,-23.5,8.042,2,-999,5,0.295,2,241,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,18:17,388.8,2,2.66,415.2,3,2.43,1026.5,17.2,99.97,16.911,33.385,389.9,416.2,386.3,412.4,-26.1,387.7,413.9,-26.2,8.042,2,-999,5,0.355,2,240.7,2
CCE1_122W_33N,33.474,-122.525,11/14/2018,21:17,391,2,2.75,419.5,3,2.52,1023.4,17.3,100,16.996,33.382,392.1,420.6,387.3,415.4,-28.2,388.6,416.9,-28.3,8.042,2,-999,5,0.29,2,241.1,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,00:17,388.5,2,2.73,418.4,3,2.51,1023.2,17.5,100.04,16.924,33.371,389.5,419.4,384.7,414.3,-29.5,386.1,415.7,-29.6,8.044,2,-999,5,0.352,2,241.8,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,03:17,394.1,2,2.7,432.1,3,2.49,1023.7,17.6,99.99,17.16,33.447,395.2,433.2,390.4,427.9,-37.5,391.8,429.4,-37.7,8.039,2,-999,5,0.319,2,240.1,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,06:17,397.3,2,2.73,424.9,3,2.52,1023.3,17.6,99.99,17.366,33.487,398.4,426,393.3,420.5,-27.2,394.7,422,-27.3,8.035,2,0.11,2,0.368,2,238.6,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,09:17,399.9,2,2.73,422,3,2.5,1021.7,17.6,99.94,17.47,33.51,401,423.1,395.2,416.9,-21.7,396.6,418.4,-21.8,8.034,2,0.074,2,0.322,2,237.4,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,12:17,398.4,2,2.73,419.3,3,2.49,1021.1,17.6,99.92,17.345,33.509,399.5,420.3,393.5,414,-20.5,394.9,415.5,-20.6,8.036,2,-999,5,0.454,2,237.8,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,15:17,397.1,2,2.72,417.8,3,2.49,1021.5,17.5,99.91,17.295,33.511,398.2,418.8,392.4,412.8,-20.3,393.8,414.2,-20.4,8.038,2,-999,5,0.342,2,238.1,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,18:17,393.6,2,2.77,417.7,3,2.53,1021.3,17.4,99.91,17.106,33.483,394.7,418.8,389,412.7,-23.7,390.4,414.2,-23.8,8.042,2,-999,5,0.279,2,239.4,2
CCE1_122W_33N,33.474,-122.525,11/15/2018,21:17,394.2,2,2.8,417.1,3,2.57,1019.5,17.5,99.94,17.152,33.488,395.3,418.2,388.8,411.4,-22.5,390.2,412.8,-22.6,8.042,2,-999,5,0.275,2,239.8,2
CCE1_122W_33N,33.474,-122.525,11/16/2018,00:17,395.4,2,2.78,416.3,3,2.56,1018.9,17.6,99.94,17.241,33.515,396.5,417.3,389.8,410.3,-20.5,391.2,411.7,-20.6,8.042,2,-999,5,0.258,2,239.1,2
CCE1_122W_33N,33.474,-122.525,11/16/2018,03:17,394.1,2,2.75,416.3,3,2.55,1018.9,17.6,99.96,17.284,33.55,395.2,417.4,388.5,410.3,-21.8,389.9,411.7,-21.9,8.042,2,-999,5,0.256,2,239,2
