expocode: 316420141026
vessel name: CCE1_122W_33N
PIs:  Sutton, A.; Send, U. 
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,14:47,397.0,2,3.18,393.7,2,2.95,1020.8,18.7,99.98,-999,-999,398.3,394.8,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,15:17,395.8,2,2.09,395.7,2,1.83,1020.9,19.3,99.98,-999,-999,396.6,396.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,15:47,394.5,2,1.93,395.7,2,1.67,1021.0,19.6,99.97,-999,-999,395.2,396.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,16:17,395.3,2,1.99,395.6,2,1.72,1021.1,19.8,99.99,-999,-999,396.0,396.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,16:47,395.0,2,1.95,395.7,2,1.69,1021.0,19.9,99.99,-999,-999,395.8,396.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,17:17,394.4,2,1.87,395.8,2,1.62,1021.2,20.0,99.99,-999,-999,395.2,396.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,17:47,394.6,2,1.94,395.8,2,1.67,1021.3,20.1,99.98,-999,-999,395.4,396.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,18:17,394.8,2,1.94,395.8,2,1.68,1021.2,20.1,99.99,-999,-999,395.6,396.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,21:17,395.8,2,2.82,395.5,2,2.55,1019.5,18.9,99.99,-999,-999,396.9,396.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.524,-122.514,10/26/2014,23:17,395.1,2,2.75,395.5,2,2.50,1019.1,18.9,100.00,-999,-999,396.2,396.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
