expocode: 316420161009
vessel name: CCE1_122W_33N
PIs:  Sutton, A.; Send, U.; Ohman, M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,01:17,-999,4,3.39,-999,4,3.15,1012.2,17.5,100.08,17.140,33.131,-999,-999,-999,-999,-999,-999,-999,-999,8.106,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,01:47,398.0,2,1.88,401.5,2,1.70,1012.3,18.1,100.18,17.107,33.130,398.8,402.2,389.5,392.8,-3.3,390.9,394.2,-3.3,8.106,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,02:17,397.6,2,1.81,401.7,2,1.64,1012.4,18.4,100.23,17.085,33.126,398.4,402.3,389.1,393.0,-3.9,390.5,394.4,-3.9,8.107,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,02:47,397.6,2,1.89,402.0,2,1.70,1012.5,18.5,100.31,17.077,33.124,398.4,402.7,389.2,393.4,-4.2,390.6,394.8,-4.2,8.107,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,03:17,396.4,2,1.98,402.3,2,1.78,1012.9,18.6,100.39,17.017,33.124,397.2,403.0,388.2,393.9,-5.7,389.6,395.3,-5.7,8.107,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,03:47,395.5,2,1.96,402.5,2,1.77,1013.2,18.7,100.41,16.972,33.139,396.3,403.2,387.5,394.2,-6.7,388.9,395.6,-6.7,8.109,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,04:17,393.9,2,1.93,402.7,2,1.75,1013.5,18.7,100.50,16.910,33.158,394.6,403.4,386.0,394.6,-8.6,387.4,396.0,-8.6,8.110,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,04:47,393.6,2,1.88,402.9,2,1.72,1013.7,18.7,100.50,16.905,33.175,394.3,403.6,385.8,394.8,-9.1,387.2,396.2,-9.1,8.110,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,06:17,390.2,2,2.68,401.4,2,2.53,1014.1,17.7,100.53,16.820,33.194,391.2,402.5,382.9,393.9,-11.0,384.3,395.3,-11.0,8.114,2,0.433,2,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,09:17,390.0,2,2.79,401.2,2,2.65,1014.2,16.8,100.53,16.809,33.197,391.1,402.2,382.9,393.7,-10.8,384.3,395.1,-10.9,8.115,2,0.374,2,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,12:17,390.9,2,2.69,401.3,2,2.56,1014.0,16.4,100.51,16.813,33.196,391.9,402.3,383.6,393.8,-10.2,384.9,395.2,-10.2,8.115,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.476,-122.523,10/09/2016,15:17,392.5,2,2.71,401.0,2,2.57,1015.8,16.2,100.46,16.864,33.158,393.6,402.0,385.9,394.2,-8.3,387.2,395.6,-8.3,8.112,2,-999,5,-999,4,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
