expocode: 316420130412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: CCE2_121W_34N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Send, U.; Ohman, M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF xCO2 SW (wet),H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF xCO2 AIR (wet),H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MApCO2 % O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),QF pH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CCE2_121W_34N,34.324,-120.815,04/12/2013,00:17,495.3,2,2.91,406.4,2,2.82,1012.8,13,94.54,11.927,33.712,496.7,407.6,487.9,400.4,87.6,489.8,401.9,87.9,7.974,2,-999,5,-999,5,227.9,2
CCE2_121W_34N,34.324,-120.815,04/12/2013,03:17,487.9,2,2.89,406.3,2,2.84,1012.6,12.9,94.71,11.937,33.71,489.3,407.5,480.6,400.2,80.4,482.4,401.7,80.7,7.986,2,-999,5,-999,5,229.2,2
CCE2_121W_34N,34.324,-120.815,04/12/2013,06:17,490.5,2,2.85,406.5,2,2.83,1012.1,12.7,94.67,11.89,33.711,491.9,407.6,482.9,400.1,82.7,484.7,401.7,83,7.986,2,0.357,2,-999,5,229.5,2
CCE2_121W_34N,34.324,-120.815,04/12/2013,09:17,537.7,2,2.87,406.4,2,2.86,1012.6,12.6,94.56,11.609,33.738,539.2,407.5,529.7,400.4,129.3,531.7,401.9,129.8,7.945,2,0.634,2,-999,5,225.1,2
CCE2_121W_34N,34.324,-120.815,04/12/2013,12:17,528.4,2,2.83,405.1,2,2.76,1012.6,12.5,94.65,11.643,33.731,529.9,406.3,520.6,399.1,121.4,522.5,400.6,121.9,7.956,2,-999,5,-999,5,225.6,2
CCE2_121W_34N,34.324,-120.815,04/12/2013,15:17,531.5,2,2.85,404.9,2,2.82,1013.5,12.4,94.47,11.624,33.73,533,406.1,524.1,399.3,124.8,526.1,400.8,125.3,7.957,2,-999,5,-999,5,225.4,2
CCE2_121W_34N,34.324,-120.815,04/12/2013,18:17,532.8,2,2.9,405.2,2,2.88,1014.6,12.4,94.26,11.616,33.729,534.4,406.4,526,400.1,126,528,401.6,126.4,7.954,2,-999,5,-999,5,224.9,2
CCE2_121W_34N,34.324,-120.815,04/12/2013,21:17,548.2,2,2.96,405.7,2,2.95,1013.5,12.5,94.23,11.568,33.745,549.9,406.9,540.7,400.2,140.6,542.8,401.7,141.1,7.943,2,-999,5,-999,5,225.3,2
CCE2_121W_34N,34.324,-120.815,04/13/2013,00:17,541.4,2,2.94,404.3,2,2.89,1012.7,12.6,94.34,11.589,33.745,543,405.5,533.5,398.4,135.1,535.6,399.9,135.7,7.946,2,-999,5,-999,5,226.7,2
CCE2_121W_34N,34.324,-120.815,04/13/2013,03:17,540.2,2,2.86,404.5,2,2.81,1013.4,12.5,94.33,11.584,33.745,541.8,405.7,532.7,398.8,133.8,534.7,400.4,134.3,7.947,2,-999,5,-999,5,228.3,2
