expocode: 316420180314
vessel name: CCE2_121W_34N
PIs:   Sutton A.; Send U.; Ohman M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CCE2_121W_34N,34.31,-120.814,03/14/2018,02:47,330.4,2,2.24,412.6,2,2.07,1015.7,16.2,104.15,13.881,33.449,331.1,413.4,325.7,406.6,-80.9,326.9,408.1,-81.2,-999,5,-999,5,0.314,2,292.7,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,03:17,330.4,2,2.24,412.3,2,2.07,1015.5,16.2,104.42,13.89,33.447,331.2,413.1,325.6,406.2,-80.6,326.8,407.7,-80.9,-999,5,-999,5,0.289,2,293,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,03:47,330,2,2.25,412.3,2,2.1,1016.2,16.2,104.52,13.896,33.446,330.8,413.2,325.4,406.5,-81.1,326.6,408,-81.4,-999,5,-999,5,0.278,2,292.6,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,04:17,330,2,2.3,412.2,2,2.14,1016.5,16.2,104.72,13.894,33.446,330.8,413.1,325.6,406.6,-81,326.8,408.1,-81.3,-999,5,-999,5,0.262,2,292.5,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,04:47,330.4,2,2.31,412.5,2,2.14,1016.5,16.2,104.81,13.891,33.446,331.1,413.3,325.9,406.8,-80.9,327.1,408.3,-81.2,-999,5,-999,5,0.266,2,291.5,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,06:17,327.2,2,3.41,412,2,3.25,1017,15.4,104.93,13.847,33.45,328.3,413.3,323.3,407,-83.7,324.5,408.5,-84,-999,5,1.79,2,0.279,2,290.9,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,09:17,350.5,2,3.87,412,2,3.75,1016.7,15,104.37,14.12,33.428,351.8,413.6,346.3,407.1,-60.8,347.5,408.5,-61,-999,5,1.133,2,0.261,2,275.8,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,12:17,360.5,2,3.85,412.3,2,3.7,1015.7,15,103.77,14.117,33.432,361.9,413.9,355.8,407,-51.1,357.1,408.4,-51.3,-999,5,-999,5,0.229,2,269.5,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,15:17,358.2,2,3.87,412.3,2,3.74,1016.2,14.9,103.37,14.057,33.439,359.6,413.8,353.8,407.1,-53.4,355.1,408.6,-53.6,-999,5,-999,5,0.249,2,270.4,2
CCE2_121W_34N,34.31,-120.814,03/14/2018,18:17,352.5,2,4.01,412.3,2,3.82,1016.9,15.2,103.23,14.216,33.43,353.9,413.9,348.4,407.4,-59.1,349.6,408.9,-59.3,-999,5,-999,5,0.244,2,275.2,2
