expocode: 316420140502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: CCE2_121W_34N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Send, Uwe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,PH_SW,QF_PH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CCE2_121W_34N,34.323,-120.812,05/02/2014,03:17,389.3,2,3.33,410.2,2,3,1016.8,18,101.2,14.817,33.51,390.6,411.5,384.2,404.7,-20.5,385.6,406.2,-20.6,-999,4,-999,5,-999,5,225.3,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,03:47,389.9,2,3.33,409.7,2,3.02,1017,17.9,101.45,14.752,33.518,391.2,410.9,384.9,404.3,-19.4,386.3,405.7,-19.5,-999,4,-999,5,-999,5,225.1,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,04:17,392.1,2,3.34,409.3,2,3.04,1017,17.9,101.63,14.807,33.516,393.5,410.6,387.1,403.9,-16.8,388.5,405.4,-16.9,-999,4,-999,5,-999,5,225.7,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,04:47,392.7,2,3.06,409.4,2,3.05,1017.2,17.8,101.89,14.757,33.517,393.9,410.7,387.6,404.1,-16.5,389,405.6,-16.6,-999,4,-999,5,-999,5,225.4,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,05:17,368.8,2,3.26,408.4,2,3.06,1017.2,17.8,102.77,14.443,33.521,370,409.7,364.2,403.3,-39,365.6,404.7,-39.2,-999,4,0.795,2,-999,5,235.7,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,05:47,371.9,2,3.24,408.6,2,3.04,1017,17.7,103.58,14.468,33.547,373.1,409.8,367.2,403.3,-36.1,368.5,404.8,-36.3,-999,4,1.139,2,-999,5,244.5,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,06:17,387,2,3.28,410.2,2,3.07,1016.6,17.7,103.6,14.674,33.532,388.3,411.5,381.9,404.7,-22.8,383.3,406.2,-22.9,-999,4,0.779,2,-999,5,237.5,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,09:17,389.6,2,4.21,412,2,4.07,1015.5,15.7,103.25,14.586,33.519,391.3,413.7,384.5,406.5,-22,385.9,407.9,-22.1,-999,4,0.527,2,-999,5,226.8,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,12:17,385.4,2,4.24,406.4,2,4.2,1014.8,15.9,102.64,15.026,33.5,387.1,408.1,379.9,400.5,-20.6,381.2,401.9,-20.7,-999,4,-999,5,-999,5,221.1,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,15:17,383.2,2,4.23,408.2,2,4.24,1014.8,15.9,102.12,14.581,33.506,384.8,410,377.9,402.6,-24.7,379.2,404,-24.8,-999,4,-999,5,-999,5,222.9,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,18:17,395.7,2,4.09,408.7,2,4.12,1016,15.7,102.16,13.996,33.534,397.3,410.4,390.8,403.7,-12.9,392.2,405.1,-12.9,-999,4,-999,5,-999,5,232.8,2
CCE2_121W_34N,34.323,-120.812,05/02/2014,21:17,416.7,2,4.01,404.3,2,4.04,1015.7,15.5,102.07,13.96,33.561,418.4,405.9,411.4,399.1,12.2,412.9,400.6,12.3,-999,4,-999,5,-999,5,230.7,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,00:17,380.1,2,4.08,403.6,2,4.1,1014.5,15.5,102.67,14.433,33.532,381.6,405.3,374.7,397.9,-23.2,376,399.4,-23.3,-999,4,-999,5,-999,5,238.5,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,03:17,383.9,2,3.97,402.2,2,3.94,1014.6,15.7,102.52,14.673,33.509,385.4,403.8,378.3,396.3,-18,379.7,397.8,-18.1,-999,4,-999,5,-999,5,227.5,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,06:17,389.1,2,3.87,402,2,3.87,1015.1,15.4,102.62,14.046,33.528,390.6,403.5,383.8,396.6,-12.7,385.3,398,-12.8,-999,4,1.476,2,-999,5,236.5,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,09:17,454.5,2,3.71,403,2,3.73,1014.2,14.8,101.72,13.367,33.583,456.2,404.5,448.2,397.4,50.8,449.8,398.8,51,-999,4,1.169,2,-999,5,222.1,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,12:17,390.3,2,3.77,404.1,2,3.84,1013.9,14.5,101.42,14.112,33.514,391.8,405.7,384.5,398.1,-13.6,385.9,399.6,-13.7,-999,4,-999,5,-999,5,226.3,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,15:17,402.6,2,3.85,403.8,2,3.92,1014.7,15,101.1,13.951,33.522,404.2,405.4,397.1,398.3,-1.2,398.5,399.8,-1.2,-999,4,-999,5,-999,5,223.6,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,18:17,477.1,2,3.73,404.2,2,3.81,1015.6,14.6,100.38,13.337,33.583,478.9,405.7,471.2,399.1,72,472.9,400.6,72.3,-999,4,-999,5,-999,5,217.4,2
CCE2_121W_34N,34.323,-120.812,05/03/2014,21:17,517.7,2,3.73,404.5,2,3.83,1015.7,14.3,99.25,12.841,33.611,519.6,406,511.5,399.7,111.8,513.4,401.2,112.2,-999,4,-999,5,-999,5,209.6,2
CCE2_121W_34N,34.323,-120.812,05/04/2014,00:17,512.3,2,3.73,404.6,2,3.81,1015,14.2,98.49,12.863,33.607,514.3,406.1,505.8,399.5,106.3,507.7,401,106.7,-999,4,-999,5,-999,5,210,2
CCE2_121W_34N,34.323,-120.812,05/04/2014,03:17,438.8,2,3.64,404.4,2,3.69,1015.3,14.5,98.92,13.655,33.549,440.4,405.9,433,399.1,33.9,434.6,400.6,34.1,-999,4,-999,5,-999,5,223.5,2
CCE2_121W_34N,34.323,-120.812,05/04/2014,06:17,454.9,2,3.68,404.8,2,3.71,1016.2,14.5,98.95,13.409,33.571,456.5,406.4,449.4,400,49.4,451.1,401.5,49.6,-999,4,1.183,2,-999,5,220.8,2
CCE2_121W_34N,34.323,-120.812,05/04/2014,09:17,497.3,2,3.65,405,2,3.69,1015.3,14.2,98.57,12.974,33.613,499.1,406.5,491.1,400,91.1,493,401.5,91.5,-999,4,1.093,2,-999,5,214.4,2
CCE2_121W_34N,34.323,-120.812,05/04/2014,12:17,535.1,2,3.54,405.3,2,3.59,1015.2,13.9,97.69,12.511,33.641,537,406.8,528.5,400.4,128.1,530.5,401.9,128.6,-999,4,-999,5,-999,5,207,2
