expocode: 316420200908
vessel name: CCE2_121W_34N
PIs:   Sutton A.; Send U.; Ohman M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CCE2_121W_34N,34.307,-120.805,09/08/2020,01:47,374.6,2,2.37,407.8,2,2.47,1004.9,19.9,101.71,17.991,33.671,375.5,408.8,363.6,395.9,-32.3,364.9,397.3,-32.4,-999,4,-999,5,0.444,2,249.6,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,02:47,379.2,2,2.92,409.3,2,2.98,1004.7,20,102.02,17.951,33.671,380.3,410.5,368.3,397.5,-29.2,369.5,398.8,-29.3,-999,4,-999,5,0.515,2,246.4,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,03:17,379.1,2,2.45,408,2,2.46,1004.8,20.3,102.25,18.009,33.675,380,409,368,396,-28,369.2,397.4,-28.1,-999,4,-999,5,0.388,2,245.4,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,06:17,361.4,2,3.42,405,2,3.45,1004.9,18.9,102.68,17.309,33.646,362.7,406.4,351.5,393.9,-42.4,352.8,395.3,-42.5,8.066,2,1.042,2,-999,4,254.9,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,09:17,364.6,2,3.35,407.3,2,3.36,1004.8,18.5,102.89,17.277,33.636,365.8,408.7,354.5,396.1,-41.6,355.8,397.5,-41.7,8.067,2,0.976,2,-999,4,254.5,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,12:17,380.9,2,3.46,406.5,2,3.5,1004.3,18.5,102.67,17.764,33.67,382.3,407.9,370.1,394.9,-24.9,371.4,396.3,-24.9,8.055,2,-999,5,0.491,2,243.3,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,15:17,387,2,3.53,405.9,2,3.56,1005.2,18.7,102.31,17.848,33.675,388.3,407.4,376.3,394.7,-18.5,377.6,396.1,-18.5,8.051,2,-999,5,0.634,2,239.7,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,18:17,381.2,2,3.51,404.2,2,3.51,1005.6,18.8,102.2,17.852,33.672,382.6,405.6,370.8,393.1,-22.3,372.1,394.5,-22.4,8.058,2,-999,5,0.431,2,242.8,2
CCE2_121W_34N,34.307,-120.805,09/08/2020,21:17,376.6,2,3.53,403.3,2,3.52,1005.1,18.9,102.25,17.918,33.67,377.9,404.8,366.1,392.1,-26,367.3,393.5,-26.1,8.064,2,-999,5,0.387,2,245.6,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,00:17,385,2,3.49,405.4,2,3.5,1004.5,19,102.13,18.205,33.688,386.4,406.8,373.9,393.7,-19.8,375.2,395.1,-19.8,8.056,2,-999,5,0.358,2,239.8,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,03:17,386.6,2,3.5,407,2,3.48,1005.7,18.9,101.88,18.112,33.683,387.9,408.4,375.9,395.8,-19.8,377.2,397.1,-19.9,8.054,2,-999,5,0.37,2,238.9,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,06:17,382.5,2,3.5,406.6,2,3.46,1006.9,18.8,101.8,17.848,33.674,383.8,408,372.5,396,-23.5,373.8,397.4,-23.6,8.059,2,0.799,2,0.384,2,242.8,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,09:17,347.5,2,3.4,407.2,2,3.39,1007,18.5,102.33,17.691,33.643,348.6,408.6,338.5,396.7,-58.2,339.6,398.1,-58.4,8.093,2,0.746,2,0.413,2,254.1,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,12:17,356.6,2,3.35,407.2,2,3.34,1007.6,18.2,102.64,17.414,33.643,357.8,408.6,347.7,397,-49.3,348.9,398.4,-49.5,8.084,2,-999,5,0.409,2,251.9,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,15:17,358.7,2,3.41,407.2,2,3.37,1009.8,18.1,102.62,17.359,33.643,360,408.6,350.6,398,-47.4,351.8,399.4,-47.5,8.081,2,-999,5,0.407,2,249.6,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,18:17,349.9,2,3.51,407.3,2,3.46,1011.3,18.1,102.76,17.647,33.646,351.2,408.7,342.4,398.5,-56.1,343.6,399.9,-56.3,8.09,2,-999,5,0.401,2,250.5,2
CCE2_121W_34N,34.307,-120.805,09/09/2020,21:17,350.1,2,3.65,408.4,2,3.58,1010.8,18.4,102.88,17.918,33.654,351.3,409.9,342.3,399.3,-57,343.5,400.7,-57.2,8.092,2,-999,5,0.408,2,249.8,2
CCE2_121W_34N,34.307,-120.805,09/10/2020,00:17,351.7,2,3.64,409,2,3.58,1010.1,18.6,102.93,17.808,33.654,353,410.4,343.7,399.6,-55.9,344.9,401,-56.1,8.091,2,-999,5,0.395,2,249.1,2
CCE2_121W_34N,34.307,-120.805,09/10/2020,03:17,363.2,2,3.42,408.3,2,3.38,1011.3,18.5,102.62,17.554,33.653,364.5,409.7,355.4,399.5,-44.1,356.7,400.9,-44.2,8.078,2,-999,5,0.396,2,245.7,2
CCE2_121W_34N,34.307,-120.805,09/10/2020,06:17,356.9,2,3.53,408.5,2,3.46,1012.1,18.3,102.59,17.756,33.653,358.1,410,349.4,400,-50.6,350.7,401.4,-50.8,8.084,2,0.905,2,0.389,2,246.8,2
CCE2_121W_34N,34.307,-120.805,09/10/2020,09:17,361.1,2,3.6,409.5,2,3.54,1012.4,18.4,102.32,17.687,33.649,362.4,410.9,353.8,401.1,-47.4,355,402.5,-47.5,8.08,2,1.002,2,0.412,2,246.3,2
