Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
DABOB_122W_478N,47.803,-122.804,4/11/2014,1:47,86.9,2,1.85,407.8,2,1.52,1022.3,14,107.13,-999,-999,87,408.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,2:17,83.5,2,1.59,408.4,2,1.28,1022.1,14.3,109.84,-999,-999,83.6,408.9,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,2:47,82.1,2,1.45,410.5,2,1.24,1021.8,14.5,112.06,-999,-999,82.2,411,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,3:17,80.3,2,1.44,410.2,2,1.22,1021.8,14.6,113.93,-999,-999,80.4,410.7,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,3:47,80.8,2,1.51,413.9,2,1.32,1022,14.6,115.32,-999,-999,80.9,414.5,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,4:17,81.3,2,1.47,416.6,2,1.31,1022.1,14.6,116.37,-999,-999,81.4,417.1,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,4:47,80.9,2,1.48,415.9,2,1.27,1022.1,14.5,117.27,-999,-999,81.1,416.5,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,5:17,80.3,2,1.51,415.4,2,1.29,1022.1,14.4,118.1,-999,-999,80.4,415.9,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,6:17,79.4,2,1.8,416.8,2,1.61,1021.6,13.6,118.61,-999,-999,79.5,417.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,9:17,80.4,2,1.69,429,2,1.62,1021.6,12.1,118.71,-999,-999,80.6,429.7,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,12:17,82.6,2,1.61,433.1,2,1.61,1021.8,10.9,118.63,-999,-999,82.8,433.8,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,15:17,81.7,2,1.74,429.4,2,1.74,1022.1,10.4,118.79,-999,-999,81.9,430.1,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,18:17,85.3,2,2.14,413.7,2,2.04,1021.3,10.7,118.69,-999,-999,85.4,414.5,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/11/2014,21:17,88.3,2,2.53,407.8,2,2.22,1019.8,12.3,118.57,-999,-999,88.5,408.7,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,0:17,87.7,2,2.77,405.4,2,2.3,1018.2,14.5,118.56,-999,-999,87.9,406.3,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,3:17,86.2,2,2.43,408.6,2,2.26,1017.7,14.9,118.82,-999,-999,86.4,409.6,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,6:17,86.4,2,2.17,415.3,2,2.09,1017.9,13.8,118.76,-999,-999,86.6,416.2,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,9:17,83.9,2,2.08,425.1,2,2.04,1018.5,12.7,118.76,-999,-999,84.1,426,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,12:17,83.5,2,2.05,428.9,2,2.02,1019,11.7,118.67,-999,-999,83.7,429.7,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,15:17,84.1,2,2.1,433.8,2,2.09,1020.2,11,118.79,-999,-999,84.3,434.8,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,18:17,85.5,2,2.27,408,2,2.03,1020.1,11.2,119.26,-999,-999,85.7,408.8,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/12/2014,21:17,97.9,2,2.56,406.5,2,2.26,1019.6,12,120.06,-999,-999,98.1,407.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,0:17,128.2,2,2.57,409.3,2,2.15,1019.1,13,119.7,-999,-999,128.5,410.2,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,3:17,216.2,2,2.26,411.8,2,1.98,1020.1,13.5,117.8,-999,-999,216.6,412.6,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,6:17,241.5,2,2.09,418.2,2,1.84,1021.8,12.7,115.84,-999,-999,242,419,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,9:17,201.6,2,2.05,422.6,2,1.87,1023.2,11.9,114.49,-999,-999,202,423.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,12:17,219.1,2,1.81,432.1,2,1.73,1024.7,11,113,-999,-999,219.5,432.9,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,15:17,210.1,2,1.86,423,2,1.83,1026.3,10,112.46,-999,-999,210.5,423.7,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,18:17,158.8,2,2.06,414.5,2,1.96,1027.2,9.8,113,-999,-999,159.1,415.3,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/13/2014,21:17,189.5,2,2.58,408.4,2,2.39,1025.8,11.2,113.04,-999,-999,189.9,409.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,0:17,176.9,2,3.17,407.2,2,2.7,1023.6,14.8,113.34,-999,-999,177.5,408.3,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,3:17,131.7,2,2.8,413.8,2,2.22,1022.8,16.8,113.48,-999,-999,132,414.8,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,6:17,125.7,2,2.26,430.4,2,2.08,1022.8,14.9,113.9,-999,-999,126,431.3,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,9:17,174.9,2,1.97,430.2,2,1.75,1021.3,12.9,113.45,-999,-999,175.3,431,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,12:17,170.5,2,1.77,432.1,2,1.61,1020.1,11.2,112.91,-999,-999,170.8,432.8,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,15:17,184.5,2,1.92,431.9,2,1.82,1020.9,10.1,112.6,-999,-999,184.9,432.7,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,18:17,175.4,2,2.27,424.5,2,2.13,1019.7,10.2,112.49,-999,-999,175.8,425.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/14/2014,21:17,163,2,2.74,408.6,2,2.54,1018.6,11.5,112.73,-999,-999,163.4,409.6,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,0:17,194.2,2,3.06,405.1,2,2.45,1017.4,14.9,112.12,-999,-999,194.8,406.1,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,3:17,216.3,2,2.64,407.1,2,2.41,1018.3,15.4,111.95,-999,-999,216.8,408.1,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,6:17,189.5,2,2.45,412.4,2,2.19,1020.6,14.1,111.81,-999,-999,189.9,413.3,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,9:17,207.1,2,2.39,415.7,2,2.16,1020.9,13.2,111.43,-999,-999,207.6,416.6,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,12:17,198.7,2,2.17,415.7,2,1.98,1021.4,12.5,111.14,-999,-999,199.1,416.5,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,15:17,212.1,2,2.17,428.7,2,2.07,1022.5,11.5,110.55,-999,-999,212.5,429.6,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,18:17,200.3,2,2.37,414.1,2,2.23,1022.9,11.3,110.55,-999,-999,200.7,415,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/15/2014,21:17,188.6,2,2.89,409.7,2,2.56,1020.9,12.2,110.57,-999,-999,189.2,410.7,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,0:17,193.6,2,2.84,405,2,2.52,1018.8,13.9,110.99,-999,-999,194.2,406,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,3:17,186.6,2,2.44,409.4,2,2.35,1018,13.4,110.78,-999,-999,187.1,410.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,6:17,144.1,2,2.36,411.4,2,2.31,1017.3,12.5,111.39,-999,-999,144.4,412.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,9:17,126.3,2,2.32,417.9,2,2.25,1017.5,12,112,-999,-999,126.6,418.8,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,12:17,129.9,2,2.24,426.2,2,2.18,1017,11.7,112.19,-999,-999,130.2,427.1,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,15:17,143,2,2.42,413.8,2,2.38,1016.3,11.6,112.66,-999,-999,143.3,414.8,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,18:17,148.5,2,2.51,410.2,2,2.46,1016.6,11.8,112.74,-999,-999,148.8,411.2,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/16/2014,21:17,137.3,2,2.58,408,2,2.52,1016,12.1,112.3,-999,-999,137.7,409,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/17/2014,0:17,153.3,2,2.59,408.1,2,2.55,1015.5,12.3,112.17,-999,-999,153.7,409.1,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/17/2014,3:17,157.3,2,2.55,410.4,2,2.51,1013.8,12.5,112.12,-999,-999,157.7,411.4,-999,-999,-999,-999,-999,-999,,
DABOB_122W_478N,47.803,-122.804,4/17/2014,6:17,155.5,2,2.51,412.7,2,2.49,1012.5,12.4,111.76,-999,-999,155.9,413.8,-999,-999,-999,-999,-999,-999,,
