Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
DABOB_122W_48N,47.803,-122.804,12/22/14,20:17,537.5,2,1.86,416.1,2,1.89,1027.2,10,99.13,-999,-999,538.5,416.9,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/22/14,20:47,535.1,2,1.27,418.5,2,1.35,1027.3,10.3,98.7,-999,-999,535.8,419,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/22/14,21:17,593.9,2,1.23,417.5,2,1.29,1027.1,10.5,97.96,-999,-999,594.6,418,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/22/14,21:47,543.1,2,1.31,417,2,1.35,1027.5,10.5,97.87,-999,-999,543.8,417.6,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/22/14,22:17,528.6,2,1.29,414.3,2,1.34,1027.5,10.6,97.88,-999,-999,529.3,414.8,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/22/14,22:47,531.7,2,1.3,414.4,2,1.35,1027.5,10.6,97.83,-999,-999,532.4,414.9,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/22/14,23:17,533.2,2,1.34,412.7,2,1.39,1027.6,10.6,97.81,-999,-999,534,413.3,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/22/14,23:47,531.2,2,1.25,415.3,2,1.34,1027.6,10.7,97.83,-999,-999,531.9,415.8,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,0:17,534,2,1.27,415.2,2,1.35,1027.5,10.7,97.77,-999,-999,534.7,415.8,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,3:17,500.6,2,2.02,419.5,2,2.06,1027,9.3,97.9,-999,-999,501.6,420.3,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,6:17,531.2,2,2.03,422.7,2,2.07,1026.7,8.8,97.89,-999,-999,532.3,423.6,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,9:17,516,2,2.12,413.1,2,2.14,1024.8,8.6,97.92,-999,-999,517.1,414,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,12:17,583.1,2,2.21,412.8,2,2.22,1022.7,8.7,97.77,-999,-999,584.4,413.7,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,15:17,589,2,2.14,410.1,2,2.23,1020.2,8.9,97.44,-999,-999,590.3,411,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,18:17,516.4,2,2.3,410.4,2,2.4,1019.7,9.1,97.92,-999,-999,517.6,411.4,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/23/14,21:17,463.4,2,2.5,411,2,2.62,1018.3,9.4,98.02,-999,-999,464.6,412.1,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/24/14,0:17,456.7,2,2.36,402.7,2,2.46,1018.5,9.8,98.23,-999,-999,457.8,403.7,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/24/14,3:17,451.4,2,2.35,407.8,2,2.47,1018.2,9.7,98.37,-999,-999,452.5,408.8,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/24/14,6:17,393.1,2,2.26,406.6,2,2.39,1017.8,9.5,98.47,-999,-999,394,407.6,-999,-999,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,12/24/14,9:17,327.9,2,2.14,405.1,2,2.26,1016,9.1,98.6,-999,-999,328.6,406,-999,-999,-999,-999,-999,-999,-999,-999
