Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
DABOB_122W_478N,47.803,-122.803,7/12/2012,3:17,250.5,2,19.3,392.4,2,17.89,1014.8,26.6,108.38,-999,-999,255.5,399.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/12/2012,6:17,246.7,2,14.95,402.2,2,14.59,1015.1,23.5,108.6,-999,-999,250.4,408.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/12/2012,9:17,257,2,12.84,413.9,2,12.81,1015,20.3,108.44,-999,-999,260.4,419.3,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/12/2012,12:17,251.3,2,11.79,420.2,2,11.57,1015.6,18.3,108.2,-999,-999,254.3,425.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/12/2012,15:17,251.2,2,11.83,436.8,2,11.83,1016.4,17.8,108.24,-999,-999,254.2,442.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/12/2012,18:17,261,2,13.52,415.9,2,13.13,1015.8,19.2,108.18,-999,-999,264.5,421.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/12/2012,21:17,256.5,2,17.12,394.6,2,16.28,1014.9,23.7,108.26,-999,-999,261,401.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,0:17,255.1,2,19.35,386,2,18.64,1013.9,27,108.2,-999,-999,260.1,393.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,3:17,255.5,2,18.86,379.6,2,18.09,1014.1,27.2,108.1,-999,-999,260.5,386.6,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,6:17,249.3,2,15.99,388.3,2,15.62,1015.1,24.3,108.2,-999,-999,253.3,394.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,9:17,246.5,2,13.9,401.6,2,13.61,1015.6,21.7,108.37,-999,-999,250,407.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,12:17,269.1,2,12.48,404.4,2,12.45,1016.4,19.6,107.78,-999,-999,272.5,409.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,15:17,269.8,2,12.28,405.1,2,12.07,1017.3,18.5,107.07,-999,-999,273.2,410.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,18:17,256.6,2,11.73,404.4,2,11.72,1018.4,18.3,106.67,-999,-999,259.6,409.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/13/2012,21:17,247.6,2,12.98,398.6,2,12.79,1016.9,18.6,106.94,-999,-999,250.8,403.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/14/2012,0:17,260.5,2,14.5,395.1,2,14.25,1015.3,21.5,107.06,-999,-999,264.4,400.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/14/2012,3:17,252.6,2,13.97,394.7,2,13.73,1014.7,20.6,107.06,-999,-999,256.2,400.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,7/14/2012,6:17,258.2,2,13.03,412.3,2,13.03,1014.9,19.7,106.72,-999,-999,261.6,417.8,-999,-999,-999,-999,-999,-999
