expocode: 316420180510
vessel name: Dabob_122W_48N
"PIs: Sutton, A.; Newton, J.;  Szuts, Z."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
DABOB_122W_48N,47.803,-122.804,5/10/2018,0:17,182.9,2,3.27,413.9,2,2.73,1017.5,16.5,111.22,-999,-999,183.5,415.1,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/10/2018,3:17,196.9,2,3.05,415.9,2,2.71,1017.9,16.3,111.13,-999,-999,197.5,417.1,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/10/2018,6:17,218.1,2,2.9,419.9,2,2.55,1018.6,15.8,110.54,-999,-999,218.7,421,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/10/2018,9:17,250.8,2,2.77,423,2,2.46,1018.4,15.2,109.28,-999,-999,251.5,424,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/10/2018,12:17,246.7,2,2.68,428.9,2,2.42,1018.5,14.7,108.4,-999,-999,247.4,430,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/10/2018,15:17,241.7,2,2.8,431.9,2,2.52,1019.5,14.3,107.8,-999,-999,242.4,433,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/10/2018,18:17,242.7,2,2.84,419.8,2,2.61,1019.9,14.6,107.54,-999,-999,243.4,420.9,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/10/2018,21:17,240.7,2,3.16,417.1,2,2.81,1020.3,14.9,107.2,-999,-999,241.5,418.3,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/11/2018,0:17,242.2,2,3.41,415.3,2,2.92,1020.5,15.2,107,-999,-999,243,416.5,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/11/2018,3:17,231.4,2,3,415.5,2,2.65,1021,16.1,107.09,-999,-999,232.1,416.6,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/11/2018,6:17,229.4,2,2.63,426.6,2,2.42,1022.2,15.6,107.04,-999,-999,230,427.7,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/11/2018,9:17,235,2,2.62,436.8,2,2.41,1023.2,14.7,106.9,-999,-999,235.6,437.8,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/11/2018,12:17,240.1,2,2.62,432.4,2,2.41,1023.8,14.3,106.63,-999,-999,240.7,433.4,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/11/2018,15:17,233.1,2,2.95,434.4,2,2.67,1025.4,13.9,106.57,-999,-999,233.8,435.6,-999,-999,-999,-999,-999,-999
DABOB_122W_48N,47.803,-122.804,5/11/2018,18:17,239.9,2,3.32,424.9,2,2.82,1025.6,14.6,106.8,-999,-999,240.7,426.1,-999,-999,-999,-999,-999,-999
