Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
DABOB_122W_478N,47.803,-122.803,9/10/2013,20:47,283.4,2,5.61,399.2,2,4.39,1013.8,23.7,102.45,-999,-999,285,401,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/10/2013,21:17,285.2,2,5.15,404.6,2,3.94,1013.5,24.3,104.47,-999,-999,286.7,406.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/10/2013,21:47,281.9,2,5.29,407.3,2,3.89,1013.3,24.7,106.31,-999,-999,283.4,408.9,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/10/2013,22:17,282.2,2,5.22,407.6,2,3.93,1013,25,107.08,-999,-999,283.7,409.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/10/2013,22:47,281.7,2,5.21,407.2,2,4,1012.7,25.2,107.77,-999,-999,283.2,408.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/10/2013,23:17,277.8,2,5.21,406.4,2,4.14,1012.5,25.4,108.37,-999,-999,279.3,408.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/10/2013,23:47,276.6,2,5.21,405.7,2,4.13,1012.2,25.5,108.76,-999,-999,278.1,407.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,0:17,276.1,2,5.1,406,2,4.13,1012.1,25.7,109.13,-999,-999,277.6,407.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,3:17,271.3,2,4.48,435.1,2,4.1,1012.1,23.8,109.65,-999,-999,272.6,436.9,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,6:17,278.9,2,4.02,438.1,2,3.78,1012.9,21.7,109.5,-999,-999,280,439.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,9:17,309.4,2,3.92,427.6,2,3.66,1012.3,19.8,108.64,-999,-999,310.6,429.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,12:17,306.2,2,3.6,445.5,2,3.44,1013.1,19,107.92,-999,-999,307.3,447,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,15:17,315.5,2,4.11,449.9,2,3.84,1013.7,18.1,107.72,-999,-999,316.8,451.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,18:17,305.1,2,4.64,440.4,2,4.5,1013.5,19,107.88,-999,-999,306.5,442.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/11/2013,21:17,337.4,2,5.29,420.3,2,5.09,1012.6,20.6,107.98,-999,-999,339.2,422.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/12/2013,0:17,331,2,6.4,419.3,2,6.37,1011.4,23.4,108.48,-999,-999,333.2,422,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/12/2013,3:17,310.4,2,5.02,427.7,2,4.65,1011.7,24.4,108.89,-999,-999,312,429.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/12/2013,6:17,311.4,2,4.35,478.8,2,4.1,1013,22.7,108.81,-999,-999,312.7,480.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/12/2013,9:17,305.4,2,4.06,467.2,2,3.93,1013.9,21,108.37,-999,-999,306.7,469,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/12/2013,12:17,307.8,2,3.85,446.1,2,3.74,1015,19.9,108.3,-999,-999,309,447.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,9/12/2013,15:17,298.5,2,3.66,434.2,2,3.6,1015.8,18.5,108.79,-999,-999,299.6,435.7,-999,-999,-999,-999,-999,-999
