"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"GAKOA_149W_60N","59.910","-149.352","03/05/2014","06:17","389.1","2","0.57","408.3","2","0.52","1011.6","3.6","100.11","3.767","30.760","389.4","408.5","384.1","403.0","-18.9","385.7","404.7","-19.0"
"GAKOA_149W_60N","59.910","-149.352","03/05/2014","09:17","378.7","2","0.61","405.8","2","0.56","1010.8","3.4","100.15","3.586","30.697","379.0","406.0","373.6","400.3","-26.7","375.2","401.9","-26.8"
"GAKOA_149W_60N","59.910","-149.352","03/05/2014","12:17","372.5","2","0.62","405.8","2","0.57","1009.4","3.3","100.26","3.365","30.423","372.7","406.0","367.0","399.7","-32.8","368.5","401.4","-32.9"
"GAKOA_149W_60N","59.910","-149.352","03/05/2014","15:17","374.3","2","0.63","405.8","2","0.58","1008.5","3.2","100.30","3.389","30.396","374.6","406.0","368.4","399.3","-30.9","370.0","401.0","-31.0"
"GAKOA_149W_60N","59.910","-149.352","03/05/2014","18:17","374.6","2","0.63","405.2","2","0.58","1007.8","3.2","100.30","3.392","30.462","374.8","405.4","368.4","398.5","-30.1","370.0","400.2","-30.2"
"GAKOA_149W_60N","59.910","-149.352","03/05/2014","21:17","375.6","2","0.66","405.8","2","0.61","1006.7","3.2","100.40","3.473","30.503","375.8","406.0","369.0","398.7","-29.7","370.5","400.3","-29.8"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","00:17","374.4","2","0.69","405.5","2","0.64","1005.4","3.3","100.52","3.577","30.518","374.7","405.7","367.4","397.8","-30.5","368.9","399.5","-30.6"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","03:17","372.8","2","0.67","405.0","2","0.62","1004.5","3.5","100.60","3.550","30.580","373.0","405.2","365.4","397.0","-31.6","367.0","398.7","-31.7"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","06:17","373.5","2","0.66","406.4","2","0.61","1004.7","3.4","100.64","3.496","30.591","373.7","406.7","366.2","398.5","-32.3","367.7","400.2","-32.4"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","09:17","375.2","2","0.64","406.8","2","0.59","1004.8","3.1","100.68","3.487","30.568","375.4","407.1","367.9","398.9","-31.0","369.4","400.6","-31.2"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","12:17","373.6","2","0.62","407.3","2","0.57","1004.6","2.9","100.70","3.472","30.600","373.8","407.5","366.3","399.3","-33.0","367.8","400.9","-33.1"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","15:17","376.3","2","0.60","407.6","2","0.56","1004.3","2.7","100.69","3.474","30.636","376.5","407.8","368.8","399.4","-30.6","370.3","401.1","-30.8"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","18:17","382.2","2","0.59","407.7","2","0.55","1005.1","2.4","100.60","3.586","30.702","382.4","408.0","374.9","399.9","-25.0","376.4","401.6","-25.1"
"GAKOA_149W_60N","59.910","-149.352","03/06/2014","21:17","381.6","2","0.58","407.7","2","0.53","1005.4","2.3","100.55","3.608","30.725","381.8","407.9","374.4","400.0","-25.6","375.9","401.6","-25.7"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","00:17","383.2","2","0.65","407.0","2","0.59","1005.0","2.3","100.54","3.664","30.765","383.5","407.3","375.8","399.2","-23.3","377.4","400.8","-23.4"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","03:17","387.6","2","0.63","407.1","2","0.58","1005.0","2.5","100.44","3.748","30.812","387.8","407.3","380.1","399.2","-19.1","381.7","400.8","-19.2"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","06:17","376.5","2","0.58","408.1","2","0.53","1005.8","2.6","100.45","3.530","30.736","376.7","408.3","369.5","400.5","-31.0","371.1","402.2","-31.1"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","09:17","384.0","2","0.58","408.6","2","0.53","1006.2","2.4","100.34","3.709","30.854","384.2","408.8","377.0","401.2","-24.1","378.6","402.8","-24.2"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","12:17","385.2","2","0.58","407.7","2","0.53","1005.2","2.2","100.25","3.609","30.831","385.4","407.9","377.8","399.9","-22.0","379.4","401.5","-22.1"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","15:17","389.7","2","0.57","407.5","2","0.53","1003.9","2.1","100.10","3.766","30.940","389.9","407.7","381.7","399.2","-17.5","383.3","400.8","-17.5"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","18:17","404.9","2","0.58","407.9","2","0.53","1003.1","2.1","99.79","4.171","31.072","405.1","408.1","396.2","399.1","-2.9","397.8","400.8","-2.9"
"GAKOA_149W_60N","59.910","-149.352","03/07/2014","21:17","397.7","2","0.60","407.3","2","0.55","1000.8","1.9","99.72","3.903","31.048","397.9","407.5","388.3","397.7","-9.4","389.9","399.3","-9.4"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","00:17","411.3","2","0.68","406.9","2","0.62","996.8","2.0","99.62","4.258","31.109","411.6","407.2","400.0","395.7","4.3","401.6","397.3","4.3"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","03:17","414.7","2","0.66","408.3","2","0.60","992.2","2.4","99.50","4.291","31.152","415.0","408.6","401.4","395.2","6.2","403.0","396.8","6.3"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","06:17","415.9","2","0.58","409.7","2","0.53","990.0","2.5","99.46","4.229","31.151","416.1","409.9","401.6","395.6","6.0","403.2","397.2","6.0"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","09:17","414.4","2","0.54","409.6","2","0.49","988.1","2.2","99.39","4.251","31.163","414.6","409.8","399.4","394.8","4.6","401.0","396.4","4.6"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","12:17","411.8","2","0.51","410.4","2","0.47","987.6","1.6","99.47","4.071","31.145","412.0","410.6","396.7","395.3","1.4","398.4","397.0","1.4"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","15:17","416.5","2","0.47","410.0","2","0.44","986.3","1.1","99.40","4.203","31.185","416.7","410.2","400.7","394.4","6.2","402.3","396.0","6.3"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","18:17","416.5","2","0.46","409.8","2","0.43","984.7","0.7","99.40","4.121","31.181","416.7","410.0","400.0","393.6","6.4","401.6","395.2","6.5"
"GAKOA_149W_60N","59.910","-149.352","03/08/2014","21:17","417.0","2","0.50","409.0","2","0.46","984.0","0.5","99.45","4.133","31.195","417.2","409.2","400.2","392.5","7.7","401.8","394.1","7.7"
"GAKOA_149W_60N","59.910","-149.352","03/09/2014","00:17","418.6","2","0.55","408.3","2","0.50","982.4","0.6","99.47","4.186","31.216","418.8","408.5","401.1","391.2","9.9","402.7","392.8","9.9"
