expocode: 316420160308,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: GAKOA,,,,,,,,,,,,,,,,,,,,,,,,,
"Pis: Cross, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
GAKOA_149W_60N,59.911,-149.348,3/8/16,3:17,403.2,2,0.83,409.6,2,0.76,992.4,7.2,99.82,5.485,30.426,403.5,409.9,390.1,396.3,-6.2,391.7,397.9,-6.2,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/8/16,6:17,406.3,2,0.86,411.7,2,0.8,993,6.1,99.69,5.493,30.472,406.6,412,393.4,398.6,-5.2,394.9,400.2,-5.3,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/8/16,9:17,402.7,2,0.81,411.5,2,0.76,994.2,5.6,99.65,5.474,30.443,403,411.9,390.3,398.9,-8.6,391.9,400.5,-8.6,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/8/16,12:17,395.4,2,0.82,411.5,2,0.76,995,5.2,99.63,5.463,30.428,395.7,411.8,383.6,399.2,-15.6,385.1,400.8,-15.7,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/8/16,15:17,398.1,2,0.77,410.3,2,0.71,996.7,5,99.54,5.345,30.363,398.5,410.6,386.9,398.7,-11.8,388.5,400.4,-11.9,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/8/16,18:17,400.2,2,0.79,411.7,2,0.74,997.1,4.7,99.53,5.492,30.461,400.5,412,389,400.2,-11.1,390.6,401.8,-11.2,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/8/16,21:17,403.4,2,0.84,412.3,2,0.79,996.9,4.7,99.54,5.34,30.317,403.7,412.6,392.1,400.8,-8.7,393.7,402.4,-8.7,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,0:17,404.1,2,0.9,409.3,2,0.84,995.5,4.8,99.58,5.415,30.336,404.5,409.6,392.3,397.3,-4.9,393.9,398.9,-5,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,3:17,395.8,2,0.8,409.3,2,0.74,996.6,5.1,99.61,5.411,30.331,396.1,409.6,384.6,397.7,-13.1,386.1,399.3,-13.1,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,6:17,392.7,2,0.78,410.9,2,0.73,996.4,5,99.69,5.432,30.361,393,411.2,381.5,399.2,-17.6,383.1,400.8,-17.7,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,9:17,395.1,2,0.83,410.1,2,0.77,996.4,4.8,99.69,5.307,30.276,395.4,410.4,383.9,398.4,-14.6,385.4,400.1,-14.6,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,12:17,399.2,2,0.83,410.4,2,0.77,996.3,4.7,99.69,5.404,30.392,399.5,410.7,387.8,398.7,-10.8,389.4,400.3,-10.9,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,15:17,399.6,2,0.86,410.2,2,0.79,995.9,4.9,99.7,5.312,30.374,400,410.5,388.1,398.3,-10.3,389.7,400,-10.3,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,18:17,399.2,2,0.89,410.6,2,0.82,995.6,5.1,99.69,5.291,30.384,399.5,411,387.5,398.6,-11.1,389.1,400.3,-11.1,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/9/16,21:17,401.6,2,0.9,410.1,2,0.83,995.9,5.3,99.69,5.329,30.357,402,410.4,390,398.2,-8.2,391.6,399.8,-8.2,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,0:17,404.8,2,1.01,409.4,2,0.94,995,5.5,99.82,5.52,30.386,405.2,409.8,392.8,397.3,-4.4,394.4,398.8,-4.5,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,3:17,396.4,2,1.05,408.1,2,0.97,994.6,5.9,99.96,5.497,30.398,396.8,408.5,384.5,395.8,-11.3,386,397.4,-11.3,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,6:17,385.9,2,0.83,411.1,2,0.76,994.2,6,99.94,5.406,30.317,386.2,411.4,374.1,398.5,-24.4,375.6,400.1,-24.5,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,9:17,396.7,2,0.93,410.2,2,0.84,992.8,5.5,99.98,5.257,30.309,397.1,410.6,384.1,397.1,-13.1,385.6,398.7,-13.1,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,12:17,395.7,2,0.91,410.7,2,0.81,991.5,5.4,99.95,5.212,30.317,396,411,382.6,397,-14.5,384.1,398.6,-14.5,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,15:17,395.2,2,0.91,410.5,2,0.82,989.9,5.4,100.02,5.176,30.303,395.6,410.8,381.5,396.2,-14.7,383.1,397.8,-14.8,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,18:17,399.2,2,0.89,412.3,2,0.81,988.5,5.4,99.99,5.235,30.345,399.6,412.6,384.9,397.4,-12.6,386.4,399,-12.6,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/10/16,21:17,401.1,2,0.96,411.9,2,0.88,987.3,5.5,100.03,5.338,30.35,401.5,412.2,386.2,396.5,-10.3,387.8,398.1,-10.4,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/11/16,0:17,401.3,2,1.01,410.4,2,0.93,986.1,5.6,100.17,5.409,30.376,401.7,410.7,385.9,394.6,-8.7,387.4,396.2,-8.7,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/11/16,3:17,398.4,2,0.96,410.3,2,0.87,985.9,5.9,100.21,5.454,30.419,398.8,410.6,383,394.4,-11.4,384.6,396,-11.4,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/11/16,6:17,400.6,2,0.84,412,2,0.77,986.3,5.9,100.15,5.422,30.337,400.9,412.4,385.2,396.2,-11,386.7,397.8,-11.1,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/11/16,9:17,389.2,2,0.88,410.9,2,0.81,985.1,5.5,100.28,5.187,30.227,389.5,411.2,373.8,394.7,-20.9,375.3,396.3,-21,-999,-999
GAKOA_149W_60N,59.911,-149.348,3/11/16,12:17,385.6,2,0.93,410.8,2,0.86,984.3,5.4,100.42,5.085,30.158,386,411.1,370.2,394.3,-24.1,371.6,395.9,-24.2,-999,-999
