expocode: 316420200311
vessel name: GAKOA_149W_60N
PIs: Monacci N.M.; Cross J.N.; Musielewicz S.; Sutton A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
GAKOA_149W_60N,59.91,-149.35,03/11/2020,0:17,416.4,2,0.6,414.1,2,0.54,1007.1,2.9,99.02,4.077,31.56,416.7,414.4,409.1,406.9,2.3,410.8,408.5,2.3,-999,5
GAKOA_149W_60N,59.91,-149.35,03/11/2020,3:17,414,2,0.51,413.9,2,0.45,1009.9,2.4,98.9,4.001,31.558,414.2,414.1,407.8,407.8,0.1,409.5,409.5,0.1,-999,5
GAKOA_149W_60N,59.91,-149.35,03/11/2020,6:17,411.9,2,0.44,413.8,2,0.39,1014,1.7,98.9,3.946,31.572,412.1,413.9,407.4,409.3,-1.8,409.1,411,-1.8,-999,5
GAKOA_149W_60N,59.91,-149.35,03/11/2020,9:17,407.9,2,0.44,413.7,2,0.39,1017.1,1,98.84,3.83,31.573,408.1,413.8,404.7,410.4,-5.7,406.4,412.2,-5.7,-999,5
GAKOA_149W_60N,59.91,-149.35,03/11/2020,12:17,410,2,0.42,413.6,2,0.39,1020.4,0.5,98.74,3.942,31.603,410.2,413.7,408.1,411.7,-3.5,409.9,413.4,-3.5,-999,5
GAKOA_149W_60N,59.91,-149.35,03/11/2020,15:17,413.6,2,0.39,413.7,2,0.36,1024,0.2,98.59,4.109,31.646,413.8,413.9,413.1,413.2,-0.1,414.9,415,-0.1,-999,5
GAKOA_149W_60N,59.91,-149.35,03/11/2020,18:17,413.1,2,0.44,413.9,2,0.4,1026.4,0,98.42,4.117,31.653,413.3,414.1,413.7,414.4,-0.8,415.4,416.2,-0.8,-999,5
GAKOA_149W_60N,59.91,-149.35,03/11/2020,21:17,413.2,2,0.48,413.6,2,0.44,1029,0.1,98.31,4.155,31.665,413.3,413.8,414.7,415.2,-0.5,416.5,416.9,-0.5,-999,5
GAKOA_149W_60N,59.91,-149.35,03/12/2020,0:17,409.4,2,0.48,413.5,2,0.44,1031,0.3,98.28,3.997,31.645,409.6,413.7,411.8,415.9,-4.1,413.5,417.7,-4.2,-999,5
GAKOA_149W_60N,59.91,-149.35,03/12/2020,3:17,409.9,2,0.44,413.5,2,0.39,1033.4,0.5,98.24,4.125,31.67,410.1,413.7,413.2,416.9,-3.6,415,418.6,-3.6,-999,5
