"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","00:17","229.7","2","1.29","385.7","2","1.16","1006.6","12.1","100.94","-999.000","-999.000","230.0","386.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","00:47","250.9","2","1.30","384.9","2","1.17","1006.8","12.2","100.94","-999.000","-999.000","251.2","385.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","03:17","265.3","2","2.06","384.8","2","1.96","1007.1","11.4","100.70","-999.000","-999.000","265.8","385.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","06:17","274.7","2","2.33","385.3","2","2.24","1006.5","11.4","100.38","-999.000","-999.000","275.3","386.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","09:17","278.2","2","2.21","385.6","2","2.10","1005.7","11.4","100.14","-999.000","-999.000","278.8","386.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","12:17","258.3","2","2.21","385.8","2","2.11","1004.9","11.5","100.00","-999.000","-999.000","258.9","386.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","15:17","262.0","2","2.21","385.7","2","2.11","1003.1","11.5","99.91","-999.000","-999.000","262.6","386.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","18:17","266.0","2","2.35","386.3","2","2.25","1002.7","11.4","99.81","-999.000","-999.000","266.6","387.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/15/2011","21:17","275.8","2","2.21","386.7","2","2.11","1001.2","11.4","99.81","-999.000","-999.000","276.4","387.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","00:17","282.6","2","2.20","386.5","2","2.10","1000.6","11.3","99.72","11.152","25.714","283.2","387.3","275.0","376.0","-101.1","276.0","377.5","-101.5"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","03:17","284.7","2","2.20","386.7","2","2.10","1000.1","11.3","99.67","11.198","25.890","285.3","387.5","276.9","376.0","-99.1","277.9","377.4","-99.5"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","06:17","289.2","2","2.20","386.8","2","2.10","1000.5","11.3","99.53","11.189","26.224","289.8","387.6","281.3","376.3","-95.0","282.4","377.7","-95.3"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","09:17","257.2","2","2.05","387.6","2","1.95","1000.3","11.2","99.57","10.565","23.204","257.8","388.4","250.3","377.2","-126.8","251.3","378.6","-127.3"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","12:17","286.5","2","2.18","389.1","2","2.08","1000.7","11.1","99.43","11.017","25.666","287.1","389.9","278.8","378.7","-99.9","279.9","380.1","-100.2"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","15:17","262.7","2","2.18","391.4","2","2.08","1000.9","11.1","99.43","10.895","24.918","263.3","392.2","255.8","381.0","-125.2","256.8","382.4","-125.7"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","18:17","251.6","2","2.16","391.4","2","2.06","1000.8","11.0","99.39","10.484","23.648","252.2","392.2","245.0","381.1","-136.1","246.0","382.5","-136.6"
"GAKOA_149W_60N","59.856","-149.497","09/16/2011","21:17","275.4","2","2.14","386.5","2","2.04","1000.0","10.8","99.39","10.984","24.621","276.0","387.3","267.9","375.9","-108.0","268.9","377.3","-108.4"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","00:17","260.2","2","2.13","387.3","2","2.03","999.4","10.7","99.72","10.686","23.274","260.7","388.1","252.9","376.5","-123.5","253.9","377.9","-124.0"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","03:17","251.4","2","2.27","385.8","2","2.17","998.5","10.8","100.05","10.724","23.083","252.0","386.6","244.2","374.7","-130.5","245.2","376.2","-131.0"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","06:17","263.8","2","2.15","387.8","2","2.19","998.5","10.9","100.00","10.793","23.772","264.3","388.7","256.2","376.7","-120.5","257.2","378.1","-121.0"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","09:17","270.0","2","2.15","386.5","2","2.05","998.2","10.9","99.91","10.847","24.255","270.5","387.3","262.1","375.3","-113.2","263.1","376.7","-113.6"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","12:17","259.6","2","2.14","389.7","2","2.04","997.7","10.8","99.86","10.640","23.258","260.1","390.5","251.9","378.2","-126.3","252.9","379.7","-126.8"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","15:17","248.9","2","1.99","389.8","2","1.89","997.8","10.7","99.91","10.725","22.212","249.4","390.6","241.5","378.3","-136.7","242.5","379.7","-137.3"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","18:17","252.5","2","1.97","389.7","2","2.00","998.2","10.5","99.91","10.688","22.513","253.0","390.5","245.1","378.4","-133.3","246.1","379.8","-133.8"
"GAKOA_149W_60N","59.856","-149.497","09/17/2011","21:17","227.8","2","2.09","391.5","2","2.00","998.9","10.4","100.00","10.651","21.578","228.3","392.3","221.4","380.4","-159.0","222.2","381.8","-159.6"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","00:17","230.1","2","2.11","385.6","2","2.01","998.9","10.5","100.19","10.525","21.084","230.6","386.4","223.6","374.7","-151.1","224.5","376.1","-151.7"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","03:17","196.2","2","1.98","384.8","2","1.88","999.3","10.6","100.24","10.518","21.299","196.6","385.6","190.8","374.1","-183.3","191.5","375.5","-184.0"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","06:17","194.1","2","1.95","386.6","2","1.85","999.5","10.3","100.57","9.506","18.551","194.5","387.3","188.8","376.1","-187.3","189.6","377.6","-188.0"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","09:17","201.8","2","1.92","387.7","2","1.82","999.5","10.0","100.57","10.361","20.991","202.2","388.4","196.3","376.9","-180.7","197.0","378.4","-181.4"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","12:17","225.5","2","1.89","389.9","2","1.79","998.5","9.8","100.52","10.175","21.114","225.9","390.6","219.0","378.7","-159.7","219.9","380.1","-160.3"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","15:17","197.6","2","1.87","393.4","2","1.77","997.9","9.5","100.52","9.724","19.021","198.0","394.1","191.9","382.1","-190.2","192.6","383.5","-190.9"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","18:17","227.5","2","1.96","392.7","2","1.87","997.6","9.3","100.24","10.970","23.562","227.9","393.4","220.7","380.9","-160.2","221.5","382.3","-160.8"
"GAKOA_149W_60N","59.856","-149.497","09/18/2011","21:17","238.5","2","1.96","392.4","2","1.87","997.4","9.3","100.14","11.085","23.833","239.0","393.2","231.3","380.5","-149.2","232.2","382.0","-149.8"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","00:17","263.4","2","2.03","388.5","2","1.94","997.1","9.9","100.00","11.552","24.588","263.9","389.3","255.2","376.5","-121.3","256.2","377.9","-121.7"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","03:17","238.8","2","2.14","386.3","2","2.04","996.8","10.8","100.09","11.383","23.939","239.3","387.1","231.4","374.4","-142.9","232.3","375.8","-143.5"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","06:17","220.8","2","2.14","386.1","2","2.04","997.7","10.8","100.14","11.143","24.843","221.2","386.9","214.2","374.5","-160.3","215.0","375.9","-160.9"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","09:17","270.7","2","2.11","386.5","2","2.01","998.0","10.6","100.05","10.865","24.399","271.3","387.3","262.8","375.2","-112.4","263.7","376.6","-112.8"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","12:17","281.9","2","1.97","386.8","2","2.00","996.3","10.4","99.91","10.884","25.468","282.4","387.6","273.1","374.8","-101.6","274.1","376.2","-102.0"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","15:17","295.7","2","2.11","387.3","2","2.01","993.3","10.5","99.76","10.985","26.404","296.3","388.1","285.6","374.1","-88.5","286.7","375.5","-88.8"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","18:17","300.4","2","2.00","387.5","2","2.03","990.6","10.6","99.71","11.001","26.690","301.0","388.3","289.4","373.3","-83.9","290.5","374.7","-84.2"
"GAKOA_149W_60N","59.856","-149.497","09/19/2011","21:17","304.2","2","2.02","387.9","2","1.92","985.9","10.7","99.66","10.956","26.903","304.8","388.6","291.6","371.8","-80.2","292.7","373.2","-80.5"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","00:17","307.9","2","2.17","388.2","2","2.07","980.1","10.7","99.66","10.953","26.989","308.6","389.0","293.5","369.9","-76.4","294.6","371.3","-76.7"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","03:17","307.1","2","2.06","388.7","2","2.09","975.3","10.8","99.71","10.901","26.777","307.7","389.5","291.2","368.6","-77.4","292.3","370.0","-77.7"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","06:17","310.1","2","2.07","389.2","2","1.97","971.2","10.9","99.76","10.911","26.787","310.7","390.0","292.8","367.5","-74.7","293.9","368.8","-75.0"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","09:17","310.7","2","2.07","389.6","2","1.96","970.1","10.8","99.76","10.867","26.782","311.3","390.3","293.0","367.4","-74.4","294.1","368.8","-74.7"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","12:17","308.3","2","2.33","388.0","2","2.23","974.7","10.8","99.71","10.847","26.548","309.0","388.9","292.3","367.8","-75.5","293.4","369.2","-75.8"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","15:17","303.3","2","2.22","388.1","2","2.12","975.1","11.1","99.71","10.745","26.172","304.0","388.9","287.7","368.1","-80.4","288.7","369.4","-80.7"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","18:17","304.2","2","2.23","390.1","2","2.13","974.9","11.1","99.66","10.753","26.290","304.9","390.9","288.4","369.8","-81.4","289.5","371.2","-81.7"
"GAKOA_149W_60N","59.856","-149.497","09/20/2011","21:17","303.5","2","2.22","388.9","2","2.12","974.4","11.0","99.66","10.776","26.169","304.2","389.7","287.6","368.5","-80.9","288.7","369.9","-81.2"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","00:17","302.6","2","2.22","388.5","2","2.11","974.1","11.0","99.66","10.785","26.203","303.3","389.4","286.7","368.1","-81.3","287.8","369.4","-81.6"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","03:17","298.3","2","2.24","388.0","2","2.13","975.0","11.2","99.71","10.618","25.453","299.0","388.8","283.0","367.9","-85.0","284.0","369.3","-85.3"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","06:17","304.0","2","2.40","387.8","2","2.30","977.0","11.3","99.71","10.666","25.895","304.7","388.7","288.9","368.6","-79.7","290.0","369.9","-80.0"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","09:17","306.8","2","2.40","387.5","2","2.30","978.1","11.4","99.61","10.736","26.220","307.5","388.4","291.9","368.7","-76.8","293.0","370.1","-77.1"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","12:17","309.0","2","2.40","387.9","2","2.30","979.2","11.4","99.52","10.825","26.623","309.8","388.8","294.4","369.4","-75.1","295.4","370.8","-75.4"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","15:17","311.6","2","2.27","387.6","2","2.16","978.6","11.4","99.47","10.896","26.895","312.4","388.4","296.6","368.9","-72.2","297.7","370.2","-72.5"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","18:17","301.8","2","2.41","387.6","2","2.31","978.2","11.5","99.56","10.633","25.768","302.6","388.5","287.3","368.9","-81.6","288.3","370.3","-81.9"
"GAKOA_149W_60N","59.856","-149.497","09/21/2011","21:17","254.4","2","2.40","389.2","2","2.30","978.3","11.4","99.71","10.082","22.955","255.0","390.1","242.2","370.5","-128.3","243.2","371.9","-128.8"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","00:17","287.5","2","2.24","387.2","2","2.14","978.4","11.2","99.85","10.649","25.102","288.1","388.0","273.6","368.4","-94.9","274.6","369.8","-95.2"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","03:17","281.1","2","2.22","387.3","2","2.12","978.7","11.1","99.85","10.644","24.635","281.7","388.1","267.6","368.7","-101.1","268.6","370.0","-101.4"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","06:17","269.0","2","2.21","388.4","2","2.11","980.7","11.0","99.81","10.748","24.810","269.6","389.2","256.6","370.5","-113.9","257.5","371.8","-114.3"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","09:17","261.5","2","2.04","389.6","2","2.08","983.0","10.8","99.71","10.332","23.656","262.0","390.5","250.1","372.6","-122.6","251.0","374.0","-123.0"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","12:17","255.9","2","2.28","387.8","2","2.18","985.0","10.6","99.66","10.273","23.347","256.5","388.7","245.3","371.7","-126.4","246.2","373.1","-126.9"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","15:17","270.5","2","2.14","388.1","2","2.18","986.7","10.6","99.61","10.261","22.627","271.1","389.0","259.7","372.6","-112.9","260.7","374.0","-113.4"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","18:17","259.9","2","2.14","389.1","2","2.18","989.3","10.7","99.47","10.447","23.098","260.5","389.9","250.2","374.5","-124.3","251.1","375.9","-124.8"
"GAKOA_149W_60N","59.856","-149.497","09/22/2011","21:17","196.3","2","2.01","388.3","2","1.91","991.4","10.7","99.38","9.802","21.598","196.7","389.0","189.4","374.6","-185.2","190.1","376.0","-185.9"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","00:17","221.5","2","2.11","389.1","2","2.01","993.0","10.5","99.52","10.209","22.788","222.0","389.8","214.0","375.9","-161.9","214.8","377.3","-162.5"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","03:17","248.4","2","1.96","388.6","2","2.00","993.6","10.3","99.62","9.887","21.732","248.8","389.4","240.2","375.8","-135.6","241.1","377.2","-136.1"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","06:17","244.2","2","1.95","389.0","2","1.85","993.3","10.2","99.62","9.990","22.588","244.7","389.7","236.1","376.0","-139.9","237.0","377.4","-140.4"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","09:17","251.3","2","1.92","394.1","2","1.83","991.6","10.0","99.57","10.099","23.179","251.8","394.9","242.5","380.2","-137.7","243.4","381.7","-138.3"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","12:17","260.6","2","1.89","390.2","2","1.80","989.5","9.6","99.62","9.818","22.115","261.1","390.9","251.0","375.7","-124.7","251.9","377.1","-125.2"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","15:17","263.6","2","1.85","390.9","2","1.76","987.0","9.2","99.52","10.258","23.539","264.1","391.6","253.1","375.3","-122.2","254.0","376.7","-122.7"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","18:17","265.6","2","1.95","390.1","2","1.86","986.2","9.0","99.61","9.495","22.168","266.1","390.9","255.0","374.5","-119.5","255.9","375.9","-120.0"
"GAKOA_149W_60N","59.856","-149.497","09/23/2011","21:17","277.9","2","1.98","389.2","2","1.89","987.4","9.3","99.66","9.675","23.133","278.5","389.9","267.1","374.0","-106.9","268.1","375.4","-107.3"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","00:17","278.1","2","2.04","388.7","2","1.95","989.2","9.8","99.76","9.913","23.123","278.7","389.4","267.8","374.1","-106.4","268.8","375.5","-106.8"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","03:17","263.7","2","2.12","388.4","2","2.15","991.3","10.5","99.90","10.049","22.972","264.2","389.2","254.4","374.7","-120.3","255.3","376.1","-120.8"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","06:17","277.6","2","2.26","389.3","2","2.16","993.8","10.6","99.90","10.645","24.550","278.2","390.2","268.4","376.4","-108.0","269.4","377.8","-108.4"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","09:17","278.1","2","2.24","388.6","2","2.15","996.1","10.5","99.86","10.337","24.033","278.7","389.5","269.6","376.7","-107.1","270.6","378.1","-107.5"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","12:17","291.8","2","2.24","388.5","2","2.15","997.9","10.5","99.57","10.415","25.428","292.4","389.3","283.3","377.2","-93.9","284.4","378.7","-94.3"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","15:17","295.8","2","2.10","388.5","2","2.14","999.4","10.5","99.38","10.515","26.043","296.4","389.3","287.6","377.8","-90.2","288.7","379.2","-90.5"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","18:17","299.4","2","2.08","388.2","2","1.98","1000.3","10.3","99.29","10.650","26.680","300.0","388.9","291.4","377.7","-86.3","292.5","379.1","-86.6"
"GAKOA_149W_60N","59.856","-149.497","09/24/2011","21:17","305.5","2","2.20","387.9","2","2.10","1000.9","10.2","99.19","10.970","27.032","306.2","388.8","297.5","377.6","-80.2","298.6","379.1","-80.5"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","00:17","301.2","2","2.10","387.7","2","2.14","1000.8","10.5","99.29","10.885","26.928","301.9","388.6","293.2","377.5","-84.2","294.3","378.9","-84.5"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","03:17","310.0","2","2.12","387.7","2","2.02","1000.3","10.6","99.24","10.949","27.662","310.6","388.5","301.6","377.2","-75.6","302.7","378.6","-75.9"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","06:17","310.9","2","2.11","387.9","2","2.02","1000.3","10.6","99.24","10.916","27.692","311.6","388.7","302.5","377.4","-74.9","303.7","378.8","-75.2"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","09:17","314.4","2","1.97","388.5","2","2.00","999.5","10.5","99.10","10.898","27.879","315.1","389.3","305.6","377.6","-72.0","306.8","379.0","-72.2"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","12:17","293.4","2","1.95","390.4","2","1.85","998.5","10.3","99.14","10.368","26.257","294.0","391.1","285.1","379.2","-94.1","286.1","380.6","-94.5"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","15:17","310.6","2","1.93","392.4","2","1.97","997.7","10.2","99.05","10.644","27.150","311.2","393.1","301.4","380.8","-79.4","302.5","382.2","-79.7"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","18:17","310.6","2","2.04","391.1","2","1.95","996.9","10.0","99.05","10.657","27.184","311.2","391.9","301.2","379.2","-78.1","302.3","380.6","-78.4"
"GAKOA_149W_60N","59.856","-149.497","09/25/2011","21:17","313.3","2","2.18","390.8","2","2.09","996.3","10.1","99.19","10.779","27.253","314.0","391.6","303.6","378.7","-75.1","304.8","380.1","-75.3"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","00:17","292.0","2","2.25","389.1","2","2.16","996.1","10.6","99.47","10.528","26.413","292.7","389.9","283.0","377.1","-94.1","284.1","378.5","-94.4"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","03:17","307.1","2","2.35","387.1","2","2.25","996.9","11.3","99.47","10.767","27.288","307.8","387.9","297.8","375.4","-77.6","299.0","376.8","-77.8"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","06:17","279.0","2","2.06","387.5","2","1.96","997.6","11.3","99.52","10.758","26.987","279.6","388.3","270.8","376.0","-105.3","271.8","377.4","-105.7"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","09:17","272.5","2","1.85","387.9","2","1.88","998.4","10.6","99.52","10.101","25.247","273.0","388.7","264.8","376.9","-112.1","265.8","378.3","-112.5"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","12:17","276.6","2","1.80","392.3","2","1.70","998.9","10.1","99.57","10.466","25.743","277.1","393.0","268.8","381.1","-112.4","269.8","382.6","-112.8"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","15:17","284.1","2","1.75","395.4","2","1.65","999.4","9.7","99.52","10.409","25.829","284.6","396.1","276.2","384.3","-108.2","277.2","385.8","-108.6"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","18:17","275.0","2","1.97","395.3","2","1.87","998.5","9.3","99.52","9.720","25.091","275.6","396.1","267.3","384.2","-116.9","268.3","385.7","-117.4"
"GAKOA_149W_60N","59.856","-149.497","09/26/2011","21:17","286.4","2","2.09","388.7","2","2.01","997.5","9.4","99.71","10.348","25.663","287.0","389.5","278.0","377.3","-99.3","279.0","378.7","-99.7"
"GAKOA_149W_60N","59.856","-149.497","09/27/2011","00:17","276.6","2","2.06","388.5","2","2.09","996.0","10.1","99.86","10.086","24.945","277.2","389.4","268.1","376.6","-108.5","269.2","378.1","-108.9"
"GAKOA_149W_60N","59.856","-149.497","09/27/2011","03:17","254.8","2","2.30","387.2","2","2.21","994.9","11.0","99.95","10.700","26.047","255.4","388.1","246.6","374.8","-128.2","247.5","376.2","-128.6"
"GAKOA_149W_60N","59.856","-149.497","09/27/2011","06:17","274.0","2","2.04","389.6","2","1.93","993.8","11.0","99.86","10.469","25.958","274.6","390.4","264.9","376.7","-111.7","265.9","378.1","-112.2"
"GAKOA_149W_60N","59.856","-149.497","09/27/2011","09:17","286.8","2","2.11","390.3","2","2.14","993.4","10.4","100.00","10.466","26.317","287.4","391.2","277.2","377.3","-100.1","278.2","378.7","-100.5"
