"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"GAKOA_149W_60N","59.911","-149.349","09/26/2013","06:17","274.0","2","1.98","393.3","2","1.94","1001.8","10.8","99.66","11.169","27.151","274.6","394.1","266.9","383.1","-116.2","267.9","384.5","-116.6"
"GAKOA_149W_60N","59.911","-149.349","09/26/2013","09:17","273.1","2","1.98","394.1","2","1.94","1001.4","10.7","99.62","11.147","27.171","273.6","394.9","265.9","383.7","-117.8","266.9","385.2","-118.3"
"GAKOA_149W_60N","59.911","-149.349","09/26/2013","12:17","271.6","2","1.91","397.0","2","1.87","1001.1","10.7","99.48","10.976","27.001","272.1","397.8","264.4","386.5","-122.1","265.4","387.9","-122.6"
"GAKOA_149W_60N","59.911","-149.349","09/26/2013","15:17","271.3","2","2.04","397.4","2","1.98","1001.1","10.6","99.39","11.037","27.096","271.9","398.2","264.1","386.9","-122.8","265.1","388.4","-123.3"
"GAKOA_149W_60N","59.911","-149.349","09/26/2013","18:17","272.5","2","2.10","398.4","2","2.02","1001.8","10.5","99.31","11.046","27.139","273.1","399.2","265.5","388.1","-122.6","266.5","389.6","-123.0"
"GAKOA_149W_60N","59.911","-149.349","09/26/2013","21:17","270.7","2","2.24","396.1","2","2.17","1001.8","10.6","99.44","11.153","27.205","271.3","397.0","263.7","386.0","-122.2","264.7","387.4","-122.7"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","00:17","253.8","2","2.22","394.7","2","2.15","1000.2","10.9","100.01","11.082","26.927","254.3","395.6","246.9","383.9","-137.1","247.8","385.4","-137.6"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","03:17","257.2","2","1.99","393.2","2","1.95","998.0","11.3","100.24","11.107","26.979","257.7","393.9","249.6","381.5","-131.9","250.6","383.0","-132.4"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","06:17","250.4","2","2.05","393.7","2","2.01","994.0","11.3","100.67","10.985","26.679","250.9","394.5","242.1","380.5","-138.4","243.0","381.9","-139.0"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","09:17","257.0","2","2.08","395.9","2","2.03","989.4","11.1","100.85","11.052","26.876","257.6","396.7","247.3","380.8","-133.5","248.2","382.2","-134.0"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","12:17","263.5","2","1.98","395.3","2","1.94","984.1","10.9","100.75","11.036","26.954","264.1","396.1","252.2","378.2","-126.0","253.1","379.6","-126.5"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","15:17","270.6","2","1.96","394.4","2","1.91","979.6","10.6","100.82","11.002","26.931","271.1","395.2","257.7","375.6","-117.9","258.7","377.0","-118.3"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","18:17","271.1","2","1.95","395.0","2","1.91","978.3","10.4","100.82","10.710","26.405","271.7","395.8","257.9","375.8","-117.9","258.9","377.2","-118.3"
"GAKOA_149W_60N","59.911","-149.349","09/27/2013","21:17","261.7","2","2.02","394.5","2","1.96","979.1","10.2","101.13","10.686","26.202","262.2","395.3","249.2","375.6","-126.5","250.1","377.0","-126.9"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","00:17","247.9","2","2.09","393.2","2","2.02","979.9","10.1","101.72","10.659","26.099","248.4","394.0","236.3","374.7","-138.4","237.1","376.1","-139.0"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","03:17","259.2","2","2.21","394.2","2","2.10","982.0","10.2","101.78","10.781","26.440","259.8","395.0","247.6","376.5","-128.9","248.5","377.9","-129.4"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","06:17","264.8","2","2.19","395.1","2","2.07","984.2","10.4","101.52","10.788","26.513","265.4","395.9","253.5","378.2","-124.7","254.5","379.6","-125.1"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","09:17","266.8","2","2.24","395.7","2","2.11","985.0","10.6","101.31","10.763","26.506","267.4","396.5","255.6","379.1","-123.5","256.6","380.5","-124.0"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","12:17","264.7","2","2.14","397.5","2","2.01","985.1","10.8","101.08","10.543","26.352","265.3","398.3","253.7","380.8","-127.2","254.6","382.3","-127.6"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","15:17","265.6","2","2.20","400.5","2","2.08","984.3","10.9","100.78","10.760","26.540","266.2","401.3","254.3","383.4","-129.1","255.3","384.9","-129.6"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","18:17","264.9","2","2.32","397.4","2","2.19","983.1","11.0","100.77","10.695","26.551","265.5","398.3","253.4","380.0","-126.7","254.3","381.4","-127.1"
"GAKOA_149W_60N","59.911","-149.349","09/28/2013","21:17","267.2","2","2.36","395.6","2","2.19","982.2","11.1","100.76","10.890","26.747","267.8","396.4","255.3","377.9","-122.6","256.2","379.3","-123.0"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","00:17","259.1","2","2.41","396.0","2","2.23","981.3","11.3","101.11","10.836","26.601","259.7","396.8","247.4","377.9","-130.6","248.3","379.3","-131.1"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","03:17","261.0","2","2.48","398.2","2","2.28","981.9","11.6","101.25","10.811","26.582","261.6","399.1","249.3","380.3","-131.0","250.2","381.7","-131.5"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","06:17","242.9","2","2.47","398.8","2","2.25","982.7","11.7","101.63","10.605","26.673","243.5","399.7","232.3","381.3","-149.0","233.2","382.7","-149.5"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","09:17","250.6","2","2.33","399.3","2","2.12","983.8","11.7","101.64","10.529","26.748","251.2","400.2","239.9","382.2","-142.3","240.8","383.6","-142.8"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","12:17","293.1","2","2.13","400.0","2","1.97","985.2","11.5","100.80","10.992","28.008","293.7","400.8","280.8","383.2","-102.4","281.9","384.6","-102.7"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","15:17","280.4","2","2.06","399.8","2","1.90","985.8","11.1","100.33","10.615","27.654","280.9","400.5","268.8","383.3","-114.4","269.8","384.7","-114.9"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","18:17","268.0","2","2.17","398.7","2","1.99","986.9","10.7","100.35","10.352","27.395","268.5","399.5","257.3","382.8","-125.5","258.3","384.2","-125.9"
"GAKOA_149W_60N","59.911","-149.349","09/29/2013","21:17","280.4","2","2.09","398.3","2","1.93","987.3","10.5","100.20","10.627","27.816","280.9","399.1","269.3","382.5","-113.2","270.3","383.9","-113.6"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","00:17","298.0","2","2.19","398.0","2","2.00","987.8","10.5","99.85","10.987","28.400","298.7","398.8","286.3","382.3","-96.0","287.4","383.7","-96.3"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","03:17","297.5","2","2.10","397.7","2","1.94","988.6","10.6","99.58","11.052","28.411","298.1","398.5","286.0","382.3","-96.3","287.0","383.7","-96.6"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","06:17","296.1","2","2.06","398.5","2","1.89","989.3","10.5","99.44","10.918","28.395","296.7","399.3","284.8","383.4","-98.5","285.9","384.8","-98.9"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","09:17","289.4","2","2.08","400.0","2","1.90","991.1","10.4","99.44","10.661","28.250","290.0","400.8","279.0","385.6","-106.6","280.0","387.0","-107.0"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","12:17","292.0","2","2.00","400.0","2","1.85","992.5","10.3","99.34","10.698","28.284","292.6","400.7","281.9","386.0","-104.1","283.0","387.5","-104.5"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","15:17","291.3","2","1.94","400.0","2","1.79","993.6","10.1","99.29","10.595","28.271","291.9","400.7","281.6","386.5","-104.9","282.6","387.9","-105.3"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","18:17","292.5","2","1.94","399.4","2","1.79","994.7","9.8","99.15","10.633","28.304","293.1","400.1","283.0","386.4","-103.3","284.1","387.8","-103.7"
"GAKOA_149W_60N","59.911","-149.349","09/30/2013","21:17","290.3","2","2.07","398.3","2","1.90","995.6","9.8","99.18","10.634","28.305","290.9","399.1","281.2","385.7","-104.5","282.3","387.2","-104.9"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","00:17","289.7","2","2.16","397.7","2","1.98","996.7","10.0","99.33","10.768","28.310","290.3","398.5","280.9","385.6","-104.7","281.9","387.0","-105.1"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","03:17","292.5","2","2.15","398.0","2","1.95","998.1","10.3","99.28","10.907","28.309","293.1","398.8","283.9","386.3","-102.4","285.0","387.7","-102.8"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","06:17","294.7","2","2.12","397.7","2","1.93","999.4","10.5","99.09","10.890","28.384","295.4","398.5","286.5","386.6","-100.1","287.6","388.0","-100.4"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","09:17","294.0","2","2.10","398.8","2","1.90","1001.1","10.5","99.00","10.815","28.371","294.6","399.5","286.3","388.2","-101.9","287.4","389.7","-102.3"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","12:17","294.0","2","1.92","400.3","2","1.79","1002.2","10.5","98.92","10.817","28.397","294.6","401.0","286.6","390.1","-103.6","287.6","391.6","-104.0"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","15:17","294.6","2","1.86","400.8","2","1.72","1003.3","10.3","98.84","10.795","28.451","295.2","401.5","287.5","391.0","-103.5","288.6","392.5","-103.9"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","18:17","293.6","2","1.86","400.6","2","1.74","1003.9","9.9","98.81","10.683","28.372","294.1","401.3","286.7","391.1","-104.4","287.7","392.6","-104.8"
"GAKOA_149W_60N","59.911","-149.349","10/01/2013","21:17","279.2","2","2.06","398.4","2","1.90","1005.7","9.6","98.99","10.523","27.553","279.8","399.1","273.2","389.7","-116.5","274.2","391.2","-117.0"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","00:17","264.5","2","2.12","397.0","2","1.95","1006.4","9.8","99.44","10.453","26.812","265.0","397.8","259.0","388.7","-129.7","260.0","390.2","-130.2"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","03:17","259.1","2","2.09","397.3","2","1.92","1006.8","10.2","99.79","10.332","26.827","259.7","398.0","253.9","389.2","-135.3","254.9","390.7","-135.8"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","06:17","250.4","2","1.99","401.1","2","1.86","1007.6","10.5","100.05","10.423","26.893","250.9","401.8","245.5","393.1","-147.7","246.4","394.6","-148.2"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","09:17","231.5","2","2.00","399.8","2","1.90","1008.0","10.5","100.75","10.318","26.065","232.0","400.6","227.1","392.1","-165.0","227.9","393.6","-165.7"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","12:17","235.4","2","1.85","400.7","2","1.79","1008.8","10.3","101.02","10.299","26.156","235.8","401.4","231.0","393.3","-162.3","231.9","394.8","-162.9"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","15:17","255.4","2","1.88","398.4","2","1.82","1008.5","10.1","100.75","10.365","25.725","255.9","399.1","250.6","390.9","-140.2","251.6","392.4","-140.8"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","18:17","252.4","2","1.94","397.8","2","1.87","1009.4","9.9","100.58","10.305","25.616","252.9","398.5","247.9","390.6","-142.8","248.8","392.1","-143.3"
"GAKOA_149W_60N","59.911","-149.349","10/02/2013","21:17","231.2","2","2.13","394.6","2","2.02","1010.3","9.8","101.22","10.406","25.871","231.7","395.4","227.3","387.9","-160.6","228.2","389.4","-161.2"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","00:17","225.8","2","2.00","395.2","2","1.89","1010.1","10.1","101.88","10.548","25.682","226.3","396.0","221.9","388.4","-166.4","222.8","389.8","-167.0"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","03:17","242.2","2","1.86","397.0","2","1.79","1009.3","10.3","101.78","10.504","25.763","242.6","397.7","237.8","389.7","-152.0","238.7","391.2","-152.5"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","06:17","235.5","2","1.99","395.5","2","1.90","1008.2","10.1","101.93","10.507","25.578","236.0","396.3","231.0","388.0","-157.0","231.9","389.4","-157.6"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","09:17","255.6","2","1.93","399.6","2","1.86","1006.9","10.0","101.47","10.526","25.496","256.0","400.4","250.3","391.4","-141.1","251.3","392.9","-141.6"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","12:17","255.3","2","1.88","399.5","2","1.83","1003.7","9.9","101.18","10.451","25.523","255.8","400.2","249.3","390.1","-140.8","250.2","391.5","-141.3"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","15:17","255.5","2","2.03","396.7","2","1.94","1000.2","9.8","101.00","10.351","25.212","256.0","397.5","248.6","386.0","-137.4","249.6","387.5","-137.9"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","18:17","255.5","2","2.02","395.1","2","1.93","996.6","9.7","100.84","10.296","25.180","256.0","395.9","247.8","383.1","-135.4","248.7","384.6","-135.9"
"GAKOA_149W_60N","59.911","-149.349","10/03/2013","21:17","254.8","2","2.05","394.8","2","1.95","994.2","9.7","100.79","10.317","24.976","255.4","395.6","246.5","381.9","-135.4","247.4","383.3","-135.9"
"GAKOA_149W_60N","59.911","-149.349","10/04/2013","00:17","250.4","2","2.00","395.4","2","1.92","994.0","9.7","100.94","10.288","24.924","250.9","396.2","242.2","382.4","-140.2","243.1","383.8","-140.7"
"GAKOA_149W_60N","59.911","-149.349","10/04/2013","03:17","248.2","2","1.87","396.1","2","1.82","995.6","9.8","101.02","10.273","24.864","248.7","396.9","240.4","383.7","-143.2","241.3","385.1","-143.8"
"GAKOA_149W_60N","59.911","-149.349","10/04/2013","06:17","252.4","2","1.88","398.9","2","1.84","996.3","9.7","100.86","10.260","24.608","252.9","399.6","244.6","386.6","-142.0","245.6","388.1","-142.5"
