expocode: 316420150130,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: KODIAK,,,,,,,,,,,,,,,,,,,,,,,,,
"Pis: Cross, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
KODIAK_152W_57N,57.707,-152.297,1/30/15,12:17,491.3,2,0.64,407.8,2,0.56,1026.1,5.9,97.24,5.363,31.811,491.6,408.1,491.5,408,83.5,493.6,409.7,83.9,-999,5
KODIAK_152W_57N,57.707,-152.297,1/30/15,15:17,489.9,2,1.41,407.4,2,1.34,1026.3,4.6,97.3,5.315,31.803,490.6,408,490.7,408,82.7,492.7,409.7,83,-999,5
KODIAK_152W_57N,57.707,-152.297,1/30/15,18:17,488.7,2,1.5,407,2,1.44,1027.7,4.3,97.32,5.328,31.812,489.4,407.6,490.1,408.2,81.9,492.2,409.9,82.3,-999,5
KODIAK_152W_57N,57.707,-152.297,1/30/15,21:17,486.6,2,1.55,406.3,2,1.5,1030.1,4.4,97.31,5.341,31.819,487.4,406.9,489.2,408.4,80.8,491.3,410.1,81.1,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,0:17,487.8,2,1.57,406.1,2,1.52,1030.7,4.6,97.29,5.376,31.822,488.6,406.7,490.7,408.5,82.3,492.8,410.2,82.6,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,3:17,489.4,2,1.62,406.3,2,1.57,1031.3,4.8,97.26,5.414,31.83,490.2,407,492.6,409,83.7,494.7,410.7,84,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,6:17,488.8,2,1.62,406.7,2,1.58,1031,5,97.25,5.408,31.833,489.6,407.4,491.8,409.3,82.6,493.9,411,82.9,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,9:17,489.5,2,1.65,406.4,2,1.6,1029.6,5.2,97.26,5.431,31.847,490.3,407.1,491.9,408.4,83.5,494,410.1,83.9,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,12:17,488.9,2,1.68,405.9,2,1.62,1028,5.3,97.32,5.421,31.848,489.7,406.5,490.5,407.2,83.3,492.6,408.9,83.6,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,15:17,490.2,2,1.67,406,2,1.62,1026.2,5.4,97.36,5.447,31.86,491,406.6,490.9,406.6,84.4,493,408.3,84.7,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,18:17,492,2,1.73,405.9,2,1.68,1024.5,5.5,97.36,5.474,31.87,492.9,406.6,492,405.8,86.2,494.1,407.5,86.5,-999,5
KODIAK_152W_57N,57.707,-152.297,1/31/15,21:17,493.3,2,1.75,406.5,2,1.7,1023.9,5.6,97.45,5.503,31.882,494.1,407.2,493,406.2,86.7,495,407.9,87.1,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,0:17,494.4,2,1.75,406.5,2,1.7,1021.8,5.7,97.5,5.529,31.897,495.2,407.2,493,405.4,87.6,495.1,407.1,88,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,3:17,494.2,2,1.76,406.3,2,1.72,1021,5.8,97.51,5.533,31.903,495.1,407,492.5,404.9,87.6,494.5,406.6,87.9,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,6:17,495.3,2,1.81,406.5,2,1.75,1020.5,5.8,97.5,5.543,31.906,496.2,407.2,493.4,404.9,88.5,495.4,406.6,88.8,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,9:17,495.7,2,1.8,406.4,2,1.75,1020.9,6,97.49,5.539,31.9,496.6,407.1,494,405,89,496,406.6,89.4,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,12:17,496.5,2,1.83,406.7,2,1.78,1020,6.1,97.48,5.544,31.904,497.4,407.4,494.3,404.9,89.4,496.4,406.5,89.8,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,15:17,495.2,2,1.79,406,2,1.74,1018.9,6.1,97.5,5.554,31.914,496.1,406.7,492.5,403.8,88.7,494.5,405.5,89,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,18:17,494.8,2,1.72,406.8,2,1.66,1018.2,6.1,97.51,5.533,31.916,495.7,407.5,491.7,404.2,87.5,493.8,405.9,87.9,-999,5
KODIAK_152W_57N,57.707,-152.297,2/1/15,21:17,494.9,2,1.81,406.5,2,1.8,1017.1,5.9,97.59,5.516,31.906,495.8,407.2,491.4,403.6,87.8,493.4,405.2,88.2,-999,5
KODIAK_152W_57N,57.707,-152.297,2/2/15,0:17,495.8,2,1.85,405.6,2,1.75,1015.8,6,97.6,5.512,31.907,496.7,406.3,491.6,402.1,89.5,493.6,403.8,89.8,-999,5
KODIAK_152W_57N,57.707,-152.297,2/2/15,3:17,494.5,2,1.66,405.5,2,1.55,1016.2,6,97.62,5.474,31.904,495.3,406.1,490.4,402.1,88.3,492.5,403.8,88.7,-999,5
