expocode: 316420140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: LAPUSH_125W_48N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Mickett, J.; Newton, J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (Total Scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,03:17,263.7,2,2.29,397.4,2,2.37,1019.8,16.9,102.09,14.318,31.761,264.4,398.4,260.9,393.2,-132.3,261.9,394.7,-132.8,-999,5,-999,5,0.424,2,268.5,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,03:47,262.8,2,2.37,397.9,2,2.43,1019.7,17.1,102.78,14.216,31.728,263.4,398.9,260,393.7,-133.7,260.9,395.1,-134.2,-999,5,-999,5,0.4,2,267.8,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,04:17,257.7,2,2.42,398,2,2.43,1019.3,17.1,103.31,14.021,31.674,258.3,399,254.9,393.7,-138.9,255.8,395.2,-139.4,-999,5,-999,5,0.403,2,267.8,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,04:47,255.1,2,2.46,398.2,2,2.46,1019.4,17.2,103.78,14.083,31.662,255.7,399.1,252.4,393.9,-141.5,253.3,395.3,-142,-999,5,-999,5,0.411,2,268.6,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,05:17,247.4,2,2.51,398.2,2,2.48,1019.3,17.2,104.19,13.985,31.626,248,399.2,244.7,393.9,-149.2,245.6,395.4,-149.8,-999,5,1.329,2,0.42,2,270.9,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,05:47,245.7,2,2.55,398.4,2,2.5,1019.1,17.2,104.66,14.059,31.626,246.3,399.4,243,394,-151,243.9,395.4,-151.6,-999,5,1.411,2,0.427,2,271.3,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,06:17,243.8,2,2.58,398.3,2,2.52,1019,17.1,104.95,14.028,31.612,244.4,399.3,241.1,393.9,-152.8,242,395.4,-153.4,-999,5,1.557,2,0.431,2,273.2,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,06:47,244,2,2.6,398.1,2,2.53,1018.9,17.1,105.2,14.027,31.613,244.7,399.2,241.3,393.8,-152.4,242.2,395.2,-153,-999,5,1.45,2,0.421,2,272.6,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,09:17,226.2,2,2.56,397,2,2.49,1018.1,15.7,105.69,13.918,31.549,226.7,398,223.5,392.3,-168.8,224.3,393.7,-169.4,-999,5,1.947,2,0.47,2,281.6,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,12:17,198.4,2,2.52,396.9,2,2.45,1017.6,15.2,106.66,13.827,31.469,198.9,397.8,196,392,-196,196.7,393.4,-196.8,-999,5,-999,5,0.504,2,298.9,2
LAPUSH_125W_48N,47.966,-124.949,06/25/2014,15:17,129.9,2,2.65,398,2,2.57,1016.8,14.8,110.1,13.682,31.315,130.2,399.1,128.2,393,-264.7,128.7,394.4,-265.7,-999,5,-999,5,0.603,2,365.1,2
