expocode: 316420160319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: LAPUSH_125W_48N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Newton, J.; Mickett, J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,QF_PH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,18:47,364.1,2,1.7,409.4,2,1.66,1017.6,11.4,100.13,10.722,32.011,364.7,410.1,360.3,405.2,-44.8,361.7,406.7,-45,-999,5,-999,5,0.569,2,282.3,2
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,19:17,361.6,2,1.26,407.9,2,1.21,1017.3,11.9,100.17,10.723,32.003,362.1,408.4,357.6,403.4,-45.7,359,404.9,-45.9,-999,5,-999,5,0.57,2,284.1,2
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,19:47,363.2,2,1.17,407.4,2,1.13,1017.3,12.1,100.22,10.734,31.994,363.6,407.8,359.2,402.8,-43.7,360.5,404.4,-43.8,-999,5,-999,5,0.579,2,284.5,2
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,20:17,359.6,2,1.15,407.1,2,1.1,1017.3,12.3,100.31,10.724,31.966,360,407.5,355.6,402.5,-46.9,357,404.1,-47.1,-999,5,-999,5,0.567,2,285.6,2
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,20:47,358.9,2,1.15,407,2,1.12,1017.2,12.5,100.39,10.732,31.961,359.3,407.4,354.8,402.4,-47.6,356.2,403.9,-47.7,-999,5,-999,5,0.576,2,285.6,2
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,21:17,356,2,1.21,406.5,2,1.17,1016.7,12.6,100.56,10.739,31.939,356.5,407,351.9,401.7,-49.9,353.2,403.3,-50,-999,5,-999,5,0.55,2,286.7,2
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,21:47,354.8,2,1.28,405.7,2,1.23,1016.2,12.7,100.77,10.774,31.928,355.3,406.2,350.5,400.8,-50.3,351.8,402.3,-50.5,-999,5,-999,5,0.552,2,288.5,2
LAPUSH_125W_48N,47.97,-124.947,03/19/2016,22:17,352.8,2,1.23,404.3,2,1.18,1016.1,12.8,100.92,10.775,31.92,353.2,404.7,348.4,399.3,-50.8,349.7,400.8,-51,-999,5,-999,5,0.567,2,289.5,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,00:17,339,2,1.96,404.9,2,1.92,1015.8,12.2,101.36,10.802,31.901,339.7,405.7,335,400.1,-65.1,336.3,401.6,-65.3,-999,5,-999,5,0.575,2,296.5,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,03:17,320.6,2,1.8,407.6,2,1.79,1014.7,12.1,102.06,10.778,31.503,321.2,408.3,316.4,402.2,-85.8,317.6,403.8,-86.1,8.106,2,-999,5,0.642,2,309.3,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,06:17,336.8,2,1.82,406.9,2,1.8,1013.8,11.8,102.2,10.76,31.83,337.4,407.6,332.1,401.2,-69.1,333.4,402.7,-69.4,8.089,2,1.349,2,0.57,2,298.7,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,09:17,343.9,2,1.82,406.9,2,1.8,1012.2,11.7,102.13,10.764,31.896,344.5,407.6,338.6,400.6,-62,339.8,402.1,-62.2,8.083,2,1.139,2,0.553,2,295.2,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,12:17,335.4,2,1.84,408.3,2,1.83,1010.4,11.6,102.3,10.748,31.829,336,409,329.6,401.2,-71.6,330.9,402.8,-71.9,8.094,2,-999,5,0.537,2,300,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,15:17,343.4,2,1.84,421.2,2,1.82,1008.7,11.6,102.23,10.71,31.52,344,422,336.9,413.2,-76.3,338.1,414.8,-76.6,8.085,2,-999,5,0.611,2,296.3,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,18:17,341,2,1.93,414.1,2,1.91,1008.1,11.7,102.27,10.719,31.498,341.6,414.9,334.4,406.1,-71.7,335.7,407.6,-72,8.088,2,-999,5,0.641,2,297.8,2
LAPUSH_125W_48N,47.97,-124.947,03/20/2016,21:17,345.2,2,1.87,409.8,2,1.86,1006.3,11.8,102.29,10.769,31.677,345.8,410.5,337.8,401,-63.2,339.1,402.5,-63.5,8.085,2,-999,5,0.647,2,296.6,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,00:17,339.1,2,1.87,405.5,2,1.86,1005.7,11.7,102.44,10.783,31.67,339.7,406.2,331.7,396.6,-64.9,332.9,398.1,-65.2,-999,4,-999,5,0.613,2,300.5,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,03:17,338.6,2,1.93,406.9,2,1.92,1006.9,11.8,102.51,10.781,31.601,339.3,407.6,331.6,398.5,-66.8,332.9,400,-67.1,8.095,2,-999,5,0.631,2,300.6,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,06:17,340.8,2,1.9,407.3,2,1.89,1007.2,11.8,102.4,10.768,31.675,341.4,408.1,333.8,399,-65.2,335.1,400.5,-65.4,8.089,2,1.23,2,0.607,2,298.8,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,09:17,347.1,2,1.89,407.2,2,1.89,1006,11.7,102.21,10.751,31.741,347.8,408,339.6,398.4,-58.8,340.9,399.9,-59,8.083,2,1.079,2,0.614,2,296,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,12:17,346.2,2,1.86,407.7,2,1.85,1006.2,11.4,102.1,10.737,31.7,346.8,408.5,338.8,399,-60.2,340.1,400.5,-60.4,8.079,2,-999,5,0.602,2,295.4,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,15:17,352.4,2,1.75,411.7,2,1.73,1005.5,11.3,101.85,10.725,31.734,353,412.4,344.6,402.6,-58,345.9,404.1,-58.3,8.081,2,-999,5,0.583,2,292.8,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,18:17,357.2,2,1.78,410.2,2,1.72,1004.7,11,101.59,10.74,31.915,357.8,410.9,349,400.8,-51.7,350.3,402.3,-51.9,8.073,2,-999,5,0.578,2,290.4,2
LAPUSH_125W_48N,47.97,-124.947,03/21/2016,21:17,361.7,2,1.75,410.1,2,1.72,1004.5,10.8,101.31,10.719,32.043,362.4,410.8,353.4,400.6,-47.3,354.7,402.1,-47.4,8.072,2,-999,5,0.551,2,288.9,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,00:17,358.3,2,1.82,408,2,1.8,1005.2,11,101.23,10.733,32.102,358.9,408.8,350.3,398.9,-48.6,351.6,400.4,-48.8,8.074,2,-999,5,0.533,2,291,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,03:17,358.1,2,1.78,408,2,1.76,1007,10.9,101.18,10.74,32.101,358.7,408.7,350.7,399.6,-48.9,352,401.1,-49.1,8.073,2,-999,5,0.555,2,290.8,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,06:17,361.1,2,1.71,408,2,1.68,1008.8,10.9,101.03,10.682,32.11,361.7,408.7,354.3,400.3,-46,355.6,401.8,-46.2,8.07,2,1.017,2,0.525,2,288.2,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,09:17,369.6,2,1.75,408,2,1.71,1010.5,10.7,100.69,10.646,32.187,370.2,408.7,363.2,401,-37.7,364.6,402.5,-37.9,8.061,2,0.825,2,0.495,2,284,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,12:17,374,2,1.78,413.1,2,1.74,1012.7,10.7,100.47,10.582,32.207,374.7,413.9,368.4,407,-38.5,369.8,408.5,-38.7,8.063,2,-999,5,0.479,2,283.4,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,15:17,361.9,2,1.76,407.6,2,1.72,1015.4,10.8,100.48,10.771,32.322,362.6,408.3,357.4,402.5,-45.1,358.8,404,-45.2,8.068,2,-999,5,0.407,2,287.1,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,18:17,362.4,2,1.88,407.6,2,1.82,1017.9,10.9,100.46,10.75,32.322,363.1,408.3,358.8,403.5,-44.7,360.2,405.1,-44.9,8.067,2,-999,5,0.419,2,287.2,2
LAPUSH_125W_48N,47.97,-124.947,03/22/2016,21:17,357.6,2,1.88,407.6,2,1.82,1019.9,11.2,100.59,10.829,32.333,358.3,408.4,354.8,404.4,-49.6,356.1,405.9,-49.8,8.073,2,-999,5,0.444,2,290.3,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,00:17,352.6,2,1.83,407.6,2,1.79,1021.6,11.2,100.75,10.813,32.289,353.2,408.3,350.4,405,-54.6,351.7,406.5,-54.8,8.076,2,-999,5,0.465,2,293.1,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,03:17,355.2,2,1.77,407.5,2,1.73,1023.1,11.1,100.77,10.832,32.196,355.8,408.2,353.4,405.5,-52.1,354.8,407.1,-52.3,8.074,2,-999,5,0.504,2,290.8,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,06:17,352,2,1.78,407.5,2,1.73,1023.6,10.9,100.73,10.81,32.115,352.7,408.2,350.5,405.7,-55.2,351.8,407.3,-55.4,8.076,2,0.905,2,0.512,2,290.8,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,09:17,342,2,1.79,407.4,2,1.73,1023.5,10.9,100.96,10.838,32.174,342.6,408.1,340.5,405.5,-65.1,341.8,407.1,-65.3,8.085,2,1.007,2,0.495,2,294.1,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,12:17,344.6,2,1.79,407.4,2,1.74,1022.9,10.9,101.04,10.832,32.197,345.2,408.1,342.9,405.4,-62.5,344.2,406.9,-62.7,8.082,2,-999,5,0.479,2,292.5,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,15:17,344.5,2,1.74,407.3,2,1.71,1022.5,10.7,101.11,10.831,32.188,345.1,407.9,342.6,405,-62.4,344,406.6,-62.6,8.083,2,-999,5,0.495,2,293,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,18:17,350.1,2,1.76,407.1,2,1.75,1020.7,10.8,101.03,10.795,32.266,350.7,407.8,347.6,404.1,-56.6,348.9,405.7,-56.8,8.081,2,-999,5,0.472,2,291.1,2
LAPUSH_125W_48N,47.97,-124.947,03/23/2016,21:17,369.5,2,1.82,407.2,2,1.82,1018.2,11,100.6,10.749,32.356,370.2,408,366,403.3,-37.3,367.4,404.9,-37.5,8.058,2,-999,5,0.42,2,282.8,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,00:17,373.5,2,1.89,407,2,1.87,1015.3,11.3,100.21,10.695,32.381,374.2,407.8,368.9,402,-33.1,370.3,403.6,-33.3,8.051,2,-999,5,0.436,2,280.6,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,03:17,366,2,1.74,407.2,2,1.72,1016.9,11.1,100.13,10.694,32.36,366.6,407.9,361.9,402.8,-40.8,363.3,404.3,-41,8.058,2,-999,5,0.449,2,285.5,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,06:17,363.4,2,1.64,407.5,2,1.61,1018.1,10.6,100.19,10.683,32.348,364,408.2,359.9,403.5,-43.7,361.3,405.1,-43.8,8.064,2,0.655,2,0.419,2,285.7,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,09:17,367.9,2,1.52,408.3,2,1.5,1019.4,10.2,100.09,10.727,32.351,368.5,409,364.7,404.8,-40.1,366.1,406.3,-40.2,8.061,2,0.6,2,0.384,2,283.4,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,12:17,375.3,2,1.67,408.1,2,1.64,1020.2,10,99.86,10.756,32.242,375.9,408.8,372.4,404.9,-32.5,373.8,406.4,-32.7,8.052,2,-999,5,0.466,2,279.9,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,15:17,375.4,2,1.69,407.9,2,1.65,1021.5,9.9,99.67,10.718,32.336,376,408.6,373,405.2,-32.3,374.4,406.8,-32.4,8.051,2,-999,5,0.403,2,279.7,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,18:17,375.4,2,1.76,407.7,2,1.71,1023.2,9.9,99.57,10.755,32.295,376,408.4,373.6,405.7,-32.1,375,407.3,-32.2,8.055,2,-999,5,0.439,2,280.8,2
LAPUSH_125W_48N,47.97,-124.947,03/24/2016,21:17,371.6,2,1.78,407.3,2,1.73,1024.1,10,99.5,10.818,32.241,372.3,408,370.1,405.7,-35.6,371.6,407.3,-35.7,8.059,2,-999,5,0.473,2,282.8,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,00:17,369.3,2,1.76,407.4,2,1.7,1023.6,10.1,99.56,10.871,32.192,370,408.1,367.7,405.6,-37.9,369.1,407.2,-38.1,8.065,2,-999,5,0.595,2,284,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,03:17,366.1,2,1.55,407.5,2,1.51,1023.7,10.1,99.59,10.811,32.156,366.7,408.1,364.5,405.6,-41.2,365.9,407.2,-41.3,8.076,3,-999,5,0.559,2,285.9,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,06:17,365.6,2,1.66,407.7,2,1.58,1024,9.9,99.65,10.751,32.138,366.2,408.4,364.1,406,-41.9,365.5,407.6,-42.1,8.082,3,0.61,2,0.521,2,286.3,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,09:17,284.4,2,1.64,407.6,2,1.57,1023.8,9.8,100.16,10.378,28.176,284.8,408.2,283.2,405.9,-122.7,284.3,407.5,-123.2,8.155,3,1.304,2,0.889,2,308.6,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,12:17,300.6,2,1.48,407.9,2,1.42,1023.2,9.8,100.26,10.268,25.442,301,408.5,299.1,405.9,-106.8,300.3,407.5,-107.2,8.107,3,-999,5,-999,4,310.7,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,15:17,304.6,2,1.56,407.7,2,1.5,1024.3,9.3,100.25,10.104,25.721,305,408.3,303.5,406.3,-102.8,304.7,407.9,-103.2,8.097,3,-999,5,-999,4,309.5,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,18:17,293.2,2,1.86,407.5,2,1.79,1024.8,9.7,100.58,10.318,26.165,293.7,408.2,292.4,406.3,-113.9,293.5,407.9,-114.4,8.117,3,-999,5,-999,4,315.8,2
LAPUSH_125W_48N,47.97,-124.947,03/25/2016,21:17,299.7,2,1.91,408.1,2,1.8,1024.2,10.3,101.09,11.078,26.13,300.2,408.8,298.5,406.4,-107.9,299.6,408,-108.3,8.102,3,-999,5,-999,4,319.8,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,00:17,317.1,2,2.02,407.8,2,1.9,1023.7,10.9,101.48,11.122,29.345,317.8,408.6,315.7,406,-90.3,317,407.6,-90.6,8.117,2,-999,5,1.371,2,313.4,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,03:17,309.3,2,1.68,408.2,2,1.59,1022.9,11,101.85,11.072,30.911,309.8,408.9,307.7,406,-98.3,308.8,407.5,-98.7,8.122,2,-999,5,0.732,2,312.1,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,06:17,319.7,2,1.75,408.5,2,1.66,1022.3,10.8,102,10.96,31.17,320.3,409.2,317.8,406.1,-88.2,319.1,407.6,-88.6,8.119,2,0.972,2,0.624,2,307.5,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,09:17,330.1,2,1.74,408.6,2,1.67,1021.3,10.7,101.97,10.983,31.049,330.7,409.3,327.8,405.8,-78,329.1,407.4,-78.3,8.109,2,0.869,2,0.676,2,302.3,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,12:17,325.5,2,1.73,410.1,2,1.66,1019.1,10.6,102.03,10.9,30.81,326.1,410.8,322.6,406.4,-83.8,323.8,407.9,-84.1,8.114,2,-999,5,0.769,2,305.2,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,15:17,315.9,2,1.76,411.7,2,1.67,1018.6,10.4,101.95,10.63,30.077,316.5,412.4,313,407.9,-94.9,314.2,409.4,-95.2,8.123,2,-999,5,0.891,2,304.7,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,18:17,314.2,2,1.95,410.8,2,1.84,1017.8,10.6,102.11,10.677,31.105,314.8,411.6,311.1,406.7,-95.6,312.3,408.3,-96,8.126,2,-999,5,0.719,2,308.6,2
LAPUSH_125W_48N,47.97,-124.947,03/26/2016,21:17,298.4,2,1.97,407.4,2,1.87,1015.7,11,102.88,10.829,31.19,299,408.2,294.8,402.5,-107.7,295.9,404,-108.1,8.149,2,-999,5,0.766,2,320.7,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,00:17,301.1,2,1.94,405.8,2,1.84,1013.3,11.2,103.57,10.902,31.367,301.7,406.5,296.7,399.9,-103.2,297.9,401.4,-103.6,8.154,3,-999,5,0.787,2,325.1,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,03:17,310,2,1.78,403.9,2,1.75,1011.8,11.1,103.78,10.887,31.426,310.5,404.6,305,397.4,-92.4,306.2,398.9,-92.7,8.136,2,-999,5,0.771,2,317.6,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,06:17,316.1,2,1.8,403.7,2,1.77,1010.5,11,103.87,10.801,31.604,316.7,404.4,310.7,396.8,-86.1,311.8,398.3,-86.4,8.144,3,2.036,2,0.724,2,317,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,09:17,344.7,2,1.73,408.2,2,1.67,1011.6,10.8,103.13,10.717,32.052,345.3,408.9,339.2,401.6,-62.5,340.4,403.1,-62.7,8.095,2,1.245,2,0.608,2,297.9,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,12:17,343.4,2,1.69,408.8,2,1.66,1013.6,10.4,102.56,10.685,32.099,344,409.5,338.6,403,-64.4,339.9,404.5,-64.7,8.093,2,-999,5,0.562,2,296.6,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,15:17,349,2,1.71,408.2,2,1.66,1016.6,10.2,101.98,10.685,32.047,349.6,408.9,345.1,403.6,-58.5,346.4,405.2,-58.8,8.096,3,-999,5,0.543,2,293.5,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,18:17,311.2,2,1.82,407.4,2,1.76,1018.6,10.1,101.87,10.816,30.686,311.7,408.1,308.3,403.6,-95.3,309.5,405.2,-95.7,8.137,2,-999,5,0.876,2,306.9,2
LAPUSH_125W_48N,47.97,-124.947,03/27/2016,21:17,304,2,1.77,407.2,2,1.71,1019.4,10.1,101.99,10.868,29.964,304.5,407.9,301.3,403.7,-102.4,302.5,405.3,-102.8,8.148,3,-999,5,1.041,2,313,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,00:17,287.2,2,1.77,407.1,2,1.71,1020,10.1,102.39,10.988,30.476,287.7,407.8,284.9,403.8,-118.9,286,405.4,-119.4,8.167,2,-999,5,0.874,2,320,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,03:17,294,2,1.67,407.5,2,1.62,1020.3,10.1,102.41,10.923,30.915,294.5,408.1,291.6,404.2,-112.6,292.8,405.8,-113,8.135,2,-999,5,0.828,2,310.5,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,06:17,293.2,2,1.68,407,2,1.64,1021,10,102.3,10.8,29.417,293.7,407.7,291.1,404.1,-113,292.3,405.7,-113.4,8.158,2,1.718,2,0.951,2,313.3,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,09:17,306.9,2,1.69,405.8,2,1.64,1021.2,10.1,101.93,10.723,29.865,307.4,406.4,304.8,403,-98.2,306,404.5,-98.6,8.148,3,1.61,2,0.929,2,305.4,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,12:17,293.8,2,1.62,407.6,2,1.56,1021.8,10,101.74,10.676,29.12,294.3,408.2,292,405,-113,293.1,406.6,-113.5,8.156,2,-999,5,0.999,2,311.3,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,15:17,292.4,2,1.76,412,2,1.7,1023.7,10,101.71,10.599,28.395,292.9,412.7,291.1,410.3,-119.1,292.3,411.9,-119.6,8.159,2,-999,5,1.109,2,311.7,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,18:17,279.1,2,1.95,410.5,2,1.9,1025,10.3,101.94,10.789,27.87,279.7,411.3,278.3,409.3,-130.9,279.4,410.8,-131.4,8.169,2,-999,5,0.937,2,322,2
LAPUSH_125W_48N,47.97,-124.947,03/28/2016,21:17,300.1,2,1.96,408.4,2,1.86,1024.6,10.8,102.18,11.171,30.694,300.7,409.1,299.1,406.9,-107.8,300.2,408.4,-108.2,8.156,3,-999,5,0.747,2,313.4,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,00:17,246.8,2,2,407.5,2,1.89,1023.7,11.2,103.38,11.418,27.474,247.3,408.2,245.7,405.6,-159.9,246.6,407.1,-160.5,8.228,3,-999,5,0.972,2,347.5,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,03:17,238.3,2,1.86,408,2,1.77,1024,11.3,104.43,11.033,27.196,238.7,408.8,237.3,406.3,-169,238.2,407.9,-169.7,8.246,3,-999,5,1,2,358.2,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,06:17,271.3,2,1.81,407.8,2,1.71,1024.2,11,104.31,10.866,27.602,271.8,408.5,270.3,406.1,-135.8,271.3,407.7,-136.4,8.187,3,2.102,2,0.885,2,334.8,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,09:17,271.7,2,1.79,409.8,2,1.73,1024.1,11,104.16,10.758,27.614,272.2,410.5,270.7,408.1,-137.5,271.7,409.7,-138,8.191,3,2.205,2,0.854,2,332.2,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,12:17,275.4,2,1.75,412.6,2,1.68,1023.5,10.9,103.88,10.65,27.635,275.9,413.3,274.2,410.7,-136.6,275.2,412.3,-137.1,8.178,3,-999,5,0.816,2,327.2,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,15:17,292.7,2,2.02,410.3,2,1.95,1023.6,10.8,103.63,10.645,27.746,293.3,411.1,291.5,408.6,-117.1,292.6,410.2,-117.5,8.172,3,-999,5,0.792,2,325.1,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,18:17,286.8,2,2.13,408.3,2,2.01,1023.2,11.4,103.9,10.879,27.748,287.4,409.1,285.5,406.4,-120.9,286.6,408,-121.3,8.18,3,-999,5,0.745,2,335.1,2
LAPUSH_125W_48N,47.97,-124.947,03/29/2016,21:17,278.6,2,2.24,410,2,2.12,1021.2,12.1,104.47,11.303,27.766,279.2,410.8,276.7,407.2,-130.5,277.8,408.7,-131,8.205,3,-999,5,0.756,2,343.5,2
LAPUSH_125W_48N,47.97,-124.947,03/30/2016,00:17,261.9,2,2.2,411.4,2,2.11,1020,12.6,105.29,11.492,27.748,262.5,412.3,259.8,408.1,-148.3,260.8,409.6,-148.9,8.226,3,-999,5,0.772,2,350.4,2
LAPUSH_125W_48N,47.97,-124.947,03/30/2016,03:17,250.7,2,2,409.3,2,1.9,1019.1,12.3,105.78,11.356,27.775,251.3,410.1,248.5,405.5,-157.1,249.4,407.1,-157.7,8.236,3,-999,5,0.75,2,351.2,2
