expocode: 316420110524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: LAPUSH_125W_48N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A., Newton, J., Mickett, J.,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF_xCO2_SW,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF_xCO2_ATM,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,QF_pH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,00:17,228.2,2,1.97,396.7,2,1.86,1017.8,13.9,104.22,12.129,31.036,228.7,397.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,0.2845,2,324.1,2
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,03:17,243,2,1.92,397.4,2,1.82,1017.9,13.7,104.71,12.152,31.077,243.5,398.1,240.4,393,-152.7,241.3,394.5,-153.2,-999,5,-999,5,0.281,2,322.6,2
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,06:17,254.9,2,1.83,397.1,2,1.73,1018,13.2,104.58,11.725,31.106,255.4,397.8,252.2,392.9,-140.7,253.2,394.4,-141.2,-999,5,0.056,2,0.285,2,303.1,2
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,09:17,161.2,2,1.84,396.5,2,1.73,1017.6,12.8,107.14,11.687,31.107,161.5,397.2,159.4,392.1,-232.7,160,393.6,-233.6,-999,5,0.144,2,0.321,2,385.9,2
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,12:17,157.6,2,1.84,396.5,2,1.73,1016.9,12.6,109.16,11.717,31.094,157.9,397.2,155.8,391.9,-236.1,156.4,393.3,-237,-999,5,-999,5,0.315,2,384.6,2
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,15:17,184.1,2,1.89,409.2,2,1.81,1016.8,12.5,109.47,11.479,31.101,184.4,409.9,181.9,404.4,-222.5,182.6,406,-223.4,-999,5,-999,5,0.296,2,332.2,2
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,18:17,145.8,2,1.98,399.9,2,1.89,1016.8,12.7,111.51,11.613,31.081,146.1,400.7,144.2,395.3,-251.1,144.7,396.8,-252.1,-999,5,-999,5,0.321,2,400.3,2
LAPUSH_125W_48N,47.967,-124.95,05/24/2011,21:17,139.1,2,2.01,397.9,2,1.91,1016.1,13.2,114.3,11.414,31.121,139.4,398.7,137.4,393.1,-255.7,138,394.6,-256.6,-999,5,-999,5,0.373,2,401.4,2
LAPUSH_125W_48N,47.967,-124.95,05/25/2011,00:17,144.2,2,2,397.8,2,1.91,1014.8,13.3,116.08,11.642,31.083,144.5,398.6,142.2,392.4,-250.2,142.8,393.9,-251.1,-999,5,-999,5,0.345,2,401.7,2
LAPUSH_125W_48N,47.967,-124.95,05/25/2011,03:17,122.9,2,1.9,397.4,2,1.82,1013.7,13.2,118.32,11.7,31.219,123.1,398.1,121.1,391.5,-270.5,121.5,393,-271.5,-999,5,-999,5,0.486,2,401.3,2
LAPUSH_125W_48N,47.967,-124.95,05/25/2011,06:17,120.4,2,1.9,395.9,2,1.81,1013.3,13,120.35,11.661,31.133,120.7,396.7,118.6,389.9,-271.3,119.1,391.4,-272.3,-999,5,0.556,2,0.439,2,401.6,2
LAPUSH_125W_48N,47.967,-124.95,05/25/2011,09:17,137.6,2,1.86,396.7,2,1.77,1012.6,12.9,121.16,11.166,30.793,137.8,397.4,135.4,390.5,-255.1,135.9,392,-256.1,-999,5,0.334,2,0.353,2,402.2,2
LAPUSH_125W_48N,47.967,-124.95,05/25/2011,12:17,125.6,2,1.82,402.4,2,1.76,1010.2,12.6,121.66,11.482,30.85,125.8,403.1,123.3,395.1,-271.8,123.7,396.6,-272.8,-999,5,-999,5,0.371,2,402.2,2
