expocode: 316420120526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: LAPUSH_125W_48N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:   Sutton, A.; Newton, J,; Mickett, J.,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 % O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW (Total Scale),QF pH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,00:17,169.1,2,1.81,398.6,2,1.71,1013.2,13.7,110.32,12.869,29.189,169.4,399.3,166.3,392,-225.7,166.9,393.5,-226.5,8.293,2,-999,5,0.96,2,324.5,2
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,03:17,162.7,2,1.87,398.4,2,1.78,1013,13.6,111.19,12.571,29.386,163,399.2,160.1,391.9,-231.9,160.7,393.4,-232.7,8.257,2,-999,5,1.083,2,337.5,2
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,06:17,173.4,2,1.78,396.4,2,1.7,1013.8,13.5,110.96,12.581,28.328,173.7,397,170.7,390.2,-219.5,171.3,391.6,-220.3,8.256,2,2.205,2,0.851,2,315.2,2
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,09:17,172.3,2,1.78,396.2,2,1.68,1013.8,13.2,111.04,12.346,28.421,172.6,396.9,169.7,390.2,-220.5,170.3,391.6,-221.3,8.238,2,2.302,2,0.817,2,323.4,2
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,12:17,247.8,2,1.73,395.9,2,1.64,1013.3,13,109.81,11.519,31.268,248.2,396.5,244.1,389.8,-145.8,245,391.3,-146.3,8.168,2,-999,5,0.388,2,288.6,2
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,15:17,256.8,2,1.8,396,2,1.7,1013.9,12.8,108.57,11.585,31.196,257.3,396.6,253.1,390.1,-137,254.1,391.6,-137.6,8.065,2,-999,5,0.354,2,275.6,2
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,18:17,214.1,2,1.8,396.6,2,1.7,1014.4,12.8,108.71,12.058,31.074,214.5,397.3,211,390.8,-179.8,211.8,392.3,-180.5,8.171,2,-999,5,0.436,2,299.6,2
LAPUSH_125W_48N,47.964,-124.949,05/26/2012,21:17,243.8,2,1.8,397.7,2,1.7,1014.6,12.9,108.33,12.115,31.119,244.2,398.4,240.3,392,-151.7,241.2,393.5,-152.3,8.173,2,-999,5,0.389,2,290.5,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,00:17,182.4,2,1.72,399,2,1.62,1015,12.8,109.77,12.143,31.042,182.7,399.7,179.9,393.4,-213.5,180.5,394.9,-214.3,8.278,2,-999,5,0.508,2,331.2,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,03:17,121.2,2,1.66,398.1,2,1.56,1015.8,12.5,114.88,11.577,30.956,121.4,398.7,119.6,393,-273.3,120.1,394.5,-274.4,8.313,2,-999,5,0.822,2,402,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,06:17,134.9,2,1.65,398.2,2,1.55,1016.6,12.2,117.45,11.488,30.889,135.1,398.9,133.3,393.4,-260.2,133.8,394.9,-261.2,8.349,2,4.325,2,0.73,2,402.1,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,09:17,136,2,1.64,398.9,2,1.54,1016.7,12.2,119.31,11.215,30.852,136.2,399.6,134.4,394.2,-259.8,134.9,395.7,-260.8,8.335,2,4.861,2,0.79,2,402.1,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,12:17,154.7,2,1.63,399.3,2,1.54,1017.3,12.1,119.67,11.117,30.799,155,400,153,394.9,-241.9,153.6,396.4,-242.8,8.289,2,-999,5,0.765,2,392.7,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,15:17,163.1,2,1.64,399,2,1.54,1017.8,12,119.84,10.56,30.748,163.3,399.6,161.4,395,-233.6,162,396.5,-234.5,8.293,2,-999,5,0.538,2,383.9,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,18:17,154.2,2,1.69,398.6,2,1.6,1018.9,12.3,120.27,10.737,30.681,154.5,399.2,152.8,394.9,-242.1,153.4,396.4,-243,7.967,3,-999,5,0.596,2,395.9,2
LAPUSH_125W_48N,47.964,-124.949,05/27/2012,21:17,151.7,2,1.72,398.6,2,1.63,1019.2,12.6,120.6,10.951,30.647,152,399.3,150.3,395,-244.7,150.9,396.6,-245.6,8.297,2,-999,5,0.569,2,391,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,00:17,171,2,1.67,398.4,2,1.58,1019.1,12.5,120.17,10.744,30.7,171.3,399,169.5,394.8,-225.3,170.2,396.3,-226.1,8.281,2,-999,5,0.659,2,381.2,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,03:17,164.4,2,1.61,398.3,2,1.52,1018.9,12.2,119.82,10.771,30.732,164.6,398.9,162.9,394.6,-231.8,163.5,396.2,-232.7,8.404,2,-999,5,0.747,2,378.2,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,06:17,164.2,2,1.59,398.7,2,1.5,1019.2,12,119.5,10.746,30.724,164.5,399.3,162.7,395.1,-232.3,163.4,396.6,-233.2,8.217,2,-999,4,0.73,2,371.5,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,09:17,151.7,2,1.6,399.1,2,1.51,1019,11.9,119.25,10.963,30.67,152,399.7,150.3,395.3,-245,150.9,396.9,-246,8.269,2,4.599,2,0.621,2,369.4,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,12:17,150.4,2,1.57,399.2,2,1.47,1018.9,11.8,119.06,11.011,30.661,150.7,399.8,149,395.4,-246.4,149.6,396.9,-247.3,8.282,2,-999,5,0.582,2,373.5,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,15:17,152.1,2,1.58,399.2,2,1.49,1019.9,11.7,118.9,10.954,30.67,152.3,399.8,150.8,395.9,-245.1,151.4,397.4,-246,8.347,2,-999,5,0.599,2,371.8,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,18:17,142.6,2,1.6,399.5,2,1.5,1020.8,11.6,119.37,11.088,30.674,142.8,400.1,141.5,396.4,-254.9,142,397.9,-255.9,7.94,3,-999,5,0.596,2,386.2,2
LAPUSH_125W_48N,47.964,-124.949,05/28/2012,21:17,146.5,2,1.68,399.4,2,1.58,1021.7,11.7,119.65,11.7,30.673,146.8,400.1,145.5,396.6,-251.1,146,398.1,-252,8.459,3,-999,5,0.53,2,385.1,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,00:17,153.1,2,1.85,399.1,2,1.72,1022.4,12.4,120.04,11.744,30.758,153.4,399.8,152.1,396.5,-244.4,152.7,398,-245.3,8.371,2,-999,5,0.521,2,391.4,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,03:17,132.6,2,1.74,399,2,1.62,1021.9,12.6,120.75,11.613,30.963,132.8,399.7,131.7,396.3,-264.6,132.2,397.8,-265.6,7.985,3,-999,5,0.514,2,400.9,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,06:17,132.7,2,1.56,399.1,2,1.45,1022.3,12,120.61,11.554,30.975,132.9,399.7,131.8,396.5,-264.6,132.3,398,-265.6,8.346,2,1.73,2,0.47,2,383.6,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,09:17,136.5,2,1.54,399.1,2,1.43,1022,11.7,120.04,11.477,30.964,136.7,399.7,135.6,396.4,-260.8,136.1,397.9,-261.8,8.041,3,1.586,2,0.46,2,373.8,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,12:17,135.3,2,1.55,399.1,2,1.45,1022,11.6,119.78,11.505,30.945,135.6,399.7,134.4,396.4,-262,134.9,397.9,-263,8.246,2,-999,5,0.479,2,372.3,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,15:17,138.2,2,1.61,409.6,2,1.51,1022.8,11.6,119.38,11.488,30.971,138.4,410.2,137.4,407.1,-269.7,137.9,408.7,-270.8,8.422,2,-999,5,0.43,2,367,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,18:17,170,2,1.67,398.8,2,1.55,1023.3,11.9,117.54,11.765,31.033,170.3,399.5,169.1,396.6,-227.5,169.7,398.1,-228.3,8.228,2,-999,5,0.424,2,320.6,2
LAPUSH_125W_48N,47.964,-124.949,05/29/2012,21:17,143.7,2,1.79,398.8,2,1.66,1024,12.3,117.56,11.623,30.978,143.9,399.5,143,396.9,-253.9,143.5,398.4,-254.9,8.385,2,-999,5,0.431,2,360.3,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,00:17,169.2,2,1.82,399.1,2,1.69,1023.3,12.7,116.09,11.952,31.018,169.5,399.7,168.2,396.8,-228.5,168.8,398.3,-229.4,8.295,2,-999,5,0.422,2,324.8,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,03:17,147.5,2,1.74,399.1,2,1.61,1022.8,12.7,115.59,12.095,30.954,147.8,399.8,146.6,396.6,-250,147.1,398.1,-250.9,8.309,2,-999,5,0.435,2,332.5,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,06:17,148.9,2,1.72,398.9,2,1.61,1022.9,12.6,115.06,11.813,30.956,149.2,399.5,148,396.4,-248.4,148.6,398,-249.4,8.362,2,1.043,2,0.406,2,336.8,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,09:17,146.1,2,1.72,398.7,2,1.62,1022.2,12.5,114.6,11.899,30.998,146.4,399.4,145.1,396,-250.9,145.7,397.5,-251.8,8.262,3,1.266,2,0.429,2,333,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,12:17,152.7,2,1.63,399,2,1.54,1023.2,12.3,114.27,11.618,30.923,153,399.6,151.9,396.7,-244.8,152.4,398.2,-245.8,8.318,2,-999,5,0.409,2,335.9,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,15:17,206,2,1.68,399,2,1.57,1023.6,12.1,112.58,11.521,31.258,206.3,399.6,204.9,396.9,-192,205.7,398.4,-192.7,8.091,3,-999,5,0.433,2,299.3,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,18:17,252.5,2,1.72,400.5,2,1.62,1024.7,12.1,110.25,11.433,31.522,252.9,401.2,251.5,398.9,-147.4,252.5,400.5,-148,8.159,2,-999,5,0.358,2,270.4,2
LAPUSH_125W_48N,47.964,-124.949,05/30/2012,21:17,257.3,2,1.66,400.5,2,1.57,1024.7,12.2,108.44,11.244,31.537,257.7,401.2,256.3,399,-142.7,257.3,400.5,-143.3,8.154,2,-999,5,0.359,2,268.4,2
LAPUSH_125W_48N,47.964,-124.949,05/31/2012,00:17,233.5,2,1.71,399.3,2,1.62,1023.6,12.2,107.38,11.376,31.33,233.9,399.9,232.3,397.2,-164.9,233.2,398.8,-165.5,8.172,2,-999,5,0.387,2,277,2
LAPUSH_125W_48N,47.964,-124.949,05/31/2012,03:17,254.6,2,1.63,398.8,2,1.54,1022.5,12.2,106.3,11.136,31.47,255,399.4,253.1,396.4,-143.3,254.1,397.9,-143.9,8.141,2,-999,5,0.356,2,268.7,2
