expocode: 316420170502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: LAPUSH_125W_48N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Newton, J.; Mickett, J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW (total scale),QF_pH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,15:17,250.2,2,1.9,414.3,2,2.01,1020.2,11.4,100.53,10.901,29.56,250.7,415.1,248.3,411.1,-162.9,249.2,412.7,-163.5,8.193,2,-999,5,2.585,3,302,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,15:47,244.8,2,1.3,415,2,1.37,1020.2,12,101.15,10.914,29.253,245.1,415.5,242.8,411.6,-168.8,243.7,413.1,-169.4,-999,5,-999,5,2.578,3,303.8,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,16:17,246.8,2,1.2,415,2,1.31,1020.5,12.4,101.72,10.919,29.261,247.1,415.5,244.8,411.6,-166.8,245.7,413.2,-167.5,-999,5,-999,5,2.531,3,304.6,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,16:47,246,2,1.3,414.3,2,1.35,1020.2,12.6,102.12,10.92,29.338,246.3,414.9,244,410.9,-166.9,244.9,412.5,-167.6,-999,5,-999,5,2.56,3,305.4,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,17:17,246.4,2,1.3,413.3,2,1.34,1020.2,12.8,102.37,10.942,29.435,246.8,413.8,244.4,409.8,-165.4,245.3,411.4,-166.1,-999,5,-999,5,2.506,3,305.2,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,17:47,242.6,2,1.4,409.9,2,1.39,1020.4,12.9,102.55,10.934,29.095,243,410.4,240.7,406.6,-165.9,241.6,408.1,-166.5,-999,5,-999,5,2.49,3,304.4,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,18:17,239.4,2,1.4,410.4,2,1.39,1020.5,13.1,102.68,10.992,28.985,239.7,411,237.4,407.1,-169.7,238.3,408.7,-170.4,8.209,2,-999,5,2.486,3,304.9,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,18:47,240.3,2,1.4,411.3,2,1.41,1020.5,13.2,102.72,11.027,29.007,240.6,411.9,238.4,408,-169.6,239.3,409.6,-170.3,-999,5,-999,5,2.491,3,305.7,2
LAPUSH_125W_48N,47.964,-124.953,05/02/2017,21:17,266.1,2,2,408.4,2,2.04,1021,12.3,102.54,10.971,30.048,266.6,409.3,264.3,405.7,-141.4,265.3,407.2,-141.9,8.189,2,-999,5,2.363,3,301.7,2
LAPUSH_125W_48N,47.964,-124.953,05/03/2017,00:17,296.4,2,2,411,2,2.14,1019.9,12.2,102.18,10.967,30.668,297,411.9,294.1,407.8,-113.7,295.2,409.4,-114.2,8.147,2,-999,5,2.138,3,290,2
