expocode: 316420180523
vessel name: LaPush_125W_48N
PIs: Sutton_A.; Newton_J.; Manalang_D.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,00:17,210.9,2,2.13,412.8,2,2.13,1010.1,14.9,113.69,12.874,30.784,211.4,413.6,206.9,404.9,-198.0,207.7,406.4,-198.7,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,03:17,186.7,2,2.40,412.5,2,2.24,1008.8,14.7,114.06,12.841,30.881,187.1,413.5,183.0,404.2,-221.3,183.6,405.7,-222.1,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,06:17,181.3,2,2.26,413.0,2,2.11,1008.6,14.0,115.14,12.326,31.027,181.7,413.9,177.7,404.7,-227.0,178.4,406.2,-227.8,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,09:17,178.6,2,2.21,412.9,2,2.06,1008.3,13.5,116.22,12.142,31.028,179.0,413.8,175.0,404.5,-229.5,175.7,406.1,-230.4,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,12:17,181.4,2,2.19,412.8,2,2.06,1007.9,13.3,116.74,12.194,30.985,181.8,413.6,177.7,404.2,-226.5,178.4,405.7,-227.4,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,15:17,197.1,2,2.19,412.8,2,2.05,1008.0,13.4,116.18,12.299,30.939,197.5,413.6,193.0,404.2,-211.2,193.8,405.7,-212.0,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,18:17,205.6,2,2.21,412.6,2,2.06,1008.5,13.4,116.18,11.802,31.117,206.1,413.5,201.6,404.5,-202.9,202.3,406.0,-203.7,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/23/2018,21:17,214.9,2,2.23,412.7,2,2.09,1009.0,13.4,115.82,11.713,31.160,215.4,413.5,210.8,404.8,-194.0,211.6,406.3,-194.7,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,00:17,211.7,2,2.25,412.4,2,2.10,1008.8,13.5,115.25,12.009,31.100,212.2,413.3,207.6,404.4,-196.8,208.4,405.9,-197.5,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,03:17,206.8,2,2.22,412.7,2,2.07,1009.8,13.4,114.51,12.217,31.058,207.2,413.6,202.9,405.0,-202.1,203.7,406.5,-202.8,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,06:17,206.5,2,2.19,412.5,2,2.04,1011.3,13.3,114.19,12.185,31.081,207.0,413.4,203.0,405.4,-202.4,203.7,406.9,-203.2,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,09:17,199.5,2,2.18,412.8,2,2.04,1012.5,13.4,113.77,12.591,30.995,200.0,413.6,196.3,406.0,-209.7,197.0,407.5,-210.5,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,12:17,212.1,2,2.17,412.9,2,2.02,1013.4,13.3,112.99,12.253,30.993,212.6,413.8,208.9,406.6,-197.7,209.7,408.1,-198.4,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,15:17,204.4,2,2.14,413.3,2,2.14,1015.1,13.2,112.40,12.523,30.965,204.9,414.2,201.6,407.6,-206.0,202.4,409.2,-206.8,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,18:17,218.6,2,2.32,414.6,2,2.18,1016.2,13.3,111.83,12.643,30.979,219.1,415.5,215.8,409.2,-193.4,216.6,410.8,-194.2,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/24/2018,21:17,215.8,2,2.19,413.3,2,2.04,1017.0,13.4,111.42,12.602,31.009,216.3,414.1,213.2,408.3,-195.1,214.0,409.8,-195.8,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,00:17,216.2,2,2.40,413.1,2,2.25,1016.7,13.8,110.60,13.032,30.930,216.7,414.1,213.5,407.9,-194.5,214.3,409.4,-195.2,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,03:17,216.8,2,2.22,413.3,2,2.07,1015.8,13.8,109.54,12.645,30.986,217.3,414.1,214.0,407.8,-193.8,214.8,409.3,-194.5,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,06:17,217.4,2,2.15,413.3,2,2.01,1015.7,13.4,108.12,12.703,30.974,217.8,414.1,214.4,407.7,-193.2,215.2,409.2,-194.0,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,09:17,223.2,2,2.12,413.5,2,1.98,1015.7,13.2,107.91,12.467,30.992,223.6,414.3,220.2,408.0,-187.7,221.0,409.5,-188.4,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,12:17,175.0,2,2.07,413.6,2,1.79,1015.4,12.8,109.81,11.719,31.452,175.4,414.4,172.8,408.2,-235.4,173.4,409.7,-236.3,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,15:17,183.6,2,2.02,413.7,2,1.89,1015.8,12.4,111.04,11.693,31.390,183.9,414.5,181.3,408.5,-227.2,181.9,410.0,-228.1,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,18:17,200.9,2,2.22,413.8,2,1.94,1015.8,12.6,111.29,11.922,31.303,201.3,414.6,198.3,408.5,-210.2,199.1,410.0,-210.9,-999,5
LAPUSH_125W_48N,47.963,-124.958,05/25/2018,21:17,225.7,2,2.24,413.7,2,2.10,1016.6,12.9,110.26,12.605,31.055,226.2,414.5,222.9,408.5,-185.6,223.8,410.0,-186.3,-999,5
