expocode: 316420190522
vessel name: LAPUSH_125W_48N
PIs:  Sutton_A.; Newton_J.; Mickett_J.; Manalang_D.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,20:17,284.3,2,2.63,413.1,2,2.64,1017.4,13.6,100.88,12.815,31.96,285.1,414.2,281.1,408.4,-127.3,282.2,409.9,-127.8,-999,5,-999,5,0.48,2,296.4,2
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,20:47,281.5,2,1.66,417.6,2,1.62,1017.4,14.3,101.9,12.768,31.972,282,418.3,278.1,412.5,-134.4,279.1,414,-134.9,-999,5,-999,5,0.502,2,297.3,2
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,21:17,291.5,2,1.24,420.6,2,1.19,1017.4,14.6,102.6,12.935,31.995,291.9,421.1,287.8,415.2,-127.4,288.8,416.7,-127.9,-999,5,-999,5,0.578,2,299.1,2
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,21:47,313,2,1.12,417.2,2,1.07,1017.4,14.9,102.82,12.646,31.885,313.3,417.6,309,411.8,-102.9,310.1,413.4,-103.2,-999,5,-999,5,0.547,2,290.8,2
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,22:17,309.8,2,1.08,415.7,2,1.04,1017.4,15.1,102.95,12.547,31.891,310.2,416.1,305.9,410.4,-104.5,307.1,412,-104.9,-999,5,-999,5,0.554,2,291.4,2
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,22:47,305.6,2,1.08,415.2,2,1.02,1017.4,15.3,103.13,12.644,31.915,305.9,415.6,301.7,409.9,-108.2,302.8,411.4,-108.6,-999,5,-999,5,0.59,2,291.8,2
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,23:17,301,2,1.04,415.1,2,0.98,1017.5,15.5,103.21,12.652,31.915,301.3,415.6,297.2,409.9,-112.7,298.3,411.4,-113.1,-999,5,-999,5,0.592,2,292.7,2
LAPUSH_125W_48N,47.966,-124.959,05/22/2019,23:47,299.1,2,1.07,415.3,2,1.01,1017.4,15.6,103.31,12.579,31.905,299.5,415.7,295.4,410,-114.6,296.5,411.5,-115,-999,5,-999,5,0.635,2,292.9,2
LAPUSH_125W_48N,47.966,-124.959,05/23/2019,00:17,296.4,2,1.06,415,2,1,1017.5,15.6,103.37,12.575,31.913,296.8,415.4,292.7,409.8,-117.1,293.8,411.3,-117.5,-999,5,-999,5,0.617,2,293.4,2
LAPUSH_125W_48N,47.966,-124.959,05/23/2019,03:17,271.6,2,1.71,414.2,2,1.66,1018.3,13.8,103.53,12.371,32.035,272.1,414.9,268.7,409.7,-141,269.7,411.2,-141.5,-999,5,-999,5,0.649,2,300.6,2
