expocode: 316420161027
vessel name: LAPUSH_125W_48N
PIs:  Sutton, A.; Newton, J.; Mickett, J.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,00:17,399.3,2,2.20,402.3,2,2.14,1003.2,13.8,99.28,-999,-999,400.2,403.2,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,03:17,401.4,2,2.27,403.0,2,2.21,1004.6,13.8,99.12,-999,-999,402.3,403.9,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,06:17,404.3,2,2.27,403.3,2,2.21,1006.1,13.8,99.24,-999,-999,405.2,404.2,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,09:17,407.3,2,2.28,403.2,2,2.21,1007.6,13.7,98.98,-999,-999,408.2,404.1,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,12:17,404.1,2,2.28,403.3,2,2.20,1008.7,13.7,98.86,-999,-999,405.1,404.2,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,15:17,406.4,2,2.25,404.1,2,2.16,1009.1,13.7,98.80,-999,-999,407.3,404.9,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,18:17,394.5,2,2.24,403.7,2,2.15,1009.0,13.6,98.86,-999,-999,395.4,404.6,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/27/2016,21:17,405.9,2,2.27,404.7,2,2.20,1008.4,13.7,98.82,-999,-999,406.8,405.6,-999,-999,-999,-999,-999,-999,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,00:17,401.2,2,2.29,405.3,2,2.21,1008.9,13.7,98.85,12.790,32.044,402.1,406.2,393.1,397.2,-4.0,394.6,398.6,-4.0,-999,4,-999,5,0.270,2,271.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,03:17,387.4,2,2.31,403.8,2,2.21,1009.3,13.7,99.04,12.926,32.148,388.3,404.7,379.8,395.9,-16.1,381.2,397.3,-16.1,8.048,2,-999,5,0.155,2,277.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,06:17,389.2,2,2.29,405.8,2,2.18,1009.8,13.8,99.21,12.954,31.794,390.1,406.7,381.7,398.0,-16.2,383.2,399.4,-16.3,8.044,2,0.501,2,0.250,2,275.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,09:17,400.5,2,2.31,408.6,2,2.21,1010.0,13.7,99.07,12.782,31.454,401.4,409.5,392.9,400.8,-7.9,394.4,402.3,-7.9,8.027,3,0.223,2,0.364,2,270.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,12:17,401.4,2,2.25,407.4,2,2.15,1010.0,13.6,99.09,12.789,31.137,402.3,408.3,393.8,399.6,-5.8,395.3,401.1,-5.9,8.026,3,-999,5,0.324,2,271.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,15:17,400.1,2,2.33,406.5,2,2.23,1010.6,13.6,99.17,12.780,31.626,401.1,407.4,392.8,399.1,-6.2,394.3,400.5,-6.3,8.027,3,-999,5,0.304,2,270.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,18:17,382.2,2,2.32,407.2,2,2.23,1011.7,13.7,99.35,13.061,32.190,383.1,408.2,375.5,400.1,-24.5,376.9,401.6,-24.6,8.048,2,-999,5,0.145,2,277.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,21:17,383.9,2,2.39,407.9,2,2.30,1012.2,13.9,99.41,13.002,32.174,384.9,408.9,377.5,401.0,-23.5,378.9,402.5,-23.6,8.047,2,-999,5,0.163,2,277.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,23:17,383.1,2,2.38,405.4,2,2.30,1012.2,14.0,99.43,13.036,32.199,384.0,406.4,376.6,398.5,-21.9,378.0,400.0,-22.0,-999,5,-999,5,0.126,2,277.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.950,10/28/2016,23:47,383.2,2,1.66,405.8,2,1.57,1012.0,14.6,99.39,13.035,32.199,383.8,406.4,376.4,398.6,-22.2,377.8,400.0,-22.3,-999,5,-999,5,0.138,2,277.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
