expocode: 316420170428
vessel name: M2_164W_57N
"Pis: Cross, J.; Monacci, N."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
M2_164W_57N,56.861,-164.019,4/28/17,3:17,141.7,2,0.93,415.3,2,0.88,1009.2,7.1,109.72,2.613,-999,141.9,415.7,-999,-999,-999,-999,-999,-999,-999,5
M2_164W_57N,56.861,-164.019,4/28/17,6:17,119.8,2,0.97,415.1,2,0.93,1010.4,6.7,110.32,2.799,31.419,120,415.4,118.3,409.5,-291.3,118.8,411.3,-292.5,-999,5
M2_164W_57N,56.861,-164.019,4/28/17,9:17,116.4,2,0.94,414.8,2,0.9,1011.2,6.1,111.16,2.935,31.373,116.5,415.1,114.9,409.5,-294.6,115.4,411.2,-295.9,-999,5
M2_164W_57N,56.861,-164.019,4/28/17,12:17,119.8,2,0.95,414.8,2,0.91,1011.7,5.5,110.96,2.888,31.41,120,415.2,118.4,409.8,-291.4,118.9,411.5,-292.6,-999,5
M2_164W_57N,56.861,-164.019,4/28/17,15:17,125.1,2,0.94,414.6,2,0.89,1011.7,5.2,110.72,3.026,31.436,125.2,415,123.6,409.6,-286,124.1,411.3,-287.2,-999,5
M2_164W_57N,56.861,-164.019,4/28/17,18:17,114.3,2,0.97,414.6,2,0.92,1012.1,5.1,111.31,2.653,31.378,114.4,415,113,409.8,-296.8,113.5,411.6,-298.1,-999,5
M2_164W_57N,56.861,-164.019,4/28/17,21:17,114.2,2,1.14,414.8,2,1.07,1012.1,5.4,111.79,2.833,31.361,114.4,415.2,112.9,410,-297,113.4,411.7,-298.3,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,0:17,128.9,2,1.11,415.2,2,1.05,1011.7,6,111.49,3.262,31.451,129.1,415.6,127.4,410.1,-282.8,127.9,411.9,-284,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,3:17,131.5,2,1.11,415,2,1.06,1010.5,6.4,111.57,2.944,31.474,131.7,415.4,129.8,409.5,-279.7,130.4,411.2,-280.9,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,6:17,123.6,2,1.04,415,2,1,1009.6,6.5,111.57,2.975,31.413,123.7,415.5,121.8,409.2,-287.3,122.4,410.9,-288.6,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,9:17,117.8,2,0.97,414.9,2,0.93,1008.6,5.8,111.69,2.622,31.4,117.9,415.3,116.1,408.7,-292.7,116.5,410.5,-293.9,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,12:17,117.3,2,0.96,415.3,2,0.92,1007,5.3,111.87,2.256,31.407,117.4,415.7,115.4,408.5,-293.1,115.9,410.2,-294.3,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,15:17,121.5,2,0.92,415,2,0.88,1004.9,4.9,111.88,2.085,31.448,121.6,415.4,119.3,407.4,-288.1,119.8,409.1,-289.3,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,18:17,-999,4,0.93,415.1,2,0.89,1003.2,4.6,108.36,1.949,31.434,-999,415.4,-999,406.8,-999,-999,408.5,-999,-999,5
M2_164W_57N,56.861,-164.019,4/29/17,21:17,116.4,2,0.89,414.9,2,0.85,1001.2,4.5,109.8,1.602,31.443,116.5,415.3,113.8,405.8,-292,114.3,407.6,-293.3,-999,5
M2_164W_57N,56.861,-164.019,4/30/17,0:17,124.5,2,0.88,414.4,2,0.84,999.2,4.4,110.31,1.472,31.49,124.6,414.8,121.6,404.5,-283,122.1,406.3,-284.2,-999,5
M2_164W_57N,56.861,-164.019,4/30/17,3:17,124.6,2,0.85,414.8,2,0.81,997.3,4.3,105.78,1.376,31.491,124.7,415.1,121.4,404.1,-282.7,121.9,405.9,-283.9,-999,5
M2_164W_57N,56.861,-164.019,4/30/17,6:17,124,2,0.84,415.1,2,0.8,995.9,4,106.18,1.31,31.488,124.1,415.4,120.7,403.8,-283.2,121.2,405.6,-284.4,-999,5
M2_164W_57N,56.861,-164.019,4/30/17,9:17,119.3,2,0.83,415.2,2,0.79,994.9,3.9,108.23,1.059,31.463,119.4,415.5,116,403.6,-287.6,116.5,405.3,-288.8,-999,5
M2_164W_57N,56.861,-164.019,4/30/17,12:17,118.7,2,0.8,415.1,2,0.77,994,3.7,109.84,1.115,31.446,118.8,415.4,115.3,403.1,-287.8,115.8,404.8,-289,-999,5
