expocode: 316420190425
vessel name: M2_164W_57N
PIs: Cross J.N.; Monacci N.M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
M2_164W_57N,56.871,-164.069,04/25/2019,09:17,357.5,2,0.50,418.6,2,0.44,1018.4,5.9,103.54,4.381,31.955,357.7,418.8,355.1,415.8,-60.7,356.6,417.5,-61.0,-999,5
M2_164W_57N,56.871,-164.069,04/25/2019,12:17,361.8,2,0.78,419.5,2,0.74,1019.1,4.6,103.38,4.413,31.948,362.1,419.8,359.7,417.1,-57.4,361.3,418.9,-57.6,-999,5
M2_164W_57N,56.871,-164.069,04/25/2019,15:17,354.2,2,0.81,419.4,2,0.77,1019.3,4.1,103.29,4.152,31.955,354.5,419.7,352.3,417.1,-64.9,353.8,418.9,-65.1,-999,5
M2_164W_57N,56.871,-164.069,04/25/2019,18:17,342.7,2,0.86,419.4,2,0.82,1020.6,4.1,103.44,3.999,31.950,343.0,419.8,341.4,417.8,-76.4,342.8,419.5,-76.7,-999,5
M2_164W_57N,56.871,-164.069,04/25/2019,21:17,345.8,2,0.86,419.2,2,0.81,1021.4,4.5,103.52,4.251,31.950,346.0,419.6,344.6,417.8,-73.2,346.0,419.6,-73.5,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,00:17,337.5,2,0.90,419.1,2,0.85,1022.3,4.4,103.82,4.222,31.945,337.8,419.4,336.7,418.1,-81.4,338.1,419.8,-81.7,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,03:17,316.1,2,0.92,419.5,2,0.88,1022.4,4.6,104.54,4.301,31.947,316.4,419.9,315.4,418.5,-103.1,316.7,420.3,-103.5,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,06:17,306.1,2,0.88,419.7,2,0.84,1023.0,4.7,105.10,4.232,31.945,306.3,420.0,305.5,418.9,-113.4,306.8,420.7,-113.9,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,09:17,308.8,2,0.86,419.7,2,0.82,1023.2,4.4,105.41,4.179,31.944,309.1,420.1,308.4,419.1,-110.7,309.7,420.9,-111.2,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,12:17,318.0,2,0.87,419.7,2,0.83,1022.7,4.3,105.37,4.045,31.945,318.2,420.1,317.3,418.9,-101.6,318.7,420.7,-102.0,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,15:17,328.3,2,0.87,420.1,2,0.82,1022.2,4.3,105.11,4.029,31.947,328.6,420.4,327.5,419.0,-91.5,328.9,420.8,-91.9,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,18:17,313.4,2,0.98,420.2,2,0.93,1022.6,4.4,105.28,4.039,31.949,313.7,420.6,312.8,419.3,-106.6,314.1,421.1,-107.0,-999,5
M2_164W_57N,56.871,-164.069,04/26/2019,21:17,304.9,2,1.02,419.5,2,0.97,1023.1,5.1,105.69,4.139,31.944,305.2,419.9,304.4,418.9,-114.5,305.7,420.7,-115.0,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,00:17,294.3,2,1.06,419.1,2,1.00,1022.5,5.6,106.23,4.329,31.944,294.6,419.5,293.7,418.2,-124.5,294.9,419.9,-125.0,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,03:17,283.3,2,1.01,419.4,2,0.96,1021.3,5.6,107.02,4.359,31.945,283.6,419.8,282.4,418.0,-135.7,283.5,419.8,-136.2,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,06:17,286.1,2,0.96,419.2,2,0.92,1020.7,5.4,107.37,4.285,31.945,286.4,419.6,285.0,417.6,-132.6,286.2,419.3,-133.2,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,09:17,299.6,2,0.97,419.6,2,0.92,1020.0,5.1,107.19,4.163,31.942,299.9,420.0,298.3,417.7,-119.4,299.5,419.4,-119.9,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,12:17,327.7,2,0.97,419.2,2,0.93,1019.0,5.1,106.38,4.123,31.935,328.0,419.5,325.9,416.9,-91.0,327.3,418.6,-91.3,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,15:17,329.1,2,0.97,418.8,2,0.93,1018.4,5.1,105.72,4.048,31.943,329.4,419.2,327.1,416.3,-89.2,328.4,418.0,-89.6,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,18:17,314.9,2,1.03,419.3,2,0.98,1017.7,5.2,105.67,4.087,31.946,315.2,419.7,312.8,416.4,-103.7,314.1,418.2,-104.1,-999,5
M2_164W_57N,56.871,-164.069,04/27/2019,21:17,311.8,2,1.08,418.8,2,1.03,1017.3,5.5,105.75,4.100,31.943,312.1,419.2,309.6,415.8,-106.2,310.9,417.5,-106.7,-999,5
M2_164W_57N,56.871,-164.069,04/28/2019,00:17,317.2,2,1.13,418.6,2,1.07,1017.0,6.0,105.75,4.257,31.932,317.5,419.1,314.8,415.5,-100.7,316.1,417.3,-101.1,-999,5
M2_164W_57N,56.871,-164.069,04/28/2019,03:17,316.4,2,1.11,417.7,2,1.06,1016.1,6.2,105.83,4.351,31.933,316.8,418.2,313.8,414.2,-100.5,315.1,416.0,-100.9,-999,5
M2_164W_57N,56.871,-164.069,04/28/2019,06:17,296.2,2,1.08,417.5,2,1.03,1016.1,6.2,106.27,4.292,31.935,296.5,417.9,293.7,414.0,-120.3,295.0,415.7,-120.8,-999,5
M2_164W_57N,56.871,-164.069,04/28/2019,09:17,284.5,2,1.06,417.9,2,1.01,1016.0,6.0,106.87,4.247,-999,284.8,418.3,-999,-999,-999,-999,-999,-999,-999,5
M2_164W_57N,56.871,-164.069,04/28/2019,12:17,299.6,2,1.05,417.7,2,0.99,1015.5,5.8,106.83,4.251,31.931,299.9,418.1,296.9,414.0,-117.1,298.1,415.7,-117.5,-999,5
M2_164W_57N,56.871,-164.069,04/28/2019,15:17,328.5,2,1.04,417.6,2,0.99,1015.1,5.7,106.12,4.156,31.944,328.8,418.1,325.5,413.8,-88.3,326.8,415.5,-88.7,-999,5
