"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"M2_164W_57N","56.867","-164.050","05/09/2014","08:17","150.4","2","1.30","405.0","2","1.26","1025.3","6.2","104.57","-99.000","-99.000","150.6","405.5","149.2","401.9","-252.6","152.4","410.3","-257.9"
"M2_164W_57N","56.867","-164.050","05/09/2014","08:47","149.0","2","1.11","405.8","2","1.08","1025.1","6.8","107.71","4.130","31.945","149.2","406.3","149.1","406.1","-256.9","149.8","407.8","-258.0"
"M2_164W_57N","56.867","-164.050","05/09/2014","09:17","148.7","2","0.86","405.4","2","0.82","1025.1","7.1","109.91","4.126","31.947","148.9","405.7","148.8","405.6","-256.8","149.4","407.3","-257.8"
"M2_164W_57N","56.867","-164.050","05/09/2014","09:47","148.8","2","0.78","405.4","2","0.73","1025.1","7.3","111.43","4.119","31.947","148.9","405.7","148.8","405.5","-256.6","149.5","407.2","-257.7"
"M2_164W_57N","56.867","-164.050","05/09/2014","10:17","149.3","2","0.76","405.9","2","0.70","1025.2","7.4","112.49","4.115","31.948","149.4","406.2","149.4","406.1","-256.7","150.0","407.8","-257.8"
"M2_164W_57N","56.867","-164.050","05/09/2014","10:47","149.0","2","0.75","404.6","2","0.70","1025.2","7.6","113.38","4.117","31.947","149.1","404.9","149.0","404.8","-255.8","149.7","406.5","-256.8"
"M2_164W_57N","56.867","-164.050","05/09/2014","11:17","148.9","2","0.74","405.3","2","0.69","1025.3","7.7","113.94","4.116","31.948","149.0","405.5","149.0","405.4","-256.4","149.6","407.1","-257.5"
"M2_164W_57N","56.867","-164.050","05/09/2014","11:47","150.1","2","0.73","406.1","2","0.68","1025.3","7.8","114.23","4.115","31.949","150.2","406.4","150.1","406.3","-256.2","150.8","408.0","-257.2"
"M2_164W_57N","56.867","-164.050","05/09/2014","12:17","151.3","2","0.74","406.2","2","0.68","1025.4","7.9","114.37","4.097","31.951","151.4","406.5","151.4","406.4","-255.1","152.0","408.1","-256.2"
"M2_164W_57N","56.867","-164.050","05/09/2014","15:17","152.2","2","1.16","404.8","2","1.14","1026.1","6.6","114.16","4.114","31.953","152.3","405.3","152.4","405.5","-253.1","153.1","407.2","-254.2"
"M2_164W_57N","56.867","-164.050","05/09/2014","18:17","152.9","2","1.20","404.4","2","1.19","1027.0","6.3","114.08","4.049","31.955","153.1","404.9","153.3","405.5","-252.2","153.9","407.2","-253.3"
"M2_164W_57N","56.867","-164.050","05/09/2014","21:17","149.6","2","1.22","403.9","2","1.21","1028.0","6.3","114.03","4.065","31.952","149.8","404.4","150.1","405.3","-255.2","150.8","407.0","-256.3"
"M2_164W_57N","56.867","-164.050","05/10/2014","00:17","144.4","2","1.28","404.8","2","1.25","1028.1","6.8","114.53","4.458","31.949","144.6","405.3","144.9","406.2","-261.3","145.5","408.0","-262.4"
"M2_164W_57N","56.867","-164.050","05/10/2014","03:17","147.3","2","1.33","404.8","2","1.31","1028.2","7.5","114.77","4.707","31.956","147.5","405.3","147.9","406.2","-258.4","148.5","407.9","-259.5"
"M2_164W_57N","56.867","-164.050","05/10/2014","06:17","144.8","2","1.26","404.6","2","1.24","1028.4","7.6","115.01","5.023","31.953","145.0","405.1","145.3","406.1","-260.7","146.0","407.8","-261.8"
"M2_164W_57N","56.867","-164.050","05/10/2014","09:17","148.4","2","1.27","404.8","2","1.26","1028.6","7.2","115.07","4.516","31.954","148.6","405.3","149.0","406.4","-257.4","149.7","408.1","-258.5"
"M2_164W_57N","56.867","-164.050","05/10/2014","12:17","148.1","2","1.27","405.1","2","1.25","1028.2","6.7","115.15","4.632","31.959","148.3","405.6","148.6","406.6","-257.9","149.3","408.3","-259.0"
"M2_164W_57N","56.867","-164.050","05/10/2014","15:17","148.7","2","1.25","405.1","2","1.24","1027.6","6.5","115.21","4.458","31.955","148.9","405.6","149.2","406.3","-257.2","149.8","408.1","-258.2"
"M2_164W_57N","56.867","-164.050","05/10/2014","18:17","144.2","2","1.23","404.6","2","1.22","1028.1","6.3","115.28","4.378","31.955","144.3","405.1","144.7","406.0","-261.3","145.3","407.7","-262.4"
"M2_164W_57N","56.867","-164.050","05/10/2014","21:17","145.3","2","1.25","404.4","2","1.24","1027.8","6.4","115.39","4.594","31.955","145.4","404.9","145.7","405.7","-259.9","146.3","407.4","-261.0"
