expocode: 316420160505,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: M2,,,,,,,,,,,,,,,,,,,,,,,,,
"Pis: Cross, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
M2_164W_57N,56.869,-164.048,5/5/16,21:17:00,230.6,2,1.2,412.7,2,1.14,1000.8,7.1,108.76,5.544,31.788,230.9,413.2,225.1,402.9,-177.7,226,404.5,-178.4,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,0:17:00,221.9,2,1.18,412.5,2,1.13,999.7,7.3,109.25,5.565,31.768,222.2,413,216.4,402.2,-185.8,217.3,403.9,-186.6,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,3:17:00,218.1,2,1.12,412.7,2,1.06,998.7,7.1,109.62,5.579,31.779,218.3,413.1,212.4,401.9,-189.5,213.3,403.6,-190.3,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,6:17:00,242,2,1.08,412.7,2,1.02,998.6,6.7,109.12,5.435,31.784,242.2,413.1,235.7,401.9,-166.2,236.6,403.5,-166.9,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,9:17:00,242,2,1.07,412.8,2,1.01,999,6.3,108.15,5.447,31.788,242.3,413.2,235.8,402.2,-166.4,236.7,403.8,-167.1,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,12:17:00,245,2,1.04,412.6,2,0.99,999.6,6,107.93,5.408,31.785,245.3,413,238.9,402.2,-163.3,239.9,403.8,-164,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,15:17:00,252.5,2,1.04,412.8,2,0.98,1000.4,5.8,107.46,5.334,31.782,252.7,413.2,246.3,402.8,-156.4,247.3,404.4,-157.1,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,18:17:00,261.4,2,1.03,412.6,2,0.97,1002.1,5.7,106.93,5.279,31.794,261.7,413,255.5,403.2,-147.7,256.5,404.9,-148.3,-999,5
M2_164W_57N,56.869,-164.048,5/6/16,21:17:00,250.1,2,1.05,412.9,2,1,1003.5,5.7,106.39,5.335,31.789,250.3,413.3,244.8,404.1,-159.4,245.8,405.8,-160,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,0:17:00,250.9,2,1.06,412.8,2,1.01,1004.9,5.9,106.57,5.337,31.772,251.2,413.2,245.9,404.6,-158.7,246.9,406.2,-159.3,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,3:17:00,247.2,2,1.02,412.4,2,0.96,1005.9,5.9,106.64,5.364,31.776,247.4,412.8,242.5,404.6,-162.1,243.5,406.3,-162.8,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,6:17:00,243.5,2,1,412.6,2,0.94,1007,5.7,106.66,5.333,31.782,243.8,413,239.2,405.2,-166,240.2,406.9,-166.7,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,9:17:00,244.7,2,1.02,412.9,2,0.96,1007.6,5.5,106.46,5.323,31.792,245,413.3,240.5,405.7,-165.3,241.5,407.4,-165.9,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,12:17:00,244.4,2,1.04,413,2,0.98,1007,5.6,106.4,5.325,31.786,244.7,413.4,240.1,405.6,-165.5,241.1,407.2,-166.2,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,15:17:00,247.4,2,1.05,412.4,2,0.98,1006.1,5.7,106.36,5.317,31.785,247.7,412.8,242.8,404.7,-161.9,243.8,406.3,-162.5,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,18:17:00,254.2,2,1.1,412,2,1.03,1004.9,5.9,106.18,5.25,31.788,254.5,412.5,249.2,403.9,-154.7,250.2,405.5,-155.4,-999,5
M2_164W_57N,56.869,-164.048,5/7/16,21:17:00,243.5,2,1.18,411.8,2,1.11,1005.2,6.3,106.39,5.312,31.787,243.8,412.2,238.8,403.7,-164.9,239.8,405.4,-165.6,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,0:17:00,239.2,2,1.19,412.9,2,1.12,1005,6.7,106.7,5.398,31.772,239.5,413.4,234.6,404.8,-170.2,235.5,406.4,-170.9,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,3:17:00,235.1,2,1.21,411.2,2,1.14,1004.7,7,106.99,5.397,31.771,235.4,411.6,230.4,402.9,-172.6,231.3,404.6,-173.3,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,6:17:00,227.7,2,1.21,411.7,2,1.14,1005.1,7,107.27,5.432,31.777,228,412.2,223.3,403.6,-180.3,224.2,405.2,-181.1,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,9:17:00,240,2,1.22,411.3,2,1.15,1006.1,7,107.21,5.337,31.782,240.3,411.8,235.5,403.7,-168.2,236.5,405.3,-168.8,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,12:17:00,236.5,2,1.22,411.7,2,1.15,1007,7,107.12,5.383,31.784,236.8,412.1,232.4,404.4,-172,233.3,406,-172.7,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,15:17:00,240.3,2,1.21,411.4,2,1.14,1006.8,7,107.01,5.371,31.778,240.5,411.8,236,404,-168,236.9,405.6,-168.7,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,18:17:00,243.6,2,1.22,413.4,2,1.16,1007.5,7,106.86,5.332,31.783,243.9,413.9,239.4,406.3,-166.9,240.4,408,-167.6,-999,5
M2_164W_57N,56.869,-164.048,5/8/16,21:17:00,240.7,2,1.27,413.5,2,1.2,1009.6,7.1,106.91,5.362,31.786,241,414,237.1,407.2,-170.2,238,408.9,-170.8,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,0:17:00,225.7,2,1.33,413.2,2,1.26,1010.5,7.5,107.34,5.58,31.772,226,413.7,222.5,407.3,-184.8,223.4,409,-185.5,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,3:17:00,210.2,2,1.39,413,2,1.3,1011.3,7.9,108.06,5.71,31.782,210.5,413.5,207.4,407.4,-200,208.3,409.1,-200.8,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,6:17:00,209.8,2,1.29,413.1,2,1.22,1012.2,8.1,108.45,5.681,31.793,210.1,413.6,207.1,407.8,-200.7,208,409.5,-201.5,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,9:17:00,217.5,2,1.27,412.7,2,1.19,1013.5,7.7,108.51,5.567,31.777,217.8,413.2,215,408,-193,215.9,409.7,-193.8,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,12:17:00,220.7,2,1.26,412.7,2,1.19,1013.9,7.5,108.29,5.557,31.783,221,413.2,218.3,408.2,-189.9,219.2,409.9,-190.7,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,15:17:00,220.9,2,1.26,412.3,2,1.19,1013.8,7.4,108.18,5.563,31.773,221.2,412.8,218.5,407.7,-189.3,219.4,409.4,-190,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,18:17:00,222.1,2,1.26,412.9,2,1.19,1013.1,7.4,108.11,5.532,31.776,222.4,413.4,219.5,408,-188.5,220.4,409.7,-189.3,-999,5
M2_164W_57N,56.869,-164.048,5/9/16,21:17:00,229.8,2,1.26,412.6,2,1.2,1013,7.3,107.92,5.477,31.778,230.1,413.1,227.1,407.7,-180.6,228.1,409.4,-181.3,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,0:17:00,232.2,2,1.23,412.5,2,1.16,1012.1,7.2,106.71,5.46,31.771,232.5,413,229.3,407.2,-177.9,230.2,408.9,-178.7,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,3:17:00,235.8,2,1.22,412.2,2,1.15,1011.9,7.1,106.21,5.474,31.79,236.1,412.7,232.8,406.9,-174.1,233.7,408.5,-174.8,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,6:17:00,261.4,2,1.22,412.4,2,1.15,1011.5,7,105.36,5.398,31.797,261.8,412.8,258,406.9,-148.9,259,408.5,-149.5,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,9:17:00,239.5,2,1.22,412.5,2,1.15,1011.7,6.9,105.07,5.408,31.789,239.8,413,236.3,407.1,-170.7,237.3,408.7,-171.4,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,12:17:00,246.9,2,1.22,412,2,1.15,1011.8,6.8,105.06,5.344,31.792,247.2,412.5,243.7,406.6,-162.9,244.7,408.3,-163.6,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,15:17:00,250.4,2,1.21,411.9,2,1.15,1011,6.8,105.04,5.347,31.79,250.7,412.3,247,406.2,-159.2,248,407.8,-159.9,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,18:17:00,247.2,2,1.23,411.9,2,1.16,1010.5,6.9,105.03,5.354,31.796,247.5,412.4,243.7,406.1,-162.4,244.7,407.7,-163,-999,5
M2_164W_57N,56.869,-164.048,5/10/16,21:17:00,254,2,1.25,411.9,2,1.18,1009.3,6.9,105.19,5.317,31.807,254.3,412.4,250.1,405.6,-155.5,251.1,407.2,-156.2,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,0:17:00,252.2,2,1.26,411.9,2,1.2,1008.7,7.1,104.98,5.344,31.806,252.5,412.4,248.2,405.3,-157.1,249.2,407,-157.7,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,3:17:00,279.6,2,1.27,411.8,2,1.21,1010.8,7.2,104.72,5.331,31.813,280,412.2,275.8,406,-130.3,276.9,407.7,-130.8,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,6:17:00,289.4,2,1.25,411.4,2,1.19,1011.8,7.3,104.38,5.313,31.815,289.7,411.9,285.6,406.1,-120.5,286.8,407.8,-121,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,9:17:00,277.1,2,1.22,412.5,2,1.16,1013.2,7.2,104.28,5.307,31.816,277.5,412.9,273.9,407.7,-133.8,275,409.3,-134.3,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,12:17:00,274.7,2,1.2,412.9,2,1.14,1014.2,7,104.15,5.223,31.816,275,413.3,271.8,408.5,-136.7,272.9,410.2,-137.2,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,15:17:00,265.6,2,1.18,412.4,2,1.12,1015.4,6.9,104.17,5.258,31.813,265.9,412.9,263.1,408.5,-145.4,264.2,410.2,-146,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,18:17:00,271,2,1.26,411.9,2,1.19,1017.3,6.8,104.25,5.296,31.814,271.3,412.4,268.9,408.8,-139.8,270,410.5,-140.4,-999,5
M2_164W_57N,56.869,-164.048,5/11/16,21:17:00,283.4,2,1.31,411.5,2,1.24,1019,7,104.16,5.332,31.815,283.8,412,281.8,409.1,-127.3,283,410.8,-127.8,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,0:17:00,278.4,2,1.39,411.6,2,1.3,1019.8,7.6,104.24,5.519,31.814,278.8,412.2,277,409.5,-132.6,278.1,411.2,-133.1,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,3:17:00,248.2,2,1.36,411.5,2,1.28,1020.3,8.1,104.87,5.658,31.817,248.5,412,247,409.6,-162.5,248,411.2,-163.2,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,6:17:00,277.6,2,1.29,411.6,2,1.22,1020.4,8.1,104.73,5.674,31.818,278,412.1,276.4,409.7,-133.3,277.5,411.4,-133.9,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,9:17:00,279.1,2,1.26,411.4,2,1.19,1021.3,7.7,104.59,5.658,31.816,279.4,411.9,278,409.8,-131.8,279.2,411.5,-132.3,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,12:17:00,266.3,2,1.23,411.8,2,1.16,1021.5,7.4,104.65,5.577,31.811,266.7,412.3,265.4,410.3,-144.9,266.5,412,-145.5,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,15:17:00,243.7,2,1.18,411.9,2,1.11,1022.5,7.1,105.05,5.548,31.816,244,412.4,243.1,410.8,-167.7,244.1,412.5,-168.4,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,18:17:00,227.9,2,1.38,411.9,2,1.29,1023.7,7,105.72,5.671,31.809,228.2,412.5,227.6,411.4,-183.8,228.5,413.1,-184.5,-999,5
M2_164W_57N,56.869,-164.048,5/12/16,21:17:00,235.4,2,1.48,411.5,2,1.39,1025.1,8,106.27,5.895,31.812,235.8,412,235.4,411.5,-176,236.4,413.1,-176.7,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,0:17:00,246.3,2,1.59,411.8,2,1.49,1026,8.6,106.52,6.287,31.808,246.7,412.4,246.5,412.1,-165.6,247.6,413.8,-166.3,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,3:17:00,226.4,2,1.52,411.8,2,1.42,1026.9,9.1,107.04,6.604,31.812,226.7,412.4,226.7,412.3,-185.6,227.7,414,-186.4,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,6:17:00,242.1,2,1.57,411.7,2,1.48,1027.8,9.6,107.08,6.663,31.817,242.5,412.3,242.7,412.6,-170,243.7,414.3,-170.7,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,9:17:00,244.4,2,1.28,412.1,2,1.21,1028.6,8.8,107.12,6.536,31.816,244.7,412.6,245.1,413.3,-168.2,246.1,415,-168.9,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,12:17:00,222.6,2,1.25,412.3,2,1.18,1028.3,7.9,107.33,6.44,31.812,222.9,412.8,223.2,413.4,-190.2,224.1,415.1,-191,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,15:17:00,197.3,2,1.25,411.9,2,1.17,1028.4,7.4,108.41,6.295,31.815,197.6,412.3,197.9,413,-215.1,198.7,414.7,-216,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,18:17:00,193.4,2,1.34,411.6,2,1.26,1028.5,7.3,109.54,6.222,31.816,193.6,412.1,194,412.8,-218.8,194.8,414.5,-219.7,-999,5
M2_164W_57N,56.869,-164.048,5/13/16,21:17:00,231.3,2,1.34,411.6,2,1.25,1027.3,7.5,109.36,6.131,31.813,231.6,412.1,231.8,412.4,-180.6,232.7,414.1,-181.4,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,0:17:00,233.7,2,1.34,412.4,2,1.26,1026,7.8,109.19,6.102,31.815,234,412.9,233.8,412.6,-178.8,234.8,414.3,-179.5,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,3:17:00,234.5,2,1.32,411.8,2,1.24,1024.5,7.9,108.94,5.983,31.813,234.8,412.3,234.3,411.4,-177.1,235.3,413.1,-177.8,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,6:17:00,223.6,2,1.32,412,2,1.24,1023.3,7.8,108.94,5.928,31.815,223.9,412.5,223.2,411.1,-188,224.1,412.8,-188.8,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,9:17:00,222.4,2,1.31,411.7,2,1.23,1022.3,7.7,108.82,5.883,31.813,222.7,412.2,221.8,410.5,-188.7,222.7,412.2,-189.5,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,12:17:00,255.7,2,1.3,411.1,2,1.22,1020,7.6,107.9,5.864,31.816,256,411.7,254.4,409,-154.7,255.4,410.7,-155.3,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,15:17:00,236.1,2,1.3,411.3,2,1.22,1017.8,7.5,107.52,5.864,31.816,236.4,411.8,234.4,408.3,-173.8,235.4,409.9,-174.6,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,18:17:00,238,2,1.45,410.9,2,1.37,1016.2,7.5,107.32,5.885,31.817,238.4,411.5,236,407.3,-171.3,236.9,408.9,-172,-999,5
M2_164W_57N,56.869,-164.048,5/14/16,21:17:00,229.7,2,1.56,411.2,2,1.46,1014.9,7.9,107.3,6.403,31.812,230.1,411.8,227.4,407,-179.5,228.3,408.6,-180.3,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,0:17:00,237.4,2,1.64,413.8,2,1.55,1013.3,8.6,107.62,6.787,31.822,237.8,414.4,234.6,408.8,-174.2,235.5,410.4,-174.9,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,3:17:00,232.2,2,1.64,414.3,2,1.52,1012,9.6,108,7.024,31.815,232.6,415,229.1,408.8,-179.6,230.1,410.4,-180.4,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,6:17:00,204,2,1.53,412.5,2,1.43,1011.4,9.5,108.49,7.046,31.813,204.3,413.1,201.2,406.7,-205.5,202,408.3,-206.3,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,9:17:00,193.6,2,1.4,411.3,2,1.32,1011.3,8.8,109.62,6.979,31.811,193.8,411.8,190.8,405.4,-214.6,191.6,407,-215.4,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,12:17:00,230,2,1.36,411.5,2,1.28,1010.6,8.2,109.39,6.868,31.814,230.3,412,226.6,405.3,-178.7,227.5,406.9,-179.5,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,15:17:00,218.1,2,1.39,409.9,2,1.3,1010.2,7.8,109.4,6.808,31.815,218.4,410.4,214.8,403.6,-188.8,215.6,405.2,-189.6,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,18:17:00,212.3,2,1.6,411.1,2,1.5,1010.1,8.1,109.78,6.862,31.817,212.7,411.7,209.1,404.8,-195.7,209.9,406.5,-196.5,-999,5
M2_164W_57N,56.869,-164.048,5/15/16,21:17:00,216.8,2,1.68,411.5,2,1.58,1010.1,9,110.37,7.166,31.821,217.1,412.1,213.5,405.2,-191.7,214.3,406.8,-192.5,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,0:17:00,234.5,2,1.92,411.9,2,1.82,1009.5,10,111.43,7.884,31.829,235,412.6,230.8,405.2,-174.4,231.7,406.8,-175.1,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,3:17:00,254.2,2,2.13,412.7,2,2.01,1008.6,11.3,112.07,8.105,31.832,254.8,413.6,250,405.7,-155.8,250.9,407.3,-156.4,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,6:17:00,226.3,2,1.96,412.1,2,1.8,1008.2,12.2,112.46,9.019,31.823,226.8,412.8,222.2,404.6,-182.3,223.1,406.2,-183.1,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,9:17:00,197.5,2,1.63,412.2,2,1.53,1008.2,11.2,113.19,8.074,31.811,197.8,412.8,194,404.9,-210.8,194.8,406.5,-211.7,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,12:17:00,198,2,1.53,412,2,1.43,1007.5,9.7,113.61,7.819,31.81,198.3,412.6,194.3,404.4,-210.1,195.1,406,-210.9,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,15:17:00,211.3,2,1.42,412.5,2,1.33,1006.7,9,113.54,7.688,31.813,211.6,413,207.3,404.6,-197.3,208.1,406.2,-198,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,18:17:00,196.3,2,1.45,412.7,2,1.36,1007.1,8.5,113.98,7.465,31.815,196.6,413.2,192.7,405,-212.3,193.4,406.6,-213.1,-999,5
M2_164W_57N,56.869,-164.048,5/16/16,21:17:00,182.8,2,1.57,411.9,2,1.48,1007.3,8.6,114.22,7.338,31.814,183.1,412.5,179.5,404.4,-224.8,180.2,406,-225.7,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,0:17:00,177.2,2,1.61,411.6,2,1.51,1007.2,9.1,114.38,7.42,31.805,177.5,412.2,174,404,-230,174.7,405.6,-230.9,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,3:17:00,184.1,2,1.51,412.8,2,1.42,1007.2,9.2,114.51,7.315,31.808,184.4,413.4,180.8,405.2,-224.5,181.5,406.9,-225.4,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,6:17:00,182.9,2,1.39,412.6,2,1.31,1007.9,8.8,114.51,7.252,31.81,183.1,413.1,179.6,405.2,-225.6,180.3,406.8,-226.5,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,9:17:00,180.4,2,1.32,411.7,2,1.25,1008.6,8.3,113.9,7.105,31.801,180.7,412.2,177.4,404.7,-227.3,178.1,406.3,-228.2,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,12:17:00,184,2,1.29,411.3,2,1.21,1009,7.7,113.44,6.899,31.803,184.2,411.8,181,404.5,-223.5,181.7,406.1,-224.4,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,15:17:00,187.4,2,1.25,410.8,2,1.17,1009.7,7.4,113,6.835,31.806,187.7,411.3,184.5,404.3,-219.8,185.2,405.9,-220.7,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,18:17:00,183.9,2,1.24,411.3,2,1.16,1010.8,7.2,112.49,6.816,31.805,184.1,411.8,181.1,405.2,-224.1,181.9,406.8,-225,-999,5
M2_164W_57N,56.869,-164.048,5/17/16,21:17:00,179.2,2,1.27,411.4,2,1.2,1011.9,7.2,112.2,6.672,31.8,179.5,411.9,176.8,405.8,-229,177.5,407.4,-229.9,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,0:17:00,179,2,1.29,411.5,2,1.21,1012.2,7.3,111.9,6.688,31.8,179.2,412,176.6,406,-229.5,177.3,407.7,-230.4,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,3:17:00,186.2,2,1.28,411.5,2,1.2,1012.6,7.4,111.61,6.621,31.801,186.5,411.9,183.8,406.1,-222.3,184.6,407.8,-223.2,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,6:17:00,181.4,2,1.23,411.5,2,1.16,1013.8,7.2,111.41,6.586,31.805,181.7,412,179.3,406.7,-227.4,180,408.3,-228.3,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,9:17:00,176.1,2,1.19,412.6,2,1.12,1015.1,6.8,111.13,6.549,31.799,176.3,413.1,174.2,408.3,-234,175,409.9,-235,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,12:17:00,178.8,2,1.18,412.6,2,1.11,1015.5,6.6,110.75,6.494,31.8,179,413.1,177,408.5,-231.5,177.7,410.1,-232.4,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,15:17:00,182.2,2,1.15,412.7,2,1.09,1015.9,6.6,110.31,6.431,31.804,182.4,413.2,180.4,408.7,-228.3,181.1,410.4,-229.3,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,18:17:00,184.9,2,1.27,413.1,2,1.19,1016.8,6.5,110.06,6.41,31.807,185.2,413.5,183.3,409.5,-226.1,184.1,411.1,-227,-999,5
M2_164W_57N,56.869,-164.048,5/18/16,21:17:00,179.7,2,1.32,413.2,2,1.24,1017.4,7.3,109.69,6.492,31.799,180,413.7,178.3,409.9,-231.6,179,411.5,-232.5,-999,5
M2_164W_57N,56.869,-164.048,5/19/16,0:17:00,183.1,2,1.41,412.8,2,1.32,1017.7,7.8,109.41,6.584,31.799,183.3,413.3,181.6,409.6,-227.9,182.4,411.2,-228.8,-999,5
M2_164W_57N,56.869,-164.048,5/19/16,3:17:00,187.3,2,1.36,412.9,2,1.28,1016.9,7.9,109.23,6.622,31.805,187.6,413.4,185.7,409.3,-223.6,186.5,411,-224.5,-999,5
M2_164W_57N,56.869,-164.048,5/19/16,6:17:00,189.9,2,1.3,412.7,2,1.21,1017.3,7.7,109.07,6.477,31.806,190.2,413.2,188.4,409.3,-220.9,189.1,410.9,-221.8,-999,5
