expocode: 316420210506
vessel name: M2_164W_57N
PIs: Monacci N.; Sutton A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
M2_164W_57N,56.876,-164.069,5/6/2021,6:17,417.4,2,1.28,421.5,2,1.3,1010.3,5.3,101.33,2.861,32.17,417.9,422.1,411.9,416,-4.1,413.7,417.8,-4.1,-999,5
M2_164W_57N,56.876,-164.069,5/6/2021,9:17,418.5,2,1.35,421.4,2,1.36,1009.2,4.9,101.29,2.761,32.172,419,421.9,412.6,415.4,-2.9,414.3,417.2,-2.9,-999,5
M2_164W_57N,56.876,-164.069,5/6/2021,12:17,420.3,2,1.37,421.8,2,1.37,1007,4.7,101.18,2.74,32.17,420.8,422.4,413.5,415,-1.5,415.2,416.7,-1.5,-999,5
M2_164W_57N,56.876,-164.069,5/6/2021,15:17,420.3,2,1.37,421.5,2,1.37,1005,4.6,101.17,2.758,32.169,420.9,422.1,412.7,413.8,-1.1,414.4,415.6,-1.1,-999,5
M2_164W_57N,56.876,-164.069,5/6/2021,18:17,420.4,2,1.35,421.8,2,1.35,1003.5,4.5,101.18,2.715,32.17,421,422.4,412.1,413.5,-1.4,413.9,415.3,-1.4,-999,5
M2_164W_57N,56.876,-164.069,5/6/2021,21:17,422.5,2,1.4,421.4,2,1.4,1002.5,4.5,101.17,2.687,32.171,423.1,422,413.8,412.7,1.1,415.6,414.5,1.1,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,0:17,421.6,2,1.38,421.3,2,1.39,1001.1,4.5,101.21,2.727,32.17,422.2,421.9,412.4,412,0.3,414.1,413.8,0.3,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,3:17,419.9,2,1.4,420.5,2,1.4,999.4,4.6,101.31,2.815,32.169,420.5,421.1,410,410.5,-0.5,411.7,412.2,-0.5,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,6:17,420.7,2,1.38,420.6,2,1.38,998.7,4.6,101.35,2.768,32.169,421.3,421.2,410.5,410.4,0.1,412.2,412.1,0.1,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,9:17,423.6,2,1.36,420.6,2,1.36,997.9,4.6,101.34,2.702,32.17,424.2,421.2,413,410,3,414.7,411.7,3,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,12:17,424.2,2,1.37,420.9,2,1.37,996.4,4.5,101.35,2.737,32.17,424.7,421.5,412.9,409.7,3.2,414.6,411.4,3.2,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,15:17,419.4,2,1.39,421.1,2,1.38,994.7,4.5,101.43,2.839,32.168,419.9,421.7,407.5,409.2,-1.7,409.2,410.9,-1.7,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,18:17,420.8,2,1.4,421.3,2,1.39,994.4,4.5,101.51,2.787,32.169,421.3,421.9,408.8,409.3,-0.5,410.5,411,-0.5,-999,5
M2_164W_57N,56.876,-164.069,5/7/2021,21:17,422.3,2,1.41,421.1,2,1.4,994.1,4.5,101.55,2.782,32.17,422.9,421.6,410.1,408.9,1.2,411.8,410.6,1.2,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,0:17,422.9,2,1.4,420.8,2,1.4,993.8,4.5,101.54,2.789,32.169,423.5,421.4,410.6,408.6,2,412.3,410.3,2,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,3:17,404.5,2,1.41,421,2,1.4,993.8,4.5,101.85,2.933,32.164,405.1,421.6,392.7,408.7,-16,394.3,410.4,-16.1,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,6:17,404.3,2,1.4,420.4,2,1.39,993.9,4.5,101.92,2.908,32.163,404.8,421,392.5,408.2,-15.7,394.1,409.9,-15.7,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,9:17,419.7,2,1.42,420,2,1.41,994.5,4.5,101.84,2.816,32.166,420.3,420.6,407.8,408.1,-0.3,409.5,409.8,-0.3,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,12:17,415.7,2,1.43,420,2,1.41,995.1,4.5,101.78,2.854,32.161,416.3,420.6,404.1,408.3,-4.1,405.8,410,-4.2,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,15:17,392.6,2,1.45,419.1,2,1.44,996.7,4.6,102.06,2.904,32.152,393.2,419.7,382.3,408.1,-25.8,383.9,409.8,-25.9,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,18:17,382,2,1.48,419,2,1.46,998.9,4.6,102.41,2.895,32.148,382.6,419.6,372.8,408.9,-36.1,374.4,410.7,-36.3,-999,5
M2_164W_57N,56.876,-164.069,5/8/2021,21:17,377.7,2,1.53,419.5,2,1.51,1001,4.8,102.78,3.081,32.151,378.3,420.1,369.4,410.2,-40.8,370.9,411.9,-41,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,0:17,372.2,2,1.59,420.5,2,1.57,1002.3,5.1,103.29,3.282,32.15,372.8,421.2,364.5,411.8,-47.3,366,413.5,-47.5,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,3:17,339.4,2,1.6,420.1,2,1.57,1002.6,5.3,104.13,3.394,32.141,340,420.8,332.4,411.5,-79.1,333.8,413.2,-79.4,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,6:17,331.8,2,1.54,419.7,2,1.51,1003.3,5.4,104.83,3.269,32.14,332.3,420.3,325.2,411.4,-86.2,326.5,413.1,-86.5,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,9:17,343.1,2,1.55,420.5,2,1.53,1003.4,5.3,105.04,3.208,32.144,343.6,421.2,336.3,412.2,-75.9,337.7,413.9,-76.2,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,12:17,342.7,2,1.5,420.9,2,1.48,1001.5,5.2,105.18,3.148,32.138,343.2,421.6,335.3,411.8,-76.5,336.7,413.5,-76.9,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,15:17,347.8,2,1.57,420.2,2,1.54,1000.3,5.1,105.13,3.167,32.137,348.4,420.9,339.9,410.6,-70.7,341.3,412.3,-71,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,18:17,348.1,2,1.61,420,2,1.58,1001,5.2,105.1,3.108,32.138,348.7,420.6,340.4,410.7,-70.3,341.8,412.4,-70.6,-999,5
M2_164W_57N,56.876,-164.069,5/9/2021,21:17,338.6,2,1.6,420.3,2,1.58,1001.7,5.3,105.25,3.173,32.137,339.1,420.9,331.4,411.3,-79.9,332.7,413,-80.3,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,0:17,319.3,2,1.66,420.4,2,1.63,1001.9,5.5,105.85,3.366,32.132,319.8,421,312.5,411.4,-98.9,313.8,413.1,-99.4,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,3:17,313.3,2,1.63,419.5,2,1.61,1001.8,5.6,106.38,3.447,32.129,313.8,420.2,306.6,410.5,-103.9,307.9,412.2,-104.4,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,6:17,292.6,2,1.65,419.4,2,1.62,1003,5.7,107.2,3.391,32.132,293.1,420.1,286.7,411,-124.2,287.9,412.7,-124.7,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,9:17,294.6,2,1.57,420,2,1.55,1004,5.6,107.65,3.445,32.128,295,420.6,288.9,411.8,-123,290.1,413.6,-123.5,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,12:17,292.5,3,1.57,414.6,3,1.55,1004.8,5.5,107.95,3.418,32.13,292.9,415.2,287.1,406.9,-119.8,288.3,408.6,-120.3,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,15:17,297.2,2,1.58,420.1,2,1.55,1005.6,5.4,108.04,3.428,32.127,297.7,420.8,292,412.7,-120.7,293.2,414.4,-121.2,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,18:17,293.3,2,1.6,420,2,1.57,1006.9,5.4,108.2,3.444,32.126,293.8,420.7,288.5,413.1,-124.6,289.7,414.9,-125.1,-999,5
M2_164W_57N,56.876,-164.069,5/10/2021,21:17,278.3,2,1.73,420.3,2,1.69,1008.2,5.5,108.81,3.688,32.121,278.8,421,274.1,413.9,-139.8,275.2,415.6,-140.4,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,0:17,269.3,2,1.71,420.4,2,1.69,1009,5.9,109.68,3.897,32.127,269.7,421.1,265.4,414.3,-148.9,266.5,416,-149.5,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,3:17,253.9,2,1.74,419.4,2,1.72,1010,6.2,110.55,4.134,32.119,254.3,420.1,250.4,413.7,-163.3,251.5,415.4,-164,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,6:17,241.6,2,1.66,419.4,2,1.64,1011.1,6.2,111.48,4.095,32.113,242,420,238.6,414.1,-175.5,239.6,415.8,-176.3,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,9:17,235.4,2,1.66,419.9,2,1.63,1012,6,112.34,4.047,32.12,235.8,420.6,232.7,415,-182.3,233.6,416.7,-183.1,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,12:17,242.5,2,1.64,419.3,2,1.62,1012.5,5.9,111.86,4.025,32.119,242.9,420,239.8,414.6,-174.8,240.8,416.4,-175.6,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,15:17,244.6,2,1.62,419.2,2,1.59,1013.5,5.7,112.16,4.044,32.112,245,419.9,242.2,414.9,-172.8,243.2,416.7,-173.5,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,18:17,216.2,2,1.74,419,2,1.7,1014.6,5.7,113.06,4.186,32.11,216.6,419.7,214.3,415.1,-200.9,215.2,416.9,-201.7,-999,5
M2_164W_57N,56.876,-164.069,5/11/2021,21:17,212.2,2,1.95,419.3,2,1.89,1015.8,6,114.71,4.365,32.118,212.6,420.1,210.5,416,-205.5,211.4,417.8,-206.4,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,0:17,236.7,2,2.05,419.2,2,2,1016.5,6.9,115.73,4.676,32.129,237.2,420,235,416.2,-181.2,236,417.9,-181.9,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,3:17,238.5,2,2.11,419.4,2,2.08,1016.6,7.6,116.59,5.327,32.153,239,420.3,236.8,416.3,-179.6,237.7,418.1,-180.3,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,6:17,215,2,2.12,419.7,2,2.07,1016.6,8.1,117.49,4.792,32.128,215.4,420.6,213.4,416.7,-203.3,214.3,418.5,-204.2,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,9:17,184.3,2,1.85,419.7,2,1.82,1016.9,7.8,119.29,5.675,32.114,184.7,420.4,182.9,416.5,-233.6,183.7,418.2,-234.5,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,12:17,176.6,2,1.86,419.3,2,1.82,1016.1,7.3,120.32,4.954,32.122,177,420.1,175.2,416,-240.7,176,417.7,-241.7,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,15:17,183.3,2,1.8,419.9,2,1.77,1015.5,7,120.66,4.867,32.112,183.6,420.7,181.7,416.4,-234.7,182.4,418.1,-235.6,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,18:17,190.4,2,1.63,420.5,2,1.62,1015.5,6.6,120.49,4.684,32.11,190.7,421.2,188.7,416.9,-228.2,189.5,418.6,-229.1,-999,5
M2_164W_57N,56.876,-164.069,5/12/2021,21:17,181.4,2,1.69,420.1,2,1.67,1014.9,6.2,120.86,4.779,32.108,181.7,420.8,179.7,416.3,-236.5,180.5,418,-237.5,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,0:17,173.8,2,1.79,419.6,2,1.75,1014.6,6.2,121.42,4.681,32.108,174.1,420.4,172.2,415.8,-243.6,172.9,417.5,-244.6,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,3:17,170.2,2,1.74,419.6,2,1.71,1014.2,6.2,122,4.804,32.112,170.5,420.3,168.5,415.5,-247,169.2,417.2,-248,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,6:17,171.9,2,1.78,419.3,2,1.73,1013.8,6.3,121.97,4.748,32.109,172.2,420,170.2,415,-244.8,170.9,416.7,-245.8,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,9:17,173.9,2,1.77,419.2,2,1.73,1013.2,6.3,121.63,4.446,32.106,174.2,419.9,172.1,414.8,-242.7,172.8,416.5,-243.7,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,12:17,170.1,2,1.76,419.8,2,1.72,1012.1,6.3,121.14,4.541,32.106,170.4,420.5,168.1,414.9,-246.7,168.8,416.6,-247.8,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,15:17,185.6,2,1.74,419.8,2,1.7,1009.7,6.2,120.15,4.419,32.108,185.9,420.5,183,413.9,-230.9,183.8,415.6,-231.9,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,18:17,206.6,2,1.77,419.5,2,1.72,1006.7,6.1,118.6,4.272,32.104,207,420.3,203.1,412.5,-209.3,204,414.2,-210.2,-999,5
M2_164W_57N,56.876,-164.069,5/13/2021,21:17,216.6,2,1.71,419.7,2,1.68,1004.3,6.1,117.08,4.234,32.107,217,420.4,212.5,411.7,-199.2,213.3,413.4,-200,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,0:17,238.4,2,1.69,420.2,2,1.66,1001.3,6,115.15,4.05,32.109,238.8,420.9,233.1,410.9,-177.8,234,412.6,-178.5,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,3:17,284.5,2,1.7,419.9,2,1.66,1000.1,5.9,111.08,3.817,32.113,285,420.6,277.9,410.2,-132.3,279.1,411.9,-132.8,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,6:17,270.9,2,1.71,419.4,2,1.67,999.5,5.8,110.12,3.852,32.111,271.4,420.1,264.5,409.5,-145,265.6,411.2,-145.6,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,9:17,299.7,2,1.69,419.2,2,1.65,999.8,5.8,108.94,3.837,32.104,300.2,419.9,292.7,409.4,-116.7,293.9,411.1,-117.2,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,12:17,292.6,2,1.65,419.9,2,1.62,1000.4,5.8,108.51,3.777,32.092,293.1,420.6,286,410.3,-124.4,287.2,412,-124.9,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,15:17,292.1,2,1.64,420.7,2,1.61,1001,5.7,108.22,3.77,32.1,292.6,421.4,285.6,411.3,-125.7,286.8,413,-126.2,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,18:17,285,2,1.7,420.4,2,1.66,1001.5,5.7,108.33,3.871,32.094,285.5,421.1,278.8,411.3,-132.4,280,413,-133,-999,5
M2_164W_57N,56.876,-164.069,5/14/2021,21:17,276.9,2,1.81,420.4,2,1.77,1002.3,5.9,108.78,4.203,32.089,277.4,421.1,271,411.5,-140.5,272.2,413.2,-141.1,-999,5
