expocode: 316420220512
vessel name: M2_164W_57N
PIs: Monacci N.; Sutton A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
M2_164W_57N,56.866,-164.041,05/12/2022,03:47,167.9,2,0.29,424.3,2,0.25,1024.4,5.3,111.07,2.656,32.057,168.0,424.4,167.9,424.2,-256.3,168.6,426.1,-257.4,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,04:17,167.5,2,0.27,424.8,2,0.24,1024.3,5.4,111.64,2.613,32.041,167.5,424.9,167.5,424.6,-257.2,168.2,426.5,-258.3,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,04:47,167.0,2,0.27,424.7,2,0.24,1024.3,5.5,112.02,2.550,32.024,167.0,424.8,166.9,424.6,-257.6,167.6,426.4,-258.8,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,05:17,167.1,2,0.27,424.6,2,0.24,1024.5,5.6,112.22,2.515,32.017,167.1,424.7,167.1,424.6,-257.6,167.8,426.4,-258.7,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,06:17,168.7,2,0.30,424.4,2,0.28,1024.7,5.1,112.28,2.446,32.003,168.8,424.5,168.7,424.5,-255.8,169.5,426.3,-256.9,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,09:17,173.2,2,0.38,423.8,2,0.36,1025.1,4.3,112.06,2.350,31.992,173.3,424.0,173.3,424.2,-250.8,174.1,426.0,-251.9,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,12:17,174.4,2,0.41,424.1,2,0.39,1024.7,3.8,111.93,2.397,32.012,174.5,424.3,174.5,424.3,-249.8,175.2,426.1,-250.9,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,15:17,176.2,2,0.41,423.8,2,0.39,1024.0,3.4,111.76,2.459,32.036,176.3,424.0,176.2,423.6,-247.5,176.9,425.5,-248.5,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,18:17,172.8,2,0.43,423.3,2,0.41,1024.6,3.2,111.63,2.419,32.010,172.8,423.5,172.8,423.4,-250.6,173.6,425.2,-251.7,-999,5
M2_164W_57N,56.866,-164.041,05/12/2022,21:17,173.2,2,0.49,423.3,2,0.47,1024.8,3.3,111.61,2.361,31.990,173.3,423.5,173.3,423.5,-250.2,174.1,425.3,-251.3,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,00:17,170.2,2,0.51,423.3,2,0.48,1024.1,3.6,111.76,2.522,32.003,170.3,423.5,170.2,423.1,-253.0,170.9,425.0,-254.0,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,03:17,166.8,2,0.50,423.2,2,0.47,1023.8,3.8,112.05,2.625,32.011,166.9,423.4,166.7,422.9,-256.2,167.5,424.8,-257.3,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,06:17,166.6,2,0.48,423.1,2,0.45,1024.4,3.9,112.12,2.576,31.997,166.7,423.3,166.6,423.1,-256.5,167.3,424.9,-257.6,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,09:17,169.0,2,0.46,422.7,2,0.43,1025.3,3.7,111.90,2.545,31.988,169.1,422.9,169.2,423.1,-253.9,169.9,424.9,-255.0,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,12:17,170.9,2,0.45,423.2,2,0.43,1025.9,3.5,111.65,2.511,32.005,170.9,423.3,171.1,423.8,-252.7,171.9,425.6,-253.8,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,15:17,174.8,2,0.45,424.3,2,0.42,1026.4,3.3,111.41,2.525,32.019,174.9,424.5,175.2,425.1,-250.0,175.9,427.0,-251.0,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,18:17,173.8,2,0.46,424.8,2,0.43,1027.7,3.2,110.88,2.525,32.020,173.9,425.0,174.4,426.1,-251.8,175.1,428.0,-252.9,-999,5
M2_164W_57N,56.866,-164.041,05/13/2022,21:17,167.6,2,0.48,424.5,2,0.45,1028.6,3.2,111.20,2.615,32.012,167.7,424.7,168.3,426.2,-257.9,169.0,428.1,-259.0,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,00:17,164.4,2,0.49,423.9,2,0.47,1029.0,3.3,111.20,2.755,32.014,164.5,424.1,165.2,425.8,-260.6,165.9,427.7,-261.8,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,03:17,162.2,2,0.48,424.8,2,0.46,1028.9,3.4,111.34,2.789,32.027,162.3,425.0,162.9,426.7,-263.8,163.6,428.5,-264.9,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,06:17,163.0,2,0.48,425.5,2,0.45,1029.3,3.4,111.36,2.723,32.016,163.0,425.7,163.8,427.5,-263.8,164.5,429.4,-264.9,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,09:17,165.3,2,0.45,424.4,2,0.43,1029.6,3.3,111.19,2.669,32.003,165.4,424.6,166.2,426.6,-260.4,166.9,428.4,-261.5,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,12:17,166.6,2,0.46,423.9,2,0.43,1029.2,3.1,110.90,2.642,32.001,166.7,424.0,167.4,425.8,-258.4,168.1,427.7,-259.6,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,15:17,167.1,2,0.50,423.2,2,0.47,1028.9,3.1,110.72,2.680,32.026,167.2,423.4,167.8,425.1,-257.2,168.6,426.9,-258.4,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,18:17,167.7,2,0.53,423.5,2,0.50,1029.2,3.4,110.55,2.662,32.012,167.8,423.7,168.5,425.5,-257.0,169.3,427.3,-258.1,-999,5
M2_164W_57N,56.866,-164.041,05/14/2022,21:17,172.1,2,0.57,423.9,2,0.54,1028.9,3.8,110.24,2.658,31.988,172.2,424.1,172.9,425.8,-252.9,173.7,427.6,-254.0,-999,5
M2_164W_57N,56.866,-164.041,05/15/2022,00:17,166.5,2,0.59,424.0,2,0.55,1028.5,4.1,110.38,2.782,32.005,166.6,424.2,167.1,425.7,-258.5,167.9,427.5,-259.6,-999,5
M2_164W_57N,56.866,-164.041,05/15/2022,03:17,164.0,2,0.59,424.0,2,0.55,1026.9,4.3,110.61,2.927,32.025,164.1,424.2,164.4,425.0,-260.6,165.1,426.8,-261.7,-999,5
M2_164W_57N,56.866,-164.041,05/15/2022,06:17,169.3,2,0.54,423.5,2,0.50,1025.6,4.3,110.52,2.818,31.991,169.4,423.8,169.5,424.0,-254.5,170.3,425.9,-255.6,-999,5
M2_164W_57N,56.866,-164.041,05/15/2022,09:17,169.5,2,0.54,423.6,2,0.51,1023.6,4.2,110.45,2.758,31.975,169.6,423.8,169.4,423.3,-253.9,170.1,425.1,-255.0,-999,5
M2_164W_57N,56.866,-164.041,05/15/2022,12:17,172.4,2,0.55,424.2,2,0.51,1019.6,4.2,110.30,2.741,31.976,172.5,424.4,171.6,422.2,-250.6,172.3,424.0,-251.6,-999,5
