Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 % O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
NH10,44.642,-124.301,4/3/2014,9:17,339.5,2,3.27,408,2,3.16,1016.4,13,104.92,10.921,32.295,340.6,409.3,336.1,403.9,-67.8,337.4,405.4,-68.1
NH10,44.642,-124.301,4/3/2014,12:17,346.9,2,3.16,409.1,2,3.09,1015.5,12.4,103.78,10.826,32.33,348,410.3,343.1,404.5,-61.4,344.4,406.1,-61.7
NH10,44.642,-124.301,4/3/2014,15:17,345,2,3.09,408.1,2,3.11,1015.1,11.9,103.12,10.806,32.284,346,409.4,341,403.5,-62.5,342.3,405,-62.7
NH10,44.642,-124.301,4/3/2014,18:17,341.4,2,3.28,407.8,2,3.46,1015.3,11.7,102.8,10.641,32.292,342.5,409.2,337.7,403.4,-65.7,339,404.9,-66
NH10,44.642,-124.301,4/3/2014,21:17,311.9,2,2.93,405.5,2,3.06,1015.5,11.8,103.09,10.558,32.275,312.8,406.8,308.5,401.1,-92.7,309.6,402.7,-93
NH10,44.642,-124.301,4/4/2014,0:17,290.7,2,3.06,405.2,2,3.22,1015.1,11.7,103.8,10.464,32.213,291.6,406.5,287.4,400.7,-113.2,288.5,402.2,-113.7
NH10,44.642,-124.301,4/4/2014,3:17,289.4,2,2.92,405.2,2,3.04,1015.5,11.6,104.29,10.428,32.212,290.3,406.4,286.3,400.8,-114.5,287.4,402.3,-115
NH10,44.642,-124.301,4/4/2014,6:17,290.3,2,2.89,405.7,2,3.02,1016.3,11.3,104.45,10.428,32.219,291.2,407,287.4,401.7,-114.3,288.5,403.2,-114.7
NH10,44.642,-124.301,4/4/2014,9:17,282,2,2.89,405.9,2,3.03,1015.9,11.1,104.74,10.465,32.202,282.8,407.1,279,401.6,-122.6,280.1,403.2,-123.1
NH10,44.642,-124.301,4/4/2014,12:17,287.5,2,2.73,406.2,2,2.86,1015.8,10.8,104.82,10.422,32.211,288.3,407.4,284.4,401.9,-117.5,285.5,403.5,-117.9
NH10,44.642,-124.301,4/4/2014,15:17,286.8,2,3.17,405.9,2,3.23,1016.8,10.6,105.04,10.446,32.219,287.7,407.2,284.1,402.1,-118,285.2,403.7,-118.4
NH10,44.642,-124.301,4/4/2014,18:17,319.4,2,3.27,405.5,2,3.36,1017.2,11,104.18,10.568,31.966,320.4,406.8,316.5,401.9,-85.4,317.7,403.4,-85.7
NH10,44.642,-124.301,4/4/2014,21:17,276.9,2,3.17,405.5,2,3.41,1016.6,12.1,105,10.697,32.216,277.8,406.9,274.2,401.6,-127.4,275.3,403.1,-127.9
NH10,44.642,-124.301,4/5/2014,0:17,283.1,2,3.09,405.9,2,3.46,1015.8,12.7,105.32,10.629,32.222,284,407.3,280.1,401.8,-121.7,281.2,403.3,-122.1
NH10,44.642,-124.301,4/5/2014,3:17,295,2,2.97,406.2,2,3.26,1015.7,12.3,105.12,10.561,32.232,295.8,407.6,291.8,402,-110.2,292.9,403.5,-110.6
NH10,44.642,-124.301,4/5/2014,6:17,298.5,2,3.12,405.4,2,3.34,1016.5,12,104.86,10.53,32.228,299.4,406.7,295.6,401.5,-105.9,296.7,403,-106.3
NH10,44.642,-124.301,4/5/2014,9:17,296.1,2,3.12,405.4,2,3.3,1016.6,11.9,104.63,10.522,32.226,297,406.8,293.2,401.6,-108.4,294.3,403.1,-108.8
NH10,44.642,-124.301,4/5/2014,12:17,290.1,2,3.11,405.5,2,3.27,1017.1,11.8,104.65,10.515,32.215,291,406.9,287.4,401.9,-114.4,288.5,403.4,-114.9
NH10,44.642,-124.301,4/5/2014,15:17,287.3,2,3.21,405.3,2,3.37,1018.6,11.8,104.72,10.531,32.211,288.2,406.7,285.1,402.3,-117.2,286.2,403.8,-117.6
