Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,     pH_SW (Total Scale),QF_pH
NH10,44.641,-124.3,3/29/2015,19:17,307.8,2,3.37,412.1,2,3.3,1025.9,12.1,100.58,12.571,32.095,308.9,413.5,307.2,411.3,-104.1,308.4,412.8,-104.5,-999.000,5
NH10,44.641,-124.3,3/29/2015,19:47,304.2,2,1.8,411.1,2,1.64,1025.9,13.1,100.88,12.49,32.084,304.7,411.8,303.1,409.6,-106.5,304.3,411.2,-106.9,-999.000,5
NH10,44.641,-124.3,3/29/2015,20:17,303.5,2,1.57,412.8,2,1.4,1025.7,13.8,101.2,12.591,32.081,304,413.4,302.3,411.1,-108.8,303.4,412.7,-109.2,-999.000,5
NH10,44.641,-124.3,3/29/2015,20:47,303.9,2,1.53,414.9,2,1.35,1025.5,14.3,101.46,12.634,32.079,304.3,415.4,302.6,413,-110.4,303.7,414.6,-110.9,-999.000,5
NH10,44.641,-124.3,3/29/2015,21:17,304.5,2,1.52,412.2,2,1.32,1025.3,14.8,101.6,12.684,32.078,305,412.8,303.1,410.2,-107.1,304.3,411.8,-107.5,-999.000,5
NH10,44.641,-124.3,3/29/2015,21:47,303.4,2,1.44,406.7,2,1.24,1025.1,15.3,101.72,12.716,32.077,303.8,407.2,301.9,404.7,-102.8,303,406.2,-103.2,-999.000,5
NH10,44.641,-124.3,3/29/2015,22:17,301.8,2,1.47,406.8,2,1.3,1024.6,15.7,101.85,12.704,32.078,302.2,407.4,300.2,404.6,-104.4,301.3,406.1,-104.8,-999.000,5
NH10,44.641,-124.3,3/29/2015,22:47,301.3,2,1.51,407,2,1.34,1024.4,16,102,12.682,32.077,301.7,407.5,299.6,404.7,-105,300.8,406.2,-105.4,-999.000,5
NH10,44.641,-124.3,3/30/2015,0:17,303.3,2,2.39,406.3,2,2.24,1023.6,15.3,102.07,12.722,32.081,304,407.2,301.6,404,-102.4,302.7,405.6,-102.8,-999.000,5
NH10,44.641,-124.3,3/30/2015,3:17,301.7,2,2.93,406.2,2,2.75,1022.5,14.6,102.07,12.619,32.075,302.6,407.3,299.9,403.8,-103.8,301,405.3,-104.2,-999.000,5
NH10,44.641,-124.3,3/30/2015,6:17,314.7,2,3.04,406.3,2,2.83,1022.3,13.9,102.03,12.777,31.99,315.6,407.5,312.8,403.8,-91,314,405.3,-91.3,-999.000,5
NH10,44.641,-124.3,3/30/2015,9:17,321.6,2,3.06,406.1,2,2.86,1021.5,13.7,101.91,12.683,31.722,322.6,407.2,319.4,403.3,-83.9,320.6,404.8,-84.2,-999.000,5
NH10,44.641,-124.3,3/30/2015,12:17,324.8,2,3,406.1,2,2.78,1020.5,13.6,101.71,12.861,31.388,325.8,407.3,322.3,402.8,-80.6,323.5,404.3,-80.9,-999.000,5
NH10,44.641,-124.3,3/30/2015,15:17,319.2,2,3.02,409.5,2,2.85,1019.8,13.5,101.7,12.703,31.502,320.2,410.7,316.5,406,-89.5,317.7,407.5,-89.8,-999.000,5
NH10,44.641,-124.3,3/30/2015,18:17,319.5,2,3.12,407.7,2,2.96,1019.1,13.4,101.66,12.707,31.483,320.5,408.9,316.6,403.9,-87.3,317.8,405.4,-87.6,-999.000,5
NH10,44.641,-124.3,3/30/2015,21:17,317.2,2,3.21,405.9,2,3.04,1017.4,13.8,101.72,12.766,31.577,318.2,407.1,313.8,401.5,-87.7,314.9,403,-88.1,-999.000,5
NH10,44.641,-124.3,3/31/2015,0:17,-999,4,3.24,405.6,2,3.18,1016.1,14,101.67,12.743,31.715,-999,406.9,-999,400.7,-999,-999,402.2,-999,-999.000,5
NH10,44.641,-124.3,3/31/2015,3:17,-999,4,3.13,405.9,2,2.98,1014.4,13.9,100.31,12.65,31.77,-999,407.1,-999,400.3,-999,-999,401.8,-999,-999.000,5
NH10,44.641,-124.3,3/31/2015,6:17,311.3,2,2.87,406,2,2.68,1015.8,13.7,100.55,12.586,31.794,312.2,407.1,307.4,400.9,-93.4,308.6,402.4,-93.8,-999.000,5
NH10,44.641,-124.3,3/31/2015,9:17,312.5,2,2.87,406,2,2.64,1017.7,13.3,100.5,12.563,31.802,313.4,407.1,309.2,401.6,-92.4,310.4,403.1,-92.8,-999.000,5
NH10,44.641,-124.3,3/31/2015,12:17,311.2,2,2.78,406.5,2,2.54,1018.7,13,100.82,12.535,31.83,312.1,407.5,308.2,402.5,-94.3,309.4,404,-94.6,-999.000,5
NH10,44.641,-124.3,3/31/2015,15:17,316.8,2,2.65,406.9,2,2.37,1020.3,12.8,100.9,12.475,31.878,317.7,407.8,314.2,403.4,-89.2,315.4,404.9,-89.5,-999.000,5
NH10,44.641,-124.3,3/31/2015,18:17,320,2,2.66,406.6,2,2.46,1022.6,12.7,100.83,12.227,31.849,320.9,407.7,318.2,404.3,-86,319.4,405.8,-86.4,-999.000,5
NH10,44.641,-124.3,3/31/2015,21:17,315.1,2,3.1,406.5,2,2.75,1023.8,12.8,100.91,12.321,31.772,316.1,407.7,313.8,404.7,-90.9,315,406.3,-91.2,-999.000,5
NH10,44.641,-124.3,4/1/2015,0:17,309.5,2,2.85,407,2,2.51,1024.4,13.3,100.99,12.519,31.724,310.4,408,308.2,405.3,-97,309.4,406.8,-97.4,-999.000,5
NH10,44.641,-124.3,4/1/2015,3:17,316.7,2,2.7,407.4,2,2.33,1024.7,13.2,100.94,12.492,31.962,317.5,408.4,315.5,405.7,-90.3,316.7,407.3,-90.6,-999.000,5
NH10,44.641,-124.3,4/1/2015,6:17,311,2,2.7,407.3,2,2.3,1025.6,12.8,100.98,12.538,31.73,311.8,408.2,310,405.9,-95.9,311.2,407.5,-96.2,-999.000,5
NH10,44.641,-124.3,4/1/2015,9:17,310.2,2,2.63,407.1,2,2.16,1026.4,12.7,101.04,12.599,31.65,311,408,309.5,406,-96.5,310.6,407.5,-96.9,-999.000,5
NH10,44.641,-124.3,4/1/2015,12:17,309,2,2.13,407.3,2,1.87,1027.1,12.5,101.12,12.565,31.552,309.7,408.1,308.4,406.4,-98,309.5,407.9,-98.4,-999.000,5
NH10,44.641,-124.3,4/1/2015,15:17,311.6,2,2.62,408.2,2,2.36,1027.3,12,101.12,12.527,31.52,312.4,409.1,311.1,407.5,-96.4,312.3,409,-96.7,-999.000,5
