expocode: 316420100616
vessel name: Papa_145W_50N
PIs: Sutton A.;Emerson S.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW,pH QF
PAPA_145W_50N,50.050,-144.893,06/16/2010,12:17,372.7,2,2.07,391.1,2,2.10,1028.0,9.7,100.46,7.563,32.700,373.4,391.9,373.6,392.1,-18.5,375.1,393.7,-18.6,8.076,2
PAPA_145W_50N,50.050,-144.893,06/16/2010,15:17,372.1,2,1.93,388.9,2,1.96,1028.6,9.6,100.42,7.549,32.700,372.8,389.7,373.2,390.1,-16.8,374.7,391.6,-16.9,8.079,2
PAPA_145W_50N,50.050,-144.893,06/16/2010,18:17,371.1,2,2.15,388.2,2,2.18,1029.6,9.4,100.42,7.543,32.701,371.8,389.1,372.6,389.8,-17.2,374.1,391.4,-17.3,8.078,2
PAPA_145W_50N,50.050,-144.893,06/16/2010,21:17,370.7,2,2.01,388.5,2,2.04,1029.9,9.2,100.46,7.588,32.703,371.5,389.3,372.3,390.2,-17.9,373.8,391.8,-18.0,8.075,2
PAPA_145W_50N,50.050,-144.893,06/17/2010,00:17,371.5,2,2.13,388.8,2,2.17,1029.8,9.2,100.51,7.681,32.702,372.2,389.7,373.0,390.5,-17.5,374.5,392.1,-17.5,8.075,2
PAPA_145W_50N,50.050,-144.893,06/17/2010,06:17,370.1,2,2.03,388.7,2,2.06,1029.9,9.4,100.55,7.661,32.702,370.9,389.5,371.7,390.3,-18.6,373.2,391.9,-18.7,8.074,2
PAPA_145W_50N,50.050,-144.893,06/17/2010,09:17,370.4,2,2.02,388.8,2,2.06,1029.6,9.3,100.55,7.650,32.702,371.2,389.6,371.9,390.3,-18.4,373.4,391.9,-18.5,8.074,2
PAPA_145W_50N,50.050,-144.893,06/17/2010,12:17,370.8,2,2.01,388.5,2,2.05,1029.1,9.2,100.59,7.643,32.702,371.5,389.3,372.1,389.9,-17.8,373.6,391.4,-17.9,8.072,2
PAPA_145W_50N,50.050,-144.893,06/17/2010,15:17,371.1,2,2.01,388.6,2,2.04,1029.1,9.1,100.59,7.637,32.702,371.8,389.4,372.4,390.0,-17.6,373.9,391.6,-17.7,8.076,2
PAPA_145W_50N,50.050,-144.893,06/17/2010,18:17,370.5,2,2.00,388.7,2,2.03,1029.4,9.1,100.59,7.642,32.703,371.2,389.5,371.9,390.2,-18.3,373.4,391.8,-18.4,8.073,2
PAPA_145W_50N,50.050,-144.893,06/17/2010,21:17,372.6,2,2.23,388.7,2,2.14,1029.1,9.0,100.63,7.806,32.702,373.4,389.6,373.9,390.1,-16.2,375.5,391.7,-16.2,8.072,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,00:17,374.8,2,2.37,388.6,2,2.28,1028.5,9.2,100.72,7.967,32.701,375.7,389.5,376.0,389.7,-13.8,377.5,391.3,-13.8,8.071,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,03:17,373.4,2,2.16,388.3,2,2.07,1028.1,9.4,100.76,7.949,32.703,374.2,389.1,374.3,389.2,-14.9,375.8,390.7,-15.0,8.062,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,06:17,374.0,2,2.05,388.5,2,1.96,1027.9,9.5,100.80,7.967,32.702,374.8,389.3,374.8,389.3,-14.5,376.3,390.9,-14.5,8.058,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,09:17,374.0,2,2.03,388.6,2,1.94,1027.0,9.4,100.80,7.926,32.702,374.8,389.4,374.5,389.1,-14.6,376.0,390.6,-14.7,8.057,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,12:17,373.7,2,2.02,388.9,2,1.93,1026.0,9.2,100.80,7.879,32.701,374.4,389.6,373.8,389.0,-15.2,375.3,390.5,-15.2,8.063,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,15:17,373.0,2,2.01,388.7,2,2.04,1024.9,9.1,100.80,7.797,32.701,373.7,389.5,372.7,388.4,-15.7,374.2,389.9,-15.7,8.066,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,18:17,372.6,2,2.23,388.7,2,2.27,1024.2,9.0,100.89,7.804,32.701,373.5,389.5,372.2,388.2,-16.0,373.7,389.8,-16.1,8.069,2
PAPA_145W_50N,50.050,-144.893,06/18/2010,21:17,372.6,2,2.24,389.8,2,2.27,1022.9,9.0,100.89,7.818,32.699,373.4,390.7,371.6,388.8,-17.2,373.1,390.4,-17.3,8.069,2
PAPA_145W_50N,50.050,-144.893,06/19/2010,00:17,373.0,2,2.26,390.0,2,2.29,1020.7,9.1,100.98,7.816,32.700,373.8,390.9,371.2,388.2,-17.0,372.7,389.8,-17.1,8.070,2
PAPA_145W_50N,50.050,-144.893,06/19/2010,03:17,375.0,2,2.28,390.2,2,2.32,1018.5,9.3,101.07,7.821,32.701,375.8,391.1,372.4,387.6,-15.2,373.9,389.1,-15.2,8.074,2
PAPA_145W_50N,50.050,-144.893,06/19/2010,06:17,374.6,2,2.30,390.5,2,2.33,1017.1,9.4,101.11,7.812,32.691,375.5,391.4,371.6,387.3,-15.7,373.1,388.9,-15.8,8.074,2
PAPA_145W_50N,50.050,-144.893,06/19/2010,09:17,375.1,2,2.31,389.5,2,2.34,1015.2,9.4,101.07,7.795,32.691,375.9,390.5,371.3,385.7,-14.3,372.8,387.2,-14.4,8.074,2
PAPA_145W_50N,50.050,-144.893,06/19/2010,12:17,376.6,2,2.32,389.5,2,2.36,1012.7,9.5,101.11,7.776,32.695,377.5,390.4,371.9,384.6,-12.7,373.4,386.2,-12.8,8.076,2
PAPA_145W_50N,50.050,-144.893,06/19/2010,15:17,375.6,2,2.20,389.6,2,2.23,1012.4,9.5,101.11,7.709,32.692,376.5,390.4,370.8,384.6,-13.8,372.3,386.1,-13.8,8.075,2
PAPA_145W_50N,50.050,-144.893,06/19/2010,18:17,375.2,2,2.19,390.6,2,2.23,1013.2,9.4,101.16,7.734,32.689,376.0,391.5,370.7,385.9,-15.3,372.1,387.5,-15.3,8.076,2
