"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","00:17","384.0","2","1.21","396.2","2","1.20","1011.0","8.4","100.35","6.732","32.698","384.5","396.7","378.4","390.4","-12.0","380.0","392.0","-12.1"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","00:47","384.1","2","0.93","396.8","2","0.88","1011.2","9.0","100.49","6.723","32.697","384.4","397.1","378.5","391.0","-12.5","380.0","392.6","-12.5"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","01:17","383.6","2","0.77","396.8","2","0.72","1011.3","9.4","100.69","6.743","32.697","383.9","397.1","378.0","391.0","-13.0","379.5","392.6","-13.1"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","01:47","383.1","2","0.73","396.7","2","0.68","1011.2","9.6","100.77","6.758","32.698","383.3","397.0","377.4","390.8","-13.4","378.9","392.4","-13.5"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","02:17","382.5","2","0.69","396.6","2","0.62","1011.5","9.8","100.86","6.762","32.699","382.7","396.8","376.9","390.8","-13.9","378.4","392.4","-13.9"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","02:47","382.3","2","0.68","396.6","2","0.61","1011.5","10.0","100.89","6.770","32.699","382.5","396.8","376.7","390.8","-14.1","378.2","392.4","-14.1"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","03:17","382.2","2","0.67","396.9","2","0.61","1011.8","10.1","100.95","6.761","32.699","382.4","397.1","376.7","391.2","-14.5","378.2","392.7","-14.5"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","03:47","381.9","2","0.69","396.7","2","0.61","1011.8","10.2","100.96","6.758","32.700","382.2","396.9","376.4","391.0","-14.6","378.0","392.6","-14.6"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","06:17","380.6","2","1.03","396.3","2","1.00","1012.8","9.1","100.96","6.735","32.701","381.0","396.6","375.7","391.1","-15.5","377.2","392.7","-15.5"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","09:17","381.0","2","1.09","396.2","2","1.06","1013.2","8.6","100.86","6.654","32.700","381.4","396.6","376.3","391.2","-15.0","377.8","392.8","-15.0"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","12:17","381.2","2","1.09","396.5","2","1.06","1013.6","8.4","100.87","6.612","32.699","381.6","396.9","376.6","391.7","-15.1","378.1","393.3","-15.2"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","15:17","380.2","2","1.11","396.5","2","1.09","1014.2","8.2","100.84","6.658","32.698","380.6","396.9","375.8","391.9","-16.1","377.3","393.5","-16.2"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","18:17","379.6","2","1.12","396.3","2","1.11","1015.1","8.0","100.82","6.700","32.697","380.1","396.8","375.6","392.2","-16.5","377.1","393.7","-16.6"
"PAPA_145W_50N","50.053","-144.890","06/03/2012","21:17","382.1","2","1.19","396.3","2","1.17","1016.0","8.1","100.90","6.861","32.697","382.6","396.7","378.4","392.4","-14.0","379.9","394.0","-14.0"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","00:17","383.1","2","1.19","396.4","2","1.17","1016.9","8.4","100.97","6.966","32.696","383.6","396.9","379.7","392.9","-13.2","381.2","394.5","-13.2"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","03:17","382.0","2","1.14","396.4","2","1.11","1017.3","8.6","100.99","6.968","32.698","382.5","396.8","378.8","393.0","-14.2","380.3","394.5","-14.2"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","06:17","379.8","2","1.13","396.1","2","1.10","1018.5","8.6","100.98","6.939","32.700","380.2","396.5","377.0","393.1","-16.1","378.5","394.7","-16.2"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","09:17","379.8","2","1.14","396.1","2","1.10","1018.4","8.4","100.96","6.911","32.700","380.2","396.5","377.0","393.1","-16.2","378.5","394.7","-16.2"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","12:17","380.2","2","1.14","396.2","2","1.10","1018.8","8.3","100.93","6.883","32.699","380.6","396.6","377.5","393.4","-15.8","379.1","394.9","-15.9"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","15:17","379.5","2","1.16","396.2","2","1.13","1019.0","8.1","100.91","6.882","32.699","379.9","396.6","376.9","393.5","-16.6","378.4","395.1","-16.6"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","18:17","382.6","2","1.24","396.3","2","1.23","1019.1","8.1","101.03","6.994","32.702","383.1","396.8","380.1","393.6","-13.5","381.6","395.2","-13.6"
"PAPA_145W_50N","50.053","-144.890","06/04/2012","21:17","398.8","2","1.33","396.4","2","1.30","1018.3","8.4","101.22","7.397","32.699","399.3","396.9","395.7","393.3","2.4","397.3","394.9","2.4"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","00:17","405.2","2","1.36","396.5","2","1.33","1017.2","9.2","101.40","7.740","32.715","405.8","397.0","401.6","392.9","8.7","403.2","394.5","8.7"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","03:17","399.3","2","1.23","396.3","2","1.17","1015.4","9.7","101.47","8.232","32.705","399.8","396.8","394.8","391.9","2.9","396.4","393.4","3.0"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","06:17","386.9","2","1.20","396.2","2","1.15","1012.4","9.7","101.44","7.404","32.702","387.3","396.6","381.6","390.8","-9.1","383.1","392.3","-9.2"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","09:17","384.8","2","1.21","396.5","2","1.16","1008.8","9.4","101.40","7.100","32.695","385.3","397.0","378.3","389.8","-11.4","379.9","391.3","-11.5"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","12:17","386.4","2","1.18","396.9","2","1.15","1005.0","9.0","101.35","7.017","32.691","386.9","397.4","378.5","388.7","-10.2","380.0","390.3","-10.3"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","15:17","386.0","2","1.17","396.7","2","1.14","1002.2","8.7","101.37","6.831","32.685","386.4","397.2","377.0","387.5","-10.5","378.5","389.0","-10.5"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","18:17","385.4","2","1.23","396.9","2","1.19","1000.3","8.4","101.34","6.686","32.688","385.9","397.3","375.8","387.0","-11.2","377.3","388.5","-11.2"
"PAPA_145W_50N","50.053","-144.890","06/05/2012","21:17","385.9","2","1.22","396.8","2","1.19","1000.1","8.3","101.41","6.647","32.690","386.4","397.2","376.2","386.8","-10.6","377.7","388.3","-10.6"
"PAPA_145W_50N","50.053","-144.890","06/06/2012","00:17","384.7","2","1.21","396.9","2","1.18","1000.9","8.3","101.46","6.625","32.694","385.1","397.4","375.3","387.2","-11.9","376.8","388.8","-12.0"
