expocode: 316420160615
vessel name: Papa_145W_50N
PIs: Sutton A.;Cronin M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
PAPA_145W_50N,50.053,-144.882,06/15/2016,20:47,354.5,2,1.22,409.6,2,1.09,1022.9,13.2,100.96,9.404,32.631,355.0,410.0,352.9,407.6,-54.7,354.3,409.2,-54.9,-999,5
PAPA_145W_50N,50.053,-144.882,06/15/2016,21:17,354.9,2,1.22,406.1,2,1.09,1022.9,13.3,101.35,9.446,32.632,355.4,406.5,353.3,404.2,-50.9,354.7,405.8,-51.1,8.086,2
PAPA_145W_50N,50.053,-144.882,06/16/2016,00:17,364.4,2,1.87,405.3,2,1.78,1023.5,12.4,101.37,9.615,32.644,365.1,406.0,363.1,403.8,-40.7,364.5,405.4,-40.9,8.070,2
PAPA_145W_50N,50.053,-144.882,06/16/2016,03:17,363.9,2,1.85,404.4,2,1.76,1023.7,12.1,101.27,9.522,32.664,364.5,405.1,362.7,403.0,-40.4,364.1,404.6,-40.5,-999,4
PAPA_145W_50N,50.053,-144.882,06/16/2016,06:17,359.7,2,1.84,404.6,2,1.75,1024.5,11.8,101.49,9.468,32.669,360.4,405.3,358.8,403.6,-44.8,360.2,405.2,-44.9,-999,4
PAPA_145W_50N,50.053,-144.882,06/16/2016,09:17,356.3,2,1.82,404.4,2,1.73,1025.1,11.5,101.68,9.454,32.668,356.9,405.1,355.6,403.6,-48.0,357.0,405.2,-48.2,-999,4
PAPA_145W_50N,50.053,-144.882,06/16/2016,12:17,359.1,2,1.83,404.7,2,1.74,1024.8,11.3,101.75,9.418,32.670,359.7,405.4,358.3,403.8,-45.5,359.7,405.4,-45.6,-999,4
PAPA_145W_50N,50.053,-144.882,06/16/2016,15:17,359.4,2,1.83,404.8,2,1.75,1025.0,11.1,101.81,9.451,32.670,360.1,405.5,358.7,404.0,-45.2,360.1,405.5,-45.4,8.074,2
PAPA_145W_50N,50.053,-144.882,06/16/2016,18:17,360.0,2,1.82,405.0,2,1.74,1026.0,10.9,101.86,9.426,32.676,360.6,405.7,359.6,404.6,-44.9,361.0,406.2,-45.1,8.078,2
PAPA_145W_50N,50.053,-144.882,06/16/2016,21:17,355.4,2,1.88,404.6,2,1.78,1026.2,10.9,102.00,9.483,32.677,356.1,405.3,355.2,404.3,-49.1,356.6,405.8,-49.3,8.088,2
PAPA_145W_50N,50.053,-144.882,06/17/2016,00:17,353.4,2,1.91,404.9,2,1.80,1025.4,11.1,102.11,9.589,32.676,354.1,405.7,352.9,404.3,-51.4,354.3,405.8,-51.6,8.090,2
PAPA_145W_50N,50.053,-144.882,06/17/2016,03:17,351.0,2,1.86,404.8,2,1.75,1024.1,11.2,102.22,9.535,32.675,351.6,405.5,350.0,403.6,-53.7,351.3,405.2,-53.9,8.094,2
PAPA_145W_50N,50.053,-144.882,06/17/2016,06:17,354.9,2,1.85,405.0,2,1.75,1022.9,11.1,102.27,9.567,32.675,355.5,405.7,353.4,403.3,-49.8,354.8,404.9,-50.0,8.086,2
PAPA_145W_50N,50.053,-144.882,06/17/2016,09:17,357.2,2,1.84,405.5,2,1.74,1021.6,11.0,102.35,9.507,32.678,357.9,406.2,355.3,403.3,-48.0,356.7,404.9,-48.2,8.088,2
PAPA_145W_50N,50.053,-144.882,06/17/2016,12:17,359.3,2,1.85,406.3,2,1.76,1019.4,10.8,102.35,9.489,32.679,360.0,407.0,356.7,403.2,-46.6,358.1,404.8,-46.8,8.087,2
PAPA_145W_50N,50.053,-144.882,06/17/2016,15:17,357.8,2,1.89,406.3,2,1.79,1017.4,10.8,102.37,9.473,32.678,358.5,407.0,354.4,402.4,-48.0,355.8,404.0,-48.1,8.090,2
