expocode: 316420170615
vessel name: Papa_145W_50N
PIs: Sutton A.;Cronin M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
PAPA_145W_50N,50.130,-144.832,06/15/2017,21:17,418.5,2,1.54,411.2,2,1.43,1007.9,10.4,100.29,-999,-999,419.1,411.8,-999,-999,-999,-999,-999,-999,-999,5
PAPA_145W_50N,50.130,-144.832,06/16/2017,00:17,421.1,2,1.39,411.9,2,1.29,1008.4,10.9,100.50,9.543,32.454,421.7,412.4,413.2,404.1,9.1,414.8,405.7,9.1,-999,5
PAPA_145W_50N,50.130,-144.832,06/16/2017,03:17,423.9,2,1.31,411.7,2,1.21,1008.6,11.3,100.69,9.715,32.450,424.5,412.2,416.0,403.9,12.1,417.6,405.5,12.1,8.025,2
PAPA_145W_50N,50.130,-144.832,06/16/2017,06:17,421.4,2,1.13,411.5,2,1.03,1009.9,11.4,100.72,9.637,32.460,421.9,411.9,414.0,404.2,9.8,415.7,405.8,9.9,8.028,2
PAPA_145W_50N,50.130,-144.832,06/16/2017,09:17,419.8,2,1.11,411.3,2,1.01,1010.7,11.2,100.78,9.538,32.460,420.3,411.7,412.8,404.4,8.4,414.4,406.0,8.4,8.028,2
PAPA_145W_50N,50.130,-144.832,06/16/2017,12:17,418.4,2,1.08,411.7,2,0.99,1010.7,10.9,100.78,9.416,32.457,418.8,412.1,411.4,404.8,6.6,413.0,406.4,6.6,8.028,2
PAPA_145W_50N,50.130,-144.832,06/16/2017,15:17,417.9,2,1.14,411.8,2,1.05,1011.4,10.7,100.77,9.412,32.455,418.4,412.2,411.3,405.2,6.1,412.9,406.8,6.1,8.028,2
PAPA_145W_50N,50.130,-144.832,06/16/2017,18:17,419.3,2,1.19,411.8,2,1.09,1012.2,10.8,100.86,9.521,32.455,419.8,412.2,412.9,405.5,7.4,414.5,407.0,7.5,8.026,2
PAPA_145W_50N,50.130,-144.832,06/16/2017,21:17,422.3,2,1.17,410.6,2,1.08,1012.5,11.1,100.88,9.757,32.455,422.8,411.1,416.0,404.4,11.6,417.6,406.0,11.6,8.024,2
PAPA_145W_50N,50.130,-144.832,06/17/2017,00:17,425.1,2,1.21,410.6,2,1.11,1011.8,11.4,100.94,9.910,32.454,425.6,411.1,418.3,404.1,14.3,420.0,405.6,14.3,8.023,2
