"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/05/2013","03:17","581.6","2","0.71","404.5","2","0.69","1029.2","3.4","95.53","5.290","29.494","582.0","404.8","583.7","406.0","177.7","586.1","407.7","178.4"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/05/2013","06:17","593.8","2","1.02","403.9","2","1.04","1029.0","2.7","95.21","5.549","29.587","594.4","404.4","596.0","405.4","190.6","598.5","407.1","191.4"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/05/2013","09:17","590.3","2","1.13","404.5","2","1.17","1028.9","2.4","95.06","5.511","29.575","591.0","405.0","592.5","406.0","186.5","595.0","407.7","187.3"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/05/2013","12:17","597.4","2","1.26","403.9","2","1.32","1029.0","2.2","94.93","5.464","29.568","598.2","404.4","599.7","405.5","194.3","602.2","407.1","195.1"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/05/2013","15:17","594.6","2","1.28","405.2","2","1.33","1029.7","2.2","94.87","5.476","29.571","595.3","405.7","597.3","407.0","190.2","599.8","408.7","191.0"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/05/2013","18:17","602.5","2","1.24","403.3","2","1.25","1031.0","2.4","94.66","5.527","29.624","603.2","403.9","606.0","405.7","200.3","608.5","407.4","201.1"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/05/2013","21:17","605.4","2","1.09","402.8","2","1.09","1030.9","2.8","94.66","5.524","29.664","606.1","403.2","608.8","405.0","203.8","611.3","406.7","204.6"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","00:17","601.7","2","1.08","402.1","2","1.07","1032.5","3.3","94.71","5.491","29.654","602.4","402.5","606.0","405.0","201.1","608.6","406.7","201.9"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","03:17","599.1","2","1.11","402.1","2","1.09","1034.2","3.5","94.76","5.517","29.636","599.7","402.5","604.4","405.6","198.7","606.9","407.3","199.6"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","06:17","594.8","2","1.10","402.0","2","1.08","1035.7","3.6","94.90","5.446","29.696","595.5","402.4","600.9","406.1","194.8","603.5","407.8","195.6"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","09:17","588.5","2","1.10","402.1","2","1.08","1036.5","3.6","95.01","5.411","29.645","589.1","402.5","595.0","406.5","188.5","597.5","408.2","189.3"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","12:17","583.2","2","1.11","404.1","2","1.10","1037.4","3.4","95.10","5.336","29.603","583.8","404.6","590.2","409.0","181.2","592.7","410.7","182.0"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","15:17","581.0","2","1.15","404.7","2","1.15","1037.4","3.0","95.17","5.475","29.631","581.7","405.1","588.0","409.5","178.5","590.5","411.2","179.2"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","18:17","578.9","2","1.44","403.6","2","1.46","1037.4","2.3","95.23","5.041","29.661","579.7","404.2","586.2","408.7","177.5","588.6","410.4","178.2"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/06/2013","21:17","596.7","2","1.46","403.5","2","1.47","1037.1","2.0","94.87","5.374","29.827","597.6","404.1","603.9","408.4","195.6","606.5","410.1","196.4"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","00:17","598.5","2","1.14","404.7","2","1.14","1036.1","2.5","94.65","5.401","29.770","599.1","405.2","604.9","409.1","195.9","607.5","410.8","196.7"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","03:17","573.6","2","1.23","404.9","2","1.24","1035.8","2.5","94.85","5.345","29.753","574.3","405.4","579.6","409.2","170.4","582.1","410.9","171.1"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","06:17","624.4","2","1.56","405.0","2","1.65","1034.8","2.0","93.95","5.804","30.005","625.3","405.7","630.4","409.0","221.5","633.1","410.7","222.4"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","09:17","626.8","2","1.71","406.0","2","1.83","1032.8","1.8","93.61","5.776","30.008","627.9","406.7","631.8","409.2","222.6","634.4","410.9","223.5"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","12:17","629.0","2","2.00","405.6","2","2.15","1031.3","1.7","93.42","5.782","30.017","630.2","406.5","633.2","408.4","224.8","635.9","410.1","225.8"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","15:17","628.5","2","1.97","405.7","2","2.01","1030.6","1.7","93.29","5.752","30.012","629.7","406.5","632.3","408.1","224.2","634.9","409.8","225.1"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","18:17","633.9","2","1.71","404.9","2","1.76","1030.3","1.8","93.28","5.715","30.023","635.0","405.6","637.4","407.1","230.2","640.0","408.8","231.2"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/07/2013","21:17","634.7","2","1.39","405.3","2","1.46","1030.0","2.0","93.26","5.767","30.026","635.6","405.9","637.8","407.2","230.5","640.4","408.9","231.5"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","00:17","638.0","2","1.20","405.0","2","1.23","1029.3","2.4","93.09","5.873","30.103","638.8","405.5","640.5","406.6","234.0","643.2","408.2","234.9"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","03:17","614.7","2","1.13","405.3","2","1.16","1029.0","2.7","93.52","5.562","29.951","615.4","405.8","617.0","406.8","210.2","619.6","408.5","211.0"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","06:17","636.8","2","1.14","405.2","2","1.17","1029.7","2.9","93.36","5.767","30.043","637.5","405.7","639.5","406.9","232.6","642.2","408.6","233.6"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","09:17","640.1","2","1.16","404.6","2","1.16","1030.7","3.1","93.25","5.788","30.090","640.8","405.0","643.4","406.7","236.7","646.1","408.4","237.7"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","12:17","641.2","2","1.13","408.3","2","1.15","1030.7","3.3","93.15","5.843","30.089","641.9","408.8","644.5","410.5","234.1","647.2","412.2","235.0"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","15:17","639.6","2","1.14","407.3","2","1.15","1031.1","3.5","93.10","5.854","30.117","640.3","407.7","643.2","409.5","233.7","645.9","411.2","234.6"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","18:17","642.2","2","1.15","405.7","2","1.15","1032.1","3.6","93.08","5.890","30.112","642.9","406.2","646.4","408.4","238.0","649.1","410.1","239.0"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/08/2013","21:17","642.6","2","1.17","404.4","2","1.18","1032.8","3.8","93.10","5.893","30.144","643.3","404.9","647.3","407.3","239.9","650.0","409.0","240.9"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/09/2013","00:17","641.5","2","1.14","404.6","2","1.16","1032.2","4.0","92.40","5.948","30.165","642.3","405.1","645.8","407.3","238.5","648.5","409.0","239.5"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/09/2013","03:17","641.2","2","1.18","402.2","2","1.19","1031.8","4.2","92.48","5.917","30.141","641.9","402.7","645.2","404.8","240.4","647.9","406.4","241.4"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/09/2013","06:17","644.5","2","1.18","405.3","2","1.20","1032.2","4.4","92.46","5.705","30.007","645.3","405.8","648.9","408.0","240.9","651.6","409.7","241.9"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/09/2013","09:17","640.3","2","1.17","405.6","2","1.19","1032.0","4.6","92.64","5.808","30.106","641.1","406.1","644.5","408.3","236.3","647.2","409.9","237.2"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/09/2013","12:17","640.9","2","1.23","400.8","2","1.23","1030.7","4.8","92.87","5.817","30.095","641.7","401.3","644.3","402.9","241.4","647.0","404.6","242.4"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/09/2013","15:17","649.8","2","1.24","401.2","2","1.25","1029.7","5.0","92.81","5.921","30.181","650.6","401.7","652.6","402.9","249.7","655.3","404.6","250.7"
"SOUTHEAST_AK_56N_134W","56.266","-134.674","12/09/2013","18:17","650.3","2","1.27","400.6","2","1.26","1029.5","5.2","92.77","5.886","30.131","651.1","401.1","653.0","402.3","250.7","655.7","403.9","251.8"
