Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,0:17,494.9,2,0.33,406.6,2,0.27,1017.3,7.2,97.17,7.674,31.497,495,406.7,490,402.6,87.5,492,404.2,87.8
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,0:47,495.4,2,0.34,406.4,2,0.28,1017.4,7.4,97.09,7.639,31.477,495.6,406.5,490.6,402.4,88.2,492.6,404,88.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,1:17,495.2,2,0.35,406.5,2,0.28,1017.6,7.5,96.96,7.593,31.472,495.3,406.6,490.5,402.6,87.9,492.5,404.3,88.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,3:17,493.4,2,0.43,407.5,2,0.38,1018.4,6.5,96.96,7.617,31.502,493.6,407.6,489.2,404,85.2,491.1,405.6,85.5
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,6:17,491.6,2,0.57,406,2,0.51,1019.4,6,96.85,7.512,31.463,491.9,406.2,488,403,85,489.9,404.6,85.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,9:17,488.6,2,0.65,406,2,0.59,1019.7,5.9,96.92,7.637,31.413,488.9,406.2,485.1,403,82,487,404.7,82.4
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,12:17,500.5,2,0.64,406,2,0.59,1019.4,6,96.85,7.592,31.469,500.8,406.2,496.8,403,93.8,498.7,404.6,94.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,15:17,496.4,2,0.64,406,2,0.59,1018.2,6.1,96.8,7.58,31.467,496.7,406.2,492.2,402.5,89.7,494.2,404.1,90
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,18:17,486.8,2,0.64,406.1,2,0.59,1017.4,6.1,96.95,7.514,31.356,487.1,406.4,482.3,402.4,80,484.3,404,80.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/28/2015,21:17,473.5,2,0.6,406.4,2,0.55,1015.9,6,97.12,7.245,30.902,473.8,406.7,468.4,402.1,66.3,470.3,403.7,66.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,0:17,414,2,0.75,405.9,2,0.7,1013.8,5.9,97.5,7.399,31.072,414.3,406.1,408.8,400.7,8.1,410.4,402.3,8.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,3:17,460.5,2,0.85,405.1,2,0.78,1013.5,6.1,97.64,7.087,29.231,460.9,405.4,454.7,399.9,54.8,456.5,401.5,55
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,6:17,495.5,2,0.83,405,2,0.78,1015,6.6,97.53,7.383,31.031,495.9,405.3,489.8,400.3,89.5,491.8,401.9,89.8
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,9:17,490.2,2,0.81,405.7,2,0.75,1016.4,6.9,97.47,7.363,30.963,490.6,406,485.3,401.6,83.7,487.2,403.2,84
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,12:17,478.6,2,0.8,406.6,2,0.74,1017.3,7,97.47,7.284,30.604,479,406.9,474.2,402.9,71.3,476.1,404.5,71.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,15:17,472.7,2,0.88,405.4,2,0.83,1018.6,7.1,97.48,7.217,29.931,473.1,405.8,469,402.3,66.7,470.9,403.9,67
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,18:17,479,2,0.9,405.7,2,0.84,1021.4,7.2,97.46,7.331,30.892,479.4,406.1,476.6,403.7,72.9,478.5,405.3,73.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/29/2015,21:17,484.2,2,0.97,402.7,2,0.9,1023,7.3,97.49,7.309,30.749,484.6,403,482.6,401.3,81.2,484.5,402.9,81.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,0:17,451.9,2,0.87,404.1,2,0.81,1024.1,7.5,97.52,7.339,30.844,452.3,404.5,450.9,403.2,47.7,452.7,404.8,47.9
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,3:17,480.3,2,0.73,407.4,2,0.67,1024.6,7.4,97.5,7.26,30.911,480.6,407.6,479.3,406.5,72.8,481.2,408.2,73.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,6:17,478.7,2,0.67,407.9,2,0.62,1024.8,6.9,97.36,7.2,30.881,479,408.2,477.8,407.2,70.6,479.7,408.8,70.9
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,9:17,478,2,0.7,407.3,2,0.65,1024.7,6.2,97.42,7.211,30.911,478.3,407.5,477.1,406.5,70.6,479,408.1,70.9
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,12:17,488.1,2,0.74,405.9,2,0.68,1024.5,6,97.34,7.324,31.198,488.5,406.2,487.1,405,82.1,489.1,406.6,82.4
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,15:17,477,2,0.72,406.2,2,0.67,1024.4,5.9,97.36,7.083,30.948,477.4,406.5,476,405.4,70.7,478,407,71
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,18:17,468.4,2,0.75,406.3,2,0.7,1025.7,5.9,97.35,7.018,30.802,468.7,406.5,468,405.9,62.1,469.9,407.6,62.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/30/2015,21:17,478,2,0.8,407.3,2,0.74,1026.4,6,97.43,7.169,30.982,478.4,407.6,478,407.2,70.8,479.9,408.8,71.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,0:17,485.4,2,0.74,407.3,2,0.69,1027.3,6.3,97.38,7.278,31.124,485.8,407.6,485.7,407.6,78.1,487.7,409.2,78.5
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,3:17,473,2,0.68,406.6,2,0.63,1028.6,6.4,97.44,7.087,30.901,473.4,406.9,474,407.4,66.6,475.9,409,66.9
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,6:17,483.2,2,0.68,406.9,2,0.63,1028.3,6.2,97.36,7.232,31.084,483.5,407.1,484,407.5,76.5,485.9,409.2,76.8
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,9:17,482.4,2,0.66,407.8,2,0.61,1028.1,6.1,97.36,7.209,31.085,482.7,408,483.1,408.3,74.7,485,410,75.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,12:17,480.9,2,0.65,408.1,2,0.6,1027.7,5.9,97.42,7.166,31.087,481.2,408.4,481.4,408.5,72.8,483.3,410.2,73.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,15:17,477.7,2,0.64,408.4,2,0.59,1026.4,5.7,97.49,7.06,31.045,478,408.6,477.6,408.2,69.4,479.6,409.9,69.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,18:17,482.4,2,0.65,408.1,2,0.59,1025.2,5.6,97.5,7.141,31.103,482.8,408.4,481.7,407.5,74.2,483.7,409.1,74.5
SOUTHEAST_AK_56N_134W,56.273,-134.657,1/31/2015,21:17,482.7,2,0.67,407.8,2,0.62,1023.8,5.6,97.54,7.147,31.105,483,408,481.3,406.6,74.7,483.3,408.3,75
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,0:17,482.3,2,0.64,407.1,2,0.59,1021.8,5.6,97.58,7.128,31.124,482.6,407.3,480,405.2,74.9,482,406.8,75.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,3:17,484.1,2,0.63,407,2,0.57,1019.6,5.5,97.66,7.131,31.157,484.4,407.2,480.8,404.2,76.6,482.7,405.8,76.9
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,6:17,489.1,2,0.62,407.3,2,0.57,1017,5.4,97.67,7.146,31.174,489.5,407.5,484.5,403.4,81.1,486.5,405,81.5
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,9:17,499.8,2,0.62,407.5,2,0.56,1014.7,5.3,97.72,7.255,31.261,500.1,407.8,493.9,402.7,91.2,495.8,404.3,91.5
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,12:17,499.5,2,0.61,407.3,2,0.56,1012.2,5.2,97.82,7.237,31.247,499.8,407.5,492.4,401.4,90.9,494.3,403.1,91.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,15:17,499.5,2,0.65,407.3,2,0.58,1010,5.1,97.84,7.212,31.257,499.8,407.5,491.3,400.6,90.7,493.3,402.2,91.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,18:17,503.4,2,0.61,407.2,2,0.56,1008.9,5.1,97.86,7.14,31.24,503.7,407.4,494.6,400.1,94.5,496.6,401.7,94.9
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/1/2015,21:17,499.6,2,0.62,407.1,2,0.57,1007.8,5.1,97.85,7.169,31.24,499.9,407.3,490.4,399.6,90.8,492.4,401.2,91.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,0:17,498.4,2,0.63,406.9,2,0.57,1008.5,5.1,97.85,7.171,31.238,498.7,407.1,489.6,399.6,89.9,491.5,401.2,90.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,3:17,503.8,2,0.61,407.1,2,0.55,1009,5.1,97.86,7.054,31.226,504.1,407.3,495.1,400,95.1,497.1,401.6,95.5
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,6:17,502,2,0.61,407.2,2,0.55,1009.8,4.9,97.83,7.04,31.23,502.3,407.5,493.7,400.5,93.2,495.7,402.1,93.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,9:17,515.1,2,0.57,407.5,2,0.51,1010.5,4.9,97.73,6.928,31.2,515.4,407.7,506.9,401,105.9,509,402.6,106.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,12:17,511,2,0.55,407.5,2,0.5,1010.5,4.8,97.68,6.916,31.193,511.3,407.7,503,401,102,505,402.6,102.4
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,15:17,507.9,2,0.54,407.3,2,0.49,1010.1,4.6,97.67,6.955,31.213,508.2,407.5,499.7,400.7,99,501.7,402.3,99.4
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,18:17,520.5,2,0.51,407.5,2,0.46,1010,4.4,97.62,6.836,31.195,520.8,407.7,512,400.9,111.2,514.1,402.5,111.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/2/2015,21:17,512.5,2,0.54,407.3,2,0.48,1009.8,4.2,97.61,6.814,31.188,512.8,407.5,504.1,400.6,103.4,506.1,402.2,103.9
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,0:17,527.3,2,0.53,407.2,2,0.47,1010.3,4.1,97.52,6.64,31.1,527.6,407.4,518.9,400.8,118.2,521,402.4,118.7
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,3:17,536.9,2,0.52,407.3,2,0.46,1010.9,4,97.4,6.508,31.033,537.2,407.5,528.8,401.1,127.7,530.9,402.7,128.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,6:17,536.7,2,0.52,407.4,2,0.46,1011.7,4,97.25,6.397,30.966,537,407.6,529,401.6,127.4,531.1,403.2,128
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,9:17,532.7,2,0.51,407.6,2,0.46,1012.8,3.9,97.23,6.446,30.997,533,407.7,525.6,402.1,123.5,527.8,403.7,124
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,12:17,537.8,2,0.51,407.7,2,0.46,1014.2,3.9,97.13,6.224,30.838,538,407.9,531.4,402.8,128.6,533.6,404.5,129.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,15:17,541.2,2,0.51,407.7,2,0.45,1014.8,3.9,97.32,6.211,30.871,541.4,407.9,535.1,403.1,132,537.3,404.8,132.5
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,18:17,548.9,2,0.55,407.8,2,0.48,1015.7,3.9,97.16,6.092,30.822,549.2,408,543.3,403.6,139.7,545.6,405.3,140.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/3/2015,21:17,543.5,2,0.61,408.1,2,0.55,1016.8,4,96.8,6.221,30.885,543.8,408.4,538.5,404.4,134.1,540.7,406,134.7
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,0:17,545.2,2,0.55,408.2,2,0.5,1017.2,4.2,96.71,6.166,30.863,545.5,408.4,540.4,404.6,135.8,542.6,406.3,136.3
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,3:17,547.7,2,0.52,408.5,2,0.47,1017.7,4.3,96.63,6.112,30.837,548,408.7,543.2,405.1,138.1,545.4,406.8,138.7
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,6:17,548.7,2,0.53,408.6,2,0.48,1018.2,4.2,96.5,6.086,30.813,549,408.8,544.5,405.4,139.1,546.7,407.1,139.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,9:17,547.3,2,0.54,408.9,2,0.49,1017.4,4.1,96.45,6.073,30.821,547.6,409.1,542.7,405.4,137.3,544.9,407,137.8
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,12:17,547,2,0.52,409.8,2,0.47,1017.2,4,96.44,5.993,30.781,547.3,410,542.2,406.2,136,544.4,407.9,136.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,15:17,549.7,2,0.54,409.4,2,0.49,1016.2,3.9,96.38,6.103,30.862,550,409.6,544.4,405.4,139,546.6,407,139.6
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,18:17,549.7,2,0.55,409.6,2,0.5,1015.7,4,96.34,6.086,30.853,550,409.8,544.1,405.4,138.7,546.3,407,139.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/4/2015,21:17,550.8,2,0.59,409.6,2,0.54,1014.4,4.1,96.37,6.03,30.823,551.1,409.8,544.5,404.9,139.7,546.8,406.5,140.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/5/2015,0:17,552.6,2,0.54,409.1,2,0.49,1012.3,4.2,96.46,6.021,30.835,552.9,409.3,545.1,403.5,141.6,547.4,405.2,142.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/5/2015,3:17,554.5,2,0.53,408.8,2,0.49,1010.6,4.2,96.39,6.036,30.837,554.8,409,546.1,402.6,143.5,548.3,404.3,144
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/5/2015,6:17,554,2,0.52,408.8,2,0.48,1008.1,4,96.45,6.009,30.835,554.3,409,544.2,401.6,142.6,546.4,403.2,143.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/5/2015,9:17,561,2,0.54,408.6,2,0.49,1004.2,3.9,96.49,5.974,30.846,561.3,408.8,549,399.9,149.1,551.2,401.5,149.7
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/5/2015,12:17,563.9,2,0.53,408.2,2,0.48,999.1,3.9,96.5,5.953,30.854,564.2,408.4,549,397.4,151.6,551.2,399,152.2
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/5/2015,15:17,567.7,2,0.49,408.2,2,0.44,993.7,3.8,96.78,6.021,30.92,568,408.4,549.7,395.2,154.5,551.9,396.8,155.1
SOUTHEAST_AK_56N_134W,56.273,-134.657,2/5/2015,18:17,575.2,2,0.47,408.8,2,0.42,990.6,3.7,96.76,5.979,30.915,575.5,409,555.1,394.6,160.6,557.4,396.1,161.2
