"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/06/2014","21:17","189.5","2","1.52","404.3","2","1.28","1020.4","13.1","121.05","8.768","31.516","189.8","404.8","188.3","401.6","-213.4","189.0","403.2","-214.2"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/06/2014","21:47","175.2","2","1.53","404.6","2","1.25","1020.4","13.2","122.72","8.956","31.529","175.5","405.1","174.1","401.9","-227.8","174.8","403.5","-228.7"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","00:17","225.7","2","2.64","402.9","2","2.30","1019.4","12.5","121.67","7.983","31.626","226.3","403.9","224.4","400.5","-176.1","225.3","402.1","-176.8"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","03:17","215.8","2","2.58","404.5","2","2.38","1018.6","12.6","120.87","8.044","31.644","216.3","405.5","214.4","401.8","-187.4","215.2","403.4","-188.2"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","06:17","170.7","2","2.49","406.7","2","2.31","1018.4","12.2","121.95","7.919","31.478","171.1","407.6","169.5","403.9","-234.4","170.2","405.5","-235.3"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","09:17","197.6","2","2.50","406.3","2","2.31","1017.2","11.6","121.77","7.698","31.553","198.1","407.3","196.0","403.1","-207.1","196.8","404.7","-207.9"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","12:17","240.7","2","2.39","407.0","2","2.29","1015.8","11.1","119.73","7.149","31.588","241.3","407.9","238.6","403.3","-164.7","239.5","404.9","-165.4"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","15:17","181.5","2","2.43","409.0","2","2.32","1014.9","10.7","120.89","7.967","31.569","181.9","410.0","179.6","404.8","-225.2","180.3","406.4","-226.1"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","18:17","180.2","2","2.48","406.2","2","2.40","1013.7","10.5","122.27","7.928","31.610","180.6","407.2","178.1","401.5","-223.4","178.8","403.1","-224.3"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/07/2014","21:17","187.8","2","2.44","405.9","2","2.34","1012.4","10.7","122.73","8.241","31.660","188.2","406.8","185.4","400.6","-215.2","186.1","402.2","-216.1"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","00:17","196.5","2","2.48","403.6","2","2.21","1011.6","11.2","122.71","7.906","31.717","197.0","404.5","193.9","398.1","-204.2","194.6","399.6","-205.0"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","03:17","162.6","2","2.43","405.0","2","2.25","1010.9","11.4","124.36","8.685","31.618","163.0","405.9","160.2","399.0","-238.8","160.8","400.5","-239.7"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","06:17","236.5","2","2.39","405.0","2","2.30","1010.3","11.1","122.42","7.734","31.699","237.0","405.9","233.0","399.0","-166.0","233.9","400.6","-166.7"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","09:17","211.4","2","2.31","406.0","2","2.25","1009.8","10.7","121.40","7.909","31.570","211.9","406.9","208.2","399.7","-191.6","209.0","401.3","-192.3"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","12:17","222.5","2","2.29","405.6","2","2.25","1008.5","10.2","120.54","7.931","31.645","223.0","406.5","218.8","398.8","-180.1","219.6","400.4","-180.8"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","15:17","262.9","2","2.27","405.3","2","2.25","1007.6","9.7","118.86","7.557","31.713","263.5","406.2","258.3","398.3","-140.0","259.3","399.9","-140.5"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","18:17","342.1","2","2.26","405.6","2","2.24","1007.3","9.5","115.60","7.196","31.812","342.9","406.5","336.2","398.5","-62.4","337.5","400.1","-62.6"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/08/2014","21:17","310.7","2","2.29","404.8","2","2.25","1007.1","9.5","114.04","7.396","31.803","311.4","405.7","305.2","397.6","-92.4","306.4","399.2","-92.8"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","00:17","302.5","2","2.29","402.1","2","2.23","1006.8","9.7","113.29","7.458","31.810","303.2","403.0","297.0","394.8","-97.8","298.2","396.4","-98.2"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","03:17","315.0","2","2.30","401.4","2","2.26","1006.2","9.8","112.48","7.367","31.812","315.7","402.3","309.1","394.0","-84.8","310.4","395.5","-85.1"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","06:17","252.6","2","2.27","412.7","2","2.24","1006.5","9.9","113.51","7.518","31.719","253.1","413.7","247.9","405.1","-157.2","248.9","406.8","-157.8"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","09:17","213.5","2","2.21","409.8","2","2.18","1006.5","9.8","115.13","7.721","31.583","214.0","410.7","209.6","402.1","-192.6","210.4","403.7","-193.3"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","12:17","233.9","2","2.22","411.1","2","2.19","1006.7","9.4","115.58","7.569","31.641","234.5","412.0","229.7","403.6","-173.9","230.6","405.2","-174.6"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","15:17","210.2","2","2.34","407.4","2","2.34","1007.6","9.1","116.94","7.577","31.636","210.7","408.4","206.6","400.4","-193.9","207.4","402.0","-194.6"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","18:17","190.7","2","2.25","402.8","2","2.18","1008.8","9.4","118.98","7.974","31.387","191.1","403.7","187.6","396.2","-208.6","188.3","397.7","-209.4"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/09/2014","21:17","199.4","2","2.32","402.3","2","2.22","1010.5","10.1","120.24","8.038","31.669","199.9","403.2","196.5","396.3","-199.8","197.3","397.9","-200.6"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/10/2014","00:17","180.6","2","2.61","400.3","2","2.55","1011.7","10.9","121.92","8.200","31.684","181.0","401.3","178.2","394.9","-216.7","178.9","396.4","-217.6"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/10/2014","03:17","182.3","2","2.57","400.2","2","2.51","1012.9","11.9","122.71","9.081","31.687","182.8","401.2","180.0","395.0","-215.1","180.7","396.6","-215.9"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/10/2014","06:17","168.8","2","2.23","408.5","2","2.12","1014.6","12.2","123.60","8.521","31.544","169.2","409.4","167.0","403.9","-237.0","167.6","405.5","-237.9"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/10/2014","09:17","168.5","2","2.42","421.1","2","2.33","1016.7","11.5","124.45","8.656","31.502","168.9","422.1","166.9","417.3","-250.3","167.6","418.9","-251.3"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/10/2014","12:17","162.7","2","2.52","404.0","2","2.44","1018.9","10.7","125.56","9.152","31.525","163.1","405.0","161.6","401.1","-239.5","162.2","402.7","-240.5"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/10/2014","15:17","158.6","2","2.55","406.4","2","2.48","1020.7","10.4","126.49","8.852","31.586","159.1","407.4","157.8","404.3","-246.5","158.5","405.9","-247.5"
"SOUTHEAST_AK_56N_134W","56.269","-134.657","05/10/2014","18:17","150.4","2","2.72","401.4","2","2.62","1022.1","10.4","127.33","9.279","31.483","150.8","402.4","149.8","399.8","-250.0","150.4","401.4","-251.0"
