"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"TWANOH_123W_47N","47.375","-123.008","04/11/2014","21:17","99.4","2","1.28","407.6","2","1.07","1018.5","14.4","107.63","-999.000","-999.000","99.5","408.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","00:17","106.9","2","2.51","404.6","2","2.33","1016.3","16.9","107.47","-999.000","-999.000","107.1","405.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","03:17","156.0","2","2.52","407.5","2","2.36","1015.8","17.8","106.22","-999.000","-999.000","156.4","408.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","06:17","174.6","2","2.30","415.5","2","2.19","1016.9","15.3","105.32","-999.000","-999.000","175.0","416.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","09:17","92.2","2","2.28","419.8","2","2.18","1017.7","13.5","105.37","-999.000","-999.000","92.4","420.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","12:17","76.7","2","2.14","427.6","2","2.05","1017.9","12.6","106.30","-999.000","-999.000","76.9","428.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","15:17","144.6","2","2.24","428.8","2","2.15","1019.0","12.0","105.41","-999.000","-999.000","144.9","429.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","18:17","178.9","2","2.30","412.1","2","2.19","1019.2","12.2","104.71","-999.000","-999.000","179.3","413.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/12/2014","21:17","141.3","2","2.43","406.2","2","2.27","1018.1","13.9","104.54","-999.000","-999.000","141.6","407.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/13/2014","00:17","90.3","2","2.87","406.7","2","2.57","1017.4","17.5","105.48","-999.000","-999.000","90.6","407.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/13/2014","03:17","106.6","2","2.85","410.7","2","2.51","1018.4","18.4","105.27","-999.000","-999.000","106.9","411.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/13/2014","06:17","105.3","2","2.48","424.3","2","2.32","1020.5","15.7","104.95","-999.000","-999.000","105.6","425.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.375","-123.008","04/13/2014","09:17","88.3","2","2.22","428.4","2","2.11","1022.3","13.6","105.37","-999.000","-999.000","88.5","429.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
