"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","00:17","323.4","2","7.48","372.6","2","6.36","1019.3","21.1","101.61","-999.000","-999.000","325.8","374.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","03:17","321.9","2","6.78","376.3","2","6.13","1019.3","20.9","103.02","-999.000","-999.000","324.1","378.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","06:17","332.3","2","5.70","386.6","2","5.40","1020.5","18.5","103.88","-999.000","-999.000","334.2","388.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","09:17","327.3","2","5.66","392.3","2","5.35","1020.7","17.5","104.27","-999.000","-999.000","329.2","394.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","12:17","329.5","2","5.60","382.6","2","4.94","1020.3","17.4","104.60","-999.000","-999.000","331.3","384.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","15:17","335.5","2","5.69","381.2","2","4.75","1020.7","16.9","104.58","-999.000","-999.000","337.4","383.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","18:17","331.9","2","6.96","378.0","2","5.70","1020.0","19.5","104.65","-999.000","-999.000","334.3","380.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/22/2009","21:17","344.1","2","9.80","376.3","2","7.73","1017.6","24.8","104.58","-999.000","-999.000","347.5","379.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/23/2009","00:17","334.4","2","8.65","372.9","2","6.84","1015.2","23.5","105.15","-999.000","-999.000","337.3","375.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.270","-122.747","08/23/2009","03:17","322.2","2","7.20","378.8","2","5.88","1015.1","21.5","105.72","-999.000","-999.000","324.5","381.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
