expocode: 316420170729
vessel name: TWANOH_123W_47N
"PIs: Sutton, A.; Newton, J., Mickett, J."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
TWANOH_123W_47N,47.375,-123.008,7/29/2017,0:17,394.5,2,7.31,404.6,2,6.76,1014,24.9,107.77,-999,-999,397.4,407.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/29/2017,3:17,390.1,2,5.91,393,2,5,1013.9,26.8,107.32,-999,-999,392.5,394.9,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/29/2017,6:17,371.1,2,4.2,402.4,2,3.29,1015.2,24.3,107.24,-999,-999,372.7,403.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/29/2017,9:17,362.5,2,3.2,413.3,2,2.73,1016.1,21.8,107.06,-999,-999,363.7,414.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/29/2017,12:17,396.3,2,2.65,422.5,2,2.38,1017,19.8,106.4,-999,-999,397.3,423.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/29/2017,15:17,360.3,2,3.99,415,2,3.71,1018,18.4,106.26,-999,-999,361.8,416.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/29/2017,18:17,355.5,2,5.09,405.5,2,4.57,1017.8,18.8,106.44,-999,-999,357.3,407.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/29/2017,21:17,374.4,2,5.84,398.3,2,5.52,1017.7,21,106.93,-999,-999,376.6,400.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,0:17,387.8,2,6.98,393.6,2,6.41,1016.4,25.5,107.14,-999,-999,390.5,396.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,3:17,390.5,2,6.46,399,2,4.98,1016.4,27.6,107.05,-999,-999,393.1,401,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,6:17,403.1,2,5.06,409.5,2,4.26,1018.1,25.5,106.66,-999,-999,405.2,411.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,9:17,371.4,2,3.79,420.3,2,3.37,1019.6,23,106.77,-999,-999,372.8,421.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,12:17,363.7,2,3.51,424.4,2,3.28,1020.7,21.2,106.75,-999,-999,365,425.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,15:17,366.8,2,4.23,417.6,2,3.9,1021.9,20.3,106.58,-999,-999,368.4,419.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,18:17,354.9,2,5.68,411.7,2,5.05,1022.2,20.5,106.85,-999,-999,357,413.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/30/2017,21:17,368.7,2,6.04,403.1,2,5.01,1021,22.2,107,-999,-999,370.9,405.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/31/2017,0:17,379.5,2,7.67,399,2,6.94,1019.8,25.9,107.26,-999,-999,382.4,401.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/31/2017,3:17,372.3,2,6.51,399.3,2,4.95,1019.6,27.9,107.21,-999,-999,374.8,401.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/31/2017,6:17,365.2,2,5.43,405.4,2,4.26,1020.8,25.9,107.26,-999,-999,367.2,407.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.008,7/31/2017,9:17,365,2,4.23,413.2,2,3.35,1021.2,23.4,107.06,-999,-999,366.5,414.6,-999,-999,-999,-999,-999,-999
