expocode: 316420161129
vessel name: TWANOH_123W_47N
"PIs: Sutton, A.; Newton, J.; Mickett, J."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
TWANOH_123W_47N,47.375,-123.008,11/29/2016,20:17,287.8,2,1.24,431.4,2,1.38,1021.4,9.3,99.95,-999,-999,288.2,432,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/29/2016,20:47,230.5,2,1.13,430.6,2,1.27,1020.9,9.5,100.04,-999,-999,230.8,431.2,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/29/2016,21:17,216.3,2,1.12,430.1,2,1.23,1020.4,9.7,100.05,-999,-999,216.5,430.6,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/29/2016,21:47,140.6,2,1.1,423.8,2,1.23,1019.6,9.9,100.41,-999,-999,140.7,424.3,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/29/2016,22:17,108.6,2,1.07,424,2,1.18,1019.3,10.1,100.77,-999,-999,108.7,424.5,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/29/2016,22:47,85.7,2,1.07,425,2,1.19,1018.7,10.2,101.4,-999,-999,85.8,425.5,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/30/2016,0:17,69,2,1.39,426.6,2,1.52,1017.2,10,102.97,-999,-999,69.1,427.3,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/30/2016,3:17,125.8,2,1.62,426,2,1.76,1015.1,9.1,102.65,-999,-999,126,426.8,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/30/2016,6:17,146.5,2,1.65,425.8,2,1.78,1012.9,8.4,102.37,-999,-999,146.7,426.6,-999,-999,-999,-999,-999,-999,-999,5
TWANOH_123W_47N,47.375,-123.008,11/30/2016,9:17,135.3,2,1.74,414.5,2,1.88,1011.2,8.2,102.24,-999,-999,135.5,415.3,-999,-999,-999,-999,-999,-999,-999,5
