Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WA_125W_47N,47.327,-124.728,6/24/10,3:17,241.6,2,2.65,386.8,2,2.61,1020.7,18,112.55,13.091,31.294,242.2,387.8,239.5,383.6,-144,240.4,385,-144.6
WA_125W_47N,47.327,-124.728,6/24/10,6:17,260.6,2,2.75,388.4,2,2.74,1020.9,15.2,112.63,12.629,31.364,261.4,389.4,258.7,385.4,-126.8,259.6,386.9,-127.2
WA_125W_47N,47.327,-124.728,6/24/10,9:17,257.6,2,2.63,388.1,2,2.63,1020.7,14.3,112.38,12.246,31.512,258.3,389.1,255.7,385.1,-129.5,256.6,386.6,-130
WA_125W_47N,47.327,-124.728,6/24/10,12:17,274.9,2,2.62,388.2,2,2.63,1020.6,13.7,112.41,12.179,31.338,275.7,389.2,272.8,385.2,-112.4,273.9,386.7,-112.8
WA_125W_47N,47.327,-124.728,6/24/10,15:17,261,2,2.74,387.7,2,2.74,1020.7,13.7,111.81,12.866,31.257,261.7,388.8,258.9,384.6,-125.7,259.9,386,-126.2
WA_125W_47N,47.327,-124.728,6/24/10,18:17,266.6,2,3.02,387.6,2,2.98,1020.7,14.7,111.52,13.789,31.267,267.5,388.8,264.3,384.3,-119.9,265.3,385.7,-120.4
WA_125W_47N,47.327,-124.728,6/24/10,21:17,282.3,2,3.41,388.2,2,3.24,1020.6,16,109.9,14.386,31.228,283.3,389.4,279.8,384.6,-104.9,280.8,386.1,-105.2
WA_125W_47N,47.327,-124.728,6/25/10,0:17,225.7,2,3.22,388.1,2,3.11,1019.8,17.4,108.36,13.917,31.275,226.5,389.3,223.6,384.4,-160.8,224.4,385.8,-161.4
WA_125W_47N,47.327,-124.728,6/25/10,3:17,223.9,2,2.84,388.1,2,2.82,1019.3,16,108.93,12.945,31.257,224.6,389.2,221.8,384.5,-162.6,222.7,385.9,-163.2
WA_125W_47N,47.327,-124.728,6/25/10,6:17,225.7,2,2.79,388.4,2,2.68,1018.8,14.5,110.18,13.21,31.263,226.3,389.4,223.4,384.4,-161,224.2,385.8,-161.6
WA_125W_47N,47.327,-124.728,6/25/10,9:17,242.8,2,2.78,388.3,2,2.7,1018.9,14.1,111.43,13.239,31.238,243.5,389.4,240.4,384.4,-144,241.3,385.8,-144.5
WA_125W_47N,47.327,-124.728,6/25/10,12:17,242.3,2,2.73,388.8,2,2.6,1018.7,13.8,111.63,12.948,31.287,243,389.8,239.9,384.8,-144.9,240.8,386.2,-145.5
WA_125W_47N,47.327,-124.728,6/25/10,15:17,373.4,2,2.61,388.5,2,2.53,1019.5,13.4,111.29,11.267,31.557,374.3,389.5,370.4,385.4,-15,371.8,386.9,-15.1
WA_125W_47N,47.327,-124.728,6/25/10,18:17,313.6,2,2.65,388.5,2,2.54,1020.7,13,109.42,11.721,31.619,314.5,389.5,311.4,385.7,-74.3,312.6,387.2,-74.6
WA_125W_47N,47.327,-124.728,6/25/10,21:17,259.4,2,2.92,389,2,2.72,1020.9,13.5,108.96,12.383,31.506,260.2,390.1,257.6,386.1,-128.6,258.5,387.6,-129.1
WA_125W_47N,47.327,-124.728,6/26/10,0:17,270.7,2,2.84,392.1,2,2.64,1021.5,15,109.69,12.129,31.539,271.5,393.1,268.9,389.5,-120.5,269.9,391,-121
WA_125W_47N,47.327,-124.728,6/26/10,3:17,279.1,2,2.68,388.1,2,2.54,1021.1,14.2,110.15,12.075,31.492,279.9,389.1,277.2,385.3,-108.2,278.2,386.8,-108.6
WA_125W_47N,47.327,-124.728,6/26/10,6:17,241.5,2,2.72,388.1,2,2.54,1021.8,13.5,110.52,12.821,31.394,242.2,389.1,239.9,385.3,-145.5,240.8,386.8,-146
WA_125W_47N,47.327,-124.728,6/26/10,9:17,272,2,2.74,387.9,2,2.45,1022.1,13.4,110.52,13.628,31.357,272.8,388.8,270,384.9,-114.9,271,386.3,-115.3
WA_125W_47N,47.327,-124.728,6/26/10,12:17,276,2,2.81,387.9,2,2.52,1022.4,13.7,108.86,13.731,31.374,276.8,388.8,274,385,-111,275,386.4,-111.4
WA_125W_47N,47.327,-124.728,6/26/10,15:17,278.3,2,2.96,388.2,2,2.58,1023.4,14.1,107.48,13.783,31.378,279.1,389.2,276.6,385.7,-109.1,277.6,387.1,-109.5
WA_125W_47N,47.327,-124.728,6/26/10,18:17,271,2,3.29,388.5,2,2.79,1023.7,15.2,106.29,13.785,31.349,271.9,389.6,269.5,386.3,-116.7,270.5,387.7,-117.2
WA_125W_47N,47.327,-124.728,6/26/10,21:17,251.8,2,3.37,388.8,2,2.84,1023.8,16.3,105.77,13.701,31.339,252.6,389.9,250.5,386.6,-136.1,251.4,388,-136.6
WA_125W_47N,47.327,-124.728,6/27/10,0:17,246.2,2,3.52,388.8,2,2.94,1023.5,17.2,106.25,12.695,31.6,247,390,245.1,386.9,-141.8,246,388.4,-142.3
WA_125W_47N,47.327,-124.728,6/27/10,3:17,257.7,2,3.15,388.5,2,2.82,1022.5,16.7,108.4,14.031,31.324,258.5,389.6,255.9,385.7,-129.8,256.9,387.1,-130.2
WA_125W_47N,47.327,-124.728,6/27/10,6:17,267.4,2,3.03,389.1,2,2.79,1021.8,15.4,108.09,13.854,31.291,268.2,390.2,265.4,386,-120.7,266.3,387.5,-121.1
WA_125W_47N,47.327,-124.728,6/27/10,9:17,246.9,2,2.92,389,2,2.75,1020.7,14.7,107.41,13.161,31.37,247.6,390,244.9,385.7,-140.9,245.8,387.2,-141.4
WA_125W_47N,47.327,-124.728,6/27/10,12:17,236,2,2.83,387.9,2,2.77,1020.2,14.3,107.65,12.852,31.427,236.7,389,234,384.6,-150.6,234.9,386.1,-151.2
WA_125W_47N,47.327,-124.728,6/27/10,15:17,246.6,2,2.92,388.1,2,2.86,1019.9,14.1,108.37,13.55,31.371,247.3,389.2,244.3,384.5,-140.2,245.3,385.9,-140.7
WA_125W_47N,47.327,-124.728,6/27/10,18:17,258.4,2,2.99,387,2,2.84,1020.1,14.2,108.25,13.517,31.277,259.2,388.1,256.1,383.5,-127.4,257,384.9,-127.9
WA_125W_47N,47.327,-124.728,6/27/10,21:17,257.9,2,3.23,388.3,2,2.9,1020.3,15,107.82,13.263,31.353,258.7,389.4,255.8,385,-129.2,256.7,386.4,-129.7
WA_125W_47N,47.327,-124.728,6/28/10,0:17,297.1,2,3.24,388.3,2,2.86,1019.6,16.4,108.05,12.768,31.308,298.1,389.4,294.6,384.8,-90.2,295.7,386.2,-90.5
WA_125W_47N,47.327,-124.728,6/28/10,3:17,299,2,3.03,386.6,2,2.77,1018.3,16,109.25,12.358,31.298,299.9,387.6,296.1,382.7,-86.6,297.2,384.2,-87
WA_125W_47N,47.327,-124.728,6/28/10,6:17,304.1,2,2.79,385.8,2,2.65,1017.9,14.4,109.7,12.269,31.334,304.9,386.8,301,381.8,-80.8,302.1,383.2,-81.1
WA_125W_47N,47.327,-124.728,6/28/10,9:17,318.9,2,2.71,387.1,2,2.57,1016.7,13.6,110.18,12.106,31.338,319.8,388.1,315.3,382.6,-67.3,316.5,384.1,-67.6
