expocode: 316420150622-2,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: WA_125W_47N,,,,,,,,,,,,,,,,,,,,,,,,,
"PI: Sutton, A.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
WA_125W_47N,47.349,-124.704,6/22/15,20:17,247.1,2,4.46,397,2,4.05,1021.1,20.8,106.82,12.067,32.235,248.2,398.6,245.8,394.7,-148.9,246.8,396.2,-149.5,-999,-999
WA_125W_47N,47.349,-124.704,6/22/15,20:47,246.8,2,3.94,394.8,2,3.39,1021.3,20.8,108.45,12.357,32.069,247.8,396.1,245.4,392.3,-146.9,246.3,393.7,-147.4,-999,-999
WA_125W_47N,47.349,-124.704,6/22/15,21:17,250.8,2,3.78,394.8,2,3.21,1021.3,20.8,109.6,12.441,32.1,251.7,396.1,249.3,392.2,-143,250.2,393.7,-143.5,-999,-999
WA_125W_47N,47.349,-124.704,6/22/15,21:47,256.3,2,3.73,395.5,2,3.1,1021.2,20.8,110.4,13.022,32.218,257.2,396.7,254.6,392.6,-138,255.5,394.1,-138.6,-999,-999
WA_125W_47N,47.349,-124.704,6/22/15,22:17,265.4,2,3.73,395.1,2,3.11,1021.1,21,110.62,13.397,32.112,266.3,396.3,263.5,392,-128.5,264.4,393.4,-129,-999,-999
WA_125W_47N,47.349,-124.704,6/22/15,22:47,276.9,2,3.77,395,2,3.11,1021.1,21.4,110.59,13.673,32.113,278,396.2,274.9,391.8,-116.9,275.9,393.3,-117.4,-999,-999
WA_125W_47N,47.349,-124.704,6/22/15,23:17,255.3,2,3.87,395.4,2,3.1,1020.8,21.7,110.97,13.789,32.113,256.3,396.6,253.4,392,-138.6,254.3,393.5,-139.2,-999,-999
WA_125W_47N,47.349,-124.704,6/22/15,23:47,259.4,2,3.74,396.2,2,3,1020.7,22,111.16,13.808,32.096,260.4,397.4,257.3,392.8,-135.5,258.3,394.3,-136,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,0:17,239,2,3.68,396.3,2,2.95,1020.7,22.2,111.72,13.779,32.001,239.9,397.4,237.1,392.8,-155.7,238,394.3,-156.3,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,3:17,222.7,2,4.46,394.7,2,3.88,1020.3,19.5,112.12,13.637,31.986,223.7,396.2,221,391.5,-170.5,221.8,393,-171.1,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,6:17,231.5,2,3.57,394.8,2,3.26,1021.5,16.6,112.23,13.317,32.111,232.3,396.1,229.9,392,-162.1,230.7,393.4,-162.7,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,9:17,239.7,2,3.42,394.6,2,3.18,1021.6,14.6,112.18,13.486,32.167,240.5,395.8,238,391.7,-153.7,238.9,393.1,-154.2,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,12:17,232.1,2,3.31,394.6,2,3.11,1021.5,13.8,112.15,13.384,32.135,232.9,395.8,230.5,391.7,-161.2,231.3,393.1,-161.8,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,15:17,230.7,2,3.67,395,2,3.58,1021.9,14,111.94,13.07,32.105,231.6,396.4,229.3,392.5,-163.2,230.2,394,-163.8,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,18:17,243.8,2,4.49,394,2,4.45,1021.9,16.7,111.92,13.298,32.211,244.9,395.8,242.4,391.9,-149.4,243.3,393.3,-150,-999,-999
WA_125W_47N,47.349,-124.704,6/23/15,21:17,247.2,2,3.64,395.4,2,3.12,1021.2,19.9,111.02,13.841,32.064,248.1,396.7,245.3,392.2,-147,246.2,393.7,-147.5,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,0:17,223.3,2,4.29,395.9,2,3.81,1020,20.6,111.31,14.878,32.014,224.2,397.4,221.2,392.1,-170.9,222,393.5,-171.5,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,3:17,189.2,2,4.11,395.9,2,3.8,1019.1,19,111.56,14.701,31.959,189.9,397.4,187.3,391.8,-204.5,187.9,393.2,-205.3,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,6:17,209.5,2,3.95,396,2,3.7,1019,16.8,111.89,13.992,32.023,210.3,397.4,207.5,392.1,-184.6,208.3,393.5,-185.2,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,9:17,200.2,2,3.88,395.5,2,3.69,1018.4,15.8,112.07,14.014,31.985,201,397,198.2,391.4,-193.2,198.9,392.8,-193.9,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,12:17,196.9,2,3.76,395.1,2,3.59,1018.1,15.4,112.34,14.486,31.972,197.7,396.6,194.7,390.7,-196,195.5,392.1,-196.7,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,15:17,196.5,2,3.95,396.3,2,3.79,1019.1,15.5,112.69,14.218,31.981,197.3,397.8,194.6,392.3,-197.7,195.3,393.8,-198.5,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,18:17,213.2,2,4.1,395,2,3.94,1020.1,15.9,112.61,14.19,31.936,214,396.5,211.3,391.6,-180.2,212.1,393,-180.9,-999,-999
WA_125W_47N,47.349,-124.704,6/24/15,21:17,229.8,2,4.46,393.8,2,4.25,1020.4,19,112.5,14.584,32.132,230.8,395.5,227.9,390.5,-162.6,228.7,391.9,-163.2,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,0:17,234.8,2,5.5,396.2,2,4.7,1019,21.9,113.24,13.813,32.282,236.1,398,233,392.7,-159.8,233.8,394.2,-160.4,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,3:17,232.8,2,4.93,397.1,2,4.43,1018.4,21.9,112.82,16.411,32.042,234,398.9,230.1,392.3,-162.2,230.9,393.7,-162.8,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,6:17,241.6,2,4.13,401.4,2,3.87,1019.4,18.8,112.67,15.276,32.049,242.6,402.9,239.1,397.2,-158,240,398.6,-158.6,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,9:17,270.3,2,4.03,403.8,2,3.82,1019.4,16.7,112.14,15.38,32.095,271.3,405.3,267.4,399.5,-132.1,268.4,400.9,-132.5,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,12:17,209.9,2,3.96,399.1,2,3.77,1019.9,16.1,112.24,15.046,31.968,210.8,400.6,207.9,395.2,-187.3,208.6,396.6,-188,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,15:17,249.5,2,4.34,399.9,2,4.21,1021.1,16.3,111.94,14.855,32.138,250.5,401.6,247.5,396.7,-149.2,248.4,398.1,-149.7,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,18:17,238.4,2,4.95,396.1,2,4.79,1021.9,18.1,111.54,15.171,31.954,239.6,398,236.8,393.4,-156.6,237.6,394.8,-157.1,-999,-999
WA_125W_47N,47.349,-124.704,6/25/15,21:17,225.2,2,4.51,396.6,2,4.24,1021.8,20.1,111.39,15.789,31.967,226.2,398.3,223.4,393.3,-170,224.2,394.8,-170.6,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,0:17,214.7,2,4.7,397.8,2,4.42,1020.7,20.6,111.46,15.97,31.96,215.7,399.6,212.7,394.1,-181.4,213.5,395.5,-182,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,3:17,198.4,2,4.22,398.3,2,4.07,1020.2,18.4,111.77,15.585,31.921,199.2,400,196.5,394.4,-197.9,197.2,395.9,-198.7,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,6:17,204.8,2,3.97,398,2,3.86,1020.2,17.1,112.17,14.905,31.933,205.6,399.5,202.9,394.3,-191.3,203.7,395.7,-192,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,9:17,199.4,2,3.88,397.8,2,3.81,1020.3,16.3,112.57,14.466,31.919,200.2,399.3,197.7,394.2,-196.6,198.4,395.7,-197.3,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,12:17,196.8,2,3.77,397.1,2,3.74,1020.4,15.8,112.85,14.353,31.909,197.5,398.6,195.1,393.6,-198.6,195.8,395.1,-199.3,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,15:17,192.5,2,3.85,396.7,2,3.81,1020.6,15.6,112.83,14.14,31.912,193.3,398.2,190.9,393.4,-202.5,191.6,394.9,-203.2,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,18:17,218.1,2,3.76,397.3,2,3.72,1020.7,15.3,110.55,13.447,32.015,219,398.7,216.5,394.3,-177.7,217.3,395.7,-178.4,-999,-999
WA_125W_47N,47.349,-124.704,6/26/15,21:17,240.4,2,3.68,397.9,2,3.63,1019.6,14.9,108.28,13.281,32.064,241.3,399.4,238.4,394.5,-156.1,239.3,395.9,-156.7,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,0:17,241.5,2,3.61,399.6,2,3.57,1017.5,15,108.02,12.88,32.113,242.4,401,239,395.5,-156.5,239.9,397,-157,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,3:17,284.1,2,3.51,399.2,2,3.48,1016.1,14.6,106.86,12.336,32.117,285.1,400.6,280.9,394.7,-113.8,281.9,396.2,-114.3,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,6:17,298.2,2,3.28,396,2,3.28,1016.6,13.9,106.27,11.751,32.282,299.2,397.3,295.1,391.8,-96.8,296.2,393.3,-97.1,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,9:17,287,2,3.16,395.9,2,3.17,1016.3,13.4,106.45,11.593,32.393,287.9,397.1,283.9,391.6,-107.6,285,393,-108.1,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,12:17,327.9,2,3.18,395.8,2,3.2,1015.5,13.2,105.45,11.361,32.308,328.9,397.1,324.1,391.3,-67.2,325.4,392.8,-67.4,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,15:17,284.1,2,3.35,395.3,2,3.36,1016,13.2,105.8,11.665,32.209,285,396.6,281,390.9,-110,282,392.4,-110.4,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,18:17,260,2,3.72,396.9,2,3.73,1015.8,14.5,107.18,12.736,32.111,261,398.4,256.9,392.2,-135.3,257.9,393.7,-135.8,-999,-999
WA_125W_47N,47.349,-124.704,6/27/15,21:17,271.1,2,3.71,403.1,2,3.7,1014.6,15.9,107.93,12.993,32.15,272.1,404.6,267.6,397.8,-130.3,268.6,399.3,-130.8,-999,-999
WA_125W_47N,47.349,-124.704,6/28/15,0:17,235.7,2,3.79,404.2,2,3.77,1013.1,15.9,109.37,12.808,32.074,236.6,405.7,232.3,398.3,-166,233.2,399.8,-166.6,-999,-999
WA_125W_47N,47.349,-124.704,6/28/15,3:17,252.8,2,3.64,398.6,2,3.6,1012.4,15,109.09,12.575,32.114,253.8,400,249,392.6,-143.5,250,394,-144.1,-999,-999
WA_125W_47N,47.349,-124.704,6/28/15,6:17,277,2,3.43,395.9,2,3.42,1013.3,14.3,108.6,11.907,32.214,278,397.2,273.2,390.4,-117.2,274.2,391.9,-117.6,-999,-999
WA_125W_47N,47.349,-124.704,6/28/15,9:17,337.2,2,3.19,395.9,2,3.21,1013.2,13.7,107.32,11.078,32.369,338.3,397.2,332.7,390.6,-57.9,333.9,392.1,-58.2,-999,-999
WA_125W_47N,47.349,-124.704,6/28/15,12:17,321.9,2,2.94,396.1,2,2.92,1013.5,13,106.43,11.149,32.402,322.9,397.3,317.6,390.8,-73.2,318.8,392.3,-73.5,-999,-999
WA_125W_47N,47.349,-124.704,6/28/15,15:17,293,2,2.99,397.5,2,2.96,1014.3,12.8,106.49,11.435,32.343,293.9,398.7,289.2,392.4,-103.2,290.3,393.9,-103.6,-999,-999
WA_125W_47N,47.349,-124.704,6/28/15,18:17,282.9,2,3,398.3,2,2.97,1016.3,13,106.84,11.534,32.332,283.7,399.5,279.8,394,-114.2,280.9,395.5,-114.6,-999,-999
