Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WA_125W_47N,47.327,-124.728,5/19/07,9:16,216.2,2,3.29,388,2,3.36,1014.5,12.2,115.72,10.706,31.145,216.9,389.3,213.7,383.4,-169.8,214.5,384.9,-170.4
WA_125W_47N,47.327,-124.728,5/19/07,12:16,212,2,3.05,389.1,2,3.13,1016.4,11.7,114.73,10.943,31.233,212.6,390.3,209.8,385.1,-175.3,210.6,386.5,-176
WA_125W_47N,47.327,-124.728,5/19/07,15:16,221.8,2,3.12,389.4,2,3.06,1018.4,11.3,114.2,10.695,31.217,222.5,390.6,220,386.2,-166.2,220.9,387.7,-166.9
WA_125W_47N,47.327,-124.728,5/19/07,18:16,217.9,2,3.29,389.7,2,3.22,1019,12.3,113.58,10.858,31.246,218.6,391,216.3,386.8,-170.5,217.1,388.2,-171.1
WA_125W_47N,47.327,-124.728,5/19/07,21:16,213.3,2,3.28,389.8,2,3.35,1019.6,13,112.99,10.916,31.239,214,391.1,211.8,387.1,-175.3,212.6,388.6,-176
WA_125W_47N,47.327,-124.728,5/20/07,0:16,207.6,2,3.27,388.8,2,3.35,1019.2,12.9,113.39,10.874,31.219,208.3,390.1,206.1,386,-179.8,206.9,387.4,-180.5
WA_125W_47N,47.327,-124.728,5/20/07,3:16,205,2,3.18,388.4,2,3.25,1018.6,12.4,113.68,10.937,31.241,205.7,389.7,203.4,385.3,-181.9,204.1,386.8,-182.6
WA_125W_47N,47.327,-124.728,5/20/07,6:16,209.8,2,3.24,388.8,2,3.32,1017.7,12,113.62,10.967,31.25,210.4,390.1,207.9,385.4,-177.5,208.7,386.9,-178.2
WA_125W_47N,47.327,-124.728,5/20/07,9:16,217.7,2,3.24,388.8,2,3.32,1016,11.9,112.18,11.467,30.863,218.4,390,215.4,384.5,-169.2,216.2,386,-169.8
WA_125W_47N,47.327,-124.728,5/20/07,12:16,225.8,2,3.23,389.6,2,3.3,1014.4,11.9,110.85,11.385,30.973,226.5,390.9,223,384.8,-161.8,223.8,386.2,-162.4
WA_125W_47N,47.327,-124.728,5/20/07,15:16,211.4,2,3.22,388.8,2,3.3,1013.8,11.8,110.21,11.257,31.057,212.1,390.1,208.7,383.8,-175.1,209.5,385.2,-175.8
WA_125W_47N,47.327,-124.728,5/20/07,18:16,213.1,2,3.26,389.4,2,3.34,1013,12,109.71,11.333,31.001,213.8,390.7,210.2,384,-173.9,211,385.5,-174.5
WA_125W_47N,47.327,-124.728,5/20/07,21:16,223.6,2,3.06,388.6,2,3.14,1012.6,11.7,108.67,11.428,30.909,224.3,389.8,220.4,383,-162.6,221.2,384.5,-163.3
WA_125W_47N,47.327,-124.728,5/21/07,0:16,201.1,2,3.4,390.3,2,3.34,1012.5,12,108.76,11.318,31.001,201.7,391.6,198.2,384.7,-186.5,199,386.2,-187.2
WA_125W_47N,47.327,-124.728,5/21/07,3:16,199,2,2.98,388.4,2,3.05,1014.2,12,109.2,10.969,30.906,199.6,389.6,196.5,383.6,-187.1,197.3,385,-187.8
WA_125W_47N,47.327,-124.728,5/21/07,6:16,234.3,2,3.1,388.8,2,3.04,1015.7,11.2,104.24,11.032,30.832,235,390,231.7,384.5,-152.8,232.6,386,-153.3
WA_125W_47N,47.327,-124.728,5/21/07,9:16,226.7,2,3.24,387.7,2,3.19,1016.7,11.3,102.8,10.972,30.84,227.4,388.9,224.4,383.8,-159.4,225.3,385.3,-160
WA_125W_47N,47.327,-124.728,5/21/07,12:16,228.2,2,3.14,387.8,2,3.22,1017.4,11.4,102.14,11.022,30.795,228.9,389,226,384.2,-158.1,226.9,385.7,-158.8
WA_125W_47N,47.327,-124.728,5/21/07,15:16,223.9,2,3.29,387.7,2,3.24,1019.2,11.6,102.97,11.103,30.7,224.7,389,222.2,384.8,-162.6,223.1,386.3,-163.2
WA_125W_47N,47.327,-124.728,5/21/07,18:16,228.2,2,3.38,387.4,2,3.17,1021,12,103.61,11.032,30.762,229,388.6,226.9,385.1,-158.2,227.8,386.6,-158.8
WA_125W_47N,47.327,-124.728,5/21/07,21:16,217.5,2,3.45,387.7,2,3.39,1021.8,12.4,104.54,11.221,30.788,218.2,389,216.4,385.8,-169.4,217.2,387.3,-170
WA_125W_47N,47.327,-124.728,5/22/07,0:16,212.8,2,3.53,387,2,3.31,1022.3,12.8,104.71,11.309,30.797,213.5,388.3,211.9,385.2,-173.4,212.7,386.7,-174
WA_125W_47N,47.327,-124.728,5/22/07,3:16,203.2,2,3.31,386.9,2,3.24,1022.7,12.4,105.72,11.426,30.701,203.8,388.1,202.3,385.2,-182.9,203.1,386.7,-183.6
WA_125W_47N,47.327,-124.728,5/22/07,6:16,205.2,2,3.19,386.7,2,3.12,1023.5,11.8,106.27,11.416,30.664,205.8,387.9,204.5,385.3,-180.8,205.2,386.8,-181.5
WA_125W_47N,47.327,-124.728,5/22/07,9:16,210.7,2,3.27,386.9,2,3.21,1023.5,11.5,106.51,11.177,30.755,211.4,388.1,210,385.6,-175.6,210.8,387,-176.2
WA_125W_47N,47.327,-124.728,5/22/07,12:16,206.4,2,3.26,387.4,2,3.2,1023.6,11.5,107.07,11.159,30.789,207.1,388.7,205.7,386.1,-180.4,206.5,387.6,-181.1
WA_125W_47N,47.327,-124.728,5/22/07,15:16,206.6,2,3.27,393.6,2,3.21,1025.1,11.6,107.25,11.188,30.766,207.3,394.9,206.2,392.9,-186.7,207,394.4,-187.4
WA_125W_47N,47.327,-124.728,5/22/07,18:16,196.2,2,3.53,393.6,2,3.47,1026,12.2,107.81,11.339,30.748,196.9,394.9,196,393.3,-197.2,196.8,394.8,-198
