expocode: 316420130919
vessel name: WA
"PIs: Sutton, A."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WA_125W_47N,47.35,-124.708,9/19/2013,9:17,298,2,3.42,395.3,2,3.38,1021.7,17.3,103.39,16.28,31.949,299,396.7,295.1,391.4,-96.4,296.1,392.9,-96.7
WA_125W_47N,47.35,-124.708,9/19/2013,12:17,303.3,2,3.35,400.6,2,3.3,1020.2,16.9,103.33,16.176,31.95,304.3,402,299.9,396.1,-96.2,301,397.5,-96.6
WA_125W_47N,47.35,-124.708,9/19/2013,15:17,301.6,2,3.36,403.5,2,3.3,1019.3,16.4,103.28,16.053,31.928,302.6,404.9,298,398.7,-100.7,299.1,400.1,-101.1
WA_125W_47N,47.35,-124.708,9/19/2013,18:17,303.4,2,3.55,398.9,2,3.38,1018,16.6,102.99,16.256,31.917,304.5,400.2,299.4,393.5,-94.1,300.5,394.9,-94.5
WA_125W_47N,47.35,-124.708,9/19/2013,21:17,316.5,2,3.78,401.9,2,3.59,1016.8,17.7,103.01,16.501,31.928,317.7,403.3,311.9,396,-84.1,313,397.4,-84.4
WA_125W_47N,47.35,-124.708,9/20/2013,0:17,343,2,3.85,400,2,3.73,1015.3,18.4,102.93,17.148,31.915,344.3,401.5,337.3,393.3,-56,338.5,394.7,-56.2
WA_125W_47N,47.35,-124.708,9/20/2013,3:17,325.2,2,3.72,393.4,2,3.76,1014.7,18.1,102.9,16.792,31.912,326.4,394.9,319.7,386.8,-67.1,320.8,388.1,-67.3
WA_125W_47N,47.35,-124.708,9/20/2013,6:17,323.5,2,3.71,393,2,3.78,1014,17.7,102.78,16.619,31.915,324.7,394.5,317.9,386.1,-68.2,319,387.5,-68.5
WA_125W_47N,47.35,-124.708,9/20/2013,9:17,326.6,2,3.68,393.5,2,3.71,1012.8,17.5,102.55,16.622,31.915,327.8,395,320.5,386.2,-65.7,321.6,387.6,-66
WA_125W_47N,47.35,-124.708,9/20/2013,12:17,330.4,2,3.61,398.9,2,3.56,1010.5,17.1,102.34,16.524,31.916,331.6,400.4,323.5,390.6,-67.1,324.7,392,-67.3
WA_125W_47N,47.35,-124.708,9/20/2013,15:17,326.4,2,3.61,393.6,2,3.68,1010.6,16.9,102.06,16.215,31.866,327.5,395,319.7,385.6,-65.9,320.8,386.9,-66.1
WA_125W_47N,47.35,-124.708,9/20/2013,18:17,313.3,2,3.55,404,2,3.62,1009.8,16.8,102.02,16.161,31.809,314.4,405.5,306.7,395.5,-88.8,307.8,396.9,-89.1
WA_125W_47N,47.35,-124.708,9/20/2013,21:17,313,2,3.65,392.1,2,3.76,1008.9,16.8,102.1,16.268,31.801,314.2,393.5,306.1,383.5,-77.3,307.2,384.8,-77.6
WA_125W_47N,47.35,-124.708,9/21/2013,0:17,316.8,2,3.61,393.1,2,3.73,1009.4,16.9,102.03,16.38,31.783,318,394.5,309.9,384.5,-74.6,311,385.9,-74.9
WA_125W_47N,47.35,-124.708,9/21/2013,3:17,314.6,2,3.59,391.7,2,3.72,1009.8,16.9,101.96,16.286,31.741,315.8,393.2,307.9,383.4,-75.5,309,384.8,-75.8
WA_125W_47N,47.35,-124.708,9/21/2013,6:17,313.7,2,3.56,389.6,2,3.72,1010.5,16.6,101.86,16.158,31.754,314.9,391,307.3,381.6,-74.3,308.4,383,-74.6
WA_125W_47N,47.35,-124.708,9/21/2013,9:17,313.8,2,3.58,395.4,2,3.75,1010.8,16.5,101.78,16.099,31.759,314.9,396.9,307.4,387.5,-80.1,308.5,388.9,-80.4
WA_125W_47N,47.35,-124.708,9/21/2013,12:17,314.2,2,3.41,392.2,2,3.54,1011.1,16.7,101.44,16.113,31.778,315.3,393.6,307.9,384.4,-76.5,309,385.8,-76.8
WA_125W_47N,47.35,-124.708,9/21/2013,15:17,313.3,2,3.48,399.4,2,3.61,1011.8,16.2,101.33,16.083,31.764,314.4,400.9,307.3,391.8,-84.5,308.4,393.2,-84.8
WA_125W_47N,47.35,-124.708,9/21/2013,18:17,319.6,2,3.86,396.8,2,3.95,1012.4,16.5,101.2,16.075,31.748,320.8,398.4,313.7,389.6,-75.8,314.9,391,-76.1
WA_125W_47N,47.35,-124.708,9/21/2013,21:17,325.6,2,3.99,405.1,2,4.02,1012.7,18.2,101.27,16.273,31.753,326.9,406.7,319.7,397.8,-78.1,320.8,399.2,-78.4
WA_125W_47N,47.35,-124.708,9/22/2013,0:17,324.5,2,3.92,394.9,2,3.98,1012.9,18.8,101.14,16.308,31.766,325.8,396.5,318.7,387.8,-69.1,319.8,389.2,-69.4
WA_125W_47N,47.35,-124.708,9/22/2013,3:17,319.9,2,3.7,388,2,3.79,1012.6,18.1,100.99,16.265,31.77,321.1,389.5,314,380.9,-66.9,315.1,382.2,-67.1
WA_125W_47N,47.35,-124.708,9/22/2013,6:17,318,2,3.65,386.5,2,3.72,1012.1,17.2,100.88,16.177,31.733,319.2,387.9,312,379.2,-67.2,313.1,380.5,-67.4
WA_125W_47N,47.35,-124.708,9/22/2013,9:17,316.7,2,3.65,389,2,3.7,1010.7,16.8,100.77,16.137,31.739,317.9,390.4,310.3,381.1,-70.8,311.4,382.5,-71.1
WA_125W_47N,47.35,-124.708,9/22/2013,12:17,323.3,2,3.35,389.3,2,3.42,1009.6,16.5,100.59,15.94,31.772,324.4,390.7,316.4,381,-64.6,317.5,382.4,-64.9
WA_125W_47N,47.35,-124.708,9/22/2013,15:17,354.7,2,3.55,390.2,2,3.58,1006.6,16.3,100.16,15.664,31.784,355.9,391.6,346.2,380.9,-34.7,347.4,382.3,-34.8
WA_125W_47N,47.35,-124.708,9/22/2013,18:17,349.1,2,3.51,391.9,2,3.57,1005.9,16.2,99.86,15.312,31.819,350.4,393.3,340.7,382.5,-41.8,341.9,383.8,-41.9
WA_125W_47N,47.35,-124.708,9/22/2013,21:17,352.8,2,3.87,395.8,2,3.81,1007.2,16.9,99.82,15.393,31.839,354.1,397.3,344.8,386.8,-42,346,388.2,-42.2
WA_125W_47N,47.35,-124.708,9/23/2013,0:17,337.6,2,3.82,393.1,2,3.72,1009.4,17,99.93,15.596,31.834,338.9,394.6,330.7,384.9,-54.3,331.8,386.3,-54.5
WA_125W_47N,47.35,-124.708,9/23/2013,3:17,338.1,2,3.52,390.2,2,3.52,1011.5,16.6,99.88,15.501,31.821,339.3,391.6,331.7,382.9,-51.2,332.9,384.2,-51.4
WA_125W_47N,47.35,-124.708,9/23/2013,6:17,334,2,3.5,389,2,3.52,1013.2,16,99.78,15.502,31.816,335.2,390.4,328.3,382.4,-54.1,329.5,383.7,-54.3
WA_125W_47N,47.35,-124.708,9/23/2013,9:17,343.6,2,3.44,390.9,2,3.43,1014.2,15.8,99.49,15.364,31.823,344.8,392.3,338,384.6,-46.6,339.2,386,-46.8
WA_125W_47N,47.35,-124.708,9/23/2013,12:17,344.5,2,3.21,393.1,2,3.11,1015,15.7,99.47,15.376,31.81,345.6,394.4,339.2,387,-47.8,340.4,388.4,-48
WA_125W_47N,47.35,-124.708,9/23/2013,15:17,342.1,2,3.17,392.4,2,3.26,1016.8,15.4,99.45,15.306,31.807,343.2,393.6,337.4,387,-49.6,338.6,388.4,-49.8
WA_125W_47N,47.35,-124.708,9/23/2013,18:17,339.7,2,3.52,390.5,2,3.42,1018.7,15.3,99.22,15.394,31.813,340.9,391.8,335.7,385.9,-50.1,337,387.3,-50.3
WA_125W_47N,47.35,-124.708,9/23/2013,21:17,332.9,2,3.64,393.6,2,3.3,1019.9,15.9,99.44,15.851,31.833,334.1,394.9,329.2,389.2,-59.9,330.4,390.6,-60.1
WA_125W_47N,47.35,-124.708,9/24/2013,0:17,335.7,2,3.57,396.7,2,3.19,1020.5,17.2,99.61,15.947,31.821,336.9,398,332.2,392.5,-60.3,333.4,393.9,-60.5
WA_125W_47N,47.35,-124.708,9/24/2013,3:17,329.8,2,3.44,386.9,2,3.2,1020.9,16.3,99.73,15.766,31.822,331,388.2,326.6,383,-56.4,327.7,384.4,-56.6
WA_125W_47N,47.35,-124.708,9/24/2013,6:17,330.8,2,3.37,387.2,2,3.15,1021.1,15.4,99.55,15.621,31.822,331.9,388.4,327.6,383.3,-55.8,328.8,384.7,-56
WA_125W_47N,47.35,-124.708,9/24/2013,9:17,327.7,2,2.99,391.7,2,2.92,1020.3,15.3,99.77,15.846,31.822,328.7,392.8,324.1,387.3,-63.3,325.2,388.7,-63.5
WA_125W_47N,47.35,-124.708,9/24/2013,12:17,326.7,2,3.2,397.4,2,3.1,1019,15,99.81,15.557,31.534,327.7,398.6,322.8,392.6,-69.8,324,394.1,-70.1
WA_125W_47N,47.35,-124.708,9/24/2013,15:17,324.9,2,3.26,390.8,2,3.09,1018.9,14.8,100.09,15.629,31.529,325.9,392,321,386.1,-65.1,322.1,387.5,-65.3
WA_125W_47N,47.35,-124.708,9/24/2013,18:17,341,2,3.06,395.4,2,2.87,1018.9,15.6,99.88,15.618,31.808,342,396.6,336.8,390.6,-53.7,338,392,-53.9
WA_125W_47N,47.35,-124.708,9/24/2013,21:17,336.9,2,3.51,392.1,2,3.2,1018.1,15.8,99.79,15.639,31.831,338.1,393.3,332.7,387,-54.4,333.9,388.4,-54.6
WA_125W_47N,47.35,-124.708,9/25/2013,0:17,318.8,2,3.37,392.8,2,3.11,1017.8,16,100.3,15.632,31.662,319.9,394,314.7,387.6,-72.9,315.8,389,-73.2
WA_125W_47N,47.35,-124.708,9/25/2013,3:17,274,2,3.32,388.7,2,2.97,1017.9,15.4,101.47,15.705,31.359,274.9,389.9,270.4,383.5,-113.1,271.4,384.9,-113.5
WA_125W_47N,47.35,-124.708,9/25/2013,6:17,291,2,3.15,388.9,2,2.88,1018.2,14.9,102.01,15.512,31.482,291.9,390.1,287.3,383.9,-96.6,288.4,385.3,-96.9
WA_125W_47N,47.35,-124.708,9/25/2013,9:17,328,2,3.08,392.5,2,2.89,1018.1,15.1,101.61,15.706,31.826,329,393.7,323.7,387.3,-63.6,324.9,388.7,-63.8
WA_125W_47N,47.35,-124.708,9/25/2013,12:17,289.8,2,3.15,391,2,2.89,1018.3,14.9,101.86,15.442,31.44,290.7,392.2,286.1,386,-99.9,287.2,387.4,-100.3
WA_125W_47N,47.35,-124.708,9/25/2013,15:17,304.7,2,3.19,402.5,2,3.02,1019.8,14.6,101.62,15.486,31.637,305.7,403.7,301.4,398,-96.6,302.4,399.4,-97
WA_125W_47N,47.35,-124.708,9/25/2013,18:17,287.8,2,3.01,405.8,2,2.9,1021.4,14.8,101.95,15.407,31.507,288.7,406.9,285.1,401.9,-116.8,286.1,403.3,-117.2
WA_125W_47N,47.35,-124.708,9/25/2013,21:17,287.1,2,3.23,399.1,2,2.96,1022.3,15.1,102.61,15.761,31.587,288,400.3,284.6,395.5,-110.9,285.6,396.9,-111.3
