expocode: 316420170930
vessel name: WA_125W_47N
PIs: Sutton A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WA_125W_47N,47.355,-124.747,9/30/2017,0:17,307.1,2,4.45,391.1,2,4.19,1016.2,16.5,104.88,14.289,31.991,308.5,392.7,303.4,386.3,-82.8,304.5,387.7,-83.1
WA_125W_47N,47.355,-124.747,9/30/2017,3:17,256.9,2,4.06,391.4,2,3.9,1016.7,16.2,105.6,14.183,32.15,257.9,392.9,253.8,386.7,-132.8,254.8,388.1,-133.3
WA_125W_47N,47.355,-124.747,9/30/2017,6:17,244.2,2,3.92,391.7,2,3.76,1017.1,15.4,106.12,14.193,32.192,245.2,393.2,241.4,387.1,-145.7,242.3,388.5,-146.3
WA_125W_47N,47.355,-124.747,9/30/2017,9:17,267.4,2,3.94,391.8,2,3.77,1017.2,14.9,106.37,14.054,32.129,268.5,393.2,264.4,387.2,-122.9,265.3,388.7,-123.3
WA_125W_47N,47.355,-124.747,9/30/2017,12:17,317.4,2,3.93,392.5,2,3.76,1017.6,14.8,105.54,14.505,31.862,318.6,394,313.8,388,-74.2,314.9,389.4,-74.5
WA_125W_47N,47.355,-124.747,9/30/2017,15:17,322.5,2,4.02,392.4,2,3.83,1018.1,14.8,104.81,14.493,31.86,323.8,394,319,388.1,-69.1,320.2,389.5,-69.4
WA_125W_47N,47.355,-124.747,9/30/2017,18:17,280.9,2,4.13,392,2,3.91,1018.7,15.5,104.9,14.116,32.096,282,393.5,278.1,388,-109.9,279.1,389.5,-110.3
WA_125W_47N,47.355,-124.747,9/30/2017,21:17,285.7,2,4.45,391.5,2,4.17,1017.6,16.6,105.01,14.215,32.121,287,393.1,282.7,387.2,-104.5,283.7,388.6,-104.9
WA_125W_47N,47.355,-124.747,10/1/2017,0:17,314.8,2,4.19,391.5,2,3.97,1017.9,16,104.6,14.322,32.028,316.1,393,311.4,387.2,-75.8,312.5,388.6,-76.1
WA_125W_47N,47.355,-124.747,10/1/2017,3:17,320.4,2,3.97,391.9,2,3.77,1017.9,15.3,104.18,14.124,32.045,321.7,393.4,316.9,387.7,-70.7,318.1,389.1,-71
WA_125W_47N,47.355,-124.747,10/1/2017,6:17,332.2,2,3.72,392.7,2,3.55,1018.5,14.7,103.38,13.72,32.185,333.4,394.1,328.9,388.7,-59.9,330.1,390.2,-60.1
WA_125W_47N,47.355,-124.747,10/1/2017,9:17,284.7,2,3.79,392.1,2,3.61,1019.2,14.4,103.6,13.946,32.172,285.8,393.5,282,388.4,-106.4,283,389.8,-106.8
WA_125W_47N,47.355,-124.747,10/1/2017,12:17,282,2,3.68,392.5,2,3.52,1019.3,14.4,103.76,13.896,32.186,283.1,393.9,279.4,388.8,-109.4,280.4,390.2,-109.8
WA_125W_47N,47.355,-124.747,10/1/2017,15:17,317,2,3.68,394,2,3.48,1019.9,14.3,103.12,13.743,32.17,318.1,395.3,314.2,390.5,-76.3,315.4,391.9,-76.5
WA_125W_47N,47.355,-124.747,10/1/2017,18:17,328.1,2,3.66,395.7,2,3.43,1020.2,14.3,102.35,13.662,32.247,329.3,397,325.4,392.3,-66.9,326.6,393.7,-67.1
WA_125W_47N,47.355,-124.747,10/1/2017,21:17,311,2,3.81,395.3,2,3.65,1020.2,14.4,102.21,13.778,32.26,312.2,396.8,308.4,392,-83.6,309.5,393.4,-83.9
WA_125W_47N,47.355,-124.747,10/2/2017,0:17,292.2,2,3.83,394.8,2,3.56,1019.8,14.8,102.44,13.838,32.272,293.3,396.3,289.7,391.3,-101.7,290.7,392.8,-102
WA_125W_47N,47.355,-124.747,10/2/2017,3:17,294,2,3.59,394.9,2,3.38,1020.2,14.4,102.48,13.771,32.286,295,396.2,291.5,391.4,-100,292.5,392.9,-100.3
WA_125W_47N,47.355,-124.747,10/2/2017,6:17,291.9,2,3.65,395.8,2,3.43,1019.7,14.2,102.53,13.779,32.29,293,397.2,289.3,392.2,-102.9,290.4,393.7,-103.3
WA_125W_47N,47.355,-124.747,10/2/2017,9:17,296.7,2,3.54,398.3,2,3.33,1019.9,14,102.38,13.743,32.259,297.7,399.6,294.1,394.7,-100.6,295.2,396.2,-101
WA_125W_47N,47.355,-124.747,10/2/2017,12:17,302,2,3.45,400.2,2,3.25,1019.6,13.6,102.22,13.733,32.251,303,401.6,299.2,396.5,-97.3,300.3,397.9,-97.6
WA_125W_47N,47.355,-124.747,10/2/2017,15:17,288.5,2,3.43,410.6,2,3.23,1019.4,13.4,102.25,13.653,32.257,289.5,411.9,285.9,406.7,-120.8,286.9,408.2,-121.3
WA_125W_47N,47.355,-124.747,10/2/2017,18:17,285.8,2,3.84,402.2,2,3.55,1019.8,14.3,102.42,13.758,32.25,286.9,403.7,283.3,398.7,-115.3,284.4,400.1,-115.8
WA_125W_47N,47.355,-124.747,10/2/2017,21:17,295.1,2,4.23,400.8,2,3.89,1020.4,17.3,102.4,14.334,32.215,296.4,402.3,292.7,397.4,-104.7,293.8,398.8,-105
WA_125W_47N,47.355,-124.747,10/3/2017,0:17,290.9,2,4.78,399,2,4.37,1021,19.3,102.45,14.667,31.964,292.3,400.8,288.7,395.9,-107.2,289.8,397.4,-107.6
WA_125W_47N,47.355,-124.747,10/3/2017,3:17,284.1,2,4.69,395,2,4.32,1021.7,17.5,102.45,14.53,31.942,285.4,396.7,282.2,392.2,-110,283.2,393.6,-110.4
WA_125W_47N,47.355,-124.747,10/3/2017,6:17,282.5,2,4.27,401.1,2,4,1022.9,15.7,102.46,14.412,32.008,283.8,402.7,280.9,398.6,-117.7,281.9,400.1,-118.2
WA_125W_47N,47.355,-124.747,10/3/2017,9:17,282.9,2,3.87,407.4,2,3.61,1023.5,14.7,102.45,14.285,32.047,284,408.9,281.4,405.1,-123.7,282.4,406.6,-124.2
WA_125W_47N,47.355,-124.747,10/3/2017,12:17,281.9,2,3.68,408.8,2,3.46,1024,14.1,102.44,14.272,32.009,283,410.2,280.5,406.6,-126.1,281.5,408.1,-126.5
WA_125W_47N,47.355,-124.747,10/3/2017,15:17,290.2,2,3.79,405.7,2,3.52,1024.4,14,102.27,14.171,31.88,291.3,407.1,288.9,403.7,-114.8,290,405.2,-115.2
WA_125W_47N,47.355,-124.747,10/3/2017,18:17,290,2,3.98,409.8,2,3.67,1024.7,15.5,102.13,14.31,31.831,291.2,411.3,288.8,408,-119.1,289.9,409.5,-119.6
WA_125W_47N,47.355,-124.747,10/3/2017,21:17,291.5,2,4.4,402.1,2,4,1023.6,17.5,102.15,14.633,31.808,292.8,403.7,290,399.8,-109.8,291.1,401.3,-110.2
WA_125W_47N,47.355,-124.747,10/4/2017,0:17,284.1,2,4.71,399.6,2,4.28,1022.4,18,102.36,14.636,31.77,285.4,401.3,282.3,397,-114.7,283.4,398.5,-115.1
WA_125W_47N,47.355,-124.747,10/4/2017,3:17,282.6,2,4.27,394.7,2,3.97,1021.2,16.1,102.61,14.348,31.85,283.8,396.3,280.5,391.7,-111.2,281.5,393.1,-111.6
WA_125W_47N,47.355,-124.747,10/4/2017,6:17,272.4,2,4.06,397.4,2,3.8,1020.8,15.1,102.86,14.364,31.743,273.5,398.9,270.2,394.1,-123.9,271.2,395.6,-124.4
WA_125W_47N,47.355,-124.747,10/4/2017,9:17,271.3,2,3.8,404.6,2,3.59,1020.9,14.8,103,14.318,31.711,272.4,406,269.1,401.2,-132.1,270.1,402.7,-132.6
WA_125W_47N,47.355,-124.747,10/4/2017,12:17,283,2,3.77,405.3,2,3.53,1020.4,14.3,102.95,14.067,31.803,284,406.8,280.6,401.8,-121.3,281.6,403.3,-121.7
WA_125W_47N,47.355,-124.747,10/4/2017,15:17,273.1,2,3.81,406.2,2,3.53,1020.4,14.2,102.82,14.285,31.519,274.2,407.6,270.8,402.6,-131.8,271.8,404,-132.3
WA_125W_47N,47.355,-124.747,10/4/2017,18:17,282.3,2,4.16,415.5,2,3.77,1020.5,15.8,102.86,14.455,31.555,283.4,417.1,279.9,411.9,-132,280.9,413.4,-132.5
WA_125W_47N,47.355,-124.747,10/4/2017,21:17,280.8,2,4.91,405.4,2,4.37,1020.4,18.6,103.01,14.679,31.584,282.2,407.2,278.6,402,-123.4,279.7,403.5,-123.8
WA_125W_47N,47.355,-124.747,10/5/2017,0:17,278.2,2,5.23,402.1,2,4.65,1020,20.4,103.07,14.845,31.543,279.7,404,276,398.7,-122.7,277,400.1,-123.1
WA_125W_47N,47.355,-124.747,10/5/2017,3:17,263.9,2,4.71,402.6,2,4.32,1019.8,18.2,103.25,14.64,31.521,265.2,404.3,261.6,399,-137.3,262.6,400.4,-137.8
WA_125W_47N,47.355,-124.747,10/5/2017,6:17,258,2,4.37,402.8,2,4.05,1020,16,103.73,14.389,31.462,259.1,404.5,255.8,399.3,-143.5,256.7,400.7,-144
