expocode: 316420130711
vessel name: WHOTS_158W_23N
PIs:  Sutton, A.; Weller, B.; Pluddemann, A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,06:47,391.5,2,6.00,388.3,2,5.78,1021.3,25.8,99.56,25.894,35.218,393.9,390.5,383.0,379.8,3.2,384.3,381.0,3.3,-999,5,-999,5,0.220,2,204.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,07:17,394.3,2,4.75,392.7,2,4.35,1021.8,26.3,99.70,25.900,35.219,396.2,394.4,385.5,383.7,1.7,386.7,385.0,1.7,-999,5,-999,5,0.219,2,205.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,07:47,394.2,2,4.51,393.0,2,4.23,1021.5,26.6,99.80,25.876,35.220,396.0,394.7,385.2,383.9,1.3,386.4,385.1,1.3,-999,5,-999,5,0.224,2,204.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,08:17,394.3,2,2.61,393.1,2,4.21,1022.1,26.7,99.66,25.872,35.217,395.3,394.7,384.8,384.2,0.6,386.0,385.4,0.6,-999,5,0.035,2,0.220,2,205.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,08:47,394.3,2,4.64,392.9,2,4.21,1022.1,26.8,99.98,25.865,35.218,396.2,394.6,385.6,384.1,1.6,386.9,385.3,1.6,-999,5,0.035,2,0.219,2,205.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,09:17,394.2,2,4.53,392.9,2,4.17,1021.4,26.9,100.03,25.855,35.219,396.0,394.5,385.2,383.7,1.4,386.4,385.0,1.4,-999,5,0.030,2,0.225,2,205.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,09:47,394.4,2,4.62,392.9,2,4.20,1021.6,26.9,100.06,25.843,35.218,396.3,394.6,385.5,383.9,1.7,386.8,385.1,1.7,-999,5,0.034,2,0.225,2,205.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,10:17,394.3,2,4.59,392.7,2,4.14,1021.3,26.9,100.11,25.829,35.219,396.1,394.4,385.3,383.6,1.7,386.5,384.8,1.7,-999,5,0.031,2,0.225,2,205.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,12:17,393.7,2,6.08,390.7,2,5.70,1020.4,25.8,100.19,25.780,35.224,396.1,392.9,384.9,381.9,3.1,386.2,383.1,3.1,-999,5,0.043,2,0.216,2,205.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,15:17,395.1,2,6.09,389.6,2,5.74,1020.0,25.3,100.16,25.710,35.235,397.5,391.8,386.2,380.7,5.5,387.4,381.9,5.5,-999,5,-999,5,0.214,2,205.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,18:17,395.6,2,6.45,388.7,2,6.16,1020.8,25.3,100.14,25.669,35.254,398.2,391.1,387.2,380.3,6.9,388.4,381.5,6.9,-999,5,-999,5,0.214,2,206.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/11/2013,21:17,397.2,2,6.52,388.9,2,5.95,1020.5,25.9,100.08,25.707,35.268,399.8,391.2,388.7,380.3,8.4,389.9,381.6,8.4,-999,5,-999,5,0.230,2,206.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.665,-157.969,07/12/2013,00:17,397.6,2,6.43,389.1,2,5.91,1019.6,25.9,100.10,25.720,35.273,400.2,391.4,388.7,380.1,8.5,389.9,381.3,8.6,-999,5,-999,5,0.237,2,206.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
