Mooring,Latitude,Longitude,Date,Time,xCO2_SW_wet,xCO2_SW_QF,H2O_SW,xCO2_Air_wet,xCO2_Air_QF,H2O_AIR,Licor_Atm_Pressure,Licor_Temp,Percent_O2,SST,SSS,xCO2_SW_dry,xCO2_Air_dry,fCO2_SW_sat,fCO2_Air_sat,dfCO2
,Dec_Deg,Dec_Deg,MM/DD/YYYY,hh:mm,umol/mol,,umol/mol,umol/mol,,umol/mol,hPa,Deg_C,,Deg_C,PSS,umol/mol,umol/mol,uatm,uatm,uatm
WHOTS,22.67,-157.97,06/26/2007,02:05,375.7,2,6.19,386.9,2,6.62,1023,26.1,99.81,25.3254,35.016,378.1,389.5,368.7,379.9,-11.2
WHOTS,22.67,-157.97,06/26/2007,02:35,375.2,2,5.98,387.1,2,6.06,1022.5,26.4,100.05,25.328,35.017,377.4,389.5,367.9,379.7,-11.8
WHOTS,22.67,-157.97,06/26/2007,03:05,375,2,6.04,387.1,2,6.46,1022.9,26.6,100.19,25.3178,35.017,377.3,389.7,368,380,-12
WHOTS,22.67,-157.97,06/26/2007,03:35,374.4,2,6.43,386.9,2,6.17,1023,26.8,100.19,25.3075,35.017,376.9,389.3,367.6,379.6,-12.1
WHOTS,22.67,-157.97,06/26/2007,04:05,375.6,2,6.46,388.2,2,6.55,1022.6,26.8,100.29,25.2985,35.018,378.1,390.8,368.6,381,-12.4
WHOTS,22.67,-157.97,06/26/2007,04:35,374.2,2,6.48,386.9,2,6.56,1023.2,26.9,100.33,25.2833,35.018,376.7,389.5,367.4,380,-12.5
WHOTS,22.67,-157.97,06/26/2007,05:05,374,2,6.48,387.1,2,6.23,1023.4,26.9,100.38,25.2656,35.018,376.5,389.6,367.3,380.1,-12.8
WHOTS,22.67,-157.97,06/26/2007,05:35,374,2,6.48,387.4,2,6.22,1023.7,26.9,100.38,25.2626,35.019,376.5,389.8,367.5,380.5,-13
WHOTS,22.67,-157.97,06/26/2007,06:05,373.9,2,6.47,387.5,2,6.2,1024,26.9,100.43,25.2631,35.017,376.3,389.9,367.4,380.7,-13.3
WHOTS,22.67,-157.97,06/26/2007,06:35,373.6,2,6.78,387.4,2,6.53,1024.1,26.8,100.38,25.2542,35.02,376.2,389.9,367.3,380.7,-13.4
WHOTS,22.67,-157.97,06/26/2007,07:05,373.5,2,6.75,387.5,2,6.5,1024.3,26.7,100.38,25.2308,35.02,376.1,390,367.3,380.9,-13.7
WHOTS,22.67,-157.97,06/26/2007,07:35,373.4,2,6.39,387.4,2,6.47,1024.5,26.7,100.38,25.2463,35.02,375.8,390,367.1,380.9,-13.8
WHOTS,22.67,-157.97,06/26/2007,08:05,373.3,2,6.37,387.6,2,6.11,1024.3,26.6,100.38,25.2448,35.021,375.7,390,366.9,380.9,-13.9
WHOTS,22.67,-157.97,06/26/2007,08:35,373.3,2,6.69,387.4,2,6.44,1024.6,26.6,100.43,25.236,35.022,375.9,390,367.2,381,-13.8
WHOTS,22.67,-157.97,06/26/2007,09:05,373.7,2,6.67,387.7,2,6.42,1024.6,26.5,100.43,25.2314,35.026,376.2,390.3,367.6,381.3,-13.7
WHOTS,22.67,-157.97,06/26/2007,09:35,373.5,2,6.66,387.3,2,6.41,1024.5,26.5,100.38,25.2347,35.027,376,389.8,367.3,380.8,-13.5
WHOTS,22.67,-157.97,06/26/2007,10:05,374,2,6.65,387.6,2,6.74,1024.4,26.5,100.43,25.2436,35.027,376.5,390.2,367.8,381.2,-13.4
WHOTS,22.67,-157.97,06/26/2007,10:35,374.1,2,6.64,387.4,2,6.39,1024.2,26.5,100.43,25.2428,35.03,376.6,389.9,367.8,380.8,-13
WHOTS,22.67,-157.97,06/26/2007,11:05,374,2,6.64,387.3,2,6.73,1023.7,26.4,100.38,25.2404,35.032,376.5,389.9,367.5,380.6,-13.1
WHOTS,22.67,-157.97,06/26/2007,11:35,374.3,2,6.64,387.4,2,6.72,1023.8,26.4,100.38,25.2464,35.033,376.8,390,367.9,380.7,-12.9
WHOTS,22.67,-157.97,06/26/2007,12:05,374.5,2,6.97,387.6,2,6.72,1023.7,26.4,100.38,25.2454,35.032,377.2,390.2,368.1,380.9,-12.8
WHOTS,22.67,-157.97,06/26/2007,15:16,372.8,2,7.07,384.8,2,7.17,1023.9,25.1,100.24,25.2429,35.036,375.4,387.6,366.5,378.4,-11.8
WHOTS,22.67,-157.97,06/26/2007,18:16,373,2,7.6,384.5,2,8.03,1025.2,25,100.24,25.262,35.039,375.9,387.6,367.5,378.9,-11.5
WHOTS,22.67,-157.97,06/26/2007,21:16,373.2,2,6.83,384.5,2,7.57,1025.9,25.3,100.24,25.2984,35.017,375.8,387.5,367.6,379,-11.4
WHOTS,22.67,-157.97,06/27/2007,00:16,375.2,2,7.26,384.2,2,8.34,1024.8,25.6,100.24,25.3924,35.049,378,387.4,369.2,378.5,-9.3
WHOTS,22.67,-157.97,06/27/2007,03:16,374.9,2,7.34,384,2,8.1,1025.3,25.8,100.24,25.3923,35.053,377.7,387.1,369.1,378.4,-9.3
WHOTS,22.67,-157.97,06/27/2007,06:16,374.6,2,7.27,384.5,2,7.71,1026.7,25.7,100.1,25.3466,35.054,377.4,387.6,369.4,379.3,-9.9
WHOTS,22.67,-157.97,06/27/2007,09:16,374.4,2,7.43,384.4,2,7.55,1028.1,25.3,100.1,25.3057,35.054,377.2,387.3,369.7,379.7,-9.9
