expocode: 316420120614,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: WHOTS,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Weller, B.; Pluddemann, A.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
WHOTS_158W_23N,22.771,-157.92,6/14/12,4:47,378.3,2,6.46,390.2,2,6.27,1016.5,25.6,98.97,24.695,35.038,380.7,392.6,369.3,380.8,-11.5,370.5,382.1,-11.6,8.0642,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,5:17,381.5,2,6.05,394.4,2,5.61,1016.9,26.2,99.16,24.695,35.038,383.8,396.6,372.4,384.9,-12.4,373.6,386.1,-12.5,8.0642,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,5:47,381.2,2,6.16,394.5,2,5.65,1017.3,26.5,99.41,24.695,35.038,383.6,396.7,372.4,385.1,-12.8,373.6,386.4,-12.8,8.0642,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,6:17,380.5,2,6.25,394.4,2,5.71,1017.6,26.6,99.54,24.695,35.038,382.9,396.7,371.8,385.2,-13.4,373,386.5,-13.4,8.0642,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,6:47,380.6,2,6.29,394.7,2,5.73,1017.9,26.7,99.48,24.695,35.038,383,396.9,372,385.6,-13.5,373.2,386.8,-13.6,8.0642,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,7:17,380.2,2,6.35,394.6,2,5.76,1018.1,26.8,99.77,24.801,35.029,382.6,396.8,371.6,385.5,-13.9,372.8,386.7,-13.9,8.0642,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,7:47,380,2,6.35,394.4,2,5.8,1018.3,26.8,99.8,24.801,35.027,382.4,396.7,371.5,385.5,-13.9,372.7,386.7,-14,8.0635,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,8:17,379.8,2,6.41,394.5,2,5.82,1018.6,26.8,99.89,24.797,35.034,382.3,396.8,371.5,385.7,-14.1,372.7,386.9,-14.2,8.0635,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,8:47,379.8,2,6.38,394.5,2,5.84,1018.5,26.8,99.91,24.802,35.027,382.3,396.9,371.5,385.6,-14.2,372.7,386.9,-14.2,8.0635,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,9:17,379.7,2,6.47,394.4,2,5.92,1018.3,26.8,99.93,24.795,35.032,382.2,396.8,371.3,385.5,-14.2,372.5,386.7,-14.2,8.0635,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,9:47,379.8,2,6.46,394.4,2,5.91,1017.9,26.8,99.96,24.792,35.032,382.2,396.7,371.2,385.3,-14,372.4,386.5,-14.1,8.0635,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,10:17,379.7,2,6.48,394.4,2,5.95,1017.9,26.8,99.99,24.791,35.034,382.2,396.8,371.2,385.3,-14.1,372.4,386.6,-14.2,8.0635,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,10:47,379.7,2,6.38,394.4,2,5.89,1017.9,26.8,99.98,24.788,35.035,382.2,396.7,371.2,385.3,-14.1,372.4,386.5,-14.2,8.0649,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,11:17,380,2,6.41,394.6,2,5.91,1017.7,26.7,100,24.778,35.03,382.5,396.9,371.4,385.4,-14,372.6,386.6,-14.1,8.0649,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,11:47,379.8,2,6.41,394.4,2,5.87,1017.4,26.7,100,24.776,35.034,382.2,396.8,371.1,385.2,-14.1,372.2,386.4,-14.2,8.0649,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,12:17,380,2,6.44,394.5,2,5.88,1017.2,26.7,99.97,24.764,35.031,382.4,396.8,371.2,385.1,-13.9,372.4,386.3,-14,8.0649,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,12:47,380.1,2,6.44,394.5,2,5.91,1016.9,26.7,99.99,24.773,35.033,382.5,396.8,371.2,385,-13.9,372.4,386.3,-13.9,8.0649,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,13:17,380,2,6.45,394.5,2,5.88,1016.9,26.7,100,24.765,35.03,382.4,396.8,371,385,-13.9,372.2,386.2,-14,8.0649,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,13:47,379.9,2,6.47,394.5,2,5.89,1016.8,26.7,99.97,24.747,35.041,382.4,396.8,371,385,-14,372.2,386.2,-14.1,8.0655,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,14:17,379.9,2,6.39,394.4,2,5.84,1016.9,26.7,99.98,24.75,35.04,382.4,396.8,371,385,-14,372.2,386.2,-14,8.0655,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,14:47,380,2,6.41,394.3,2,5.88,1017,26.6,99.99,24.746,35.042,382.5,396.7,371.1,384.9,-13.8,372.3,386.1,-13.8,8.0655,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,15:17,379.8,2,6.44,394.4,2,5.89,1017.1,26.6,99.95,24.733,35.038,382.3,396.7,371,385,-14,372.2,386.3,-14.1,8.0655,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,15:47,379.8,2,6.4,394.3,2,5.87,1017.2,26.6,99.96,24.726,35.035,382.2,396.6,371,384.9,-13.9,372.2,386.2,-14,8.0655,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,16:17,380.3,2,6.55,394.4,2,5.96,1017.3,26.6,99.91,24.735,35.04,382.8,396.7,371.6,385.1,-13.5,372.8,386.3,-13.5,8.0655,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,16:47,379.7,2,6.92,394.1,2,6.32,1017.7,26.7,99.94,24.727,35.036,382.3,396.7,371.3,385.2,-13.9,372.5,386.4,-13.9,8.0668,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,17:17,379.8,2,6.96,393.9,2,6.54,1017.7,26.7,99.99,24.732,35.034,382.5,396.5,371.4,385.1,-13.6,372.6,386.3,-13.7,8.0668,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,17:47,379.7,2,7.03,394,2,6.5,1017.9,26.7,99.95,24.733,35.033,382.4,396.6,371.4,385.2,-13.7,372.6,386.4,-13.8,8.0668,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,18:17,379.5,2,7.06,394,2,6.41,1017.9,26.9,99.93,24.738,35.032,382.2,396.5,371.2,385.1,-13.9,372.4,386.4,-14,8.0668,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,18:47,379.3,2,7.03,394,2,6.32,1018,27,99.92,24.744,35.03,382,396.5,371.1,385.1,-14.1,372.3,386.4,-14.1,8.0668,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,19:17,379.7,2,7.13,393.9,2,6.4,1017.9,27.1,99.92,24.748,35.031,382.4,396.5,371.4,385.1,-13.6,372.6,386.3,-13.7,8.0668,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,19:47,379.4,2,7.1,393.9,2,6.31,1018.2,27.2,99.89,24.773,35.033,382.1,396.4,371.3,385.1,-13.9,372.5,386.4,-13.9,8.0647,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,20:17,379.6,2,7.06,393.9,2,6.34,1018.2,27.3,99.92,24.808,35.035,382.3,396.4,371.4,385.1,-13.7,372.6,386.3,-13.7,8.0647,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,20:47,380.4,2,7.04,393.9,2,6.36,1018.1,27.5,99.94,24.843,35.034,383.1,396.4,372.1,385,-12.9,373.3,386.3,-12.9,8.0647,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,21:17,380.3,2,7.09,393.8,2,6.22,1018.3,27.5,99.91,24.868,35.032,383,396.3,372.1,385,-13,373.3,386.2,-13,8.0647,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,21:47,380.7,2,6.96,393.9,2,6.11,1018.2,27.6,99.94,24.883,35.039,383.4,396.3,372.4,385,-12.6,373.6,386.2,-12.6,8.0647,2
WHOTS_158W_23N,22.771,-157.92,6/14/12,22:17,381.2,2,6.75,394,2,5.97,1018.2,27.6,99.94,24.91,35.038,383.7,396.4,372.7,385,-12.3,373.9,386.2,-12.3,8.0647,2
WHOTS_158W_23N,22.771,-157.92,6/15/12,0:47,383.1,2,7.59,393.9,2,6.82,1017.2,26.5,99.92,24.975,35.045,386,396.6,374.5,384.8,-10.3,375.7,386,-10.3,8.0654,2
WHOTS_158W_23N,22.771,-157.92,6/15/12,4:17,384,2,7.37,393.6,2,6.67,1017.1,26.3,99.83,24.863,35.085,386.9,396.3,375.4,384.5,-9.1,376.6,385.7,-9.1,8.0635,2
WHOTS_158W_23N,22.771,-157.92,6/15/12,7:47,380.6,2,7.12,393.7,2,6.39,1018.8,25.7,99.7,24.686,35.084,383.3,396.2,372.7,385.2,-12.5,373.9,386.5,-12.5,8.0648,2
WHOTS_158W_23N,22.771,-157.92,6/15/12,11:17,380,2,7.02,393.2,2,6.3,1018.4,25.2,99.62,24.677,35.085,382.6,395.7,371.9,384.5,-12.7,373.1,385.8,-12.7,8.0651,2
WHOTS_158W_23N,22.771,-157.92,6/15/12,14:47,380.5,2,7.01,394.1,2,6.27,1018,25,99.57,24.616,35.092,383.2,396.6,372.3,385.3,-13,373.5,386.6,-13.1,8.0663,2
WHOTS_158W_23N,22.771,-157.92,6/15/12,18:17,378.9,2,7.63,393.7,2,7.12,1019.8,25,99.58,24.546,35.088,381.8,396.5,371.6,385.9,-14.3,372.9,387.2,-14.3,8.0639,2
WHOTS_158W_23N,22.771,-157.92,6/15/12,21:47,379.9,2,7.69,393.6,2,6.73,1020,25.7,99.48,24.665,35.09,382.9,396.3,372.7,385.8,-13.1,373.9,387.1,-13.1,8.0669,2
WHOTS_158W_23N,22.771,-157.92,6/16/12,1:17,381,2,7.78,393.7,2,6.69,1019.1,26.1,99.51,24.755,35.088,384,396.3,373.4,385.4,-12,374.6,386.6,-12,8.0662,2
WHOTS_158W_23N,22.771,-157.92,6/16/12,4:47,379.4,2,7.37,393.9,2,6.4,1019.2,25.9,99.47,24.693,35.089,382.2,396.4,371.8,385.6,-13.8,373,386.8,-13.8,8.0674,2
WHOTS_158W_23N,22.771,-157.92,6/16/12,8:17,379.1,2,7.24,393.7,2,6.41,1021,25.4,99.43,24.668,35.088,381.9,396.3,372.1,386.1,-14.1,373.3,387.4,-14.1,8.0643,2
WHOTS_158W_23N,22.771,-157.92,6/16/12,11:47,378.2,2,7.14,393.8,2,6.34,1019.4,25.1,99.41,24.531,35.103,381,396.3,370.7,385.7,-15,371.9,386.9,-15,8.0637,2
WHOTS_158W_23N,22.771,-157.92,6/16/12,15:17,377.6,2,6.91,394,2,6.22,1019.1,24.8,99.41,24.478,35.103,380.2,396.5,370,385.8,-15.8,371.2,387,-15.9,8.0686,2
WHOTS_158W_23N,22.771,-157.92,6/16/12,18:47,378.5,2,7.83,393.6,2,7.06,1020.7,25,99.44,24.488,35.121,381.5,396.4,371.7,386.2,-14.5,372.9,387.5,-14.6,8.0668,2
WHOTS_158W_23N,22.771,-157.92,6/16/12,22:17,380.4,2,7.79,393.2,2,6.87,1020.4,25.5,99.42,24.539,35.158,383.3,396,373.4,385.7,-12.3,374.6,387,-12.3,8.066,2
WHOTS_158W_23N,22.771,-157.92,6/17/12,1:47,380.9,2,7.44,393.6,2,6.66,1019.7,25.6,99.47,24.548,35.181,383.8,396.2,373.6,385.7,-12.1,374.8,386.9,-12.2,8.0644,2
