expocode: 316420181014
vessel name: WHOTS_158W_23N
PIs:  Sutton A.; Weller B.; Pluddemann A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
WHOTS_158W_23N,22.769,-157.913,10/14/2018,21:47,404.1,2,4.21,402.5,2,3.85,1012.4,27.6,100.02,26.701,35.026,405.8,404.1,390.5,388.8,1.7,391.7,390.1,1.7,-999,5,-999,5,0.168,2,205,2
WHOTS_158W_23N,22.769,-157.913,10/14/2018,22:17,404.3,2,4.29,403,2,3.74,1012.1,27.9,100.01,26.726,35.027,406,404.5,390.5,389.1,1.4,391.8,390.3,1.4,-999,5,-999,5,0.176,2,205.1,2
WHOTS_158W_23N,22.769,-157.913,10/14/2018,22:47,404.2,2,4.44,403.1,2,3.77,1011.7,28.2,100.08,26.687,35.025,406,404.6,390.4,389.1,1.4,391.7,390.3,1.4,-999,5,-999,5,0.2,2,205.1,2
WHOTS_158W_23N,22.769,-157.913,10/14/2018,23:17,405.4,2,4.47,402.7,2,3.67,1011.2,28.4,100.1,26.723,35.028,407.2,404.2,391.3,388.4,2.9,392.6,389.6,2.9,-999,5,-999,5,0.178,2,205.2,2
WHOTS_158W_23N,22.769,-157.913,10/14/2018,23:47,405.3,2,4.44,403,2,3.67,1011,28.5,100.16,26.76,35.031,407.1,404.4,391.1,388.6,2.5,392.3,389.8,2.5,-999,5,-999,5,0.171,2,205.3,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,00:17,405.4,2,4.33,402.7,2,3.66,1010.7,28.7,100.2,26.754,35.032,407.1,404.2,391,388.2,2.8,392.2,389.4,2.8,8.058,2,-999,5,0.203,2,205.2,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,00:47,405.1,2,4.33,403,2,3.67,1010.6,28.7,100.2,26.767,35.031,406.9,404.4,390.7,388.4,2.3,392,389.6,2.3,-999,5,-999,5,0.173,2,205.4,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,03:17,405.7,2,6.09,402.6,2,5.65,1011.2,27.6,100.21,26.728,35.038,408.2,404.9,392.3,389.1,3.2,393.5,390.3,3.2,8.06,2,-999,5,0.178,2,205.3,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,06:17,405,2,6.09,403.8,2,5.71,1012.9,26.7,100.15,26.658,35.043,407.5,406.1,392.4,391,1.4,393.6,392.2,1.4,8.061,2,-999,5,0.175,2,204.7,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,09:17,405.6,2,6.18,403.7,2,5.75,1013.5,26.1,99.98,26.641,35.04,408.1,406,393.2,391.2,2,394.4,392.4,2,8.058,2,0.058,2,0.198,2,204.5,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,12:17,407,2,6.07,403.3,2,5.55,1013.1,26,99.9,26.626,35.042,409.5,405.5,394.4,390.6,3.8,395.6,391.8,3.9,8.06,2,0.053,2,0.166,2,204.7,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,15:17,405.5,2,5.98,403.7,2,5.57,1013.1,25.9,99.86,26.596,35.044,408,405.9,392.9,391,1.9,394.2,392.2,2,8.06,2,-999,5,0.178,2,204.7,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,18:17,402.6,2,6.2,403.7,2,5.5,1014.8,25.4,99.79,26.561,35.044,405.2,405.9,390.9,391.7,-0.7,392.1,392.9,-0.7,8.059,2,-999,5,0.183,2,205,2
WHOTS_158W_23N,22.769,-157.913,10/15/2018,21:17,403.1,2,6.45,403.8,2,5.66,1015.2,26,99.8,26.593,35.042,405.7,406.1,391.6,392,-0.4,392.9,393.3,-0.4,8.062,2,-999,5,0.181,2,204.4,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,00:17,404.5,2,6.32,402.4,2,5.73,1013.2,26.4,99.84,26.647,35.046,407.1,404.7,392.1,389.8,2.3,393.3,391,2.3,8.06,2,-999,5,0.199,2,205.2,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,03:17,403.6,2,6.47,402.4,2,5.75,1013.6,26.6,99.86,26.624,35.045,406.2,404.7,391.4,389.9,1.5,392.7,391.2,1.5,8.062,2,-999,5,0.191,2,205.5,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,06:17,401.7,2,5.96,403.4,2,5.41,1015.6,26,99.86,26.56,35.044,404.1,405.6,390.2,391.6,-1.4,391.5,392.9,-1.4,8.062,2,-999,5,0.185,2,205.4,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,09:17,402.4,2,6.14,402.7,2,5.63,1015.9,25.8,99.86,26.539,35.055,404.9,404.9,391.1,391.2,,392.4,392.4,,8.061,2,0.055,2,0.204,2,205.7,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,12:17,401.7,2,6.02,403.5,2,5.48,1015,25.9,99.79,26.495,35.056,404.2,405.7,390.1,391.6,-1.5,391.3,392.8,-1.5,8.061,2,0.054,2,0.181,2,205.5,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,15:17,400.7,2,6.11,402.8,2,5.52,1014.9,25.7,99.79,26.46,35.058,403.1,405,389.1,390.9,-1.8,390.3,392.1,-1.8,8.064,2,-999,5,0.181,2,205.7,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,18:17,399.9,2,6.44,402.4,2,5.66,1016.5,25.7,99.79,26.429,35.06,402.5,404.7,389.1,391.3,-2.2,390.3,392.5,-2.2,8.064,2,-999,5,0.178,2,205.9,2
WHOTS_158W_23N,22.769,-157.913,10/16/2018,21:17,400.6,2,6.4,403,2,5.58,1016.5,26.1,99.81,26.464,35.061,403.2,405.2,389.8,391.8,-2,391,393,-2,8.061,2,-999,5,0.186,2,206,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,00:17,401.7,2,6.59,404,2,5.9,1014.6,26.5,99.84,26.539,35.065,404.4,406.4,390.1,392.1,-2,391.3,393.3,-2,8.064,2,-999,5,0.218,2,206.1,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,03:17,401.1,2,6.44,402.4,2,5.99,1015,26.4,99.91,26.494,35.064,403.7,404.8,389.7,390.7,-1.1,390.9,392,-1.1,8.066,2,-999,5,0.185,2,206.5,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,06:17,400,2,5.99,402.8,2,5.69,1016.4,26,99.94,26.462,35.063,402.5,405.1,389,391.6,-2.6,390.2,392.8,-2.6,8.068,2,-999,5,0.191,2,206.2,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,09:17,400,2,6.22,403.2,2,5.76,1016.6,25.6,99.89,26.442,35.063,402.5,405.6,389.2,392.2,-3,390.4,393.4,-3,8.063,2,0.054,2,0.185,2,206.2,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,12:17,400.6,2,6.13,402.9,2,5.67,1015.3,25.6,99.82,26.425,35.064,403.1,405.2,389.2,391.2,-2,390.4,392.4,-2,8.066,2,0.058,2,0.186,2,205.8,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,15:17,400.7,2,6.14,402.7,2,5.7,1014.7,25.6,99.81,26.412,35.065,403.2,405,389.1,390.9,-1.7,390.4,392.1,-1.7,8.065,2,-999,5,0.178,2,205.4,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,18:17,399.6,2,6.69,402.3,2,5.91,1015.9,25.6,99.76,26.404,35.066,402.3,404.7,388.7,391.1,-2.4,389.9,392.3,-2.4,8.064,2,-999,5,0.174,2,204.9,2
WHOTS_158W_23N,22.769,-157.913,10/17/2018,21:17,401.4,2,6.73,401.8,2,6.05,1015.8,26.4,99.79,26.447,35.066,404.1,404.2,390.4,390.5,-0.1,391.6,391.8,-0.1,8.062,2,-999,5,0.179,2,205.9,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,00:17,402.8,2,7.13,402.2,2,6.49,1013.5,26.9,99.88,26.515,35.069,405.7,404.8,390.9,390.1,0.8,392.1,391.3,0.8,8.063,2,-999,5,0.174,2,206,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,03:17,401.6,2,6.65,402.2,2,6.2,1013.6,27,99.91,26.502,35.068,404.2,404.7,389.6,390,-0.4,390.8,391.3,-0.4,8.062,2,-999,5,0.203,2,206.2,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,06:17,400.3,2,6.28,402.2,2,5.99,1015.1,26.5,99.89,26.441,35.058,402.9,404.7,388.9,390.6,-1.7,390.1,391.9,-1.7,8.063,2,-999,5,0.183,2,206,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,09:17,400.6,2,6.1,402.3,2,5.91,1015.3,26,99.84,26.39,35.039,403.1,404.7,389.3,390.8,-1.5,390.5,392,-1.5,8.067,2,0.062,2,0.192,2,205.8,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,12:17,401,2,5.78,402.5,2,5.59,1014.5,25.8,99.81,26.447,35.026,403.3,404.7,389.1,390.5,-1.3,390.3,391.7,-1.4,8.064,2,0.047,2,0.186,2,205.1,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,15:17,400.9,2,6.33,402.3,2,5.88,1014.6,25.5,99.81,26.437,35.037,403.5,404.7,389.3,390.5,-1.2,390.5,391.7,-1.2,8.063,2,-999,5,0.179,2,205.2,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,18:17,404.4,2,6.85,402.2,2,6.16,1015.6,25.6,99.61,26.431,35.04,407.2,404.7,393.3,390.9,2.5,394.6,392.1,2.5,8.062,2,-999,5,0.195,2,203.9,2
WHOTS_158W_23N,22.769,-157.913,10/18/2018,21:17,402.6,2,7,401.8,2,6.08,1015.5,26.6,99.6,26.561,35.05,405.5,404.3,391.5,390.3,1.2,392.7,391.6,1.2,8.065,2,-999,5,0.196,2,205.1,2
