expocode: 316420191006
vessel name: WHOTS_158W_23N
PIs:  Sutton  A.; Weller  B.; Pluddemann A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
WHOTS_158W_23N,22.672,-157.954,10/06/2019,04:47,400.5,2,5.33,405.7,2,4.22,1013,29.5,100.07,-999,-999,402.7,407.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,05:17,400.3,2,5.45,406,2,4.17,1013.2,29.6,100.11,-999,-999,402.5,407.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,05:47,400.2,2,5.1,405.7,2,4.54,1013.6,29.6,100.28,-999,-999,402.2,407.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,06:17,399.9,2,5.07,406.2,2,4.3,1013.6,29.6,100.29,-999,-999,401.9,407.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,06:47,400,2,5.09,406.2,2,4.53,1013.7,29.5,100.35,-999,-999,402,408,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,07:17,399.5,2,5.36,406.2,2,4.39,1013.8,29.4,100.32,-999,-999,401.6,408,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,09:17,399.3,2,5.98,405.8,2,5.42,1013.7,28.1,100.4,-999,-999,401.7,408,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,12:17,398.8,2,6.34,405.2,2,5.78,1012.5,27.2,100.3,-999,-999,401.3,407.6,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,15:17,399.1,2,6.45,406,2,5.43,1011.7,27,100.23,-999,-999,401.7,408.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,18:17,399.3,2,7.02,405.6,2,5.78,1012.8,27,100.21,-999,-999,402.1,407.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/06/2019,21:17,403.9,2,7.08,405.5,2,5.76,1012.5,27.8,100.23,-999,-999,406.8,407.8,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
WHOTS_158W_23N,22.672,-157.954,10/07/2019,00:17,407.6,2,7.87,404.4,2,6.06,1010.3,29,100.23,27.945,34.938,410.9,406.8,393.5,389.6,3.9,394.7,390.8,3.9,-999,5,-999,5,-999,4,-999,4
WHOTS_158W_23N,22.672,-157.954,10/07/2019,03:17,401.5,2,7.4,404.4,2,5.65,1010.4,29.4,100.2,27.627,34.937,404.5,406.7,387.7,389.8,-2.1,388.9,391,-2.1,8.054,2,-999,5,-999,4,-999,4
WHOTS_158W_23N,22.672,-157.954,10/07/2019,06:17,400,2,6.58,405.7,2,5.45,1012.2,28.7,100.26,27.522,34.935,402.7,407.9,386.7,391.8,-5,387.9,393,-5,8.055,2,-999,5,-999,4,-999,4
WHOTS_158W_23N,22.672,-157.954,10/07/2019,09:17,402.2,2,6.82,-999,4,5.46,1012.6,28.1,100.19,27.447,34.934,405,-999,389.1,-999,-999,390.3,-999,-999,8.053,2,0.11,2,-999,4,-999,4
WHOTS_158W_23N,22.672,-157.954,10/07/2019,12:17,399.2,2,6.75,406.6,2,5.33,1011.5,27.8,100.23,27.411,34.935,401.9,408.7,385.8,392.4,-6.5,387,393.6,-6.5,8.057,2,0.118,2,-999,4,-999,4
WHOTS_158W_23N,22.672,-157.954,10/07/2019,15:17,399.3,2,6.73,406.8,2,5.27,1011.3,27.6,100.16,27.387,34.935,402,409,385.8,392.6,-6.7,387,393.8,-6.7,8.057,2,-999,5,-999,4,-999,4
WHOTS_158W_23N,22.672,-157.954,10/07/2019,18:17,398.6,2,7.09,406.5,2,5.47,1013.3,27.6,100.13,27.385,34.936,401.5,408.8,386.1,393.1,-7,387.3,394.4,-7.1,8.053,2,-999,5,-999,4,-999,4
WHOTS_158W_23N,22.672,-157.954,10/07/2019,21:17,399.3,2,7.49,406.8,2,5.2,1013.4,28.2,100.06,27.489,34.941,402.4,408.9,386.9,393.2,-6.3,388.1,394.4,-6.3,8.055,2,-999,5,-999,4,-999,4
